,time,open,high,low,close,volume
0,2008-01-02,70.37,72.8,24.27,30.09,85500
1,2008-01-03,30.62,30.62,30.62,30.62,2000
2,2008-01-04,27.57,27.57,27.57,27.57,1500
3,2008-01-07,24.83,24.83,24.83,24.83,6800
4,2008-01-08,22.35,22.35,22.35,22.35,5200
5,2008-01-09,20.12,20.12,20.12,20.12,7400
6,2008-01-10,18.13,20.63,18.13,19.41,70500
7,2008-01-11,17.47,19.66,17.47,18.44,16000
8,2008-01-14,18.71,18.71,17.25,17.47,13200
9,2008-01-15,17.47,18.05,16.26,16.26,18500
10,2008-01-16,17.98,18.08,17.01,18.08,14500
11,2008-01-17,18.64,18.9,16.5,17.35,6600
12,2008-01-18,17.47,18.15,17.47,17.47,3800
13,2008-01-21,16.77,16.99,16.77,16.79,4900
14,2008-01-22,16.62,16.62,16.38,16.5,8200
15,2008-01-23,16.28,16.28,15.41,15.53,11400
16,2008-01-24,16.72,16.72,14.92,14.92,3300
17,2008-01-25,14.68,15.53,13.83,14.07,9200
18,2008-01-28,14.8,14.8,13.59,14.07,6400
19,2008-01-29,13.83,14.8,13.83,14.8,6700
20,2008-01-30,15.29,15.92,15.29,15.92,10800
21,2008-01-31,16.38,16.38,15.7,15.77,4800
22,2008-02-01,16.99,16.99,16.02,16.02,7700
23,2008-02-12,15.77,15.77,15.53,15.77,2400
24,2008-02-13,15.77,15.77,15.77,15.77,100
25,2008-02-14,16.23,16.23,15.65,15.77,3400
26,2008-02-15,15.77,15.77,15.05,15.05,2500
27,2008-02-18,14.8,14.8,13.95,13.95,5400
28,2008-02-19,13.86,14.51,13.78,13.83,13700
29,2008-02-20,13.83,13.83,12.52,12.62,2800
30,2008-02-21,11.7,11.7,11.67,11.67,2400
31,2008-02-22,10.51,11.65,10.51,10.68,14100
32,2008-02-25,11.41,11.79,11.16,11.79,10800
33,2008-02-26,12.13,12.13,10.48,10.48,3500
34,2008-02-27,10.31,11.5,10.19,10.19,2400
35,2008-02-28,10.53,10.53,9.71,10.34,4300
36,2008-02-29,9.71,10.34,9.46,10.34,1300
37,2008-03-03,9.03,9.03,8.88,8.88,6200
38,2008-03-04,8.13,8.13,8.06,8.06,2200
39,2008-03-05,7.28,7.52,7.28,7.28,25400
40,2008-03-06,8.06,8.06,8.06,8.06,100
41,2008-03-07,8.83,8.86,8.83,8.86,2300
42,2008-03-10,9.73,9.73,9.66,9.73,62200
43,2008-03-11,9.68,9.68,8.76,8.76,4600
44,2008-03-12,9.2,9.71,9.2,9.34,11800
45,2008-03-13,10.19,10.19,9.46,9.46,900
46,2008-03-14,9.54,9.71,9.0,9.0,1500
47,2008-03-17,9.46,9.46,8.4,8.4,4200
48,2008-03-18,7.67,7.67,7.64,7.64,6200
49,2008-03-19,7.47,7.89,6.89,6.92,41300
50,2008-03-20,7.33,7.33,6.79,6.89,11200
51,2008-03-21,6.79,6.89,6.79,6.87,3000
52,2008-03-24,6.46,6.79,6.46,6.55,9000
53,2008-03-25,5.95,6.19,5.95,6.19,8800
54,2008-03-26,6.62,6.62,6.6,6.62,8600
55,2008-03-27,6.75,6.75,6.62,6.75,800
56,2008-03-28,6.79,6.79,6.79,6.79,200
57,2008-03-31,6.92,6.92,6.92,6.92,100
58,2008-04-01,7.04,7.04,7.04,7.04,100
59,2008-04-02,7.16,7.16,7.16,7.16,100
60,2008-04-03,7.28,7.28,7.28,7.28,400
61,2008-04-04,7.43,7.43,7.43,7.43,2300
62,2008-04-07,7.64,7.64,7.64,7.64,200
63,2008-04-08,7.86,7.86,7.81,7.86,19800
64,2008-04-09,7.64,8.08,7.64,7.64,8000
65,2008-04-10,7.6,7.6,7.6,7.6,300
66,2008-04-11,7.38,7.81,7.38,7.38,19800
67,2008-04-16,7.16,7.16,7.16,7.16,9000
68,2008-04-17,6.96,7.35,6.96,7.35,5000
69,2008-04-18,7.26,7.26,7.26,7.26,1900
70,2008-04-21,7.16,7.45,7.16,7.45,3200
71,2008-04-22,7.09,7.09,7.09,7.09,1000
72,2008-04-23,6.89,6.89,6.89,6.89,2400
73,2008-04-24,6.7,6.96,6.7,6.96,2900
74,2008-04-25,6.79,6.79,6.67,6.79,600
75,2008-04-28,6.94,6.94,6.94,6.94,2000
76,2008-04-29,7.04,7.13,6.94,7.13,3200
77,2008-05-05,6.92,7.23,6.92,7.23,1100
78,2008-05-06,7.18,7.21,7.18,7.18,5600
79,2008-05-07,6.99,7.06,6.99,6.99,4000
80,2008-05-08,6.82,6.82,6.82,6.82,4900
81,2008-05-09,6.62,6.67,6.62,6.67,1800
82,2008-05-12,6.48,6.48,6.48,6.48,5500
83,2008-05-13,6.29,6.29,6.29,6.29,2000
84,2008-05-14,6.12,6.12,6.12,6.12,4900
85,2008-05-15,5.95,5.95,5.95,5.95,5600
86,2008-05-16,5.78,5.8,5.78,5.78,6000
87,2008-05-19,5.78,5.78,5.78,5.78,0
88,2008-05-20,5.61,5.61,5.61,5.61,1600
89,2008-05-21,5.46,5.46,5.46,5.46,300
90,2008-05-22,5.31,5.31,5.31,5.31,100
91,2008-05-23,5.17,5.17,5.17,5.17,3100
92,2008-05-26,5.02,5.02,5.02,5.02,300
93,2008-05-27,5.02,5.02,5.02,5.02,0
94,2008-05-28,4.88,4.88,4.88,4.88,200
95,2008-05-29,4.73,4.73,4.73,4.73,600
96,2008-05-30,4.61,4.61,4.61,4.61,200
97,2008-06-02,4.49,4.49,4.49,4.49,200
98,2008-06-03,4.37,4.37,4.37,4.37,100
99,2008-06-04,4.25,4.25,4.25,4.25,100
100,2008-06-05,4.13,4.13,4.13,4.13,400
101,2008-06-06,4.0,4.0,4.0,4.0,3800
102,2008-06-09,3.91,3.91,3.91,3.91,100
103,2008-06-10,4.0,4.0,4.0,4.0,400
104,2008-06-11,4.1,4.1,4.1,4.1,200
105,2008-06-12,4.22,4.22,4.22,4.22,300
106,2008-06-13,4.34,4.34,4.34,4.34,200
107,2008-06-16,4.34,4.34,4.34,4.34,0
108,2008-06-17,4.47,4.47,4.47,4.47,100
109,2008-06-18,4.59,4.59,4.34,4.34,1300
110,2008-06-19,4.39,4.39,4.39,4.39,400
111,2008-06-20,4.22,4.22,4.22,4.22,200
112,2008-06-23,4.37,4.37,4.37,4.37,200
113,2008-06-24,4.37,4.49,4.37,4.42,1000
114,2008-06-25,4.32,4.42,4.25,4.42,1900
115,2008-06-26,4.37,4.51,4.17,4.17,2100
116,2008-06-27,4.13,4.44,4.13,4.42,1200
117,2008-06-30,4.37,4.37,4.37,4.37,800
118,2008-07-01,4.37,4.54,4.25,4.54,6700
119,2008-07-02,4.66,4.66,4.66,4.66,4000
120,2008-07-03,4.83,4.83,4.83,4.83,700
121,2008-07-04,5.0,5.0,5.0,5.0,2200
122,2008-07-07,5.19,5.19,4.85,4.88,14500
123,2008-07-08,4.95,5.1,4.95,5.1,2800
124,2008-07-09,5.22,5.22,5.22,5.22,400
125,2008-07-10,5.41,5.41,5.41,5.41,500
126,2008-07-11,5.61,5.61,5.61,5.61,10500
127,2008-07-14,5.82,5.82,5.82,5.82,1000
128,2008-07-15,6.04,6.04,6.04,6.04,100
129,2008-07-16,6.26,6.26,5.82,6.26,12000
130,2008-07-17,6.26,6.26,6.26,6.26,300
131,2008-07-18,6.07,6.5,6.02,6.02,16300
132,2008-07-21,6.07,6.07,6.07,6.07,9400
133,2008-07-22,5.82,5.82,5.82,5.82,400
134,2008-07-23,5.61,5.61,5.61,5.61,500
