,time,open,high,low,close,volume
0,2009-01-07,5.42,5.77,5.08,5.57,104200
1,2009-01-08,5.52,5.52,5.42,5.42,6600
2,2009-01-09,5.32,5.52,5.17,5.47,16000
3,2009-01-12,5.42,5.67,5.42,5.52,38200
4,2009-01-13,5.82,5.82,5.32,5.42,19500
5,2009-01-14,5.42,5.42,5.27,5.27,7900
6,2009-01-15,5.27,5.32,5.13,5.13,20100
7,2009-01-16,5.17,5.17,4.88,4.98,21500
8,2009-01-19,5.13,5.17,4.93,4.93,35000
9,2009-01-20,4.93,4.98,4.78,4.78,8900
10,2009-01-21,4.93,5.03,4.68,4.73,11100
11,2009-01-22,4.78,4.88,4.78,4.88,8000
12,2009-01-23,4.93,4.93,4.63,4.63,15000
13,2009-02-02,4.73,4.93,4.73,4.73,7600
14,2009-02-03,4.68,4.88,4.58,4.58,5500
15,2009-02-04,4.39,4.48,4.39,4.39,15100
16,2009-02-05,4.39,4.39,4.14,4.14,18700
17,2009-02-06,4.29,4.29,4.29,4.29,1500
18,2009-02-09,4.14,4.39,3.99,4.09,2600
19,2009-02-10,4.24,4.34,4.04,4.04,5500
20,2009-02-11,3.94,3.94,3.89,3.89,2400
21,2009-02-12,3.84,3.84,3.75,3.75,5500
22,2009-02-13,3.6,3.84,3.6,3.79,4000
23,2009-02-16,3.84,3.84,3.7,3.7,4900
24,2009-02-17,3.55,3.55,3.55,3.55,4700
25,2009-02-18,3.35,3.35,3.3,3.3,8100
26,2009-02-19,3.45,3.45,3.3,3.45,16300
27,2009-02-20,3.45,3.55,3.45,3.45,9900
28,2009-02-23,3.35,3.35,3.35,3.35,2600
29,2009-02-24,3.25,3.25,3.2,3.2,5700
30,2009-02-25,3.2,3.45,3.2,3.45,11000
31,2009-02-26,3.35,3.55,3.25,3.55,3300
32,2009-02-27,3.25,3.25,3.2,3.25,5500
33,2009-03-02,3.35,3.4,3.35,3.35,6100
34,2009-03-03,3.5,3.5,3.45,3.45,1100
35,2009-03-04,3.45,3.5,3.45,3.5,11700
36,2009-03-05,3.55,3.55,3.45,3.5,8100
37,2009-03-06,3.45,3.45,3.45,3.45,5200
38,2009-03-09,3.45,3.45,3.45,3.45,7000
39,2009-03-10,3.55,3.55,3.5,3.55,6100
40,2009-03-11,3.7,3.7,3.65,3.7,25400
41,2009-03-12,3.94,3.94,3.7,3.75,18300
42,2009-03-13,3.94,3.94,3.79,3.84,17900
43,2009-03-16,3.94,3.94,3.89,3.94,3500
44,2009-03-17,4.04,4.09,3.99,4.04,14200
45,2009-03-18,4.29,4.29,4.19,4.29,34900
46,2009-03-19,4.53,4.53,4.09,4.09,13800
47,2009-03-20,4.09,4.09,3.94,3.99,17700
48,2009-03-23,4.24,4.24,3.75,3.75,6200
49,2009-03-24,3.94,3.99,3.94,3.99,10000
50,2009-03-25,3.84,3.94,3.84,3.89,6500
51,2009-03-26,3.94,3.94,3.79,3.89,8400
52,2009-03-27,3.84,3.84,3.6,3.6,15300
53,2009-03-30,3.6,3.7,3.6,3.7,10100
54,2009-03-31,3.6,3.75,3.6,3.75,3200
55,2009-04-01,3.75,3.89,3.65,3.89,27100
56,2009-04-02,3.94,4.09,3.94,4.09,55200
57,2009-04-03,4.19,4.29,4.14,4.29,103800
58,2009-04-07,4.53,4.53,4.29,4.53,48300
59,2009-04-08,4.68,4.68,4.34,4.34,50100
60,2009-04-09,4.63,4.63,4.24,4.34,76200
61,2009-04-10,4.53,4.58,4.48,4.58,117300
62,2009-04-13,4.88,4.88,4.83,4.88,76200
63,2009-04-14,5.13,5.17,4.93,5.17,88200
64,2009-04-15,5.42,5.42,4.78,4.88,122500
65,2009-04-16,5.17,5.17,4.68,4.68,55600
66,2009-04-17,5.03,5.03,4.53,4.83,106300
67,2009-04-20,4.29,4.29,4.29,4.29,21200
68,2009-04-21,3.99,4.24,3.99,4.24,61600
69,2009-04-22,4.19,4.29,4.19,4.29,37200
70,2009-04-23,4.48,4.48,4.14,4.34,19600
71,2009-04-24,4.44,4.48,4.19,4.29,17600
72,2009-04-27,4.44,4.44,4.19,4.19,12200
73,2009-04-28,4.24,4.29,4.14,4.29,10800
74,2009-04-29,4.24,4.39,4.14,4.39,29800
75,2009-05-04,4.58,4.58,4.58,4.58,35100
76,2009-05-05,4.88,4.88,4.58,4.78,161500
77,2009-05-06,4.68,4.68,4.44,4.48,7300
78,2009-05-07,4.58,4.83,4.48,4.53,25800
