,time,open,high,low,close,volume
0,2016-12-20,8.32,8.32,8.32,8.32,1000
1,2016-12-21,9.56,9.56,9.56,9.56,3000
2,2016-12-22,10.96,10.96,10.96,10.96,6900
3,2016-12-23,12.58,12.58,11.12,11.23,7200
4,2016-12-26,12.69,12.69,10.53,10.53,1500
5,2016-12-27,10.15,10.15,10.15,10.15,500
6,2016-12-28,10.15,10.15,10.15,10.15,0
7,2016-12-29,10.15,10.15,10.15,10.15,0
8,2016-12-30,8.64,8.64,8.64,8.64,100
9,2017-01-03,8.64,8.64,8.64,8.64,0
10,2017-01-04,8.64,8.64,8.64,8.64,0
11,2017-01-05,7.34,7.34,7.34,7.34,3700
12,2017-01-06,7.34,7.34,7.34,7.34,0
13,2017-01-09,7.34,7.34,7.34,7.34,0
14,2017-01-10,7.34,7.34,7.34,7.34,0
15,2017-01-11,7.34,7.34,7.34,7.34,0
16,2017-01-12,7.34,7.34,7.34,7.34,0
17,2017-01-13,7.34,7.34,7.34,7.34,0
18,2017-01-16,7.34,7.34,7.34,7.34,0
19,2017-01-17,7.34,7.34,7.34,7.34,0
20,2017-01-18,7.34,7.34,7.34,7.34,0
21,2017-01-19,7.34,7.34,7.34,7.34,0
22,2017-01-20,7.34,7.34,7.34,7.34,0
23,2017-01-23,7.34,7.34,7.34,7.34,0
24,2017-01-24,6.26,6.26,6.26,6.26,200
25,2017-01-25,5.35,5.35,5.35,5.35,200
26,2017-02-02,5.35,5.35,5.35,5.35,0
27,2017-02-03,5.35,5.35,5.35,5.35,0
28,2017-02-06,4.59,4.59,4.59,4.59,100
29,2017-02-07,3.94,3.94,3.94,3.94,100
30,2017-02-08,3.4,3.4,3.4,3.4,4800
31,2017-02-09,3.89,3.89,3.4,3.4,4700
32,2017-02-10,3.89,3.89,3.4,3.4,200
33,2017-02-13,3.51,3.51,3.51,3.51,2000
34,2017-02-14,3.51,3.51,3.51,3.51,100
35,2017-02-15,3.24,4.0,3.24,4.0,2800
36,2017-02-16,3.78,3.78,3.78,3.78,600
37,2017-02-17,4.32,4.32,4.32,4.32,100
38,2017-02-20,4.86,4.97,4.86,4.97,500
39,2017-02-21,4.91,4.91,4.86,4.91,3400
40,2017-02-22,4.91,4.91,4.91,4.91,0
41,2017-02-23,4.21,4.21,4.21,4.21,300
42,2017-02-24,3.62,3.62,3.62,3.62,3000
43,2017-02-27,4.16,4.16,4.16,4.16,500
44,2017-02-28,4.75,4.75,4.75,4.75,200
45,2017-03-01,4.75,4.75,4.75,4.75,0
46,2017-03-02,4.7,4.7,4.59,4.59,6200
47,2017-03-03,4.59,4.59,4.59,4.59,0
48,2017-03-06,4.32,4.32,4.0,4.0,3000
49,2017-03-07,4.64,4.64,4.64,4.64,200
50,2017-03-08,4.64,4.64,4.64,4.64,0
51,2017-03-09,4.05,4.05,4.05,4.05,100
52,2017-03-10,4.59,4.59,4.59,4.59,100
53,2017-03-13,4.59,4.59,4.59,4.59,0
54,2017-03-14,4.91,4.91,4.91,4.91,100
55,2017-03-15,4.91,4.91,4.91,4.91,0
56,2017-03-16,4.91,4.91,4.91,4.91,0
57,2017-03-17,4.91,4.91,4.91,4.91,0
58,2017-03-20,4.91,4.91,4.91,4.91,0
59,2017-03-21,4.91,4.91,4.91,4.91,0
60,2017-03-22,4.21,4.86,4.21,4.86,2000
61,2017-03-23,4.43,4.43,4.43,4.43,0
62,2017-03-24,3.78,4.27,3.78,4.27,800
63,2017-03-27,3.51,4.27,3.51,4.21,1300
64,2017-03-28,4.43,4.43,4.43,4.43,300
65,2017-03-29,4.86,4.86,4.54,4.54,200
66,2017-03-30,4.81,4.81,4.81,4.81,140
67,2017-03-31,4.81,4.81,4.81,4.81,0
68,2017-04-03,4.81,4.81,4.81,4.81,0
69,2017-04-04,4.81,4.81,4.81,4.81,0
70,2017-04-05,4.81,4.81,4.81,4.81,40
71,2017-04-07,4.81,4.81,4.81,4.81,0
72,2017-04-10,4.81,4.81,4.81,4.81,0
73,2017-04-11,4.81,4.81,4.81,4.81,0
74,2017-04-12,4.81,4.81,4.81,4.81,0
75,2017-04-13,4.81,4.81,4.81,4.81,0
76,2017-04-14,4.81,4.81,4.81,4.81,0
77,2017-04-17,4.81,4.81,4.81,4.81,0
78,2017-04-18,4.81,4.81,4.81,4.81,0
79,2017-04-19,4.81,4.81,4.81,4.81,0
80,2017-04-20,4.81,4.81,4.81,4.81,0
81,2017-04-21,4.81,4.81,4.81,4.81,0
82,2017-04-24,4.81,4.81,4.81,4.81,0
83,2017-04-25,4.81,4.81,4.81,4.81,0
84,2017-04-26,4.81,4.81,4.81,4.81,0
85,2017-04-27,4.32,4.81,4.1,4.1,1300
86,2017-04-28,4.75,4.75,3.73,3.73,5700
87,2017-05-03,4.0,4.0,4.0,4.0,0
88,2017-05-04,3.78,3.78,3.78,3.78,500
89,2017-05-05,3.78,3.78,3.78,3.78,0
90,2017-05-08,4.27,4.27,4.27,4.27,500
91,2017-05-09,3.67,3.67,3.67,3.67,8300
92,2017-05-10,4.16,4.16,4.16,4.16,500
93,2017-05-11,4.16,4.16,4.16,4.16,0
94,2017-05-12,4.16,4.16,4.16,4.16,0
95,2017-05-15,4.16,4.16,4.16,4.16,0
96,2017-05-16,3.78,3.78,3.78,3.78,500
97,2017-05-17,4.27,4.27,3.24,3.24,300
98,2017-05-18,3.78,3.78,3.51,3.51,1400
99,2017-05-19,3.08,3.62,3.08,3.62,1800
100,2017-05-22,3.62,3.62,3.62,3.62,300
101,2017-05-23,4.1,4.1,4.1,4.1,200
102,2017-05-24,4.1,4.1,4.1,4.1,0
103,2017-05-25,4.1,4.1,4.1,4.1,0
104,2017-05-26,4.1,4.1,4.1,4.1,0
105,2017-05-29,4.1,4.1,4.1,4.1,0
106,2017-05-30,4.1,4.59,4.1,4.59,1600
107,2017-05-31,3.67,4.59,3.67,4.54,2000
108,2017-06-01,4.27,4.27,4.27,4.27,0
109,2017-06-02,4.27,4.27,4.27,4.27,0
110,2017-06-05,4.27,4.27,4.27,4.27,0
111,2017-06-06,4.27,4.27,4.27,4.27,0
112,2017-06-07,4.27,4.27,4.27,4.27,0
113,2017-06-08,4.27,4.27,4.27,4.27,0
114,2017-06-09,4.27,4.27,4.27,4.27,0
115,2017-06-12,4.27,4.27,4.27,4.27,0
116,2017-06-13,4.27,4.27,4.27,4.27,0
117,2017-06-14,4.27,4.27,4.27,4.27,0
118,2017-06-15,4.27,4.27,4.27,4.27,0
119,2017-06-16,4.27,4.27,4.27,4.27,0
120,2017-06-19,4.27,4.27,4.27,4.27,0
121,2017-06-20,4.27,4.27,4.27,4.27,0
122,2017-06-21,4.27,4.27,4.27,4.27,0
123,2017-06-22,4.27,4.27,4.27,4.27,0
124,2017-06-23,4.27,4.27,4.27,4.27,0
125,2017-06-26,4.27,4.27,4.27,4.27,0
126,2017-06-27,4.27,4.27,4.27,4.27,0
127,2017-06-28,4.27,4.27,4.27,4.27,0
128,2017-06-29,4.1,4.86,4.1,4.81,2000
129,2017-06-30,4.86,4.86,4.86,4.86,500
130,2017-07-03,4.86,4.86,4.86,4.86,0
131,2017-07-04,4.86,4.86,4.86,4.86,0
132,2017-07-05,4.86,4.86,4.86,4.86,0
133,2017-07-06,4.86,4.86,4.86,4.86,0
134,2017-07-07,4.86,4.86,4.86,4.86,0
135,2017-07-10,4.86,4.86,4.86,4.86,0
136,2017-07-11,4.86,4.86,4.86,4.86,0
137,2017-07-12,4.86,4.86,4.86,4.86,0
138,2017-07-13,4.86,4.86,4.86,4.86,0
139,2017-07-14,4.86,4.86,4.86,4.86,0
140,2017-07-17,4.86,4.86,4.86,4.86,0
141,2017-07-18,4.86,4.86,4.86,4.86,0
142,2017-07-19,4.86,4.86,4.86,4.86,0
143,2017-07-20,4.86,4.86,4.86,4.86,0
144,2017-07-21,4.86,4.86,4.86,4.86,0
145,2017-07-24,4.86,4.86,4.86,4.86,0
146,2017-07-25,4.86,4.86,4.86,4.86,0
147,2017-07-26,4.86,4.86,4.86,4.86,0
148,2017-07-27,4.86,4.86,4.86,4.86,0
149,2017-07-28,4.16,4.16,4.16,4.16,100
150,2017-07-31,3.56,4.32,3.56,4.32,1400
151,2017-08-01,3.46,3.46,3.46,3.46,800
152,2017-08-02,3.94,3.94,3.94,3.94,100
153,2017-08-03,4.43,4.43,4.43,4.43,300
154,2017-08-04,4.43,4.43,4.43,4.43,0
155,2017-08-07,4.43,4.43,4.43,4.43,0
156,2017-08-08,4.43,4.43,4.43,4.43,0
157,2017-08-09,4.43,4.43,4.43,4.43,0
158,2017-08-10,4.43,4.43,4.43,4.43,0
159,2017-08-11,4.43,4.43,4.43,4.43,0
160,2017-08-14,4.43,4.43,4.43,4.43,0
161,2017-08-15,4.43,4.43,4.43,4.43,0
162,2017-08-16,3.78,3.78,3.78,3.78,100
163,2017-08-17,3.24,4.16,3.24,4.16,2900
164,2017-08-18,2.81,3.73,2.81,2.81,700
165,2017-08-21,2.75,3.46,2.75,3.46,1300
166,2017-08-22,2.81,2.81,2.81,2.81,3200
167,2017-08-23,2.81,2.81,2.81,2.81,0
168,2017-08-24,2.43,3.13,2.43,2.43,700
169,2017-08-25,3.08,3.08,2.43,2.43,200
170,2017-08-28,3.08,3.13,3.08,3.13,1500
171,2017-08-29,2.7,3.46,2.7,3.46,300
172,2017-08-30,3.46,3.46,3.46,3.46,200
173,2017-08-31,3.46,3.46,3.46,3.46,0
174,2017-09-01,3.46,3.46,3.46,3.46,0
175,2017-09-05,3.46,3.46,3.46,3.46,0
176,2017-09-06,3.46,3.46,3.46,3.46,0
177,2017-09-07,3.46,3.46,3.46,3.46,0
178,2017-09-08,3.46,3.46,3.46,3.46,0
179,2017-09-11,3.46,3.46,3.46,3.46,0
180,2017-09-12,3.46,3.46,3.46,3.46,0
181,2017-09-13,3.46,3.46,3.46,3.46,0
182,2017-09-14,3.46,3.46,3.46,3.46,0
183,2017-09-15,3.46,3.46,3.46,3.46,0
184,2017-09-18,3.46,3.46,3.46,3.46,0
185,2017-09-19,3.46,3.46,3.46,3.46,0
186,2017-09-20,3.46,3.46,3.46,3.46,0
187,2017-09-21,3.46,3.46,3.46,3.46,0
188,2017-09-22,3.46,3.46,3.46,3.46,0
189,2017-09-25,2.97,2.97,2.97,2.97,2600
190,2017-09-26,2.54,2.54,2.54,2.54,1000
191,2017-09-27,2.54,2.54,2.54,2.54,0
192,2017-09-28,2.54,2.54,2.54,2.54,0
193,2017-09-29,2.81,2.81,2.81,2.81,100
194,2017-10-02,2.92,2.92,2.92,2.92,200
195,2017-10-03,2.92,2.92,2.92,2.92,0
196,2017-10-04,2.92,2.92,2.92,2.92,0
197,2017-10-05,2.48,2.54,2.48,2.54,300
198,2017-10-06,2.65,2.65,2.65,2.65,500
199,2017-10-09,2.27,2.27,2.27,2.27,2000
200,2017-10-10,2.59,2.59,2.59,2.59,100
201,2017-10-11,2.59,2.59,2.59,2.59,0
202,2017-10-12,2.43,2.43,2.43,2.43,100
203,2017-10-13,2.43,2.43,2.43,2.43,0
204,2017-10-16,2.43,2.43,2.43,2.43,0
205,2017-10-17,2.43,2.43,2.43,2.43,0
206,2017-10-18,2.43,2.43,2.43,2.43,0
207,2017-10-19,2.43,2.43,2.43,2.43,0
208,2017-10-20,2.43,2.43,2.43,2.43,0
209,2017-10-23,2.7,2.7,2.7,2.7,100
210,2017-10-24,2.7,2.7,2.7,2.7,60
211,2017-10-25,2.32,2.32,2.32,2.32,1900
212,2017-10-26,2.32,2.32,2.32,2.32,0
213,2017-10-27,2.32,2.32,2.32,2.32,0
214,2017-10-30,2.32,2.32,2.32,2.32,0
215,2017-10-31,2.32,2.32,2.32,2.32,0
216,2017-11-01,2.32,2.32,2.32,2.32,0
217,2017-11-02,2.32,2.32,2.32,2.32,0
218,2017-11-03,2.32,2.32,2.32,2.32,0
219,2017-11-06,2.21,2.21,2.21,2.21,1000
220,2017-11-07,2.21,2.21,2.21,2.21,0
221,2017-11-08,2.32,2.32,2.32,2.32,900
222,2017-11-09,2.32,2.32,2.32,2.32,0
223,2017-11-10,2.65,2.65,2.65,2.65,1100
224,2017-11-13,2.65,2.65,2.65,2.65,0
225,2017-11-14,2.65,2.65,2.65,2.65,0
226,2017-11-15,3.02,3.02,3.02,3.02,100
227,2017-11-16,3.35,3.35,3.35,3.35,100
228,2017-11-17,3.24,3.24,3.24,3.24,1000
229,2017-11-20,3.24,3.24,3.24,3.24,0
230,2017-11-21,3.24,3.24,3.24,3.24,0
231,2017-11-22,2.97,2.97,2.97,2.97,100
232,2017-11-23,2.97,2.97,2.97,2.97,0
233,2017-11-24,2.97,2.97,2.97,2.97,0
234,2017-11-27,2.54,3.35,2.54,3.35,600
235,2017-11-28,3.08,3.08,3.08,3.08,0
236,2017-11-29,3.08,3.08,3.08,3.08,0
237,2017-11-30,3.08,3.08,3.08,3.08,0
238,2017-12-01,3.08,3.08,3.08,3.08,0
239,2017-12-04,3.08,3.08,3.08,3.08,0
240,2017-12-05,3.08,3.08,3.08,3.08,0
241,2017-12-06,3.08,3.08,3.08,3.08,0
242,2017-12-07,3.08,3.08,3.08,3.08,0
243,2017-12-08,3.08,3.08,3.08,3.08,0
244,2017-12-11,3.08,3.08,3.08,3.08,0
