,time,open,high,low,close,volume
0,2009-08-19,18.36,18.36,15.41,17.7,5162900
1,2009-08-20,17.44,17.44,17.44,17.44,147800
2,2009-08-21,18.62,18.62,18.62,18.62,151600
3,2009-08-24,19.87,19.87,19.34,19.87,3780600
4,2009-08-25,19.67,20.66,19.08,19.48,2284400
5,2009-08-26,19.87,19.87,19.02,19.41,1767800
6,2009-08-27,19.67,19.67,19.02,19.15,1227500
7,2009-08-28,19.21,20.52,19.21,20.52,2545200
8,2009-08-31,21.44,21.57,20.66,21.57,1516000
9,2009-09-01,22.62,22.62,20.98,21.25,1179700
10,2009-09-03,20.98,20.98,19.93,20.26,1364600
11,2009-09-04,20.26,20.85,19.54,19.93,1351400
12,2009-09-07,19.61,19.93,18.75,19.54,876500
13,2009-09-08,19.41,20.13,19.41,19.8,630300
14,2009-09-09,20.0,20.0,19.48,19.54,443200
15,2009-09-10,19.67,19.67,19.28,19.34,456300
16,2009-09-11,19.02,19.67,19.02,19.67,764500
17,2009-09-14,19.34,20.33,19.28,19.67,695700
18,2009-09-15,19.74,19.8,19.21,19.41,462200
19,2009-09-16,19.34,19.93,19.21,19.41,677300
20,2009-09-17,19.61,19.8,19.08,19.28,468600
21,2009-09-18,19.21,19.34,19.02,19.21,591900
22,2009-09-21,19.41,19.41,18.95,19.21,827600
23,2009-09-22,19.15,19.15,18.75,18.82,826900
24,2009-09-23,19.02,20.2,18.89,19.48,1851000
25,2009-09-24,19.48,19.67,19.02,19.21,379300
26,2009-09-25,19.02,19.21,18.95,19.15,495700
27,2009-09-28,19.02,19.48,18.82,18.89,647600
28,2009-09-29,19.28,19.28,18.69,18.75,573900
29,2009-09-30,18.82,18.82,18.29,18.43,613400
30,2009-10-01,18.36,18.43,17.57,17.77,620200
31,2009-10-02,17.38,17.38,16.59,17.25,680100
32,2009-10-05,16.39,17.9,16.39,17.9,895400
33,2009-10-06,18.95,18.95,18.56,18.95,569100
34,2009-10-07,20.2,20.2,18.36,18.62,524200
35,2009-10-08,18.49,18.49,17.84,18.29,565400
36,2009-10-09,18.36,19.02,18.16,18.62,822100
37,2009-10-12,19.15,19.21,18.62,18.75,753000
38,2009-10-13,18.75,18.82,17.97,18.1,519300
39,2009-10-14,18.36,18.69,17.84,18.62,602300
40,2009-10-15,19.02,19.28,18.56,18.82,815400
41,2009-10-16,19.02,19.02,18.23,18.36,711200
42,2009-10-19,18.36,19.8,18.03,19.8,2620500
43,2009-10-20,21.05,21.05,21.05,21.05,579100
44,2009-10-21,22.49,22.49,22.49,22.49,661800
45,2009-10-22,24.07,24.07,22.56,24.07,5248300
46,2009-10-23,25.31,25.31,24.07,25.31,3264000
47,2009-10-26,26.95,26.95,25.25,26.56,2786900
48,2009-10-27,25.9,25.9,24.79,24.79,307300
49,2009-10-28,23.15,23.15,23.15,23.15,140800
50,2009-10-29,21.57,21.57,21.57,21.57,49400
51,2009-10-30,20.07,22.62,20.07,20.98,2323500
52,2009-11-02,19.67,20.66,19.34,19.41,1354500
53,2009-11-03,19.48,20.79,19.48,20.79,1837300
54,2009-11-04,21.97,22.1,21.64,22.1,1294200
55,2009-11-05,22.29,22.95,20.66,21.64,1060700
56,2009-11-06,23.41,23.41,20.66,20.98,1146300
57,2009-11-09,20.98,20.98,20.13,20.13,314500
58,2009-11-10,20.33,20.39,18.95,19.02,1050000
59,2009-11-11,19.67,20.46,18.36,19.87,894500
60,2009-11-12,20.52,20.59,19.8,20.26,611200
61,2009-11-13,19.67,20.26,19.48,19.87,502100
62,2009-11-16,19.87,20.26,19.34,19.48,585500
63,2009-11-17,19.74,20.92,19.74,20.92,1943300
64,2009-11-18,22.23,22.23,20.33,20.85,961300
65,2009-11-19,20.98,21.11,20.52,20.66,844900
66,2009-11-20,20.33,21.64,19.34,20.52,1446300
67,2009-11-23,20.33,20.46,19.34,19.54,1008200
68,2009-11-24,19.67,19.67,18.43,18.69,665700
69,2009-11-25,18.69,18.89,17.51,17.51,691400
70,2009-11-26,16.52,17.05,16.52,16.52,1679400
71,2009-11-27,15.54,17.64,15.41,16.39,1583300
72,2009-11-30,17.05,17.51,17.05,17.51,445400
73,2009-12-01,18.36,18.62,17.77,18.62,575100
74,2009-12-02,18.69,18.69,17.31,17.44,792800
75,2009-12-03,17.05,17.7,16.52,17.25,773500
76,2009-12-04,17.57,17.7,16.79,17.57,757300
77,2009-12-07,17.31,17.7,17.25,17.64,783700
78,2009-12-08,17.7,17.84,16.72,17.11,424600
79,2009-12-09,17.05,17.05,16.2,16.2,627400
80,2009-12-10,16.26,16.52,15.21,15.41,372700
81,2009-12-11,15.8,16.07,14.69,14.69,414400
82,2009-12-14,14.1,15.41,14.1,15.28,527900
83,2009-12-15,15.54,15.67,14.43,14.75,474000
84,2009-12-16,14.56,14.95,13.97,13.97,625500
85,2009-12-17,13.51,14.43,13.11,14.43,728200
86,2009-12-18,14.16,14.49,14.1,14.49,268500
87,2009-12-21,15.41,15.41,14.75,15.41,439000
88,2009-12-22,16.39,16.39,15.41,15.54,819300
89,2009-12-23,15.41,16.39,14.82,16.2,827000
90,2009-12-24,16.0,16.92,15.74,16.92,1399900
91,2009-12-25,17.05,17.25,16.52,16.98,1951200
92,2009-12-28,17.05,17.05,16.26,16.52,932000
93,2009-12-29,16.72,16.72,15.93,16.0,608700
94,2009-12-30,16.26,16.52,16.0,16.39,1020600
95,2009-12-31,16.52,17.18,16.07,16.39,1475500
96,2010-01-04,16.72,17.77,16.66,17.77,7875800
97,2010-01-05,18.89,18.89,18.69,18.89,4431900
98,2010-01-06,20.0,20.2,18.43,18.75,4153800
