,time,open,high,low,close,volume
0,2010-06-21,16.23,18.39,16.23,18.33,1478250
1,2010-06-22,18.39,19.21,18.14,19.21,1570740
2,2010-06-23,20.17,20.17,19.98,20.17,1033400
3,2010-06-24,21.12,21.12,20.99,21.12,1115720
4,2010-06-25,20.93,22.13,20.29,21.31,1358250
5,2010-06-28,21.24,21.31,20.61,20.67,893030
6,2010-06-29,20.67,21.56,20.67,20.93,992320
7,2010-06-30,20.36,20.61,20.17,20.23,658390
8,2010-07-01,20.29,20.29,19.41,19.41,533300
9,2010-07-02,19.66,19.91,19.28,19.6,525430
10,2010-07-05,20.1,20.55,20.1,20.55,877300
11,2010-07-06,21.37,21.43,20.29,20.29,1672660
12,2010-07-07,20.93,20.93,19.6,19.91,549060
13,2010-07-08,20.36,20.48,19.28,19.66,686650
14,2010-07-09,19.53,19.79,19.09,19.09,526640
15,2010-07-12,19.15,19.6,19.15,19.53,416110
16,2010-07-13,19.98,20.29,19.53,19.98,412610
17,2010-07-14,19.98,20.23,19.34,19.34,381900
18,2010-07-15,19.53,19.91,19.34,19.34,734300
19,2010-07-16,19.02,19.34,18.96,19.28,387530
20,2010-07-19,19.02,19.34,18.9,19.02,292080
21,2010-07-20,19.21,19.21,18.83,18.83,292280
22,2010-07-21,19.47,19.47,18.9,18.96,562720
23,2010-07-22,18.96,18.96,18.2,18.33,480860
24,2010-07-23,18.39,18.77,17.88,18.77,653480
25,2010-07-26,19.28,19.53,19.02,19.28,1217400
26,2010-07-27,19.21,19.53,18.9,19.34,445940
27,2010-07-28,19.41,19.41,18.52,18.52,322430
28,2010-07-29,18.07,18.83,18.07,18.64,314280
29,2010-07-30,18.96,19.21,18.9,18.96,754010
30,2010-08-02,19.09,19.09,18.07,18.58,490040
31,2010-08-03,18.52,18.77,18.33,18.39,331030
32,2010-08-04,18.01,18.45,17.5,17.5,735560
33,2010-08-05,17.69,17.69,16.87,16.87,188400
34,2010-08-06,16.87,17.12,16.36,16.36,143910
35,2010-08-09,16.04,16.49,15.6,15.6,512600
36,2010-08-10,14.97,15.09,14.84,14.84,168880
37,2010-08-11,14.59,15.16,14.14,14.21,322830
38,2010-08-12,13.57,13.57,13.51,13.51,157810
39,2010-08-13,12.94,14.14,12.87,13.76,467940
40,2010-08-16,14.4,14.4,13.95,14.4,113530
41,2010-08-17,15.03,15.09,14.4,15.09,607180
42,2010-08-18,15.22,15.79,14.52,15.09,684000
43,2010-08-19,15.03,15.22,14.4,14.59,176600
44,2010-08-20,14.84,15.28,13.89,15.28,331890
45,2010-08-23,14.65,14.65,14.52,14.52,159670
46,2010-08-24,13.95,13.95,13.82,13.82,443310
47,2010-08-25,13.32,13.38,13.19,13.19,323500
48,2010-08-26,13.19,13.44,12.56,12.62,192670
49,2010-08-27,12.18,12.81,12.05,12.62,208980
50,2010-08-30,13.19,13.19,13.19,13.19,51330
51,2010-08-31,13.82,13.82,13.63,13.82,175730
52,2010-09-01,14.46,14.46,14.33,14.46,720170
53,2010-09-06,15.16,15.16,15.09,15.16,993570
54,2010-09-07,15.47,15.85,15.16,15.85,884040
55,2010-09-08,15.85,16.17,15.22,15.85,491890
56,2010-09-09,16.49,16.49,15.6,15.85,489670
57,2010-09-10,15.54,15.92,15.09,15.09,593410
58,2010-09-13,14.46,15.66,14.4,14.4,580980
59,2010-09-14,14.4,14.59,13.95,14.33,216020
60,2010-09-15,13.76,14.46,13.63,13.76,174660
61,2010-09-16,14.08,14.33,13.38,14.01,237410
62,2010-09-17,14.59,14.71,14.46,14.71,500290
63,2010-09-20,15.41,15.41,14.9,14.97,234000
64,2010-09-21,14.4,14.97,14.4,14.46,170500
65,2010-09-22,14.33,14.59,14.14,14.33,204720
66,2010-09-23,13.95,14.4,13.7,13.95,191510
67,2010-09-24,14.27,14.27,13.89,14.01,133960
68,2010-09-27,13.76,14.27,13.7,13.76,67090
69,2010-09-28,14.33,14.33,13.82,13.89,71060
70,2010-09-29,13.76,14.08,13.44,13.51,127010
71,2010-09-30,13.19,13.76,13.13,13.32,158070
72,2010-10-01,13.63,13.63,13.06,13.13,103280
73,2010-10-04,12.49,12.87,12.49,12.49,367690
74,2010-10-05,12.11,13.0,11.99,13.0,250200
75,2010-10-06,13.19,13.51,12.75,13.19,228760
76,2010-10-07,13.19,13.25,12.68,12.68,123800
77,2010-10-08,12.49,13.0,12.37,12.49,164710
78,2010-10-11,12.3,12.68,12.24,12.3,62520
79,2010-10-12,11.8,12.37,11.8,11.8,259370
80,2010-10-13,11.99,12.11,11.54,11.99,130930
81,2010-10-14,12.18,12.18,11.86,11.86,125450
82,2010-10-15,11.99,11.99,11.61,11.67,90600
83,2010-10-18,11.48,11.73,11.41,11.48,41560
84,2010-10-19,11.86,11.86,10.97,11.03,134730
85,2010-10-20,10.65,10.65,10.53,10.53,226270
86,2010-10-21,10.27,10.65,10.27,10.4,133790
87,2010-10-22,10.72,10.72,9.96,9.96,123480
88,2010-10-25,9.77,10.4,9.77,10.4,180810
89,2010-10-26,10.91,10.91,10.78,10.91,235200
90,2010-10-27,11.1,11.1,10.53,10.78,159210
91,2010-10-28,10.46,10.78,10.46,10.53,84880
92,2010-10-29,10.59,10.72,10.46,10.59,97080
93,2010-11-01,10.21,10.65,10.15,10.21,47920
94,2010-11-02,10.21,10.21,9.83,9.89,53550
95,2010-11-03,9.7,9.83,9.58,9.7,45050
96,2010-11-04,10.08,10.08,9.64,9.64,48300
97,2010-11-05,10.08,10.08,9.77,10.08,112200
98,2010-11-08,10.34,10.34,9.96,10.08,68300
99,2010-11-09,10.15,10.15,9.64,9.77,167230
100,2010-11-10,9.96,9.96,9.58,9.7,56900
101,2010-11-11,9.45,9.77,9.45,9.45,82180
102,2010-11-12,9.26,9.45,9.0,9.07,133450
103,2010-11-15,9.39,9.39,8.62,8.62,122370
104,2010-11-16,8.5,8.62,8.24,8.31,119600
105,2010-11-17,8.62,8.69,8.43,8.62,131230
106,2010-11-18,8.88,9.0,8.81,9.0,96710
107,2010-11-19,9.39,9.39,8.88,9.0,52710
108,2010-11-22,8.75,8.88,8.62,8.75,74150
