,time,open,high,low,close,volume
0,2010-06-02,7.9,7.9,7.9,7.9,61040
1,2010-06-03,7.53,8.27,7.53,8.27,1312280
2,2010-06-04,8.27,8.27,7.9,8.03,136280
3,2010-06-07,7.63,7.69,7.63,7.63,108550
4,2010-06-08,7.26,7.32,7.26,7.29,123920
5,2010-06-09,7.29,7.29,6.95,6.95,268310
6,2010-06-10,6.64,6.88,6.64,6.64,235910
7,2010-06-11,6.95,6.95,6.79,6.95,294660
8,2010-06-14,7.29,7.29,7.26,7.26,455630
9,2010-06-15,7.16,7.19,6.95,7.1,203160
10,2010-06-16,7.22,7.26,7.07,7.07,177150
11,2010-06-17,7.04,7.07,6.92,7.01,187510
12,2010-06-18,7.01,7.1,6.95,6.95,201580
13,2010-06-21,7.1,7.1,6.88,6.88,104610
14,2010-06-22,6.82,6.95,6.73,6.73,193210
15,2010-06-23,6.73,7.04,6.73,7.04,515940
16,2010-06-24,7.35,7.35,7.04,7.1,348690
17,2010-06-25,6.79,7.01,6.79,6.82,123090
18,2010-06-28,7.13,7.13,6.88,7.04,308930
19,2010-06-29,7.07,7.07,6.82,6.82,237760
20,2010-06-30,6.64,6.67,6.51,6.58,211810
21,2010-07-01,6.58,6.67,6.45,6.58,97740
22,2010-07-02,6.58,6.79,6.55,6.79,175660
23,2010-07-05,6.79,6.82,6.76,6.76,117370
24,2010-07-06,6.76,6.76,6.48,6.61,107120
25,2010-07-07,6.61,6.73,6.55,6.58,130130
26,2010-07-08,6.58,6.67,6.3,6.3,224990
27,2010-07-09,6.3,6.48,6.27,6.33,261090
28,2010-07-12,6.51,6.51,6.36,6.42,131650
29,2010-07-13,6.61,6.73,6.51,6.73,247540
30,2010-07-14,7.01,7.01,6.67,6.76,220270
31,2010-07-15,6.7,6.73,6.61,6.67,134110
32,2010-07-16,6.64,6.67,6.48,6.48,145680
33,2010-07-19,6.39,6.48,6.39,6.39,87720
34,2010-07-20,6.36,6.55,6.36,6.55,229000
35,2010-07-21,6.55,6.61,6.45,6.45,223700
36,2010-07-22,6.33,6.61,6.33,6.42,244850
37,2010-07-23,6.42,6.58,6.42,6.58,513510
38,2010-07-26,6.64,6.88,6.64,6.76,479780
39,2010-07-27,6.73,6.82,6.7,6.73,260490
40,2010-07-28,6.7,6.85,6.7,6.79,609070
41,2010-07-29,6.76,6.82,6.7,6.76,255340
42,2010-07-30,6.76,6.95,6.76,6.92,479980
43,2010-08-02,6.92,7.26,6.92,7.1,693970
44,2010-08-03,7.1,7.19,7.1,7.13,315450
45,2010-08-04,7.19,7.44,7.1,7.41,728130
46,2010-08-05,7.53,7.66,7.44,7.47,431660
47,2010-08-06,7.44,7.44,7.1,7.1,349900
48,2010-08-09,7.16,7.16,6.88,6.95,404400
49,2010-08-10,6.82,6.85,6.61,6.61,348480
50,2010-08-11,6.48,6.79,6.3,6.48,198200
51,2010-08-12,6.36,6.61,6.17,6.17,192500
52,2010-08-13,5.9,6.17,5.9,6.17,185610
53,2010-08-16,6.27,6.48,6.27,6.45,132510
54,2010-08-17,6.58,6.58,6.39,6.45,60240
55,2010-08-18,6.17,6.33,6.14,6.14,203610
56,2010-08-19,5.93,6.17,5.87,5.96,107190
57,2010-08-20,5.99,6.02,5.68,5.87,140370
58,2010-08-23,5.99,5.99,5.62,5.62,67170
59,2010-08-24,5.56,5.68,5.34,5.34,283820
