,time,open,high,low,close,volume
0,2010-04-22,10.24,10.83,9.94,10.38,12100
1,2010-04-26,10.38,10.38,10.38,10.38,0
2,2010-04-27,9.63,9.63,9.63,9.63,500
3,2010-04-28,9.63,9.63,9.63,9.63,100
4,2010-04-29,8.96,8.96,8.96,8.96,900
5,2010-05-04,9.05,9.12,8.37,9.12,4900
6,2010-05-05,8.9,8.9,8.63,8.9,4200
7,2010-05-06,9.35,9.45,8.9,8.9,1900
8,2010-05-07,8.75,8.96,8.75,8.9,3600
9,2010-05-10,8.25,8.89,8.25,8.89,1000
10,2010-05-11,8.89,8.89,8.16,8.16,7200
11,2010-05-12,7.61,7.61,7.61,7.61,4000
12,2010-05-13,7.12,7.12,7.12,7.12,4000
13,2010-05-14,7.42,7.42,7.42,7.42,600
14,2010-05-17,6.9,7.34,6.9,6.91,5700
15,2010-05-18,7.42,7.42,7.27,7.27,200
16,2010-05-19,7.12,7.12,6.84,6.84,2500
17,2010-05-20,6.84,6.84,6.84,6.84,0
18,2010-05-21,7.08,7.08,6.97,6.97,300
19,2010-05-24,6.78,6.78,6.78,6.78,200
20,2010-05-25,6.78,6.78,6.78,6.78,0
21,2010-05-26,7.12,7.24,7.12,7.24,500
22,2010-05-27,7.24,7.24,7.24,7.24,0
23,2010-05-28,7.21,7.21,6.97,6.97,1000
24,2010-05-31,6.68,6.91,6.6,6.91,400
25,2010-06-01,7.05,7.05,7.05,7.05,200
26,2010-06-02,7.05,7.05,7.05,7.05,0
27,2010-06-03,7.12,7.12,6.97,6.97,2300
28,2010-06-04,6.97,6.97,6.97,6.97,300
29,2010-06-07,6.9,6.9,6.9,6.9,300
30,2010-06-08,6.9,6.9,6.9,6.9,0
31,2010-06-09,6.97,6.97,6.6,6.6,600
32,2010-06-10,6.2,6.23,6.2,6.23,1000
33,2010-06-11,6.16,6.27,6.16,6.27,1900
34,2010-06-14,5.76,5.93,5.76,5.93,600
35,2010-06-15,5.49,6.19,5.49,5.93,2500
36,2010-06-16,6.08,6.36,6.02,6.36,3500
37,2010-06-17,5.74,6.08,5.74,6.08,1900
38,2010-06-18,6.08,6.27,6.08,6.27,9200
39,2010-06-21,6.48,6.48,6.16,6.16,300
40,2010-06-22,6.6,6.6,6.53,6.53,300
41,2010-06-23,6.6,6.6,6.6,6.6,100
42,2010-06-24,6.23,6.23,6.23,6.23,1700
43,2010-06-25,6.23,6.23,6.23,6.23,200
44,2010-06-28,6.23,6.23,6.05,6.05,2000
45,2010-06-29,6.08,6.08,6.08,6.08,6200
46,2010-06-30,6.08,6.08,5.71,5.71,1500
47,2010-07-01,5.71,5.71,5.71,5.71,0
48,2010-07-02,6.04,6.04,5.83,5.93,1600
49,2010-07-05,6.01,6.08,6.01,6.08,10300
50,2010-07-06,6.23,6.23,6.07,6.07,1100
51,2010-07-07,6.08,6.08,6.08,6.08,100
52,2010-07-08,6.08,6.08,6.08,6.08,0
53,2010-07-09,5.93,5.93,5.93,5.93,200
54,2010-07-12,6.08,6.08,6.08,6.08,400
55,2010-07-13,6.3,6.3,6.25,6.25,1700
56,2010-07-14,6.25,6.25,6.25,6.25,0
57,2010-07-15,6.26,6.26,6.26,6.26,100
58,2010-07-16,6.26,6.26,6.26,6.26,0
59,2010-07-19,6.23,6.23,6.23,6.23,200
60,2010-07-20,6.08,6.08,6.08,6.08,1000
61,2010-07-21,6.08,6.08,6.08,6.08,0
62,2010-07-22,6.08,6.08,6.08,6.08,0
63,2010-07-23,6.08,6.08,6.08,6.08,4600
64,2010-07-26,6.08,6.08,6.08,6.08,1000
65,2010-07-27,5.93,5.93,5.93,5.93,700
66,2010-07-28,5.93,5.93,5.93,5.93,900
67,2010-07-29,5.93,5.93,5.93,5.93,2600
68,2010-07-30,5.93,5.93,5.93,5.93,500
69,2010-08-02,6.01,6.01,5.93,5.93,2100
70,2010-08-03,5.93,5.93,5.93,5.93,0
71,2010-08-04,6.01,6.01,5.93,6.01,3500
72,2010-08-05,6.01,6.23,5.93,6.16,7000
73,2010-08-06,6.16,6.16,6.11,6.11,3400
74,2010-08-09,6.17,6.56,5.93,5.93,3800
75,2010-08-10,5.93,5.93,5.87,5.87,1300
76,2010-08-11,8.81,8.81,8.81,8.81,0
77,2010-08-12,8.81,8.81,8.81,8.81,0
78,2010-08-13,8.81,8.81,8.81,8.81,0
79,2010-08-16,5.92,5.92,5.92,5.92,500
80,2010-08-17,5.92,5.92,5.92,5.92,0
81,2010-08-18,5.92,5.92,5.92,5.92,0
82,2010-08-19,5.92,5.92,5.92,5.92,0
83,2010-08-20,5.92,5.92,5.92,5.92,0
84,2010-08-23,5.92,5.92,5.92,5.92,0
85,2010-08-24,5.52,5.52,5.52,5.52,2000
86,2010-08-25,5.52,5.52,5.52,5.52,0
87,2010-08-26,5.52,5.52,5.52,5.52,0
88,2010-08-27,5.52,5.52,5.52,5.52,0
89,2010-08-30,5.56,5.56,5.34,5.34,1100
90,2010-08-31,5.12,5.34,5.12,5.12,3400
91,2010-09-01,4.94,4.94,4.9,4.9,5300
92,2010-09-06,4.9,5.12,4.9,5.12,1900
93,2010-09-07,5.07,5.07,5.07,5.07,100
94,2010-09-08,5.01,5.01,4.78,4.78,3300
95,2010-09-09,4.78,4.78,4.78,4.78,0
96,2010-09-10,4.67,4.67,4.56,4.56,8100
97,2010-09-13,4.56,4.56,4.56,4.56,0
98,2010-09-14,4.56,4.56,4.56,4.56,0
99,2010-09-15,4.34,4.36,4.34,4.34,700
100,2010-09-16,4.34,4.34,4.34,4.34,1800
101,2010-09-17,4.63,4.63,4.63,4.63,200
102,2010-09-20,4.45,4.45,4.45,4.45,1000
103,2010-09-21,4.45,4.49,4.45,4.49,3700
104,2010-09-22,4.16,4.23,4.16,4.23,3000
105,2010-09-23,4.23,4.23,4.12,4.12,4000
106,2010-09-24,4.18,4.18,4.18,4.18,3200
107,2010-09-27,4.23,4.47,4.18,4.47,6900
108,2010-09-28,4.65,4.65,4.65,4.65,7000
109,2010-09-29,4.96,4.96,4.94,4.96,3600
110,2010-09-30,5.3,5.3,5.01,5.3,13300
111,2010-10-01,5.3,5.3,5.3,5.3,0
112,2010-10-04,4.92,4.92,4.92,4.92,1000
113,2010-10-05,4.58,4.58,4.58,4.58,3000
114,2010-10-06,4.27,4.27,4.27,4.27,200
115,2010-10-07,4.34,4.56,4.34,4.56,1600
116,2010-10-08,4.67,4.67,4.43,4.43,3200
117,2010-10-11,4.87,4.87,4.87,4.87,1000
118,2010-10-12,5.12,5.12,5.12,5.12,500
119,2010-10-13,5.12,5.12,4.76,4.76,1700
120,2010-10-14,5.12,5.12,4.56,4.56,1400
121,2010-10-15,4.41,4.41,4.41,4.41,2200
122,2010-10-18,4.41,4.41,4.23,4.23,4300
123,2010-10-19,4.01,4.01,4.01,4.01,100
124,2010-10-20,3.78,3.78,3.78,3.78,2000
125,2010-10-21,3.56,3.56,3.56,3.56,500
126,2010-10-22,3.6,3.6,3.34,3.36,7300
127,2010-10-25,3.38,3.4,3.38,3.4,2000
128,2010-10-26,3.63,3.63,3.63,3.63,100
129,2010-10-27,3.67,3.67,3.67,3.67,1000
130,2010-10-28,3.45,3.56,3.45,3.56,1100
131,2010-10-29,3.45,3.45,3.23,3.23,1000
132,2010-11-01,3.18,3.27,3.18,3.27,1400
133,2010-11-02,3.0,3.0,3.0,3.0,1000
134,2010-11-03,2.83,3.03,2.83,3.03,1100
135,2010-11-04,3.07,3.09,3.07,3.09,500
136,2010-11-05,3.14,3.27,3.14,3.27,5800
137,2010-11-08,3.2,3.2,3.2,3.2,1000
138,2010-11-09,2.98,3.34,2.98,3.29,2500
