,time,open,high,low,close,volume
0,2008-01-17,29.89,29.89,22.41,26.4,95600
1,2008-01-18,26.4,27.39,26.4,26.9,70500
2,2008-01-21,27.89,27.89,25.45,26.75,37700
3,2008-01-22,25.4,25.9,24.9,25.4,87800
4,2008-01-23,25.25,25.4,23.16,23.86,30900
5,2008-01-24,24.66,24.9,23.66,23.91,37100
6,2008-01-25,23.91,24.36,23.66,23.91,50000
7,2008-01-28,24.36,24.66,24.06,24.16,59500
8,2008-01-29,25.9,26.7,24.95,26.7,132000
9,2008-01-30,28.94,28.94,28.84,28.94,200400
10,2008-01-31,31.83,31.83,27.0,30.13,100400
11,2008-02-01,29.64,30.88,29.39,30.38,171300
12,2008-02-12,30.38,30.88,27.89,28.89,37900
13,2008-02-13,28.89,29.89,28.04,28.19,50900
14,2008-02-14,27.79,28.34,27.0,27.0,71700
15,2008-02-15,27.74,27.84,25.9,26.6,42000
16,2008-02-18,24.9,24.9,23.76,24.9,70300
17,2008-02-19,24.31,25.65,23.91,24.75,75700
18,2008-02-20,24.9,25.15,22.36,22.91,49900
19,2008-02-21,21.72,21.72,21.02,21.17,65700
20,2008-02-22,19.43,22.31,19.23,21.42,76000
21,2008-02-25,21.92,22.46,21.67,22.46,45600
22,2008-02-26,24.41,24.41,20.17,20.67,48900
23,2008-02-27,19.92,22.41,19.92,21.27,46600
24,2008-02-28,22.31,22.31,20.92,21.17,37200
25,2008-02-29,21.32,21.32,20.67,21.27,34300
26,2008-03-03,21.17,21.17,19.43,19.72,69800
27,2008-03-04,19.03,19.03,17.78,17.78,34300
28,2008-03-05,16.19,19.38,16.09,17.43,84000
29,2008-03-06,18.28,18.28,18.28,18.28,700
30,2008-03-07,20.07,20.07,20.07,20.07,13900
31,2008-03-10,22.07,22.07,20.17,20.97,175600
32,2008-03-11,21.42,21.52,20.02,20.12,58000
33,2008-03-12,20.32,21.87,19.92,20.72,44400
34,2008-03-13,21.52,21.52,20.72,20.92,26000
35,2008-03-14,20.92,20.92,20.67,20.82,21500
36,2008-03-17,19.43,20.42,18.83,18.83,49400
