,time,open,high,low,close,volume
0,2024-01-18,22.15,22.15,22.15,22.15,200
1,2024-01-19,23.7,23.7,23.7,23.7,150
2,2024-01-22,25.34,25.34,25.34,25.34,100
3,2024-01-23,27.08,27.08,27.08,27.08,100200
4,2024-01-24,28.97,28.97,28.97,28.97,1200
5,2024-01-25,30.95,30.95,30.95,30.95,10000
6,2024-01-26,33.08,33.08,33.08,33.08,7944
7,2024-01-29,35.35,35.35,35.35,35.35,22400
8,2024-01-30,37.82,37.82,37.82,37.82,24800
9,2024-01-31,40.43,40.43,40.43,40.43,14300
10,2024-02-01,43.23,43.23,43.23,43.23,21900
11,2024-02-02,46.23,46.23,40.24,40.48,75167
12,2024-02-05,37.67,38.69,37.67,37.67,27200
13,2024-02-06,35.3,35.4,35.06,35.06,44203
14,2024-02-07,33.85,37.48,32.64,36.71,48770
15,2024-02-15,38.59,38.69,35.98,36.27,26900
16,2024-02-16,36.27,36.66,35.54,36.66,20339
17,2024-02-19,35.79,36.08,34.82,35.11,19145
18,2024-02-20,36.27,36.27,34.24,34.72,24117
19,2024-02-21,33.47,34.72,33.47,33.51,13800
20,2024-02-22,33.47,34.24,33.47,33.76,6312
21,2024-02-23,33.76,33.76,32.88,32.88,27129
22,2024-02-26,32.88,33.8,32.88,33.37,20705
23,2024-02-27,34.34,34.34,33.37,33.66,6201
24,2024-02-28,33.56,34.34,33.56,33.85,22401
25,2024-02-29,33.85,33.85,33.56,33.56,1900
26,2024-03-01,33.56,34.34,32.88,34.34,16400
27,2024-03-04,33.85,33.85,32.88,33.56,26600
28,2024-03-05,33.85,33.85,32.93,33.66,10601
29,2024-03-06,32.93,33.66,32.88,32.88,20309
30,2024-03-07,32.88,33.37,32.5,32.59,8500
31,2024-03-08,33.27,33.27,32.59,32.59,1809
32,2024-03-11,32.59,33.56,32.59,33.51,7409
33,2024-03-12,32.69,32.69,32.59,32.59,4200
34,2024-03-13,32.88,32.88,30.95,30.95,30700
35,2024-03-14,32.98,32.98,31.53,31.92,6200
36,2024-03-15,30.95,32.21,30.95,32.21,6101
37,2024-03-18,32.11,32.5,31.43,32.5,3800
38,2024-03-19,31.1,32.59,31.1,32.01,3300
39,2024-03-20,31.58,31.92,31.58,31.72,4900
40,2024-03-21,31.53,31.72,31.05,31.53,4800
41,2024-03-22,31.87,32.01,31.63,31.63,6600
42,2024-03-25,31.92,31.92,31.82,31.82,2400
43,2024-03-26,32.5,33.37,31.92,32.98,19505
44,2024-03-27,33.56,33.56,31.92,32.88,13200
45,2024-03-28,32.88,32.88,32.01,32.01,2500
46,2024-03-29,32.01,32.01,32.01,32.01,100
47,2024-04-01,32.06,32.4,31.92,31.92,6400
48,2024-04-02,31.92,32.11,31.63,32.11,4511
49,2024-04-03,32.4,32.4,32.4,32.4,501
50,2024-04-04,31.53,31.53,31.53,31.53,1800
51,2024-04-05,31.53,31.92,31.53,31.92,1600
