,time,open,high,low,close,volume
0,2014-07-11,5.55,,,,0
1,2014-07-14,5.55,0.0,0.0,0.0,0
2,2014-07-15,5.55,0.0,0.0,0.0,0
3,2014-07-16,5.55,0.0,0.0,0.0,0
4,2014-07-17,5.55,0.0,0.0,0.0,0
5,2014-07-18,5.55,0.0,0.0,0.0,0
6,2014-07-21,5.55,0.0,0.0,0.0,0
7,2014-07-22,5.55,0.0,0.0,0.0,0
8,2014-07-23,5.55,0.0,0.0,0.0,0
9,2014-07-24,5.55,0.0,0.0,0.0,0
10,2014-07-25,5.55,0.0,0.0,0.0,0
11,2014-07-28,5.55,0.0,0.0,0.0,0
12,2014-07-29,5.55,0.0,0.0,0.0,0
13,2014-07-30,4.94,4.94,4.94,4.94,10000
14,2014-07-31,4.94,4.94,4.94,4.94,0
15,2014-08-01,5.39,5.39,4.5,4.5,10200
16,2014-08-04,4.5,4.5,4.5,4.5,0
17,2014-08-05,4.5,4.5,4.5,4.5,0
18,2014-08-06,4.5,4.5,4.5,4.5,0
19,2014-08-07,4.5,4.5,4.5,4.5,0
20,2014-08-08,4.5,4.5,4.5,4.5,0
21,2014-08-11,4.89,5.55,4.89,5.55,8212900
22,2014-08-12,5.55,5.55,5.55,5.55,0
23,2014-08-13,5.55,5.55,5.55,5.55,0
24,2014-08-14,5.55,5.55,5.55,5.55,0
25,2014-08-15,5.55,5.55,5.55,5.55,0
26,2014-08-18,5.55,5.55,5.55,5.55,0
27,2014-08-19,5.55,5.55,5.55,5.55,0
28,2014-08-20,5.55,5.55,5.55,5.55,0
29,2014-08-21,5.55,5.55,5.55,5.55,0
30,2014-08-22,5.55,5.55,5.55,5.55,0
31,2014-08-25,5.0,5.0,5.0,5.0,200
32,2014-08-26,5.0,5.0,5.0,5.0,0
33,2014-08-27,4.05,4.05,4.05,4.05,100
34,2014-08-28,3.67,3.67,3.67,3.67,100
35,2014-08-29,3.44,3.44,3.44,3.44,100
36,2014-09-03,3.17,3.17,3.17,3.17,600
37,2014-09-04,3.0,3.44,3.0,3.44,200
38,2014-09-05,3.5,3.5,3.5,3.5,100
39,2014-09-08,3.22,3.83,3.22,3.83,200
40,2014-09-09,3.83,3.83,3.83,3.83,0
41,2014-09-10,3.83,3.83,3.83,3.83,0
42,2014-09-11,3.83,3.83,3.83,3.83,0
43,2014-09-12,3.22,3.33,3.22,3.33,300
44,2014-09-15,3.55,3.55,3.55,3.55,100
45,2014-09-16,3.55,3.55,3.55,3.55,0
46,2014-09-17,3.89,3.89,3.89,3.89,100
47,2014-09-18,4.28,4.28,4.28,4.28,100
48,2014-09-19,4.28,4.28,4.28,4.28,0
49,2014-09-22,4.44,4.44,4.44,4.44,100
50,2014-09-23,4.44,4.44,4.44,4.44,0
51,2014-09-24,4.0,4.0,4.0,4.0,100
52,2014-09-25,4.17,4.17,4.17,4.17,100
53,2014-09-26,4.17,4.17,4.17,4.17,0
54,2014-09-29,4.17,4.17,4.17,4.17,0
