,time,open,high,low,close,volume
0,2015-02-06,5.02,5.02,5.02,5.02,10000
1,2015-02-09,5.02,5.02,4.52,4.52,15100
2,2015-02-10,5.53,5.53,5.53,5.53,100
3,2015-02-11,4.97,4.97,4.97,4.97,2000
4,2015-02-12,5.43,5.43,5.43,5.43,100
5,2015-02-13,5.02,5.02,5.02,5.02,2000
6,2015-02-24,5.02,5.02,5.02,5.02,0
7,2015-02-25,5.02,5.02,5.02,5.02,0
8,2015-02-26,4.92,5.53,4.92,5.02,83900
9,2015-02-27,5.02,5.02,5.02,5.02,12500
10,2015-03-02,5.02,5.02,5.02,5.02,8200
11,2015-03-03,5.02,5.02,5.02,5.02,0
12,2015-03-04,4.97,4.97,4.97,4.97,14000
13,2015-03-05,4.97,4.97,4.97,4.97,0
14,2015-03-06,4.97,4.97,4.97,4.97,0
15,2015-03-09,4.97,4.97,4.97,4.97,0
16,2015-03-10,4.97,4.97,4.97,4.97,0
17,2015-03-11,4.97,4.97,4.97,4.97,0
18,2015-03-12,4.97,4.97,4.97,4.97,0
19,2015-03-13,4.92,4.92,4.92,4.92,1000
20,2015-03-16,5.02,5.02,5.02,5.02,10000
21,2015-03-17,5.02,5.02,5.02,5.02,10000
22,2015-03-18,5.17,5.17,5.17,5.17,10000
23,2015-03-19,5.38,5.68,5.38,5.68,190500
24,2015-03-20,4.92,4.92,4.92,4.92,500
25,2015-03-23,4.92,4.92,4.92,4.92,3600
26,2015-03-24,4.92,4.92,4.92,4.92,5700
27,2015-03-25,4.92,4.92,4.92,4.92,0
28,2015-03-26,5.02,5.02,5.02,5.02,9800
29,2015-03-27,5.12,5.12,5.12,5.12,1000
30,2015-03-30,5.12,5.12,5.12,5.12,0
31,2015-03-31,5.02,5.02,5.02,5.12,37200
32,2015-04-01,5.02,5.02,5.02,5.02,0
33,2015-04-02,5.02,5.02,5.02,5.02,0
34,2015-04-03,5.02,5.02,5.02,5.02,0
35,2015-04-06,5.02,5.02,5.02,5.02,200000
36,2015-04-07,5.02,5.02,5.02,5.02,126000
37,2015-04-08,5.02,5.02,5.02,5.02,0
38,2015-04-09,5.27,5.27,5.27,5.27,500
