,time,open,high,low,close,volume
0,2009-09-22,4.26,4.26,4.26,4.26,110
1,2009-09-23,4.47,4.47,4.47,4.47,20
2,2009-09-24,4.68,4.68,4.68,4.68,1220
3,2009-09-25,4.89,4.89,4.89,4.89,440
4,2009-09-28,5.13,5.13,5.13,5.13,7990
5,2009-09-29,5.37,5.37,5.37,5.37,159240
6,2009-09-30,5.63,5.63,5.63,5.63,6600
7,2009-10-01,5.89,5.89,5.89,5.89,23570
8,2009-10-02,6.17,6.17,6.17,6.17,144010
9,2009-10-05,6.48,6.48,6.48,6.48,64750
10,2009-10-06,6.79,6.79,6.79,6.79,41980
11,2009-10-07,7.12,7.12,7.12,7.12,15770
12,2009-10-08,7.47,7.47,7.47,7.47,4170
13,2009-10-09,7.83,7.83,7.12,7.8,745610
14,2009-10-12,7.5,7.8,7.5,7.52,363620
15,2009-10-13,7.52,7.54,7.21,7.21,131360
16,2009-10-14,6.86,7.09,6.86,7.09,205160
17,2009-10-15,7.09,7.21,6.93,6.98,256440
18,2009-10-16,6.98,6.98,6.67,6.67,157040
19,2009-10-19,6.34,6.5,6.34,6.36,224530
20,2009-10-20,6.62,6.67,6.5,6.67,56070
21,2009-10-21,7.0,7.0,7.0,7.0,21700
22,2009-10-22,7.33,7.33,7.21,7.33,316850
23,2009-10-23,7.09,7.21,6.98,7.0,334530
24,2009-10-26,6.74,6.88,6.69,6.74,61280
25,2009-10-27,6.43,6.5,6.43,6.43,93340
26,2009-10-28,6.67,6.74,6.64,6.74,204590
27,2009-10-29,6.98,6.98,6.67,6.69,106650
28,2009-10-30,6.64,6.74,6.6,6.67,99060
29,2009-11-02,6.43,6.43,6.34,6.34,79530
30,2009-11-03,6.03,6.29,6.03,6.03,47840
31,2009-11-04,5.75,6.31,5.75,5.84,66360
32,2009-11-05,6.12,6.12,5.91,6.12,36510
33,2009-11-06,6.41,6.41,5.91,5.96,35090
34,2009-11-09,5.72,5.79,5.68,5.68,33400
35,2009-11-10,5.51,5.56,5.39,5.39,62150
36,2009-11-11,5.15,5.44,5.15,5.34,36000
37,2009-11-12,5.6,5.6,5.44,5.6,30870
38,2009-11-13,5.44,5.6,5.44,5.6,15710
39,2009-11-16,5.49,5.68,5.49,5.58,11400
40,2009-11-17,5.68,5.68,5.46,5.49,10330
41,2009-11-18,5.41,5.68,5.37,5.39,9790
42,2009-11-19,5.65,5.65,5.65,5.65,28580
43,2009-11-20,5.91,5.91,5.91,5.91,55220
44,2009-11-23,5.68,5.89,5.63,5.63,29050
45,2009-11-24,5.68,5.75,5.39,5.44,24390
46,2009-11-25,5.18,5.3,5.18,5.18,68880
47,2009-11-26,4.94,4.94,4.94,4.94,35250
48,2009-11-27,4.71,5.18,4.71,5.18,21450
49,2009-11-30,5.37,5.37,4.97,4.97,10530
50,2009-12-01,5.13,5.2,5.13,5.2,15750
51,2009-12-02,5.39,5.39,4.94,4.94,13250
52,2009-12-03,4.8,5.08,4.8,4.94,9420
53,2009-12-04,4.75,5.06,4.75,4.8,10900
54,2009-12-07,4.85,4.85,4.73,4.73,3730
55,2009-12-08,4.49,4.73,4.49,4.49,11290
56,2009-12-09,4.28,4.28,4.28,4.28,13820
57,2009-12-10,4.21,4.26,4.11,4.11,21740
58,2009-12-11,4.0,4.14,3.93,3.93,24840
59,2009-12-14,3.78,4.11,3.78,4.04,14130
60,2009-12-15,4.02,4.19,4.02,4.02,5210
61,2009-12-16,3.83,3.85,3.83,3.83,20290
62,2009-12-17,3.64,3.69,3.64,3.64,18760
63,2009-12-18,3.64,3.81,3.64,3.81,12640
64,2009-12-21,4.0,4.0,4.0,4.0,6990
65,2009-12-22,4.19,4.19,4.09,4.16,13690
66,2009-12-23,4.0,4.16,4.0,4.07,15680
67,2009-12-24,4.14,4.14,4.02,4.02,7500
68,2009-12-25,4.14,4.21,4.02,4.21,62090
69,2009-12-28,4.16,4.21,4.16,4.16,4460
70,2009-12-29,4.19,4.19,4.02,4.02,22970
71,2009-12-30,4.09,4.09,4.02,4.04,11190
72,2009-12-31,4.23,4.23,4.21,4.23,39510
73,2010-01-04,4.42,4.42,4.42,4.42,8500
74,2010-01-05,4.63,4.63,4.63,4.63,3130
75,2010-01-06,4.85,4.85,4.73,4.85,43380
76,2010-01-07,5.08,5.08,5.08,5.08,8750
77,2010-01-08,5.32,5.32,5.32,5.32,42220
78,2010-01-11,5.06,5.2,5.06,5.06,54960
79,2010-01-12,5.06,5.06,4.82,4.82,19740
80,2010-01-13,4.59,4.8,4.59,4.59,21960
81,2010-01-14,4.8,4.8,4.63,4.78,5860
82,2010-01-15,4.54,4.63,4.54,4.54,16440
83,2010-01-18,4.35,4.68,4.33,4.33,22480
84,2010-01-19,4.49,4.54,4.19,4.49,8120
85,2010-01-20,4.28,4.49,4.28,4.28,11490
86,2010-01-21,4.11,4.35,4.07,4.09,10040
87,2010-01-22,4.26,4.26,3.9,4.02,25620
88,2010-01-25,4.02,4.19,4.02,4.11,2810
89,2010-01-26,4.3,4.3,4.19,4.3,10760
90,2010-01-27,4.3,4.3,4.3,4.3,300
91,2010-01-28,4.09,4.23,4.09,4.09,52740
92,2010-01-29,4.02,4.09,4.0,4.02,10460
93,2010-02-01,4.09,4.09,4.07,4.09,2530
94,2010-02-02,4.21,4.21,4.11,4.21,6700
95,2010-02-03,4.14,4.23,4.04,4.14,3570
96,2010-02-04,4.21,4.21,4.07,4.11,2530
97,2010-02-05,3.95,4.14,3.95,3.95,7750
98,2010-02-08,3.9,3.95,3.9,3.9,15720
99,2010-02-09,4.04,4.07,3.9,4.04,4140
100,2010-02-10,4.0,4.19,4.0,4.19,260
101,2010-02-11,4.3,4.3,4.26,4.26,5160
102,2010-02-12,4.42,4.42,4.35,4.35,540
103,2010-02-22,4.37,4.37,4.37,4.37,830
104,2010-02-23,4.26,4.35,4.16,4.26,6990
105,2010-02-24,4.04,4.23,4.04,4.04,4400
106,2010-02-25,4.14,4.14,4.04,4.14,1710
107,2010-02-26,4.14,4.14,4.02,4.14,5330
108,2010-03-01,4.14,4.26,4.02,4.14,2450
109,2010-03-02,4.14,4.14,4.02,4.14,5510
110,2010-03-03,4.14,4.26,4.07,4.21,13470
111,2010-03-04,4.35,4.35,4.23,4.35,37040
112,2010-03-05,4.21,4.3,4.21,4.26,12030
113,2010-03-08,4.26,4.37,4.26,4.33,15120
114,2010-03-09,4.26,4.35,4.26,4.3,20070
115,2010-03-10,4.3,4.52,4.26,4.52,68880
116,2010-03-11,4.52,4.59,4.49,4.56,35420
117,2010-03-12,4.56,4.59,4.42,4.59,40410
118,2010-03-15,4.42,4.61,4.42,4.49,11540
119,2010-03-16,4.37,4.49,4.3,4.3,15220
120,2010-03-17,4.37,4.37,4.26,4.26,4050
121,2010-03-18,4.3,4.33,4.26,4.3,26000
122,2010-03-19,4.3,4.47,4.3,4.3,17060
123,2010-03-22,4.33,4.52,4.33,4.52,142290
124,2010-03-23,4.73,4.73,4.47,4.52,179890
125,2010-03-24,4.61,4.73,4.59,4.73,601550
126,2010-03-25,4.97,4.97,4.97,4.97,65680
127,2010-03-26,5.2,5.2,5.2,5.2,38830
128,2010-03-29,5.39,5.46,5.23,5.46,628350
129,2010-03-30,5.23,5.44,5.2,5.23,365740
130,2010-03-31,5.08,5.25,5.01,5.01,155350
131,2010-04-01,4.78,5.08,4.78,5.06,58560
132,2010-04-02,4.94,5.3,4.82,5.3,242240
133,2010-04-05,5.39,5.39,5.04,5.04,73310
134,2010-04-06,5.18,5.18,4.82,4.82,212100
135,2010-04-07,4.97,5.06,4.97,5.06,50140
136,2010-04-08,5.27,5.27,5.11,5.18,252950
137,2010-04-09,5.3,5.3,5.01,5.06,107010
138,2010-04-12,5.08,5.08,4.85,4.87,86210
139,2010-04-13,4.85,4.97,4.82,4.85,40340
140,2010-04-14,4.82,4.85,4.73,4.82,85810
141,2010-04-15,4.85,4.94,4.85,4.94,118270
142,2010-04-16,4.97,4.97,4.85,4.85,44670
143,2010-04-19,4.94,4.94,4.8,4.92,85610
144,2010-04-20,4.85,4.89,4.8,4.8,59860
145,2010-04-21,4.85,4.87,4.78,4.85,65650
146,2010-04-22,4.89,4.99,4.85,4.97,99070
147,2010-04-26,4.97,5.01,4.8,4.8,58630
148,2010-04-27,4.87,4.92,4.75,4.87,38200
149,2010-04-28,4.78,4.97,4.78,4.87,76140
150,2010-04-29,5.04,5.09,5.04,5.09,118830
151,2010-05-04,5.14,5.34,5.14,5.34,151090
152,2010-05-05,5.17,5.46,5.12,5.22,87830
153,2010-05-06,5.14,5.24,5.07,5.12,84270
154,2010-05-07,5.12,5.12,4.94,5.07,60710
155,2010-05-10,4.99,5.04,4.82,4.87,63760
156,2010-05-11,4.92,5.09,4.92,5.09,90020
157,2010-05-12,5.04,5.07,4.85,4.85,65160
158,2010-05-13,5.02,5.07,4.87,5.07,138220
159,2010-05-14,4.92,5.17,4.92,5.14,28760
160,2010-05-17,5.09,5.09,4.92,4.97,39980
161,2010-05-18,5.07,5.07,4.82,4.94,15200
162,2010-05-19,4.77,4.8,4.7,4.7,42080
163,2010-05-20,4.48,4.67,4.48,4.5,34120
164,2010-05-21,4.28,4.28,4.28,4.28,125620
165,2010-05-24,4.13,4.45,4.13,4.18,20250
166,2010-05-25,4.03,4.18,4.03,4.18,66680
167,2010-05-26,4.23,4.38,4.16,4.38,65720
168,2010-05-27,4.38,4.55,4.26,4.43,107230
169,2010-05-28,4.55,4.65,4.43,4.58,84370
170,2010-05-31,4.5,4.5,4.38,4.38,10510
171,2010-06-01,4.23,4.43,4.23,4.28,12430
172,2010-06-02,4.4,4.4,4.23,4.31,12910
173,2010-06-03,4.31,4.4,4.31,4.31,38790
174,2010-06-04,4.31,4.35,4.31,4.31,6100
175,2010-06-07,4.11,4.18,4.11,4.11,49730
176,2010-06-08,4.31,4.31,4.18,4.31,23850
177,2010-06-09,4.4,4.43,4.31,4.31,21130
178,2010-06-10,4.18,4.4,4.18,4.31,12020
179,2010-06-11,4.4,4.4,4.31,4.31,23230
180,2010-06-14,4.26,4.4,4.26,4.31,6860
