,time,open,high,low,close,volume
0,2016-05-27,7.26,7.26,6.85,7.08,94010
1,2016-05-30,7.49,7.49,7.08,7.17,16090
2,2016-05-31,7.26,7.26,6.9,7.26,1330
3,2016-06-01,6.99,7.17,6.99,7.17,6500
4,2016-06-02,7.04,7.13,6.99,7.13,9280
5,2016-06-03,6.9,7.04,6.9,6.9,10030
6,2016-06-06,6.9,6.9,6.85,6.9,14060
7,2016-06-07,6.81,6.9,6.81,6.85,2210
8,2016-06-08,6.81,6.81,6.72,6.81,12900
9,2016-06-09,6.72,6.72,6.67,6.67,10430
10,2016-06-10,6.63,6.63,6.63,6.63,26600
11,2016-06-13,6.67,6.67,6.45,6.63,8130
12,2016-06-14,6.49,6.49,6.49,6.49,2100
13,2016-06-15,6.49,6.49,6.49,6.49,0
14,2016-06-16,6.81,6.81,6.45,6.76,2220
15,2016-06-17,6.54,6.72,6.45,6.72,1760
16,2016-06-20,6.81,6.81,6.81,6.81,10
17,2016-06-21,6.81,6.81,6.81,6.81,0
18,2016-06-22,6.49,6.81,6.45,6.81,6730
19,2016-06-23,6.58,6.81,6.58,6.81,1510
20,2016-06-24,6.63,6.63,6.58,6.58,2050
21,2016-06-27,6.17,6.81,6.17,6.81,6010
22,2016-06-28,6.45,6.58,6.4,6.4,1710
23,2016-06-29,6.54,6.54,6.4,6.4,110
24,2016-06-30,6.36,6.54,6.36,6.54,2550
25,2016-07-01,6.45,6.45,6.36,6.36,3310
26,2016-07-04,6.22,6.4,6.22,6.4,130
27,2016-07-05,6.4,6.4,6.26,6.36,7510
28,2016-07-06,6.36,6.45,6.26,6.45,2280
29,2016-07-07,6.45,6.45,6.26,6.26,350
30,2016-07-08,6.45,6.45,6.36,6.36,6500
31,2016-07-11,6.36,6.58,5.99,5.99,105670
32,2016-07-12,6.36,6.4,6.22,6.22,7670
33,2016-07-13,6.22,6.63,6.22,6.63,71100
34,2016-07-14,6.67,6.67,6.36,6.36,120
35,2016-07-15,6.36,6.36,6.36,6.36,20
36,2016-07-18,6.4,6.58,6.31,6.58,26050
37,2016-07-19,6.72,6.72,6.36,6.36,390
38,2016-07-20,6.4,6.58,6.4,6.4,24930
39,2016-07-21,6.58,6.58,6.36,6.4,44860
40,2016-07-22,6.36,6.54,6.36,6.54,8030
41,2016-07-25,6.58,6.63,6.45,6.45,34500
42,2016-07-26,6.58,6.67,6.45,6.58,80480
43,2016-07-27,6.49,6.76,6.45,6.76,520
44,2016-07-28,6.49,6.54,6.49,6.54,20
45,2016-07-29,6.67,6.67,6.45,6.63,7470
46,2016-08-01,6.9,6.9,6.45,6.58,20410
47,2016-08-02,6.45,6.45,6.45,6.45,10
48,2016-08-03,6.36,6.54,6.36,6.54,2010
49,2016-08-04,6.54,6.54,6.54,6.54,9010
50,2016-08-05,6.45,6.54,6.45,6.54,1010
51,2016-08-08,6.36,6.58,6.36,6.58,9140
52,2016-08-09,6.4,6.63,6.4,6.63,10730
53,2016-08-10,6.58,6.58,6.58,6.58,10000
54,2016-08-11,6.63,6.63,6.58,6.63,13020
55,2016-08-12,6.63,6.63,6.63,6.63,3010
56,2016-08-15,6.45,6.45,6.45,6.45,1000
57,2016-08-16,6.58,6.67,6.45,6.45,48300
58,2016-08-17,6.58,6.58,6.58,6.58,12010
59,2016-08-18,6.58,6.58,6.58,6.58,13300
60,2016-08-19,7.04,7.04,6.58,6.58,23340
61,2016-08-22,6.58,6.58,6.58,6.58,0
62,2016-08-23,6.9,6.9,6.58,6.58,20
63,2016-08-24,6.58,6.58,6.58,6.58,8000
64,2016-08-25,6.58,6.58,6.58,6.58,12540
65,2016-08-26,6.58,6.58,6.58,6.58,6150
66,2016-08-29,6.58,6.58,6.58,6.58,2000
67,2016-08-30,6.67,6.85,6.67,6.85,27460
68,2016-08-31,6.85,6.95,6.85,6.95,450
69,2016-09-01,6.95,6.95,6.85,6.85,15010
70,2016-09-05,7.04,7.04,6.85,6.85,1110
71,2016-09-06,6.99,7.26,6.99,7.26,47060
72,2016-09-07,7.26,7.49,7.04,7.04,19460
73,2016-09-08,6.9,7.22,6.9,6.99,2880
74,2016-09-09,6.99,6.99,6.99,6.99,1000
75,2016-09-12,6.99,6.99,6.99,6.99,5550
76,2016-09-13,7.04,7.26,6.99,7.26,5930
77,2016-09-14,7.13,7.26,7.08,7.08,2800
78,2016-09-15,7.26,7.26,6.99,7.04,18040
79,2016-09-16,7.04,7.26,7.04,7.22,15350
80,2016-09-19,7.22,7.26,6.81,6.81,9350
81,2016-09-20,7.13,7.26,6.85,6.85,16890
82,2016-09-21,6.85,6.85,6.85,6.85,0
83,2016-09-22,6.95,6.99,6.95,6.99,480
84,2016-09-23,7.04,7.47,7.04,7.47,47400
85,2016-09-26,7.49,7.49,7.13,7.13,330
86,2016-09-27,7.26,7.26,7.13,7.13,700
87,2016-09-28,7.4,7.49,7.17,7.49,10520
88,2016-09-29,7.17,7.17,7.17,7.17,3660
89,2016-09-30,7.17,7.17,7.17,7.17,1020
90,2016-10-03,7.17,7.17,7.17,7.17,1420
91,2016-10-04,7.17,7.17,7.17,7.17,0
92,2016-10-05,7.26,7.26,7.22,7.22,2010
93,2016-10-06,7.26,7.35,7.17,7.35,4540
94,2016-10-07,7.26,7.26,7.26,7.26,6000
95,2016-10-10,7.26,7.26,7.26,7.26,14000
96,2016-10-11,7.26,7.26,7.22,7.22,700
97,2016-10-12,7.22,7.22,7.22,7.22,0
98,2016-10-13,7.22,7.22,7.22,7.22,10
99,2016-10-14,7.22,7.22,7.22,7.22,0
100,2016-10-17,7.26,7.35,7.22,7.35,1540
101,2016-10-18,7.26,7.49,7.13,7.13,36150
102,2016-10-19,7.26,7.58,7.26,7.58,3480
103,2016-10-20,7.58,7.58,7.58,7.58,0
104,2016-10-21,7.58,7.72,7.58,7.58,8130
105,2016-10-24,7.31,7.72,7.31,7.31,170
106,2016-10-25,7.31,7.31,7.31,7.31,3420
107,2016-10-26,7.72,7.72,7.72,7.72,200
108,2016-10-27,7.72,7.72,7.72,7.72,10
109,2016-10-28,8.22,8.22,7.31,7.31,30
110,2016-10-31,7.72,7.72,7.72,7.72,10
111,2016-11-01,7.72,7.72,7.72,7.72,0
112,2016-11-02,7.26,7.67,7.26,7.67,50
113,2016-11-03,7.26,7.67,7.26,7.67,660
114,2016-11-04,7.26,7.26,7.26,7.26,10
115,2016-11-07,7.26,7.26,7.26,7.26,0
116,2016-11-08,7.17,7.17,7.17,7.17,10
117,2016-11-09,7.17,7.17,7.17,7.17,0
118,2016-11-10,7.38,7.38,7.38,7.38,10
119,2016-11-11,7.49,7.49,7.49,7.49,5440
120,2016-11-14,7.49,7.49,7.49,7.49,0
121,2016-11-15,7.49,7.49,7.49,7.49,0
122,2016-11-16,7.72,7.72,7.72,7.72,3000
123,2016-11-17,7.67,7.72,7.67,7.72,49980
124,2016-11-18,7.94,7.94,7.94,7.94,10
125,2016-11-21,7.49,7.49,7.49,7.49,10
126,2016-11-22,7.72,7.72,7.49,7.49,12010
127,2016-11-23,7.49,7.49,7.49,7.49,0
128,2016-11-24,7.49,7.49,7.49,7.49,0
129,2016-11-25,7.49,7.49,7.49,7.49,0
130,2016-11-28,7.49,7.49,7.49,7.49,11310
131,2016-11-29,7.49,7.49,7.49,7.49,10980
132,2016-11-30,7.49,7.49,7.49,7.49,0
133,2016-12-01,7.72,7.72,7.49,7.49,1790
134,2016-12-02,7.49,7.49,7.49,7.49,20
135,2016-12-05,7.67,7.67,7.67,7.67,10
136,2016-12-06,7.54,7.54,7.54,7.54,11000
137,2016-12-07,7.49,7.49,7.49,7.49,1090
138,2016-12-08,7.49,7.49,7.49,7.49,210
139,2016-12-09,7.49,7.54,7.49,7.54,1180
140,2016-12-12,7.72,7.72,7.72,7.72,10
141,2016-12-13,7.54,7.54,7.54,7.54,10
142,2016-12-14,7.67,7.67,7.54,7.54,10000
143,2016-12-15,7.54,7.54,7.54,7.54,0
144,2016-12-16,7.72,7.72,7.72,7.72,890
145,2016-12-19,7.72,7.72,7.72,7.72,0
146,2016-12-20,7.72,7.72,7.72,7.72,0
147,2016-12-21,7.72,7.72,7.72,7.72,0
148,2016-12-22,7.72,7.72,7.72,7.72,0
149,2016-12-23,7.72,7.72,7.72,7.72,0
150,2016-12-26,7.72,7.72,7.72,7.72,0
151,2016-12-27,7.94,7.94,7.94,7.94,220
152,2016-12-28,7.72,7.72,7.72,7.72,1800
153,2016-12-29,7.96,7.96,7.72,7.72,2000
154,2016-12-30,7.72,7.72,7.72,7.72,300
155,2017-01-03,8.15,8.15,7.72,7.72,5370
156,2017-01-04,7.72,7.72,7.72,7.72,5150
157,2017-01-05,7.72,7.72,7.72,7.72,7820
158,2017-01-06,7.72,7.72,7.72,7.72,0
159,2017-01-09,7.77,7.79,7.77,7.79,20
160,2017-01-10,7.81,7.81,7.81,7.81,10
161,2017-01-11,7.81,7.81,7.81,7.81,0
162,2017-01-12,7.86,7.86,7.86,7.86,5480
163,2017-01-13,7.86,7.86,7.86,7.86,10
164,2017-01-16,7.96,7.96,7.96,7.96,50
165,2017-01-17,7.91,7.91,7.91,7.91,8130
166,2017-01-18,7.91,7.91,7.91,7.91,0
167,2017-01-19,8.01,8.01,8.01,8.01,1710
168,2017-01-20,8.2,8.2,8.1,8.1,320
169,2017-01-23,8.2,8.2,8.15,8.15,6400
170,2017-01-24,8.15,8.15,8.15,8.15,0
171,2017-01-25,8.3,8.44,8.3,8.44,4500
172,2017-02-02,8.1,8.1,8.1,8.1,10
173,2017-02-03,8.1,8.34,8.1,8.34,2020
174,2017-02-06,8.44,8.44,8.39,8.44,6700
175,2017-02-07,8.44,8.49,8.44,8.49,14190
176,2017-02-08,8.49,8.54,8.49,8.54,1960
177,2017-02-09,8.59,8.73,8.59,8.73,4510
178,2017-02-10,8.73,8.73,8.73,8.73,650
179,2017-02-13,8.44,8.73,8.44,8.49,43730
180,2017-02-14,8.49,8.68,8.49,8.68,5590
181,2017-02-15,8.92,8.92,8.92,8.92,2910
182,2017-02-16,8.68,8.68,8.68,8.68,1000
183,2017-02-17,8.92,8.92,8.92,8.92,3940
184,2017-02-20,8.97,8.97,8.92,8.92,39940
185,2017-02-21,8.92,8.92,8.92,8.92,0
186,2017-02-22,8.92,8.92,8.92,8.92,1000
187,2017-02-23,8.92,8.92,8.83,8.83,2230
188,2017-02-24,8.92,9.16,8.92,9.16,32000
189,2017-02-27,9.41,9.41,9.41,9.41,800
190,2017-02-28,9.41,9.41,9.41,9.41,2000
191,2017-03-01,8.97,9.65,8.97,9.65,30
192,2017-03-02,9.65,9.65,9.65,9.65,320
193,2017-03-03,9.16,9.16,9.16,9.16,10
194,2017-03-06,8.97,8.97,8.97,8.97,40
195,2017-03-07,9.16,9.16,8.97,8.97,260
196,2017-03-08,9.07,9.12,9.07,9.12,1430
197,2017-03-09,8.97,9.0,8.95,8.95,680
198,2017-03-10,8.95,8.95,8.95,8.95,2020
199,2017-03-13,8.95,8.95,8.95,8.95,0
200,2017-03-14,9.22,9.22,8.95,8.95,540
201,2017-03-15,8.72,9.37,8.72,9.37,1010
202,2017-03-16,8.9,8.9,8.9,8.9,10
203,2017-03-17,8.97,9.27,8.95,9.02,3520
204,2017-03-20,9.22,9.22,9.07,9.07,6880
205,2017-03-21,9.02,9.02,9.02,9.02,20
206,2017-03-22,9.02,9.02,9.02,9.02,1970
207,2017-03-23,9.02,9.02,9.02,9.02,10030
208,2017-03-24,8.97,8.97,8.97,8.97,20
209,2017-03-27,9.22,9.22,9.22,9.22,8000
210,2017-03-28,9.17,9.27,9.17,9.17,2110
211,2017-03-29,9.07,9.07,9.07,9.07,10
212,2017-03-30,9.12,9.12,9.12,9.12,6330
213,2017-03-31,9.12,9.12,9.12,9.12,1000
214,2017-04-03,9.22,9.42,9.22,9.42,4510
215,2017-04-04,9.22,9.42,9.22,9.42,8010
216,2017-04-05,9.22,9.42,9.07,9.42,5270
217,2017-04-07,8.97,9.37,8.97,9.37,1150
218,2017-04-10,9.07,9.37,9.02,9.37,3470
219,2017-04-11,8.97,8.97,8.97,8.97,10
220,2017-04-12,9.22,9.22,9.22,9.22,2400
221,2017-04-13,8.97,8.97,8.97,8.97,600
222,2017-04-14,8.97,8.97,8.97,8.97,500
223,2017-04-17,8.97,8.97,8.97,8.97,2700
224,2017-04-18,9.22,9.22,9.22,9.22,200
