,time,open,high,low,close,volume
0,2015-04-16,19.85,19.85,19.85,19.85,207100
1,2015-04-17,21.76,21.82,20.36,20.36,513900
2,2015-04-20,22.84,22.9,20.36,22.78,444100
3,2015-04-21,21.0,21.0,21.0,21.0,68400
4,2015-04-22,20.42,20.93,19.15,20.93,102000
5,2015-04-23,20.36,20.36,19.21,19.34,56200
6,2015-04-24,20.93,20.93,19.34,19.34,54300
7,2015-04-27,19.4,20.3,19.28,20.3,53400
8,2015-05-04,19.47,19.91,19.09,19.09,42900
9,2015-05-05,19.4,19.4,19.34,19.34,300
10,2015-05-06,19.6,19.6,17.5,19.09,34400
11,2015-05-07,19.79,19.79,17.81,19.09,32500
12,2015-05-08,18.01,19.34,17.81,19.34,40200
13,2015-05-11,19.15,19.53,17.81,17.81,21300
14,2015-05-12,17.62,18.07,17.56,18.07,28900
15,2015-05-13,17.81,19.02,17.81,18.07,23700
16,2015-05-14,17.24,17.94,17.24,17.94,5100
17,2015-05-15,18.07,18.13,16.54,17.5,8200
18,2015-05-18,17.18,17.37,17.18,17.37,10000
19,2015-05-19,17.18,17.31,17.18,17.18,7600
20,2015-05-20,17.11,17.56,16.8,17.18,18900
21,2015-05-21,16.61,17.05,16.61,17.05,8100
22,2015-05-22,17.05,17.11,16.99,16.99,14700
23,2015-05-25,16.99,17.43,16.54,16.54,20600
24,2015-05-26,17.18,18.39,15.97,16.99,9200
25,2015-05-27,16.67,17.31,16.67,16.67,9400
26,2015-05-28,16.22,17.11,16.22,17.11,10500
27,2015-05-29,17.18,18.26,17.18,18.2,13000
28,2015-06-01,18.32,18.39,17.18,17.75,26500
29,2015-06-02,17.18,17.62,17.18,17.18,16600
30,2015-06-03,17.18,18.07,17.18,17.18,32300
31,2015-06-04,18.01,18.01,16.92,17.5,36400
32,2015-06-05,18.2,18.2,17.81,17.81,24000
33,2015-06-08,17.5,17.75,16.86,16.86,19000
34,2015-06-09,17.62,17.62,16.54,16.54,18200
35,2015-06-10,17.43,17.43,16.61,16.86,47100
36,2015-06-11,17.43,17.43,16.54,16.86,21000
37,2015-06-12,17.24,17.24,16.92,16.92,25500
38,2015-06-15,16.61,17.05,16.54,16.86,28200
39,2015-06-16,17.05,17.31,17.05,17.31,13000
40,2015-06-17,17.31,17.31,17.31,17.31,0
41,2015-06-18,16.92,17.05,16.92,16.92,26300
42,2015-06-19,16.92,17.11,16.92,17.05,42300
43,2015-06-22,17.05,17.43,16.61,17.11,19700
44,2015-06-23,17.11,17.11,17.11,17.11,0
45,2015-06-24,16.54,17.24,16.54,17.24,30500
46,2015-06-25,17.24,17.24,17.24,17.24,22000
47,2015-06-26,17.18,17.18,17.18,17.18,5000
48,2015-06-29,16.99,16.99,16.54,16.54,2200
49,2015-06-30,17.11,17.11,15.21,17.11,15500
50,2015-07-01,17.11,17.11,16.99,16.99,19600
51,2015-07-02,17.05,17.75,16.86,16.86,19400
52,2015-07-03,17.62,17.62,17.62,17.62,16000
53,2015-07-06,16.54,17.11,16.54,17.11,16800
