,time,open,high,low,close,volume
0,2010-06-01,4.13,4.68,4.13,4.2,311320
1,2010-06-02,4.07,4.1,4.0,4.0,142430
2,2010-06-03,4.13,4.16,4.0,4.16,116180
3,2010-06-04,4.2,4.2,4.0,4.1,40720
4,2010-06-07,3.9,3.94,3.9,3.9,55290
5,2010-06-08,3.71,3.81,3.71,3.71,47150
6,2010-06-09,3.81,3.81,3.61,3.61,42070
7,2010-06-10,3.55,3.71,3.45,3.55,36760
8,2010-06-11,3.55,3.61,3.39,3.52,129120
9,2010-06-14,3.68,3.68,3.68,3.68,27020
10,2010-06-15,3.84,3.84,3.84,3.84,47080
11,2010-06-16,4.0,4.0,3.94,4.0,351090
12,2010-06-17,4.03,4.03,3.84,3.94,155310
13,2010-06-18,3.87,3.94,3.84,3.84,61890
14,2010-06-21,3.81,4.0,3.81,3.97,90460
15,2010-06-22,3.97,3.97,3.87,3.87,120680
16,2010-06-23,3.87,4.07,3.87,4.07,282620
17,2010-06-24,4.16,4.16,4.07,4.07,146500
18,2010-06-25,4.03,4.03,3.94,3.94,62320
19,2010-06-28,3.87,3.94,3.87,3.87,87020
20,2010-06-29,3.87,3.94,3.81,3.81,56970
21,2010-06-30,3.65,3.81,3.65,3.71,76050
22,2010-07-01,3.71,3.74,3.71,3.74,58800
23,2010-07-02,3.74,3.87,3.71,3.71,27780
24,2010-07-05,3.65,3.71,3.65,3.71,56550
25,2010-07-06,3.71,3.71,3.58,3.65,34010
26,2010-07-07,3.65,3.65,3.58,3.58,64990
27,2010-07-08,3.71,3.71,3.58,3.61,66780
28,2010-07-09,3.65,3.65,3.55,3.55,53470
29,2010-07-12,3.55,3.55,3.52,3.55,78400
30,2010-07-13,3.55,3.65,3.55,3.65,73120
31,2010-07-14,3.65,3.65,3.55,3.58,54700
32,2010-07-15,3.55,3.61,3.52,3.55,43480
33,2010-07-16,3.55,3.61,3.52,3.55,96050
34,2010-07-19,3.55,3.58,3.52,3.58,116590
35,2010-07-20,3.65,3.65,3.55,3.61,140970
36,2010-07-21,3.58,3.61,3.55,3.55,90410
37,2010-07-22,3.58,3.58,3.52,3.55,79240
38,2010-07-23,3.55,3.55,3.49,3.49,159920
39,2010-07-26,3.49,3.55,3.49,3.49,135250
40,2010-07-27,3.49,3.52,3.45,3.49,90490
41,2010-07-28,3.45,3.52,3.36,3.36,74640
42,2010-07-29,3.36,3.36,3.32,3.36,49340
43,2010-07-30,3.32,3.42,3.32,3.39,58650
44,2010-08-02,3.32,3.32,3.29,3.29,28960
45,2010-08-03,3.29,3.32,3.23,3.26,35820
46,2010-08-04,3.23,3.23,3.16,3.19,46140
47,2010-08-05,3.19,3.26,3.16,3.16,44180
48,2010-08-06,3.13,3.19,3.13,3.13,44270
49,2010-08-09,3.0,3.16,3.0,3.0,81160
50,2010-08-10,2.94,3.0,2.87,2.97,67650
51,2010-08-11,2.94,3.07,2.9,2.94,47570
52,2010-08-12,2.9,2.97,2.84,2.84,101150
53,2010-08-13,2.9,2.9,2.84,2.87,48880
54,2010-08-16,2.87,3.0,2.87,3.0,71990
55,2010-08-17,2.97,2.97,2.9,2.97,29450
56,2010-08-18,2.9,3.0,2.87,2.9,37290
57,2010-08-19,2.87,2.9,2.87,2.87,7260
