,time,open,high,low,close,volume
0,2017-02-16,5.43,5.43,5.17,5.43,1900
1,2017-02-17,5.17,5.43,5.17,5.43,3900
2,2017-02-20,5.43,5.43,5.43,5.43,100
3,2017-02-21,5.43,5.43,5.43,5.43,0
4,2017-02-22,5.17,5.43,5.17,5.43,1800
5,2017-02-23,5.43,5.43,5.43,5.43,100
6,2017-02-24,5.43,5.43,5.43,5.43,400
7,2017-02-27,5.43,5.43,5.43,5.43,0
8,2017-02-28,5.43,5.43,5.43,5.43,1600
9,2017-03-01,5.43,5.43,5.43,5.43,0
10,2017-03-02,5.43,5.43,5.43,5.43,0
11,2017-03-03,5.43,5.43,5.43,5.43,0
12,2017-03-06,5.37,5.37,5.37,5.37,100
13,2017-03-07,5.37,5.37,5.37,5.37,0
14,2017-03-08,5.37,5.37,5.37,5.37,0
15,2017-03-09,5.37,5.37,5.37,5.37,0
16,2017-03-10,5.17,5.17,5.17,5.17,300
17,2017-03-13,5.17,5.17,5.12,5.12,3100
18,2017-03-14,5.12,5.12,5.12,5.12,100
19,2017-03-15,5.12,5.12,5.12,5.12,0
20,2017-03-16,5.01,5.01,5.01,5.01,100
21,2017-03-17,5.01,5.01,5.01,5.01,0
22,2017-03-20,5.01,5.01,5.01,5.01,0
23,2017-03-21,4.65,4.65,4.65,4.65,800
24,2017-03-22,4.65,4.65,4.65,4.65,100
25,2017-03-23,5.32,5.32,5.32,5.32,100
26,2017-03-24,5.32,5.32,5.32,5.32,0
27,2017-03-27,5.32,5.32,5.32,5.32,32
28,2017-03-28,5.32,5.32,5.32,5.32,0
29,2017-03-29,5.32,5.32,5.32,5.32,0
30,2017-03-30,5.32,5.32,5.32,5.32,132
31,2017-03-31,5.32,5.32,5.32,5.32,0
32,2017-04-03,5.22,5.22,5.22,5.22,100
33,2017-04-04,5.22,5.22,5.22,5.22,100
34,2017-04-05,5.22,5.22,5.22,5.22,0
35,2017-04-07,5.22,5.22,5.22,5.22,0
36,2017-04-10,5.22,5.22,5.22,5.22,0
37,2017-04-11,5.27,5.27,5.27,5.27,100
38,2017-04-12,5.27,5.27,5.27,5.27,0
39,2017-04-13,5.27,5.27,5.27,5.27,0
40,2017-04-14,5.27,5.27,5.27,5.27,0
41,2017-04-17,5.27,5.27,5.27,5.27,0
42,2017-04-18,5.22,5.22,5.17,5.17,200
43,2017-04-19,5.22,5.22,5.22,5.22,0
44,2017-04-20,5.22,5.22,5.22,5.22,0
45,2017-04-21,5.22,5.22,5.22,5.22,0
46,2017-04-24,5.22,5.22,5.22,5.22,0
47,2017-04-25,5.22,5.22,5.22,5.22,0
48,2017-04-26,5.22,5.22,5.22,5.22,0
49,2017-04-27,5.22,5.22,5.22,5.22,0
50,2017-04-28,5.22,5.22,5.22,5.22,0
51,2017-05-03,5.22,5.22,5.22,5.22,0
52,2017-05-04,5.22,5.22,5.22,5.22,0
53,2017-05-05,5.37,5.43,5.37,5.43,10000
54,2017-05-08,5.43,5.43,5.43,5.43,11000
55,2017-05-09,5.43,5.43,5.43,5.43,8000
56,2017-05-10,5.22,5.22,5.22,5.22,2400
57,2017-05-11,5.22,5.22,5.22,5.22,0
58,2017-05-12,4.7,4.7,4.7,4.7,100
59,2017-05-15,5.36,5.36,4.7,5.36,400
60,2017-05-16,5.79,5.79,5.79,5.79,100
61,2017-05-17,5.79,5.79,5.79,5.79,0
62,2017-05-18,5.79,5.79,5.79,5.79,0
63,2017-05-19,5.52,5.52,5.47,5.47,15200
64,2017-05-22,5.47,5.47,5.47,5.47,0
65,2017-05-23,5.47,5.47,5.47,5.47,0
66,2017-05-24,5.47,5.47,5.47,5.47,500
67,2017-05-25,5.47,5.74,5.47,5.74,500
68,2017-05-26,5.63,5.63,5.63,5.63,0
69,2017-05-29,5.63,5.63,5.63,5.63,0
70,2017-05-30,5.63,5.63,5.63,5.63,0
71,2017-05-31,5.63,5.63,5.63,5.63,0
72,2017-06-01,5.63,5.63,5.63,5.63,0
73,2017-06-02,5.47,5.47,5.47,5.47,200
74,2017-06-05,5.47,5.47,5.47,5.47,0
75,2017-06-06,5.74,5.74,5.74,5.74,1000
76,2017-06-07,5.74,5.74,5.74,5.74,0
77,2017-06-08,5.74,5.74,5.74,5.74,0
78,2017-06-09,5.74,5.74,5.74,5.74,0
79,2017-06-12,5.74,5.74,5.74,5.74,0
80,2017-06-13,5.74,5.74,5.74,5.74,0
81,2017-06-14,5.74,5.74,5.74,5.74,0
82,2017-06-15,5.74,5.74,5.74,5.74,0
83,2017-06-16,5.74,5.74,5.74,5.74,0
84,2017-06-19,5.74,5.74,5.74,5.74,0
85,2017-06-20,5.74,5.74,5.74,5.74,0
86,2017-06-21,5.74,5.74,5.74,5.74,0
87,2017-06-22,5.74,5.74,5.74,5.74,0
88,2017-06-23,5.74,5.74,5.74,5.74,0
89,2017-06-26,5.74,5.74,5.74,5.74,8900
90,2017-06-27,5.74,5.74,5.74,5.74,0
91,2017-06-28,5.74,5.74,5.74,5.74,0
92,2017-06-29,5.74,5.74,5.74,5.74,0
93,2017-06-30,5.74,5.74,5.74,5.74,0
94,2017-07-03,5.74,5.74,5.74,5.74,0
95,2017-07-04,5.74,5.74,5.74,5.74,0
96,2017-07-05,5.74,5.74,5.74,5.74,0
97,2017-07-06,5.74,5.74,5.74,5.74,0
98,2017-07-07,5.74,5.74,5.74,5.74,0
99,2017-07-10,5.69,5.69,5.52,5.52,200
100,2017-07-11,5.63,5.63,5.63,5.63,0
101,2017-07-12,6.48,6.48,6.48,6.48,22500
102,2017-07-13,7.32,7.32,7.32,7.32,100
103,2017-07-14,7.77,8.39,7.77,8.39,400
104,2017-07-17,9.29,9.29,9.29,9.29,100
105,2017-07-18,9.29,9.29,9.29,9.29,0
106,2017-07-19,9.29,9.29,9.29,9.29,0
107,2017-07-20,9.29,9.29,9.29,9.29,0
108,2017-07-21,9.29,9.29,9.29,9.29,0
109,2017-07-24,9.29,9.29,9.29,9.29,0
110,2017-07-25,9.29,9.29,9.29,9.29,0
111,2017-07-26,9.29,9.29,9.29,9.29,0
