,time,open,high,low,close,volume
0,2017-01-23,12.52,12.52,12.52,12.52,100
1,2017-01-24,14.36,14.36,14.36,14.36,100
2,2017-01-25,16.47,16.47,16.47,16.47,1100
3,2017-02-02,18.42,18.42,18.42,18.42,2100
4,2017-02-03,18.42,19.47,18.42,19.47,7400
5,2017-02-06,18.47,18.47,18.42,18.42,3300
6,2017-02-07,18.42,18.42,18.42,18.42,0
7,2017-02-08,15.78,17.36,15.78,17.36,700
8,2017-02-09,17.89,17.89,14.47,17.1,900
9,2017-02-10,17.36,17.36,14.36,14.36,700
10,2017-02-13,16.57,17.1,16.57,17.1,2500
11,2017-02-14,16.31,16.31,15.05,15.05,200
12,2017-02-15,13.94,16.21,13.94,16.21,200
13,2017-02-16,15.31,15.31,15.31,15.31,5000
14,2017-02-17,15.31,15.31,15.31,15.31,1600
15,2017-02-20,15.31,15.31,15.31,15.31,0
16,2017-02-21,15.0,15.0,15.0,15.0,4000
17,2017-02-22,15.0,15.0,15.0,15.0,0
18,2017-02-23,15.54,15.54,15.54,15.54,0
19,2017-02-24,15.54,15.54,15.54,15.54,0
20,2017-02-27,15.54,15.54,15.54,15.54,0
21,2017-02-28,15.54,15.54,15.54,15.54,0
22,2017-03-01,16.36,16.36,16.36,16.36,2000
23,2017-03-02,18.0,18.0,18.0,18.0,500
24,2017-03-03,15.54,18.0,15.54,18.0,2200
25,2017-03-06,17.72,17.72,17.72,17.72,200
26,2017-03-07,17.72,17.72,17.72,17.72,200
27,2017-03-08,17.72,17.72,17.72,17.72,100
28,2017-03-09,17.72,17.72,17.72,17.72,0
29,2017-03-10,17.72,17.72,17.72,17.72,0
30,2017-03-13,17.72,17.72,17.72,17.72,0
31,2017-03-14,17.72,17.72,17.72,17.72,0
32,2017-03-15,17.72,17.72,17.72,17.72,0
33,2017-03-16,18.21,18.21,15.32,15.32,1300
34,2017-03-17,15.32,15.32,15.32,15.32,0
35,2017-03-20,15.98,15.98,15.16,15.16,8400
36,2017-03-21,15.27,15.27,15.27,15.27,0
37,2017-03-22,14.78,14.78,14.78,14.78,1000
38,2017-03-23,14.78,14.78,14.78,14.78,0
39,2017-03-24,14.78,14.78,14.78,14.78,0
40,2017-03-27,14.78,14.78,14.78,14.78,400
41,2017-03-28,14.78,14.78,14.78,14.78,0
42,2017-03-29,14.78,14.78,14.78,14.78,0
43,2017-03-30,14.78,14.78,14.78,14.78,0
44,2017-03-31,14.78,14.78,14.78,14.78,0
45,2017-04-03,14.78,14.78,14.78,14.78,0
46,2017-04-04,14.78,14.78,14.78,14.78,0
47,2017-04-05,14.78,14.78,14.78,14.78,0
48,2017-04-07,14.78,14.78,14.78,14.78,0
49,2017-04-10,14.78,14.78,14.78,14.78,0
50,2017-04-11,14.78,14.78,14.78,14.78,0
51,2017-04-12,14.78,14.78,14.78,14.78,0
52,2017-04-13,14.78,14.78,14.78,14.78,0
53,2017-04-14,14.78,14.78,14.78,14.78,0
54,2017-04-17,14.78,14.78,14.78,14.78,0
55,2017-04-18,14.78,14.78,14.78,14.78,0
56,2017-04-19,14.78,14.78,14.78,14.78,0
57,2017-04-20,14.78,14.78,14.78,14.78,0
58,2017-04-21,14.78,14.78,14.78,14.78,0
59,2017-04-24,14.78,14.78,14.78,14.78,0
60,2017-04-25,14.78,14.78,14.78,14.78,0
61,2017-04-26,15.0,15.0,15.0,15.0,5000
62,2017-04-27,15.0,15.0,15.0,15.0,2000
63,2017-04-28,15.0,15.0,15.0,15.0,0
64,2017-05-03,13.91,13.91,13.91,13.91,2000
65,2017-05-04,13.91,13.96,13.91,13.91,3000
66,2017-05-05,13.63,13.63,13.63,13.63,7500
67,2017-05-08,13.63,13.63,13.63,13.63,0
68,2017-05-09,13.63,13.63,13.63,13.63,0
69,2017-05-10,13.63,13.63,13.63,13.63,0
70,2017-05-11,12.81,13.63,12.81,13.63,3000
71,2017-05-12,13.09,13.09,13.09,13.09,0
72,2017-05-15,12.81,12.81,12.81,12.81,2000
73,2017-05-16,12.81,12.81,12.81,12.81,0
74,2017-05-17,12.81,12.81,12.81,12.81,0
