,time,open,high,low,close,volume
0,2007-09-19,15.42,20.78,15.0,20.78,149200
1,2007-09-20,19.41,19.41,19.41,19.41,12200
2,2007-09-21,21.34,21.34,21.34,21.34,82300
3,2007-09-24,23.46,23.46,23.46,23.46,21900
4,2007-09-25,25.79,25.79,25.79,25.79,75600
5,2007-09-26,28.36,28.36,28.36,28.36,32600
6,2007-09-27,31.19,31.19,31.19,31.19,68700
7,2007-09-28,34.3,34.3,28.6,34.27,387700
8,2007-10-01,36.84,36.84,34.49,36.1,101600
9,2007-10-02,38.56,39.31,33.42,33.85,59100
10,2007-10-03,33.2,33.85,32.03,33.2,75000
11,2007-10-04,33.42,34.27,31.49,32.35,123700
12,2007-10-05,32.56,32.56,31.49,32.03,60500
13,2007-10-08,32.77,32.77,31.7,32.13,83800
14,2007-10-09,32.56,33.4,32.09,33.4,86200
15,2007-10-10,33.63,35.24,33.63,35.11,33800
16,2007-10-11,36.42,36.42,35.35,36.1,43800
17,2007-10-12,36.2,36.42,35.35,36.01,45800
18,2007-10-15,35.99,39.61,35.99,39.61,176800
19,2007-10-16,40.79,40.79,40.49,40.79,93200
20,2007-10-17,44.75,44.77,38.13,38.13,50600
21,2007-10-18,37.7,38.56,37.08,37.49,60400
22,2007-10-19,38.56,41.09,36.42,40.49,103800
23,2007-10-22,41.56,42.09,40.06,41.34,93200
24,2007-10-23,42.84,45.16,41.24,45.16,153500
25,2007-10-24,49.4,49.4,49.4,49.4,35500
26,2007-10-25,54.32,54.32,54.32,54.32,20700
27,2007-10-26,59.74,59.74,51.41,55.7,105000
28,2007-10-29,54.2,57.15,51.67,51.67,54100
29,2007-10-30,47.17,52.48,47.13,47.6,184900
30,2007-10-31,46.06,51.84,46.06,51.41,71800
31,2007-11-01,54.52,54.62,51.54,54.62,45000
32,2007-11-02,57.62,57.62,50.34,53.13,45700
33,2007-11-05,51.41,51.41,49.27,50.98,37000
34,2007-11-06,50.77,51.2,49.27,50.34,34100
35,2007-11-07,55.42,55.42,51.41,51.41,57900
36,2007-11-08,52.48,53.06,51.41,52.05,24800
37,2007-11-09,51.41,51.41,49.25,50.98,45300
38,2007-11-12,50.98,51.73,50.34,50.73,31800
39,2007-11-13,50.55,50.55,45.73,47.34,41200
40,2007-11-14,47.77,51.69,47.77,50.98,79300
41,2007-11-15,52.48,52.48,47.88,48.31,21100
42,2007-11-16,50.45,52.48,49.27,51.41,76400
43,2007-11-19,51.2,51.41,50.98,51.3,25100
44,2007-11-20,51.41,51.41,49.51,50.45,15600
45,2007-11-21,49.83,50.1,47.34,49.27,24700
46,2007-11-22,50.96,50.96,49.27,49.91,8200
47,2007-11-23,50.13,50.13,48.84,49.27,22100
48,2007-11-26,49.27,50.77,49.27,50.34,25000
49,2007-11-27,51.41,51.41,49.95,50.55,24200
50,2007-11-28,50.51,50.55,49.23,49.95,21700
51,2007-11-29,50.77,54.97,50.13,52.05,33400
52,2007-11-30,51.41,55.48,51.41,52.48,37900
53,2007-12-03,50.34,55.7,49.91,51.2,55400
54,2007-12-04,50.77,51.63,50.77,50.98,29200
55,2007-12-05,51.22,51.22,49.72,50.13,12100
56,2007-12-06,49.27,50.13,48.88,49.27,38500
57,2007-12-07,49.7,49.91,49.27,49.27,16800
58,2007-12-10,49.27,49.27,47.56,47.77,33500
59,2007-12-11,47.13,47.13,43.91,44.45,43200
60,2007-12-12,47.13,47.13,42.84,44.66,24000
61,2007-12-13,44.66,44.66,42.95,42.95,14200
62,2007-12-14,43.91,44.56,43.91,44.04,25700
63,2007-12-17,44.13,44.34,41.13,41.15,21600
64,2007-12-18,39.63,43.27,39.63,41.79,13900
65,2007-12-19,42.86,46.18,42.84,45.41,36600
66,2007-12-20,44.99,44.99,41.99,42.84,7900
67,2007-12-21,44.99,44.99,42.84,42.84,10100
68,2007-12-24,44.99,44.99,43.27,44.45,15500
69,2007-12-25,44.56,44.56,43.7,43.81,6100
70,2007-12-26,43.89,44.45,43.7,43.91,20800
71,2007-12-27,44.02,44.02,43.7,43.7,7800
72,2007-12-28,43.72,43.89,43.7,43.7,5800
73,2008-01-02,43.7,43.7,43.7,43.7,1000
74,2008-01-03,42.89,42.89,41.99,41.99,1800
75,2008-01-04,42.78,42.78,41.13,41.24,5700
76,2008-01-07,41.64,41.64,38.56,40.49,6000
77,2008-01-08,41.56,41.77,38.56,38.56,12200
78,2008-01-09,40.27,40.27,37.06,38.13,12100
79,2008-01-10,37.92,37.92,35.02,36.2,39600
80,2008-01-11,36.42,36.84,35.35,36.2,20100
81,2008-01-14,34.92,34.92,32.56,32.62,13300
82,2008-01-15,29.88,31.06,29.71,30.2,23100
83,2008-01-16,32.35,32.86,32.13,32.86,12100
84,2008-01-17,35.88,35.99,31.06,32.77,24000
85,2008-01-18,32.99,35.35,32.13,33.95,18700
86,2008-01-21,34.27,34.27,32.62,33.85,30400
87,2008-01-22,33.85,34.27,32.56,33.85,18600
88,2008-01-23,34.7,36.87,33.2,34.06,33500
89,2008-01-24,34.7,35.67,33.27,33.85,27300
90,2008-01-25,34.27,34.49,33.33,33.74,17700
91,2008-01-28,34.06,34.08,33.46,33.61,11100
92,2008-01-29,34.27,34.92,33.37,34.53,23000
93,2008-01-30,36.37,37.72,36.37,37.72,58100
94,2008-01-31,37.83,37.83,34.45,37.64,18600
95,2008-02-01,35.99,38.99,35.99,38.02,25600
96,2008-02-12,41.84,41.84,36.25,37.49,11700
97,2008-02-13,38.34,38.34,35.56,36.42,25600
98,2008-02-14,37.49,37.49,36.01,36.42,19900
99,2008-02-15,36.74,36.74,35.45,35.56,17300
100,2008-02-18,34.81,34.81,32.15,33.42,34200
101,2008-02-19,32.13,34.0,32.13,32.77,11200
102,2008-02-20,33.63,33.63,30.03,30.63,36300
103,2008-02-21,28.51,28.7,28.51,28.51,36300
104,2008-02-22,25.68,28.36,25.68,27.85,81100
105,2008-02-25,27.85,29.05,27.85,29.05,19300
106,2008-02-26,31.7,31.7,26.46,26.56,41900
107,2008-02-27,27.85,29.99,26.99,27.31,32000
108,2008-02-28,27.53,28.06,27.12,27.21,22300
109,2008-02-29,26.56,26.78,24.63,24.63,149600
110,2008-03-03,25.49,25.92,22.43,22.43,52900
111,2008-03-04,20.99,21.42,20.8,20.8,33700
112,2008-03-05,18.77,18.77,18.77,18.77,48600
113,2008-03-06,16.9,20.63,16.9,20.63,72000
114,2008-03-07,22.26,22.39,22.26,22.39,52200
115,2008-03-10,24.61,24.61,21.42,22.49,153200
116,2008-03-11,21.42,22.49,21.29,21.29,70300
117,2008-03-12,19.92,22.71,19.81,21.44,72400
118,2008-03-13,22.49,22.92,21.42,21.91,47500
119,2008-03-14,22.06,22.49,20.78,21.76,28600
120,2008-03-17,21.42,21.42,19.32,19.32,58100
121,2008-03-18,17.89,17.99,17.65,17.65,137300
122,2008-03-19,18.21,19.39,16.49,17.24,50800
123,2008-03-20,17.93,18.42,17.16,17.35,43900
124,2008-03-21,17.99,17.99,16.28,17.14,62800
125,2008-03-24,16.07,16.07,15.21,15.21,60200
126,2008-03-25,13.75,13.77,13.71,13.71,58400
127,2008-03-26,12.34,15.08,12.34,15.04,83300
128,2008-03-27,15.08,15.08,15.08,15.08,1900
129,2008-03-28,15.38,15.38,15.38,15.38,700
130,2008-03-31,15.68,15.68,15.68,15.68,1500
131,2008-04-01,15.98,15.98,15.98,15.98,600
132,2008-04-02,16.28,16.28,16.28,16.28,100
133,2008-04-03,16.6,16.6,16.6,16.6,200
134,2008-04-04,16.92,16.92,16.92,16.92,3400
135,2008-04-07,17.42,17.42,17.42,17.42,2000
136,2008-04-08,17.93,17.93,16.9,17.72,121500
137,2008-04-09,17.16,17.16,16.88,16.88,22900
138,2008-04-10,16.43,16.43,16.43,16.43,3500
139,2008-04-11,15.94,15.94,15.94,15.94,18900
140,2008-04-16,15.47,15.47,15.47,15.47,13900
141,2008-04-17,15.02,15.92,15.02,15.92,80400
142,2008-04-18,15.98,15.98,15.1,15.42,22900
143,2008-04-21,15.89,15.89,15.64,15.85,75700
144,2008-04-22,16.34,16.34,15.4,15.47,21400
145,2008-04-23,15.4,15.4,15.06,15.06,15600
146,2008-04-24,14.63,15.53,14.63,14.74,100900
147,2008-04-25,15.0,15.29,14.82,15.1,64900
148,2008-04-28,15.42,15.49,15.0,15.49,53500
149,2008-04-29,15.92,15.92,15.55,15.66,51000
150,2008-05-05,15.96,15.96,15.38,15.4,39400
151,2008-05-06,15.08,15.21,15.08,15.08,16300
152,2008-05-07,13.69,13.69,13.69,13.69,1800
153,2008-05-08,13.28,13.28,13.28,13.28,2500
154,2008-05-09,12.9,12.9,12.9,12.9,400
155,2008-05-12,12.51,12.51,12.51,12.51,300
156,2008-05-13,12.15,12.15,12.15,12.15,200
157,2008-05-14,11.78,11.78,11.78,11.78,500
158,2008-05-15,11.44,11.44,11.44,11.44,200
159,2008-05-16,11.1,11.78,11.1,11.1,86700
160,2008-05-19,10.86,10.92,10.86,10.86,13800
161,2008-05-20,10.54,10.54,10.54,10.54,1800
162,2008-05-21,10.24,10.24,10.24,10.24,1300
163,2008-05-22,9.94,9.94,9.94,9.94,500
164,2008-05-23,9.66,9.66,9.66,9.66,4100
165,2008-05-26,9.38,9.38,9.38,9.38,6500
166,2008-05-27,9.1,9.1,9.1,9.1,3100
167,2008-05-28,8.85,8.85,8.85,8.85,5900
168,2008-05-29,8.59,9.0,8.59,8.59,77600
169,2008-05-30,8.38,8.38,8.38,8.38,16200
170,2008-06-02,8.14,8.14,8.14,8.14,1100
171,2008-06-03,7.9,7.9,7.9,7.9,2100
172,2008-06-04,7.67,7.67,7.67,7.67,2000
173,2008-06-05,7.45,7.45,7.45,7.45,3800
174,2008-06-06,7.24,7.24,7.24,7.24,21000
175,2008-06-09,7.03,7.22,7.03,7.03,31500
176,2008-06-10,6.83,7.22,6.83,7.22,54600
177,2008-06-11,6.79,7.15,6.79,7.15,9600
178,2008-06-12,7.26,7.26,7.26,7.26,3800
179,2008-06-13,7.48,7.48,7.48,7.48,3200
180,2008-06-16,7.69,7.69,7.69,7.69,700
181,2008-06-17,7.9,7.9,7.9,7.9,500
182,2008-06-18,8.14,8.14,7.67,7.67,51900
183,2008-06-19,7.67,7.67,7.67,7.67,8200
184,2008-06-20,7.37,7.82,7.37,7.5,64300
185,2008-06-23,7.73,7.73,7.71,7.73,37600
186,2008-06-24,8.03,8.03,8.03,8.03,23100
