,time,open,high,low,close,volume
0,2017-07-12,26.74,26.74,26.74,26.74,200
1,2017-07-13,30.74,30.74,30.74,30.74,100
2,2017-07-14,35.33,35.33,35.33,35.33,4470
3,2017-07-17,40.62,40.62,36.73,40.62,134340
4,2017-07-18,40.4,40.55,38.56,39.12,59890
5,2017-07-19,39.12,39.12,35.26,36.36,37590
6,2017-07-20,36.73,36.73,33.46,33.79,27920
7,2017-07-21,34.16,34.16,32.69,32.69,38810
8,2017-07-24,32.69,33.06,32.5,32.5,17320
9,2017-07-25,31.59,32.03,28.65,29.38,60040
10,2017-07-26,29.75,33.06,29.75,32.87,32800
11,2017-07-27,31.66,33.06,31.66,31.95,18022
12,2017-07-28,32.17,32.17,31.4,31.4,19000
13,2017-07-31,33.06,33.06,31.66,31.66,54530
14,2017-08-01,31.95,32.54,31.7,31.88,35900
15,2017-08-02,31.26,32.5,31.26,32.47,18500
16,2017-08-03,32.32,33.06,32.17,33.02,25090
17,2017-08-04,33.06,33.24,33.02,33.09,48960
18,2017-08-07,33.13,33.35,33.13,33.28,27600
19,2017-08-08,33.28,35.26,33.28,33.61,53166
20,2017-08-09,34.16,34.89,34.16,34.74,27910
21,2017-08-10,34.89,35.08,34.52,34.71,30410
22,2017-08-11,34.89,34.89,33.64,33.68,16900
23,2017-08-14,33.64,33.64,33.06,33.06,9410
24,2017-08-15,33.06,33.06,32.69,32.69,15060
25,2017-08-16,33.42,33.42,33.17,33.17,17600
26,2017-08-17,33.28,33.31,33.06,33.17,25400
27,2017-08-18,33.06,33.2,32.98,33.17,8900
28,2017-08-21,33.06,33.09,32.83,32.91,21600
29,2017-08-22,32.95,33.17,32.95,33.09,3200
30,2017-08-23,33.02,33.61,33.02,33.06,16810
31,2017-08-24,33.13,33.24,33.09,33.17,17200
32,2017-08-25,33.61,33.61,33.24,33.5,30240
33,2017-08-28,33.79,33.79,33.39,33.46,27500
34,2017-08-29,33.42,33.42,33.13,33.24,32020
35,2017-08-30,33.28,33.28,32.98,32.98,18200
36,2017-08-31,33.09,33.09,33.02,33.06,19910
37,2017-09-01,32.87,32.87,32.58,32.65,6400
38,2017-09-05,33.06,33.06,32.98,33.02,4000
39,2017-09-06,32.95,32.95,32.8,32.8,1050
