,time,open,high,low,close,volume
0,2017-10-25,11.44,0.0,0.0,0.0,0
1,2017-10-26,11.44,11.44,11.44,11.44,0
2,2017-10-27,11.44,11.44,11.44,11.44,0
3,2017-10-30,11.44,11.44,11.44,11.44,0
4,2017-10-31,11.44,11.44,11.44,11.44,0
5,2017-11-01,11.44,11.44,11.44,11.44,0
6,2017-11-02,11.44,11.44,11.44,11.44,0
7,2017-11-03,11.44,11.44,11.44,11.44,0
8,2017-11-06,11.44,11.44,11.44,11.44,0
9,2017-11-07,11.44,11.44,11.44,11.44,0
10,2017-11-08,11.44,11.44,11.44,11.44,0
11,2017-11-09,11.44,11.44,11.44,11.44,0
12,2017-11-10,11.44,11.44,11.44,11.44,0
13,2017-11-13,11.44,11.44,11.44,11.44,0
14,2017-11-14,11.44,11.44,11.44,11.44,0
15,2017-11-15,11.44,11.44,11.44,11.44,0
16,2017-11-16,11.44,11.44,11.44,11.44,0
17,2017-11-17,11.44,11.44,11.44,11.44,0
18,2017-11-20,11.44,11.44,11.44,11.44,0
19,2017-11-21,11.44,11.44,11.44,11.44,0
20,2017-11-22,11.44,11.44,11.44,11.44,0
21,2017-11-23,11.44,11.44,11.44,11.44,0
22,2017-11-24,11.44,11.44,11.44,11.44,0
23,2017-11-27,11.44,11.44,11.44,11.44,0
24,2017-11-28,11.44,11.44,11.44,11.44,0
25,2017-11-29,11.44,11.44,11.44,11.44,0
26,2017-11-30,11.44,11.44,11.44,11.44,0
27,2017-12-01,11.44,11.44,11.44,11.44,0
28,2017-12-04,11.44,11.44,11.44,11.44,0
29,2017-12-05,11.44,11.44,11.44,11.44,0
30,2017-12-06,11.44,11.44,11.44,11.44,0
31,2017-12-07,11.44,11.44,11.44,11.44,0
32,2017-12-08,11.44,11.44,11.44,11.44,0
33,2017-12-11,11.44,11.44,11.44,11.44,0
34,2017-12-12,11.44,11.44,11.44,11.44,0
35,2017-12-13,11.44,11.44,11.44,11.44,0
36,2017-12-14,11.44,11.44,11.44,11.44,0
37,2017-12-15,11.44,11.44,11.44,11.44,0
38,2017-12-18,11.44,11.44,11.44,11.44,0
39,2017-12-19,11.44,11.44,11.44,11.44,0
40,2017-12-20,11.44,11.44,11.44,11.44,0
41,2017-12-21,11.44,11.44,11.44,11.44,0
42,2017-12-22,11.44,11.44,11.44,11.44,0
43,2017-12-25,11.44,11.44,11.44,11.44,0
44,2017-12-26,11.44,11.44,11.44,11.44,0
45,2017-12-27,11.44,11.44,11.44,11.44,0
46,2017-12-28,11.44,11.44,11.44,11.44,0
47,2017-12-29,11.44,11.44,11.44,11.44,0
48,2018-01-02,11.44,11.44,11.44,11.44,0
49,2018-01-03,11.44,11.44,11.44,11.44,0
50,2018-01-04,11.44,11.44,11.44,11.44,0
51,2018-01-05,11.44,11.44,11.44,11.44,0
52,2018-01-08,11.44,11.44,11.44,11.44,0
53,2018-01-09,11.44,11.44,11.44,11.44,0
54,2018-01-10,11.44,11.44,11.44,11.44,0
55,2018-01-11,11.44,11.44,11.44,11.44,0
56,2018-01-12,11.44,11.44,11.44,11.44,0
57,2018-01-15,11.44,11.44,11.44,11.44,0
58,2018-01-16,11.44,11.44,11.44,11.44,0
59,2018-01-17,11.44,11.44,11.44,11.44,0
60,2018-01-18,11.44,11.44,11.44,11.44,0
61,2018-01-19,11.44,11.44,11.44,11.44,0
62,2018-01-22,11.44,11.44,11.44,11.44,0
63,2018-01-23,11.44,11.44,11.44,11.44,0
64,2018-01-24,11.44,11.44,11.44,11.44,0
65,2018-01-25,11.44,11.44,11.44,11.44,0
66,2018-01-26,11.44,11.44,11.44,11.44,0
67,2018-01-29,11.44,11.44,11.44,11.44,0
68,2018-01-30,11.44,11.44,11.44,11.44,0
69,2018-01-31,11.44,11.44,11.44,11.44,0
70,2018-02-01,11.44,11.44,11.44,11.44,0
71,2018-02-02,11.44,11.44,11.44,11.44,0
72,2018-02-05,11.44,11.44,11.44,11.44,0
73,2018-02-06,11.44,11.44,11.44,11.44,0
74,2018-02-07,11.44,11.44,11.44,11.44,0
75,2018-02-08,11.44,11.44,11.44,11.44,0
76,2018-02-09,11.44,11.44,11.44,11.44,0
77,2018-02-12,11.44,11.44,11.44,11.44,0
78,2018-02-13,11.44,11.44,11.44,11.44,0
79,2018-02-21,11.44,11.44,11.44,11.44,0
80,2018-02-22,11.44,11.44,11.44,11.44,0
81,2018-02-23,11.44,11.44,11.44,11.44,0
82,2018-02-26,11.44,11.44,11.44,11.44,0
83,2018-02-27,11.44,11.44,11.44,11.44,0
84,2018-02-28,11.44,11.44,11.44,11.44,0
85,2018-03-01,11.44,11.44,11.44,11.44,0
86,2018-03-02,11.44,11.44,11.44,11.44,0
87,2018-03-05,11.44,11.44,11.44,11.44,0
88,2018-03-06,11.44,11.44,11.44,11.44,0
89,2018-03-07,11.44,11.44,11.44,11.44,0
90,2018-03-08,11.44,11.44,11.44,11.44,0
91,2018-03-09,11.44,11.44,11.44,11.44,0
92,2018-03-12,11.44,11.44,11.44,11.44,0
93,2018-03-13,11.44,11.44,11.44,11.44,0
94,2018-03-14,11.44,11.44,11.44,11.44,0
95,2018-03-15,11.44,11.44,11.44,11.44,0
96,2018-03-16,11.44,11.44,11.44,11.44,0
97,2018-03-19,11.44,11.44,11.44,11.44,0
98,2018-03-20,11.44,11.44,11.44,11.44,0
99,2018-03-21,11.44,11.44,11.44,11.44,0
100,2018-03-22,11.44,11.44,11.44,11.44,0
101,2018-03-23,11.44,11.44,11.44,11.44,0
102,2018-03-26,11.44,11.44,11.44,11.44,0
103,2018-03-27,11.44,11.44,11.44,11.44,0
104,2018-03-28,11.44,11.44,11.44,11.44,0
105,2018-03-29,11.44,11.44,11.44,11.44,0
106,2018-03-30,11.44,11.44,11.44,11.44,0
107,2018-04-02,11.44,11.44,11.44,11.44,0
108,2018-04-03,11.44,11.44,11.44,11.44,0
109,2018-04-04,11.44,11.44,11.44,11.44,0
110,2018-04-05,11.44,11.44,11.44,11.44,0
111,2018-04-06,11.44,11.44,11.44,11.44,0
112,2018-04-09,11.44,11.44,11.44,11.44,0
113,2018-04-10,11.44,11.44,11.44,11.44,0
114,2018-04-11,11.44,11.44,11.44,11.44,0
115,2018-04-12,11.44,11.44,11.44,11.44,0
116,2018-04-13,11.44,11.44,11.44,11.44,0
117,2018-04-16,11.44,11.44,11.44,11.44,0
118,2018-04-17,11.44,11.44,11.44,11.44,0
119,2018-04-18,11.44,11.44,11.44,11.44,0
120,2018-04-19,11.44,11.44,11.44,11.44,0
121,2018-04-20,11.44,11.44,11.44,11.44,0
122,2018-04-23,11.44,11.44,11.44,11.44,0
123,2018-04-24,11.44,11.44,11.44,11.44,0
124,2018-04-26,11.44,11.44,11.44,11.44,0
125,2018-04-27,11.44,11.44,11.44,11.44,0
126,2018-05-02,11.44,11.44,11.44,11.44,0
127,2018-05-03,11.44,11.44,11.44,11.44,0
128,2018-05-04,11.44,11.44,11.44,11.44,0
129,2018-05-07,11.44,11.44,11.44,11.44,0
