,time,open,high,low,close,volume
0,2008-11-28,14.8,17.5,14.8,17.5,59000
1,2008-12-01,17.0,17.0,15.0,16.1,21500
2,2008-12-02,16.0,16.0,14.6,14.6,2500
3,2008-12-03,15.0,15.0,13.7,13.7,7300
4,2008-12-04,13.0,13.0,13.0,13.0,10400
5,2008-12-05,12.3,12.3,12.1,12.1,5100
6,2008-12-08,11.3,12.9,11.3,11.3,15100
7,2008-12-09,10.9,11.0,10.7,10.7,22800
8,2008-12-10,11.4,11.4,11.4,11.4,500
9,2008-12-11,12.0,12.0,10.7,10.7,3300
10,2008-12-12,11.4,11.5,11.4,11.5,8000
11,2008-12-15,12.2,12.2,11.1,11.1,6100
12,2008-12-16,10.8,10.8,10.8,10.8,5700
13,2008-12-17,11.5,11.5,10.6,11.3,4600
14,2008-12-18,11.2,11.5,11.0,11.5,11200
15,2008-12-19,11.0,11.5,11.0,11.3,3400
16,2008-12-22,11.8,11.8,11.2,11.4,1200
17,2008-12-23,11.3,11.4,10.7,10.7,2200
18,2008-12-24,11.4,11.4,10.3,10.3,6000
19,2008-12-25,10.2,10.9,10.1,10.9,4000
20,2008-12-26,10.7,10.7,10.7,10.7,500
21,2008-12-29,11.2,11.2,11.2,11.2,100
22,2008-12-30,11.5,11.5,11.5,11.5,100
23,2008-12-31,11.3,11.3,10.7,10.7,2200
24,2009-01-02,11.1,11.1,11.1,11.1,100
25,2009-01-05,11.1,11.1,10.4,11.1,700
26,2009-01-06,11.0,11.0,10.8,11.0,2000
27,2009-01-07,11.4,11.4,10.2,11.3,2000
28,2009-01-08,11.2,11.2,10.5,10.8,500
29,2009-01-09,11.4,11.4,10.7,10.7,9300
30,2009-01-12,11.8,11.8,11.0,11.1,6300
31,2009-01-13,11.5,11.7,11.3,11.3,15200
32,2009-01-14,11.7,11.7,11.7,11.7,1000
33,2009-01-15,12.5,12.5,11.4,11.4,1200
34,2009-01-16,11.8,11.8,11.2,11.2,3800
35,2009-01-19,11.0,11.4,10.6,10.6,5600
36,2009-01-20,10.3,10.5,10.1,10.5,2800
37,2009-01-21,11.0,11.0,11.0,11.0,100
38,2009-01-22,11.6,11.6,11.6,11.6,100
39,2009-01-23,10.8,11.0,10.8,11.0,500
40,2009-02-02,11.0,11.0,11.0,11.0,100
41,2009-02-03,11.2,11.2,11.2,11.2,100
42,2009-02-04,11.2,11.2,10.5,10.5,300
43,2009-02-05,10.0,10.0,10.0,10.0,1200
44,2009-02-06,10.7,10.7,10.0,10.0,600
45,2009-02-09,10.7,10.8,10.5,10.7,4500
46,2009-02-10,10.7,10.7,10.0,10.0,2600
47,2009-02-11,10.8,10.8,10.8,10.8,100
48,2009-02-12,11.1,11.1,10.7,10.7,1100
49,2009-02-13,10.5,10.5,10.2,10.2,4300
50,2009-02-16,10.8,10.8,9.5,9.5,2400
51,2009-02-17,9.9,9.9,9.1,9.1,1700
52,2009-02-18,8.8,8.9,8.8,8.9,3300
53,2009-02-19,9.3,9.3,9.0,9.2,6600
54,2009-02-20,9.5,9.5,9.2,9.3,1600
55,2009-02-23,9.6,9.6,8.6,8.6,6500
56,2009-02-24,9.2,9.2,8.1,8.1,1500
57,2009-02-25,8.9,8.9,8.8,8.9,5600
58,2009-02-26,9.0,9.5,9.0,9.5,4100
59,2009-02-27,9.8,9.8,9.2,9.2,6600
60,2009-03-02,10.0,10.0,9.9,9.9,500
61,2009-03-03,9.3,9.3,9.3,9.3,200
