,time,open,high,low,close,volume
0,2006-12-21,33.48,35.71,33.26,33.26,13800
1,2006-12-22,33.48,33.48,30.62,30.62,4600
2,2006-12-25,27.99,27.99,27.99,27.99,4000
3,2006-12-26,25.22,25.22,25.22,25.22,600
4,2006-12-27,22.72,24.11,22.72,24.11,1800
5,2006-12-28,22.32,24.11,22.32,24.11,4600
6,2006-12-29,24.11,25.67,24.11,25.67,5300
7,2007-01-02,26.56,26.74,26.56,25.67,5000
8,2007-01-03,29.02,29.33,28.97,29.33,2700
9,2007-01-04,31.25,31.47,31.25,31.47,3100
10,2007-01-05,32.14,33.48,31.47,33.04,7700
11,2007-01-08,33.08,33.08,31.21,31.21,11100
12,2007-01-09,32.37,32.37,32.37,32.37,3600
13,2007-01-10,32.37,33.93,32.37,33.48,12500
14,2007-01-11,33.26,33.93,33.26,33.93,16400
15,2007-01-12,36.16,37.05,35.71,37.05,4000
16,2007-01-15,39.73,40.09,39.73,40.0,14300
17,2007-01-16,43.97,43.97,43.97,43.97,7000
18,2007-01-17,48.21,48.35,39.6,44.2,18000
19,2007-01-18,49.11,49.11,43.75,46.87,19900
20,2007-01-19,45.54,48.21,45.54,46.43,23200
21,2007-01-22,47.77,49.11,46.87,46.43,17500
22,2007-01-23,47.32,48.21,47.32,48.21,22700
23,2007-01-24,48.21,48.66,47.77,48.21,14900
24,2007-01-25,48.66,48.66,47.32,47.77,7100
25,2007-01-26,48.21,52.59,48.21,48.88,22000
26,2007-01-29,49.55,54.37,49.11,53.57,11400
27,2007-01-30,58.21,58.21,58.21,58.21,1500
28,2007-01-31,64.02,64.02,64.02,64.02,6200
29,2007-02-01,70.4,70.4,70.4,70.4,8000
30,2007-02-02,77.23,77.41,77.23,77.41,6000
31,2007-02-05,85.13,85.13,85.13,85.13,15600
32,2007-02-06,93.62,93.62,93.62,93.62,11900
33,2007-02-07,102.95,102.95,102.95,102.95,7000
34,2007-02-08,113.21,113.21,113.21,113.21,14400
35,2007-02-09,124.51,124.51,102.23,114.28,17000
36,2007-02-12,115.13,115.13,106.47,106.47,4000
