,time,open,high,low,close,volume
0,2009-09-28,39.03,48.44,39.03,47.3,630600
1,2009-09-29,49.29,49.29,43.37,45.02,118700
2,2009-09-30,46.16,46.16,42.62,42.62,57100
3,2009-10-01,40.17,41.37,40.17,40.17,25500
4,2009-10-02,37.44,37.44,37.44,37.44,37700
5,2009-10-05,34.87,36.07,34.87,34.87,224100
6,2009-10-06,34.87,37.38,32.77,37.38,223500
7,2009-10-07,39.55,39.55,39.49,39.55,89100
8,2009-10-08,41.6,41.6,38.75,39.6,78400
9,2009-10-09,39.26,40.97,38.75,39.32,228400
10,2009-10-12,40.92,41.54,39.6,40.97,176700
11,2009-10-13,43.71,43.71,40.17,40.46,138900
12,2009-10-14,42.17,42.17,38.18,40.46,116400
13,2009-10-15,41.6,42.74,40.23,40.57,141000
14,2009-10-16,41.31,41.31,38.75,39.32,190800
15,2009-10-19,39.26,41.94,39.26,41.94,267100
16,2009-10-20,44.05,44.05,44.05,44.05,31000
17,2009-10-21,47.13,47.13,44.05,47.13,469000
18,2009-10-22,48.44,48.44,44.45,46.73,232400
19,2009-10-23,46.73,46.73,43.88,43.88,290900
20,2009-10-26,44.96,45.59,43.31,43.48,133500
21,2009-10-27,41.71,42.45,41.49,41.94,85600
22,2009-10-28,41.03,43.88,41.03,42.51,44800
23,2009-10-29,41.88,41.88,39.89,41.6,86300
24,2009-10-30,43.59,43.59,41.6,42.68,22900
25,2009-11-02,39.89,39.89,38.75,38.75,48300
26,2009-11-03,37.1,39.03,36.36,36.76,105600
27,2009-11-04,34.31,38.98,34.31,38.07,89400
28,2009-11-05,38.75,40.74,38.18,40.74,64700
29,2009-11-06,43.02,43.02,37.67,37.67,43400
30,2009-11-09,38.18,38.18,37.27,37.9,66200
31,2009-11-10,37.78,39.32,35.1,38.18,54800
32,2009-11-11,39.55,40.57,37.95,39.89,78400
33,2009-11-12,41.03,41.6,40.35,41.49,46700
34,2009-11-13,41.03,41.6,39.89,41.03,46200
35,2009-11-16,41.31,41.54,40.74,40.74,30300
36,2009-11-17,41.31,41.31,40.17,40.97,35400
37,2009-11-18,40.92,41.26,40.17,41.14,32100
38,2009-11-19,40.74,41.31,40.74,40.86,33500
39,2009-11-20,41.03,41.14,40.52,40.69,15200
40,2009-11-23,40.86,40.86,38.75,39.32,28400
41,2009-11-24,39.32,40.46,38.75,38.86,36900
42,2009-11-25,37.1,39.6,36.87,36.93,49900
43,2009-11-26,34.93,37.9,34.87,34.87,50900
44,2009-11-27,33.05,34.76,32.77,33.05,32900
45,2009-11-30,34.08,35.84,34.08,35.84,47500
46,2009-12-01,37.04,38.12,37.04,38.12,37100
47,2009-12-02,39.32,40.17,38.12,38.75,78800
48,2009-12-03,36.53,38.86,36.47,38.75,42800
49,2009-12-04,37.5,39.26,35.96,39.03,77500
50,2009-12-07,37.21,39.89,35.67,38.18,34400
51,2009-12-08,35.67,38.69,35.62,38.18,93600
52,2009-12-09,37.04,37.04,35.39,35.39,30600
53,2009-12-10,33.91,38.52,33.62,36.41,54100
54,2009-12-11,35.96,36.19,34.65,35.9,43500
55,2009-12-14,35.62,36.78,34.74,36.2,31200
56,2009-12-15,36.02,36.02,35.03,35.03,17100
57,2009-12-16,33.86,33.86,32.64,32.64,14500
58,2009-12-17,34.39,34.39,30.65,32.7,45900
59,2009-12-18,34.74,34.74,34.16,34.74,24200
60,2009-12-21,36.67,36.96,36.32,36.96,38100
61,2009-12-22,38.48,38.48,35.03,36.78,13500
62,2009-12-23,36.37,36.67,33.92,33.92,10300
63,2009-12-24,36.14,37.37,35.15,36.49,57500
64,2009-12-25,38.59,38.59,35.09,37.6,51600
65,2009-12-28,36.32,37.37,36.2,36.2,16800
66,2009-12-29,36.49,37.31,35.62,36.78,14400
67,2009-12-30,36.49,37.25,36.2,37.08,32400
68,2009-12-31,37.48,38.24,36.2,36.96,48200
69,2010-01-04,39.47,40.17,37.95,40.17,76300
70,2010-01-05,40.87,42.39,39.94,39.94,19500
71,2010-01-06,41.16,42.39,39.7,39.7,88500
72,2010-01-07,40.81,43.73,40.81,40.87,134600
73,2010-01-08,42.04,42.1,39.53,40.29,51400
74,2010-01-11,39.76,40.05,38.54,38.94,24400
75,2010-01-12,38.54,38.71,37.37,37.37,54700
76,2010-01-13,36.84,38.94,35.91,37.95,74200
77,2010-01-14,38.83,38.83,38.24,38.42,21600
78,2010-01-15,38.42,38.54,37.37,37.37,12800
79,2010-01-18,36.2,36.2,35.03,35.03,27300
80,2010-01-19,35.32,36.55,35.03,35.62,10800
81,2010-01-20,36.2,36.2,35.03,35.03,10200
82,2010-01-21,34.16,35.62,33.28,35.62,27300
83,2010-01-22,31.82,35.62,31.82,34.92,27300
84,2010-01-25,33.86,35.56,33.86,34.45,11500
85,2010-01-26,37.08,37.25,36.2,37.25,19000
86,2010-01-27,35.03,36.2,35.03,36.2,7400
87,2010-01-28,35.03,35.62,35.03,35.62,19500
88,2010-01-29,35.91,36.2,35.79,36.2,24500
89,2010-02-01,36.14,36.14,35.38,36.14,5300
90,2010-02-02,35.62,35.62,34.74,34.74,41900
91,2010-02-03,35.03,36.2,35.03,36.2,34600
92,2010-02-04,36.14,36.2,35.62,36.2,9800
93,2010-02-05,36.2,38.54,35.38,36.78,20000
94,2010-02-08,36.49,37.6,36.49,37.13,61800
95,2010-02-09,37.37,37.37,35.15,36.2,71400
96,2010-02-10,36.67,37.37,36.67,37.19,111400
97,2010-02-11,37.37,37.66,37.13,37.6,40600
98,2010-02-12,37.08,37.95,37.08,37.66,41200
99,2010-02-22,38.54,38.54,37.95,38.13,53800
100,2010-02-23,37.19,38.24,37.08,37.6,55800
101,2010-02-24,37.08,39.94,37.08,39.12,72200
102,2010-02-25,38.54,39.7,37.72,38.54,105600
103,2010-02-26,38.71,38.83,37.95,38.71,68600
104,2010-03-01,38.54,39.12,38.48,38.71,124800
105,2010-03-02,38.54,39.76,38.54,39.24,161400
106,2010-03-03,39.41,40.87,39.24,40.87,136500
107,2010-03-04,40.87,41.45,40.17,40.58,198300
108,2010-03-05,40.58,43.61,40.58,42.62,221300
