,time,open,high,low,close,volume
0,2009-01-14,1.36,1.47,1.36,1.46,15400
1,2009-01-15,1.46,1.46,1.46,1.46,0
2,2009-01-16,1.47,1.47,1.45,1.45,7000
3,2009-01-19,1.36,1.36,1.36,1.36,10900
4,2009-01-20,1.36,1.36,1.36,1.36,0
5,2009-01-21,1.36,1.36,1.36,1.36,600
6,2009-01-22,1.36,1.37,1.36,1.37,10800
7,2009-01-23,1.36,1.39,1.36,1.38,3300
8,2009-02-02,1.36,1.36,1.36,1.36,500
9,2009-02-03,1.36,1.36,1.36,1.36,4300
10,2009-02-04,1.36,1.36,1.36,1.36,0
11,2009-02-05,1.36,1.36,1.36,1.36,0
12,2009-02-06,1.42,1.42,1.28,1.29,16500
13,2009-02-09,1.31,1.37,1.29,1.37,2800
14,2009-02-10,1.21,1.23,1.21,1.21,15200
15,2009-02-11,1.29,1.29,1.29,1.29,100
16,2009-02-12,1.2,1.26,1.2,1.2,8100
17,2009-02-13,1.21,1.21,1.19,1.21,7500
18,2009-02-16,1.28,1.28,1.28,1.28,100
19,2009-02-17,1.21,1.24,1.21,1.22,7000
20,2009-02-18,1.23,1.23,1.23,1.23,100
21,2009-02-19,1.22,1.22,1.21,1.21,6000
22,2009-02-20,1.19,1.22,1.19,1.21,6900
23,2009-02-23,1.21,1.21,1.19,1.2,6500
24,2009-02-24,1.2,1.2,1.18,1.19,9000
25,2009-02-25,1.19,1.19,1.19,1.19,3000
26,2009-02-26,1.19,1.21,1.19,1.21,4800
27,2009-02-27,1.22,1.22,1.22,1.22,4100
28,2009-03-02,1.22,1.23,1.22,1.22,7000
29,2009-03-03,1.22,1.22,1.22,1.22,1800
30,2009-03-04,1.23,1.23,1.21,1.21,6500
31,2009-03-05,1.22,1.22,1.22,1.22,3000
32,2009-03-06,1.28,1.28,1.23,1.23,3500
33,2009-03-09,1.28,1.28,1.25,1.25,1800
34,2009-03-10,1.25,1.25,1.25,1.25,0
35,2009-03-11,1.36,1.36,1.26,1.36,700
36,2009-03-12,1.31,1.31,1.31,1.31,500
37,2009-03-13,1.31,1.36,1.26,1.26,19400
38,2009-03-16,1.26,1.26,1.26,1.26,0
39,2009-03-17,1.34,1.34,1.34,1.34,100
40,2009-03-18,1.31,1.31,1.26,1.26,19700
41,2009-03-19,1.25,1.26,1.25,1.26,3500
42,2009-03-20,1.26,1.26,1.26,1.26,1000
43,2009-03-23,1.34,1.34,1.21,1.21,300
44,2009-03-24,1.25,1.3,1.25,1.3,3600
45,2009-03-25,1.29,1.29,1.26,1.27,4700
46,2009-03-26,1.27,1.27,1.27,1.27,100
47,2009-03-27,1.26,1.28,1.26,1.26,1400
48,2009-03-30,1.26,1.26,1.26,1.26,0
49,2009-03-31,1.26,1.26,1.26,1.26,0
50,2009-04-01,1.26,1.26,1.23,1.24,6000
51,2009-04-02,1.24,1.25,1.24,1.25,3000
52,2009-04-03,1.26,1.27,1.26,1.26,6800
53,2009-04-07,1.26,1.3,1.23,1.3,12200
54,2009-04-08,1.27,1.27,1.26,1.26,11000
55,2009-04-09,1.26,1.26,1.26,1.26,0
56,2009-04-10,1.26,1.27,1.25,1.27,18000
57,2009-04-13,1.27,1.35,1.26,1.35,38300
58,2009-04-14,1.41,1.41,1.33,1.34,18200
59,2009-04-15,1.3,1.34,1.27,1.27,8100
60,2009-04-16,1.27,1.27,1.26,1.26,10000
61,2009-04-17,1.26,1.26,1.25,1.26,5300
62,2009-04-20,1.17,1.34,1.17,1.26,5500
63,2009-04-21,1.26,1.26,1.23,1.23,1600
64,2009-04-22,1.25,1.25,1.22,1.22,3500
65,2009-04-23,1.24,1.26,1.24,1.26,4500
66,2009-04-24,1.27,1.27,1.22,1.23,6900
67,2009-04-27,1.22,1.22,1.22,1.22,1600
68,2009-04-28,1.27,1.27,1.27,1.27,100
69,2009-04-29,1.21,1.28,1.21,1.27,4000
70,2009-05-04,1.29,1.31,1.26,1.31,41200
71,2009-05-05,1.34,1.36,1.29,1.29,40300
72,2009-05-06,1.26,1.26,1.26,1.26,12000
73,2009-05-07,1.3,1.3,1.3,1.3,1000
74,2009-05-08,1.24,1.29,1.21,1.24,14800
75,2009-05-11,1.24,1.24,1.2,1.22,16800
76,2009-05-12,1.24,1.26,1.22,1.25,13000
77,2009-05-13,1.29,1.29,1.24,1.26,4200
78,2009-05-14,1.26,1.26,1.24,1.25,16200
79,2009-05-15,1.27,1.28,1.26,1.26,14600
80,2009-05-18,1.25,1.27,1.25,1.26,9800
81,2009-05-19,1.27,1.28,1.26,1.26,22100
82,2009-05-20,1.26,1.29,1.26,1.26,25700
83,2009-05-21,1.26,1.36,1.25,1.36,89000
84,2009-05-22,1.4,1.4,1.37,1.4,101800
85,2009-05-25,1.48,1.48,1.42,1.48,42100
86,2009-05-26,1.56,1.57,1.51,1.51,28100
87,2009-05-27,1.63,1.63,1.44,1.44,28900
88,2009-05-28,1.35,1.36,1.35,1.35,24100
89,2009-05-29,1.28,1.36,1.27,1.32,60600
90,2009-06-01,1.36,1.37,1.35,1.37,17400
91,2009-06-02,1.45,1.45,1.45,1.45,26000
92,2009-06-03,1.49,1.49,1.45,1.49,68600
93,2009-06-04,1.55,1.55,1.48,1.51,76300
94,2009-06-05,1.57,1.6,1.57,1.6,139600
95,2009-06-08,1.7,1.71,1.7,1.71,37000
96,2009-06-09,1.82,1.82,1.65,1.71,53100
97,2009-06-10,1.65,1.65,1.65,1.65,7200
98,2009-06-11,1.54,1.65,1.54,1.6,64000
99,2009-06-12,1.6,1.68,1.6,1.63,56800
100,2009-06-15,1.63,1.63,1.57,1.6,41900
101,2009-06-16,1.5,1.56,1.5,1.5,52500
102,2009-06-17,1.43,1.51,1.43,1.5,21400
103,2009-06-18,1.5,1.55,1.5,1.55,22200
104,2009-06-19,1.55,1.55,1.5,1.54,11300
105,2009-06-22,1.48,1.48,1.44,1.44,16700
106,2009-06-23,1.41,1.41,1.36,1.36,21700
107,2009-06-24,1.46,1.47,1.46,1.47,8900
108,2009-06-25,1.47,1.47,1.43,1.43,8800
109,2009-06-26,1.45,1.46,1.45,1.46,5200
110,2009-06-29,1.5,1.5,1.46,1.46,4800
111,2009-06-30,1.53,1.53,1.41,1.44,7200
112,2009-07-01,1.39,1.39,1.35,1.36,11600
113,2009-07-02,1.38,1.46,1.38,1.39,9500
114,2009-07-03,1.37,1.39,1.36,1.39,4300
115,2009-07-06,1.37,1.45,1.37,1.43,1200
116,2009-07-07,1.42,1.42,1.38,1.38,2900
117,2009-07-08,1.34,1.46,1.34,1.46,5400
118,2009-07-09,1.42,1.43,1.41,1.41,19200
119,2009-07-10,1.5,1.5,1.46,1.46,1100
120,2009-07-13,1.46,1.46,1.41,1.41,6700
121,2009-07-14,1.39,1.39,1.38,1.38,11400
122,2009-07-15,1.42,1.44,1.39,1.4,9100
123,2009-07-16,1.42,1.42,1.4,1.41,14100
124,2009-07-17,1.39,1.4,1.38,1.39,17400
125,2009-07-20,1.37,1.37,1.36,1.36,7900
126,2009-07-21,1.36,1.36,1.34,1.36,1400
127,2009-07-22,1.41,1.41,1.39,1.39,4100
128,2009-07-23,1.34,1.42,1.34,1.42,3700
129,2009-07-24,1.44,1.48,1.44,1.48,39200
130,2009-07-27,1.5,1.5,1.41,1.41,11200
131,2009-07-28,1.42,1.42,1.42,1.42,7400
132,2009-07-29,1.46,1.46,1.36,1.41,8200
133,2009-07-30,1.34,1.4,1.34,1.4,25800
134,2009-07-31,1.36,1.38,1.36,1.38,8300
135,2009-08-03,1.38,1.44,1.38,1.42,12700
136,2009-08-04,1.41,1.43,1.41,1.42,8700
137,2009-08-05,1.43,1.46,1.42,1.46,25900
138,2009-08-06,1.43,1.46,1.43,1.46,11500
