,time,open,high,low,close,volume
0,2009-07-30,11.74,11.74,11.48,11.57,3600
1,2009-07-31,11.83,11.83,11.83,11.83,100
2,2009-08-03,11.48,12.0,11.48,12.0,200
3,2009-08-04,11.48,11.48,11.31,11.31,200
4,2009-08-05,11.05,11.05,10.61,10.78,1100
5,2009-08-06,10.96,11.45,10.96,11.31,800
6,2009-08-07,11.27,11.85,11.27,11.74,3400
7,2009-08-10,11.83,12.25,11.83,12.25,1700
8,2009-08-11,12.18,12.18,12.0,12.0,500
9,2009-08-12,12.35,12.35,12.0,12.26,8100
10,2009-08-13,12.18,12.61,12.14,12.61,8100
11,2009-08-14,12.18,12.18,12.18,12.18,1000
12,2009-08-17,12.0,12.0,12.0,12.0,2000
13,2009-08-18,12.0,12.09,12.0,12.0,700
14,2009-08-19,12.09,12.35,12.09,12.35,1500
15,2009-08-20,12.35,12.35,12.35,12.35,100
16,2009-08-21,12.35,12.35,12.35,12.35,300
17,2009-08-24,12.35,12.35,12.35,12.35,800
18,2009-08-25,12.33,12.35,12.18,12.18,2500
19,2009-08-26,12.21,12.44,12.21,12.26,1700
20,2009-08-27,12.26,12.26,12.26,12.26,0
21,2009-08-28,12.0,12.0,12.0,12.0,200
22,2009-08-31,12.18,12.18,12.18,12.18,100
23,2009-09-01,12.18,13.03,12.18,13.03,4500
24,2009-09-03,13.05,13.17,12.18,12.18,2900
25,2009-09-04,12.78,12.78,12.18,12.18,700
26,2009-09-07,12.35,12.35,12.18,12.18,1200
27,2009-09-08,12.7,12.7,12.18,12.18,1300
28,2009-09-09,12.18,12.52,12.18,12.52,1900
29,2009-09-10,12.4,12.4,12.18,12.18,2000
30,2009-09-11,12.44,12.44,12.44,12.44,1200
31,2009-09-14,12.44,12.44,12.44,12.44,0
32,2009-09-15,12.44,12.44,12.44,12.44,2500
33,2009-09-16,12.18,12.18,12.18,12.18,2400
34,2009-09-17,12.18,12.18,12.18,12.18,0
35,2009-09-18,12.35,12.35,12.35,12.35,400
36,2009-09-21,12.35,12.35,12.26,12.26,1200
37,2009-09-22,12.3,12.3,11.51,11.51,900
38,2009-09-23,11.83,11.83,11.83,11.83,100
39,2009-09-24,11.83,11.83,11.83,11.83,0
40,2009-09-25,12.65,12.65,12.52,12.52,200
41,2009-09-28,12.18,12.18,11.83,11.83,700
42,2009-09-29,12.18,12.18,12.18,12.18,100
43,2009-09-30,12.18,12.18,11.48,11.65,700
44,2009-10-01,12.4,12.4,12.35,12.35,200
45,2009-10-02,12.35,12.35,12.35,12.35,0
46,2009-10-05,11.83,11.83,11.83,11.83,100
47,2009-10-06,12.18,12.18,11.83,11.83,2100
48,2009-10-07,11.83,11.83,11.83,11.83,0
49,2009-10-08,11.83,11.83,11.83,11.83,200
50,2009-10-09,11.03,11.03,11.03,11.03,100
51,2009-10-12,11.79,11.79,11.31,11.79,800
52,2009-10-13,12.18,12.18,12.18,12.18,100
53,2009-10-14,12.18,12.18,12.18,12.18,200
54,2009-10-15,11.65,11.65,11.65,11.65,200
55,2009-10-16,11.48,12.18,11.48,12.18,400
56,2009-10-19,12.18,12.18,12.18,12.18,1000
57,2009-10-20,12.18,12.18,12.18,12.18,1100
58,2009-10-21,11.83,11.83,11.83,11.83,100
59,2009-10-22,11.83,11.83,11.83,11.83,300
60,2009-10-23,12.65,12.65,12.65,12.65,100
61,2009-10-26,11.79,12.52,11.79,12.18,700
62,2009-10-27,12.0,12.35,12.0,12.35,1000
63,2009-10-28,12.35,12.35,12.35,12.35,0
64,2009-10-29,12.26,12.26,12.26,12.26,300
65,2009-10-30,12.26,12.26,12.26,12.26,0
66,2009-11-02,11.65,11.65,11.65,11.65,200
67,2009-11-03,11.31,11.31,11.31,11.31,1100
68,2009-11-04,12.09,12.09,12.09,12.09,500
69,2009-11-05,12.44,12.7,12.35,12.35,700
70,2009-11-06,13.32,13.32,13.32,13.32,200
71,2009-11-09,13.32,13.32,13.32,13.32,0
72,2009-11-10,12.4,12.4,12.4,12.4,100
73,2009-11-11,11.57,12.4,11.57,12.4,1500
74,2009-11-12,12.47,12.51,11.58,12.18,1700
75,2009-11-13,12.35,12.35,12.35,12.35,600
76,2009-11-16,12.35,12.35,12.35,12.35,0
77,2009-11-17,12.35,12.35,12.35,12.35,0
78,2009-11-18,12.35,12.35,12.35,12.35,0
79,2009-11-19,12.35,12.35,11.65,11.65,500
80,2009-11-20,12.35,12.35,12.35,12.35,100
81,2009-11-23,12.4,13.2,12.4,13.2,300
82,2009-11-24,13.2,13.2,13.2,13.2,0
83,2009-11-25,12.04,12.04,12.04,12.04,500
84,2009-11-26,12.04,12.04,12.04,12.04,0
85,2009-11-27,12.7,12.7,12.7,12.7,100
86,2009-11-30,12.7,12.7,12.7,12.7,0
87,2009-12-01,12.7,12.7,12.7,12.7,0
88,2009-12-02,13.05,13.05,13.05,13.05,100
89,2009-12-03,13.05,13.05,13.05,13.05,0
90,2009-12-04,13.05,13.05,13.05,13.05,0
91,2009-12-07,13.05,13.05,13.05,13.05,0
92,2009-12-08,13.05,13.05,13.05,13.05,0
93,2009-12-09,13.05,13.05,13.05,13.05,0
94,2009-12-10,13.05,13.05,13.05,13.05,0
95,2009-12-11,13.05,13.05,13.05,13.05,0
96,2009-12-14,13.05,13.05,13.05,13.05,0
97,2009-12-15,12.14,12.14,12.14,12.14,1000
98,2009-12-16,12.78,12.78,11.31,11.31,700
99,2009-12-17,11.48,11.48,11.48,11.48,700
100,2009-12-18,11.48,11.48,11.48,11.48,0
101,2009-12-21,12.28,12.28,12.28,12.28,100
102,2009-12-22,12.28,12.28,12.28,12.28,0
103,2009-12-23,12.96,12.96,12.96,12.96,100
