,time,open,high,low,close,volume
0,2016-04-25,13.18,15.17,11.66,15.08,148100
1,2016-04-26,15.27,15.55,15.17,15.55,169000
2,2016-04-27,17.83,17.83,16.12,17.73,363000
3,2016-04-28,19.44,19.44,16.12,16.78,83700
4,2016-04-29,16.22,16.5,14.89,16.12,139700
5,2016-05-04,15.17,16.12,14.22,14.89,72300
6,2016-05-05,14.03,15.08,12.99,12.99,238700
7,2016-05-06,12.33,13.28,12.33,12.8,73400
8,2016-05-09,12.8,13.28,12.61,12.61,28700
9,2016-05-10,11.76,12.8,11.76,12.61,20200
10,2016-05-11,12.61,12.61,11.38,12.04,24700
11,2016-05-12,12.04,13.37,12.04,13.09,45820
12,2016-05-13,12.8,12.9,12.61,12.9,15500
13,2016-05-16,12.33,12.8,12.33,12.71,18900
14,2016-05-17,12.52,12.8,12.23,12.52,52500
15,2016-05-18,12.52,12.8,12.33,12.71,47100
16,2016-05-19,12.33,12.52,12.33,12.33,30500
17,2016-05-20,12.23,12.33,12.23,12.33,5000
18,2016-05-23,12.33,12.42,12.23,12.33,25800
19,2016-05-24,12.23,12.33,12.23,12.23,33700
20,2016-05-25,12.23,12.23,12.23,12.23,20100
21,2016-05-26,12.04,12.23,11.47,12.04,11510
22,2016-05-27,11.85,12.23,11.85,11.85,6100
23,2016-05-30,11.95,11.95,11.85,11.95,47100
24,2016-05-31,11.95,12.04,11.57,11.95,50900
25,2016-06-01,11.95,11.95,11.85,11.95,2300
26,2016-06-02,11.95,11.95,11.38,11.85,25700
27,2016-06-03,11.47,11.85,11.38,11.66,27300
28,2016-06-06,11.47,11.47,11.19,11.38,41900
29,2016-06-07,11.76,11.76,11.19,11.19,6100
30,2016-06-08,11.19,11.38,11.09,11.38,19800
31,2016-06-09,11.19,11.28,11.19,11.28,52300
32,2016-06-10,11.19,11.19,11.09,11.09,15800
33,2016-06-13,11.19,11.19,10.53,11.09,8600
34,2016-06-14,10.91,11.0,10.43,10.91,15200
35,2016-06-15,10.15,10.43,10.05,10.05,17900
36,2016-06-16,9.96,10.62,9.96,10.62,8700
37,2016-06-17,9.96,10.34,9.96,10.34,3100
38,2016-06-20,10.34,10.34,10.15,10.15,5700
39,2016-06-21,10.81,10.81,10.43,10.43,15400
40,2016-06-22,10.81,10.81,10.43,10.43,9600
41,2016-06-23,10.53,10.53,9.96,10.34,6700
42,2016-06-24,10.53,10.53,9.29,9.86,39600
