,time,open,high,low,close,volume
0,2015-05-11,1.97,0.0,0.0,0.0,0
1,2015-05-12,1.97,0.0,0.0,0.0,0
2,2015-05-13,1.97,0.0,0.0,0.0,0
3,2015-05-14,1.97,0.0,0.0,0.0,0
4,2015-05-15,1.97,0.0,0.0,0.0,0
5,2015-05-18,1.97,0.0,0.0,0.0,0
6,2015-05-19,1.97,0.0,0.0,0.0,0
7,2015-05-20,1.97,0.0,0.0,0.0,0
8,2015-05-21,1.97,0.0,0.0,0.0,0
9,2015-05-22,1.9,1.9,1.9,1.9,500
10,2015-05-25,1.9,1.9,1.9,1.9,0
11,2015-05-26,1.93,1.93,1.93,1.93,325
12,2015-05-27,1.91,1.91,1.91,1.91,500
13,2015-05-28,1.9,1.91,1.9,1.9,600
14,2015-05-29,1.91,1.91,1.91,1.91,200
15,2015-06-01,1.91,1.93,1.91,1.93,400
16,2015-06-02,1.91,1.93,1.91,1.93,200
17,2015-06-03,1.94,1.94,1.91,1.91,300
18,2015-06-04,1.91,1.91,1.91,1.91,200
19,2015-06-05,1.91,1.91,1.91,1.91,200
20,2015-06-08,1.91,1.91,1.91,1.91,100
21,2015-06-09,2.08,2.08,2.08,2.08,100
22,2015-06-10,1.93,1.93,1.93,1.93,100
23,2015-06-11,1.93,1.93,1.93,1.93,0
24,2015-06-12,1.93,1.93,1.93,1.93,100
25,2015-06-15,1.93,1.93,1.93,1.93,100
26,2015-06-16,1.91,1.91,1.91,1.91,100
27,2015-06-17,1.91,1.91,1.91,1.91,100
28,2015-06-18,1.91,1.91,1.91,1.91,100
29,2015-06-19,1.91,1.91,1.91,1.91,0
30,2015-06-22,1.91,1.91,1.91,1.91,0
31,2015-06-23,1.91,1.91,1.91,1.91,100
32,2015-06-24,1.91,1.91,1.91,1.91,0
33,2015-06-25,1.91,1.91,1.91,1.91,100
34,2015-06-26,1.91,1.91,1.91,1.91,100
35,2015-06-29,1.93,1.93,1.93,1.93,100
36,2015-06-30,1.91,1.91,1.91,1.91,200
37,2015-07-01,1.91,1.91,1.91,1.91,0
38,2015-07-02,1.91,1.91,1.91,1.91,0
39,2015-07-03,1.91,1.91,1.91,1.91,0
40,2015-07-06,1.91,1.91,1.91,1.91,200
41,2015-07-07,1.91,1.91,1.91,1.91,0
42,2015-07-08,1.91,1.91,1.91,1.91,0
43,2015-07-09,1.91,1.91,1.91,1.91,0
44,2015-07-10,1.91,1.91,1.91,1.91,0
45,2015-07-13,1.91,1.91,1.91,1.91,0
46,2015-07-14,1.91,1.91,1.91,1.91,0
47,2015-07-15,2.2,2.2,2.2,2.2,4000
48,2015-07-16,2.2,2.2,2.2,2.2,0
49,2015-07-17,2.2,2.2,2.2,2.2,0
50,2015-07-20,2.2,2.2,2.2,2.2,0
51,2015-07-21,2.2,2.2,2.2,2.2,0
52,2015-07-22,2.2,2.2,2.2,2.2,0
53,2015-07-23,1.97,1.97,1.97,1.97,100
54,2015-07-24,1.91,1.91,1.91,1.91,100
55,2015-07-27,1.91,1.91,1.91,1.91,0
56,2015-07-28,1.91,1.91,1.91,1.91,0
57,2015-07-29,1.91,1.91,1.91,1.91,0
58,2015-07-30,1.91,1.91,1.91,1.91,200
59,2015-07-31,1.91,1.91,1.91,1.91,0
60,2015-08-03,1.91,1.91,1.91,1.91,200
61,2015-08-04,1.91,1.91,1.91,1.91,0
62,2015-08-05,1.91,1.91,1.91,1.91,100
63,2015-08-06,1.91,1.91,1.91,1.91,100
64,2015-08-07,1.91,1.91,1.91,1.91,100
65,2015-08-10,1.91,1.91,1.91,1.91,100
66,2015-08-11,1.91,1.91,1.91,1.91,0
67,2015-08-12,1.91,1.91,1.91,1.91,100
68,2015-08-13,1.91,1.91,1.91,1.91,0
69,2015-08-14,1.91,1.91,1.91,1.91,100
70,2015-08-17,1.91,1.91,1.91,1.91,100
71,2015-08-18,1.91,1.91,1.91,1.91,100
72,2015-08-19,1.91,1.91,1.91,1.91,125
73,2015-08-20,1.91,1.91,1.91,1.91,0
74,2015-08-21,1.91,1.91,1.91,1.91,0
75,2015-08-24,1.91,1.91,1.91,1.91,0
76,2015-08-25,1.91,1.91,1.91,1.91,0
77,2015-08-26,1.91,1.91,1.91,1.91,0
78,2015-08-27,1.91,1.91,1.91,1.91,0
79,2015-08-28,1.91,1.91,1.91,1.91,0
80,2015-08-31,1.91,1.91,1.91,1.91,0
81,2015-09-01,1.91,1.91,1.91,1.91,0
82,2015-09-03,1.91,1.91,1.91,1.91,0
83,2015-09-04,1.91,1.91,1.91,1.91,0
84,2015-09-07,1.91,1.91,1.91,1.91,0
85,2015-09-08,1.91,1.91,1.91,1.91,0
86,2015-09-09,1.91,1.91,1.91,1.91,0
87,2015-09-10,1.91,1.91,1.91,1.91,0
88,2015-09-11,1.91,1.91,1.91,1.91,0
89,2015-09-14,1.91,1.91,1.91,1.91,0
90,2015-09-15,1.91,1.91,1.91,1.91,0
91,2015-09-16,1.91,1.91,1.91,1.91,0
92,2015-09-17,1.91,1.91,1.91,1.91,0
93,2015-09-18,1.91,1.91,1.91,1.91,0
94,2015-09-21,1.91,1.91,1.91,1.91,0
95,2015-09-22,1.91,1.91,1.91,1.91,100
96,2015-09-23,1.93,1.93,1.93,1.93,100
