,time,open,high,low,close,volume
0,2013-01-21,4.75,5.11,4.75,5.07,4000
1,2013-01-22,5.07,5.07,5.07,5.07,100
2,2013-01-23,5.04,5.04,5.04,5.04,100
3,2013-01-24,5.04,5.04,5.04,5.04,100
4,2013-01-25,5.07,5.07,5.07,5.07,100
5,2013-01-28,5.07,5.07,5.07,5.07,0
6,2013-01-29,5.07,5.07,5.07,5.07,100
7,2013-01-30,5.04,5.07,5.04,5.07,600
8,2013-01-31,5.04,5.04,4.56,5.0,3700
9,2013-02-01,4.53,5.0,4.53,5.0,900
10,2013-02-04,5.0,5.0,5.0,5.0,0
11,2013-02-05,5.0,5.0,5.0,5.0,0
12,2013-02-06,5.0,5.0,5.0,5.0,0
13,2013-02-07,5.0,5.0,5.0,5.0,0
14,2013-02-08,5.0,5.0,5.0,5.0,100
15,2013-02-18,4.93,4.93,4.93,4.93,200
16,2013-02-19,4.56,4.56,4.56,4.56,100
17,2013-02-20,4.2,4.2,4.13,4.13,600
18,2013-02-21,3.72,3.72,3.72,3.72,100
19,2013-02-22,3.72,3.72,3.72,3.72,0
20,2013-02-25,3.72,3.72,3.72,3.72,0
21,2013-02-26,3.72,3.72,3.72,3.72,0
22,2013-02-27,3.72,3.72,3.72,3.72,0
23,2013-02-28,3.72,3.72,3.72,3.72,0
24,2013-03-01,3.72,3.72,3.72,3.72,0
25,2013-03-04,3.72,3.72,3.72,3.72,0
26,2013-03-05,3.36,3.36,3.36,3.36,5500
27,2013-03-06,3.03,3.03,3.03,3.03,5000
28,2013-03-07,2.74,2.74,2.74,2.74,4500
29,2013-03-08,2.48,2.48,2.48,2.48,5500
30,2013-03-11,2.26,2.37,2.26,2.26,7400
31,2013-03-12,2.12,2.12,2.04,2.04,8300
32,2013-03-13,1.86,2.08,1.86,1.97,3600
33,2013-03-14,1.83,2.15,1.83,2.15,4000
34,2013-03-15,2.34,2.34,2.19,2.34,13500
35,2013-03-18,2.56,2.56,2.41,2.52,4700
36,2013-03-19,2.7,2.7,2.63,2.67,1400
37,2013-03-20,2.85,2.85,2.74,2.74,8800
38,2013-03-21,2.48,2.48,2.48,2.48,3000
39,2013-03-22,2.41,2.67,2.41,2.67,4600
40,2013-03-25,2.48,2.85,2.48,2.85,7700
