,time,open,high,low,close,volume
0,2009-04-20,2.47,2.71,2.41,2.7,2079300
1,2009-04-21,2.68,2.73,2.5,2.73,769000
2,2009-04-22,2.86,2.86,2.86,2.86,424400
3,2009-04-23,3.05,3.05,3.05,3.05,682600
4,2009-04-24,3.19,3.23,2.86,3.0,2011700
5,2009-04-27,2.82,3.1,2.82,3.07,1312000
6,2009-04-28,3.02,3.09,2.93,3.07,1034100
7,2009-04-29,3.07,3.07,3.02,3.03,931300
8,2009-05-04,3.21,3.26,3.16,3.26,2145900
9,2009-05-05,3.48,3.48,3.37,3.44,1739600
10,2009-05-06,3.37,3.58,3.25,3.26,814900
11,2009-05-07,3.51,3.55,3.32,3.49,1194800
12,2009-05-08,3.46,3.46,3.23,3.33,1997000
13,2009-05-11,3.41,3.41,3.21,3.28,1146500
14,2009-05-12,3.28,3.33,3.16,3.3,1145200
15,2009-05-13,3.32,3.37,3.26,3.3,792100
16,2009-05-14,3.16,3.25,3.09,3.23,646100
17,2009-05-15,3.28,3.39,3.19,3.39,1343100
18,2009-05-18,3.39,3.39,3.32,3.35,1406100
19,2009-05-19,3.58,3.58,3.41,3.58,2239500
20,2009-05-20,3.74,3.8,3.58,3.78,1583300
21,2009-05-21,3.81,3.97,3.71,3.97,1642400
22,2009-05-22,4.03,4.08,3.73,3.9,1236700
23,2009-05-25,4.04,4.13,3.73,4.13,1349900
24,2009-05-26,4.38,4.38,4.13,4.36,1455100
25,2009-05-27,4.43,4.49,4.26,4.36,1309300
26,2009-05-28,4.35,4.35,4.12,4.13,1379400
27,2009-05-29,4.24,4.47,4.19,4.47,2490700
28,2009-06-01,4.75,4.75,4.61,4.75,794400
29,2009-06-02,5.07,5.07,5.06,5.07,1299400
30,2009-06-03,5.32,5.43,5.07,5.43,1870100
31,2009-06-04,5.3,5.66,5.3,5.66,1375000
32,2009-06-05,6.01,6.01,6.0,6.01,1878000
33,2009-06-08,6.42,6.42,6.37,6.42,1800100
34,2009-06-09,6.85,6.86,6.39,6.86,2388300
35,2009-06-10,7.1,7.1,6.28,6.72,2480500
36,2009-06-11,6.65,7.01,6.47,7.01,1969600
37,2009-06-12,7.01,7.38,6.74,6.92,1751300
38,2009-06-15,7.01,7.18,6.6,7.18,3651900
39,2009-06-16,6.81,7.01,6.35,6.35,1204400
40,2009-06-17,6.03,6.56,6.03,6.47,1894700
41,2009-06-18,6.39,6.56,6.16,6.33,1071600
42,2009-06-19,6.47,6.56,6.19,6.23,782500
43,2009-06-22,6.35,6.35,5.91,5.91,225300
44,2009-06-23,5.52,5.52,5.52,5.52,46200
45,2009-06-24,5.14,5.89,5.14,5.89,1644400
46,2009-06-25,6.03,6.03,5.5,5.66,983400
47,2009-06-26,5.91,5.91,5.53,5.8,880500
48,2009-06-29,5.85,5.85,5.68,5.82,622800
49,2009-06-30,5.85,6.12,5.5,5.68,655200
50,2009-07-01,5.5,5.59,5.45,5.45,919900
51,2009-07-02,5.32,5.69,5.14,5.5,846800
52,2009-07-03,5.43,5.43,5.14,5.39,539000
53,2009-07-06,5.5,5.71,5.48,5.71,801500
54,2009-07-07,5.94,6.0,5.68,5.71,516900
55,2009-07-08,5.68,5.73,5.53,5.66,325900
56,2009-07-09,5.66,5.75,5.59,5.61,287700
57,2009-07-10,5.73,6.05,5.73,6.05,3817100
58,2009-07-13,6.39,6.42,6.31,6.31,3283100
59,2009-07-14,6.42,6.56,5.94,6.03,840400
60,2009-07-15,6.03,6.6,5.85,6.31,1092800
61,2009-07-16,6.56,6.56,6.17,6.28,354700
62,2009-07-17,6.42,6.42,5.92,5.94,321500
63,2009-07-20,5.94,5.94,5.64,5.66,261600
64,2009-07-21,5.66,5.84,5.52,5.68,349900
65,2009-07-22,5.78,5.82,5.5,5.75,333600
66,2009-07-23,5.78,6.1,5.64,6.1,645100
67,2009-07-24,6.33,6.33,6.21,6.33,1230600
68,2009-07-27,6.76,6.76,6.39,6.69,1534400
69,2009-07-28,6.83,6.83,6.21,6.28,1076100
70,2009-07-29,6.14,6.56,6.12,6.21,783300
71,2009-07-30,6.05,6.33,5.92,6.03,825300
72,2009-07-31,6.12,6.3,6.07,6.14,930300
73,2009-08-03,6.35,6.35,5.98,5.98,546300
74,2009-08-04,6.21,6.33,6.07,6.16,656700
75,2009-08-05,6.16,6.28,6.05,6.1,664000
76,2009-08-06,6.1,6.1,5.76,5.82,2494700
77,2009-08-07,5.68,5.73,5.53,5.55,3247700
78,2009-08-10,5.55,5.98,5.5,5.75,2357600
79,2009-08-11,5.85,5.91,5.66,5.71,1410500
80,2009-08-12,5.71,5.76,5.62,5.62,2612700
81,2009-08-13,5.78,6.0,5.64,5.71,2578700
82,2009-08-14,5.73,5.82,5.59,5.68,2337000
83,2009-08-17,5.66,5.69,5.5,5.59,1432100
84,2009-08-18,5.57,5.57,5.41,5.5,1680800
85,2009-08-19,5.5,5.59,5.46,5.52,1380300
86,2009-08-20,5.59,5.59,5.46,5.5,1150200
87,2009-08-21,5.57,5.84,5.5,5.64,2648100
88,2009-08-24,5.76,5.76,5.59,5.66,1421100
89,2009-08-25,5.66,5.68,5.55,5.55,742300
90,2009-08-26,5.53,5.59,5.5,5.53,1364400
91,2009-08-27,5.52,5.59,5.43,5.48,1464100
92,2009-08-28,5.36,5.57,5.36,5.57,1443400
93,2009-08-31,5.66,5.71,5.59,5.71,2739800
94,2009-09-01,5.64,5.73,5.59,5.62,1491600
95,2009-09-03,5.64,5.64,5.48,5.5,1306100
96,2009-09-04,5.52,5.55,5.36,5.41,1074500
97,2009-09-07,5.45,5.45,5.14,5.3,1331100
98,2009-09-08,5.32,5.45,5.29,5.39,912200
99,2009-09-09,5.41,5.43,5.25,5.32,742800
100,2009-09-10,5.32,5.32,5.23,5.3,1159200
101,2009-09-11,5.32,5.64,5.3,5.62,2935200
102,2009-09-14,5.59,5.62,5.46,5.55,1048700
103,2009-09-15,5.53,5.59,5.41,5.59,2452400
104,2009-09-16,5.59,5.78,5.59,5.75,3234400
105,2009-09-17,5.76,5.84,5.71,5.71,3470300
106,2009-09-18,5.76,5.76,5.59,5.75,2891100
107,2009-09-21,5.76,5.82,5.59,5.71,1552300
108,2009-09-22,5.66,5.68,5.57,5.61,2781600
109,2009-09-23,5.68,5.8,5.55,5.61,2618800
110,2009-09-24,5.59,5.71,5.52,5.57,1774800
111,2009-09-25,5.5,5.68,5.5,5.64,2497700
112,2009-09-28,5.76,5.85,5.64,5.69,2409500
113,2009-09-29,5.85,5.92,5.59,5.62,1918700
114,2009-09-30,5.68,5.73,5.5,5.52,1597800
115,2009-10-01,5.55,5.57,5.34,5.39,1279900
116,2009-10-02,5.32,5.32,5.06,5.25,2478500
117,2009-10-05,5.23,5.41,5.11,5.14,970700
118,2009-10-06,5.23,5.34,5.13,5.16,1294000
119,2009-10-07,5.32,5.32,5.13,5.22,1342100
120,2009-10-08,5.23,5.27,5.14,5.2,1197600
121,2009-10-09,5.23,5.29,5.18,5.23,2127900
122,2009-10-12,5.59,5.59,5.27,5.48,3287500
123,2009-10-13,5.76,5.76,5.68,5.76,7036700
124,2009-10-14,6.16,6.16,5.76,6.1,4704900
125,2009-10-15,6.39,6.39,6.03,6.12,3038500
126,2009-10-16,6.17,6.17,5.76,5.76,3546600
127,2009-10-19,5.73,5.73,5.5,5.59,3368900
128,2009-10-20,5.68,5.84,5.48,5.59,2691500
129,2009-10-21,5.62,5.75,5.46,5.53,2465500
130,2009-10-22,5.62,5.66,5.5,5.57,1908700
131,2009-10-23,5.59,5.76,5.5,5.57,3749500
132,2009-10-26,5.64,5.64,5.41,5.41,1646400
133,2009-10-27,5.14,5.37,5.14,5.2,3564900
134,2009-10-28,5.32,5.39,5.2,5.25,2244900
135,2009-10-29,5.23,5.23,4.93,5.06,2252500
136,2009-10-30,5.37,5.37,5.06,5.13,2190500
137,2009-11-02,5.02,5.02,4.81,4.81,1300900
138,2009-11-03,4.88,4.88,4.51,4.54,1726500
139,2009-11-04,4.31,4.93,4.31,4.84,3431200
140,2009-11-05,4.88,5.0,4.79,5.0,2765400
141,2009-11-06,5.23,5.3,4.98,5.04,2029400
142,2009-11-09,5.13,5.14,4.86,4.86,1449000
143,2009-11-10,4.93,5.04,4.61,4.77,1043200
144,2009-11-11,4.82,4.97,4.77,4.91,1651500
145,2009-11-12,5.06,5.11,4.9,4.93,1270000
146,2009-11-13,4.91,4.91,4.79,4.84,1384200
147,2009-11-16,4.79,5.04,4.79,4.98,2247700
148,2009-11-17,4.97,5.13,4.88,4.91,774800
149,2009-11-18,4.95,5.0,4.84,4.91,1257900
150,2009-11-19,4.91,4.93,4.88,4.91,904900
151,2009-11-20,4.91,5.0,4.77,4.88,846500
152,2009-11-23,4.91,4.95,4.7,4.75,579300
153,2009-11-24,4.82,4.86,4.54,4.59,764700
154,2009-11-25,4.52,4.72,4.38,4.38,477300
155,2009-11-26,4.17,4.19,4.17,4.17,185700
156,2009-11-27,3.88,4.43,3.88,4.24,2234000
157,2009-11-30,4.26,4.47,4.26,4.47,1403500
158,2009-12-01,4.43,4.72,4.43,4.72,609900
159,2009-12-02,4.98,4.98,4.42,4.49,975500
160,2009-12-03,4.58,4.65,4.38,4.45,1010700
