,time,open,high,low,close,volume
0,2009-06-25,4.8,5.34,4.47,4.99,1828600
1,2009-06-26,5.16,5.22,4.94,4.94,1163400
2,2009-06-29,5.02,5.21,4.94,5.01,1534300
3,2009-06-30,5.03,5.06,4.68,4.68,867200
4,2009-07-01,4.53,4.57,4.53,4.53,1488400
5,2009-07-02,4.22,4.6,4.22,4.35,1581200
6,2009-07-03,4.22,4.34,4.04,4.31,901100
7,2009-07-06,4.27,4.56,4.27,4.56,1293600
8,2009-07-07,4.78,4.78,4.5,4.6,594100
9,2009-07-08,4.51,4.6,4.35,4.45,197000
10,2009-07-09,4.47,4.51,4.36,4.36,410500
11,2009-07-10,4.46,4.77,4.46,4.77,3845100
12,2009-07-13,4.72,4.91,4.53,4.66,591400
13,2009-07-14,4.78,4.81,4.4,4.56,557500
14,2009-07-15,4.78,4.78,4.42,4.47,605600
15,2009-07-16,4.77,4.78,4.42,4.52,392400
16,2009-07-17,4.45,4.46,4.27,4.35,140200
17,2009-07-20,4.1,4.1,4.06,4.06,49500
18,2009-07-21,4.1,4.1,3.79,3.84,227200
19,2009-07-22,3.95,4.16,3.85,3.91,474400
20,2009-07-23,4.1,4.25,3.93,4.2,953400
21,2009-07-24,4.44,4.44,4.44,4.44,539000
22,2009-07-27,4.72,4.73,4.6,4.73,1054200
23,2009-07-28,4.78,4.91,4.42,4.47,730800
24,2009-07-29,4.6,4.6,4.4,4.41,579200
25,2009-07-30,4.45,4.51,4.21,4.22,540800
26,2009-07-31,4.47,4.57,4.32,4.36,569600
27,2009-08-03,4.45,4.45,4.19,4.22,393300
28,2009-08-04,4.44,4.44,4.25,4.29,471700
29,2009-08-05,4.29,4.37,4.2,4.3,309600
30,2009-08-06,4.3,4.34,4.19,4.22,579100
31,2009-08-07,4.04,4.31,4.04,4.14,279000
32,2009-08-10,4.27,4.32,3.96,4.26,567800
33,2009-08-11,4.26,4.26,4.09,4.11,592500
34,2009-08-12,4.12,4.19,4.04,4.09,633500
35,2009-08-13,4.22,4.29,4.14,4.16,464800
36,2009-08-14,4.29,4.35,4.1,4.1,461700
37,2009-08-17,4.21,4.21,3.98,4.09,602400
38,2009-08-18,3.98,4.04,3.83,4.0,396500
39,2009-08-19,4.15,4.16,4.04,4.07,482200
40,2009-08-20,4.1,4.1,3.96,4.0,336100
41,2009-08-21,4.05,4.21,4.0,4.17,882800
42,2009-08-24,4.37,4.41,4.2,4.21,504300
43,2009-08-25,4.35,4.36,4.1,4.27,379800
44,2009-08-26,4.25,4.26,4.15,4.2,318600
45,2009-08-27,4.21,4.21,4.07,4.14,349800
46,2009-08-28,4.16,4.24,4.14,4.2,310700
47,2009-08-31,4.26,4.35,4.2,4.22,403600
48,2009-09-01,4.29,4.3,4.1,4.17,403200
49,2009-09-03,4.21,4.21,4.09,4.1,317400
50,2009-09-04,4.11,4.14,3.91,3.98,176700
51,2009-09-07,4.04,4.1,3.76,3.85,378300
52,2009-09-08,3.95,3.96,3.85,3.91,372100
53,2009-09-09,3.98,4.01,3.91,3.94,361100
54,2009-09-10,3.98,4.01,3.89,4.01,565600
55,2009-09-11,4.1,4.21,4.1,4.21,439000
56,2009-09-14,4.5,4.5,4.1,4.47,714400
57,2009-09-15,4.47,4.48,4.24,4.47,1010200
58,2009-09-16,4.6,4.7,4.53,4.65,1172100
59,2009-09-17,4.77,4.8,4.62,4.68,1168000
60,2009-09-18,4.68,4.91,4.47,4.89,1889600
61,2009-09-21,5.16,5.16,4.94,5.16,1540400
62,2009-09-22,5.22,5.48,5.09,5.48,1422800
63,2009-09-23,5.76,5.76,5.09,5.33,1591500
64,2009-09-24,5.23,5.34,5.23,5.23,839700
65,2009-09-25,4.97,5.6,4.88,5.28,2132400
66,2009-09-28,5.59,5.59,5.22,5.27,1026000
67,2009-09-29,5.44,5.59,5.09,5.27,648700
68,2009-09-30,5.34,5.43,4.97,5.07,708000
69,2009-10-01,5.09,5.14,4.78,4.82,608600
70,2009-10-02,4.78,4.96,4.58,4.92,1661500
71,2009-10-05,4.87,4.97,4.53,4.62,573000
72,2009-10-06,4.72,5.03,4.57,4.61,737500
73,2009-10-07,4.85,4.89,4.63,4.88,900500
74,2009-10-08,4.91,4.91,4.63,4.82,1044600
75,2009-10-09,4.83,4.92,4.75,4.82,1259700
76,2009-10-12,4.97,5.12,4.85,5.12,2428900
77,2009-10-13,5.22,5.32,5.03,5.11,1733700
78,2009-10-14,5.22,5.27,5.13,5.22,1254900
79,2009-10-15,5.34,5.54,5.21,5.27,1526000
80,2009-10-16,5.28,5.28,4.92,4.92,1218800
