,time,open,high,low,close,volume
0,2019-06-06,4.9,4.9,4.9,4.9,0
1,2019-06-07,4.9,4.9,4.9,4.9,0
2,2019-06-10,4.9,4.9,4.9,4.9,0
3,2019-06-11,4.9,4.9,4.9,4.9,0
4,2019-06-12,4.9,4.9,4.9,4.9,0
5,2019-06-13,6.84,6.84,6.84,6.84,100
6,2019-06-14,7.86,7.86,7.86,7.86,100
7,2019-06-17,9.03,9.03,9.03,9.03,100
8,2019-06-18,10.37,10.37,10.37,10.37,100
9,2019-06-19,11.91,11.91,11.91,11.91,200
10,2019-06-20,13.68,13.68,13.68,13.68,110
11,2019-06-21,15.73,15.73,15.73,15.73,25377
12,2019-06-24,18.07,18.07,18.07,18.07,5200
13,2019-06-25,20.77,20.77,20.52,20.77,78444
14,2019-06-26,23.65,23.65,19.95,20.52,26330
15,2019-06-27,20.52,20.66,20.37,20.46,247500
16,2019-06-28,19.52,19.52,18.98,18.98,330300
17,2019-07-01,18.81,18.81,17.67,18.24,23436
18,2019-07-02,19.38,20.52,19.09,19.66,61599
19,2019-07-03,19.86,20.52,19.83,20.23,98859
20,2019-07-04,20.23,22.23,20.23,20.12,110219
21,2019-07-05,22.2,24.34,22.2,23.77,44964
22,2019-07-08,23.65,24.08,22.8,23.45,65908
23,2019-07-09,23.14,24.91,23.14,24.88,95410
24,2019-07-10,24.36,27.3,24.22,27.01,303850
25,2019-07-11,26.22,28.18,22.43,25.65,218461
26,2019-07-12,25.36,26.47,25.22,25.59,77760
27,2019-07-15,25.65,25.93,25.08,25.65,33795
28,2019-07-16,24.85,25.36,24.85,25.08,66600
29,2019-07-17,25.22,25.22,23.45,23.94,104502
30,2019-07-18,24.36,25.93,23.37,25.62,62700
31,2019-07-19,25.79,27.36,25.79,26.22,104370
32,2019-07-22,26.22,26.59,25.96,26.36,54055
33,2019-07-23,26.36,27.3,26.3,26.64,119577
34,2019-07-24,26.79,26.79,26.22,26.22,32103
35,2019-07-25,25.96,26.22,25.65,25.93,56420
36,2019-07-26,25.68,25.79,25.13,25.36,119352
37,2019-07-29,25.36,25.5,25.02,25.36,33341
38,2019-07-30,25.22,26.33,25.22,26.22,34455
39,2019-07-31,26.79,29.95,26.79,29.95,259373
