,time,open,high,low,close,volume
0,2017-07-05,11.58,11.58,11.58,11.58,250340
1,2017-07-06,12.37,12.37,12.33,12.37,267030
2,2017-07-07,13.21,13.21,13.17,13.17,260810
3,2017-07-10,13.17,13.17,12.25,12.25,172350
4,2017-07-11,11.42,11.5,11.42,11.42,135340
5,2017-07-12,10.62,11.5,10.62,11.5,177080
6,2017-07-13,10.92,11.62,10.92,11.62,149000
7,2017-07-14,11.62,11.62,11.21,11.42,163200
8,2017-07-17,11.25,11.29,11.0,11.29,107930
9,2017-07-18,10.83,11.29,10.67,11.29,85190
10,2017-07-19,11.29,11.46,11.08,11.46,129460
11,2017-07-20,11.42,11.5,11.25,11.29,96570
12,2017-07-21,11.29,11.37,11.08,11.37,78820
13,2017-07-24,10.87,11.12,10.87,11.08,78140
14,2017-07-25,11.08,11.46,11.0,11.42,135820
15,2017-07-26,11.33,11.54,11.08,11.54,101500
16,2017-07-27,11.54,11.54,11.42,11.42,131150
17,2017-07-28,11.42,11.62,11.42,11.62,108150
18,2017-07-31,11.62,12.25,11.54,11.79,153380
19,2017-08-01,11.62,11.71,11.62,11.67,105930
20,2017-08-02,11.62,11.62,11.46,11.46,109650
21,2017-08-03,11.25,11.5,11.25,11.46,110880
22,2017-08-04,11.33,11.46,11.29,11.46,102350
23,2017-08-07,11.42,11.58,11.37,11.58,107750
24,2017-08-08,11.5,11.58,11.46,11.58,86990
25,2017-08-09,11.42,11.5,11.25,11.5,105940
26,2017-08-10,11.42,11.62,11.42,11.54,103440
27,2017-08-11,11.54,11.67,11.46,11.58,118330
28,2017-08-14,11.42,11.62,11.37,11.54,113600
29,2017-08-15,11.54,11.54,11.37,11.46,98790
30,2017-08-16,11.42,11.54,11.33,11.5,110850
31,2017-08-17,11.42,11.5,11.42,11.46,99920
32,2017-08-18,11.37,11.54,11.33,11.54,112280
33,2017-08-21,11.46,11.58,11.46,11.54,118130
34,2017-08-22,11.46,11.58,11.42,11.42,103560
35,2017-08-23,11.37,11.58,11.29,11.58,105940
36,2017-08-24,11.5,11.58,11.46,11.58,103320
37,2017-08-25,11.58,11.67,11.5,11.58,101550
38,2017-08-28,11.54,11.67,11.5,11.58,114860
39,2017-08-29,11.46,11.58,11.46,11.5,114720
40,2017-08-30,11.5,11.58,11.42,11.54,101110
41,2017-08-31,11.54,11.62,11.5,11.54,112520
42,2017-09-01,11.58,11.67,11.46,11.67,100060
43,2017-09-05,11.5,11.54,11.46,11.5,116640
44,2017-09-06,11.5,11.58,11.42,11.54,106020
45,2017-09-07,11.54,11.62,11.5,11.54,91200
46,2017-09-08,11.46,11.58,10.75,11.25,146540
47,2017-09-11,11.25,11.42,11.25,11.37,104330
48,2017-09-12,11.33,11.54,11.33,11.42,88190
49,2017-09-13,11.33,11.46,11.25,11.46,89120
50,2017-09-14,11.37,11.5,11.29,11.46,90090
51,2017-09-15,11.33,11.5,11.25,11.42,102210
52,2017-09-18,11.29,11.5,11.29,11.42,103170
53,2017-09-19,11.37,11.5,11.33,11.46,107900
54,2017-09-20,11.42,11.5,11.33,11.46,106700
55,2017-09-21,11.46,11.58,11.37,11.5,110450
56,2017-09-22,11.37,11.58,11.37,11.5,96430
57,2017-09-25,11.33,11.5,11.29,11.42,102250
58,2017-09-26,11.37,11.46,11.29,11.46,110390
59,2017-09-27,11.29,11.46,11.25,11.42,93560
60,2017-09-28,11.37,11.5,11.33,11.33,99110
61,2017-09-29,11.33,11.5,11.33,11.5,94000
62,2017-10-02,11.33,11.42,11.29,11.33,107220
63,2017-10-03,11.37,11.42,11.29,11.33,100010
64,2017-10-04,11.25,11.37,11.25,11.33,96730
65,2017-10-05,11.33,11.42,11.29,11.42,102730
66,2017-10-06,11.42,11.42,11.25,11.33,95680
67,2017-10-09,11.33,11.42,11.33,11.37,126620
68,2017-10-10,11.37,11.46,11.33,11.42,123780
69,2017-10-11,11.42,11.5,11.37,11.46,119460
70,2017-10-12,11.42,11.5,11.42,11.5,134540
71,2017-10-13,11.5,11.58,11.42,11.58,119370
72,2017-10-16,11.58,11.67,11.5,11.54,132530
73,2017-10-17,11.5,11.62,11.46,11.54,146410
74,2017-10-18,11.46,11.54,11.33,11.5,127810
75,2017-10-19,11.5,11.62,11.42,11.58,115680
76,2017-10-20,11.58,11.67,11.5,11.58,98620
77,2017-10-23,11.58,11.67,11.5,11.62,91060
78,2017-10-24,11.58,11.75,11.54,11.75,118650
79,2017-10-25,11.83,12.29,11.83,12.08,173330
80,2017-10-26,12.08,12.29,12.0,12.12,130260
81,2017-10-27,12.0,12.25,11.83,12.17,171730
82,2017-10-30,12.08,12.21,11.96,12.17,121890
83,2017-10-31,12.0,12.17,11.87,12.0,122310
84,2017-11-01,11.92,12.17,11.92,12.08,136640
85,2017-11-02,12.08,12.25,12.0,12.0,170900
86,2017-11-03,11.92,12.17,11.83,12.17,139430
87,2017-11-06,12.33,12.62,12.25,12.5,136880
88,2017-11-07,12.5,12.54,12.33,12.33,128000
89,2017-11-08,12.25,12.42,12.17,12.33,127920
90,2017-11-09,12.33,12.58,12.33,12.42,136520
91,2017-11-10,12.42,12.5,12.37,12.46,121150
92,2017-11-13,12.37,12.46,12.25,12.29,105630
93,2017-11-14,12.25,12.33,12.17,12.29,121480
94,2017-11-15,12.25,12.33,12.17,12.29,130600
95,2017-11-16,12.29,12.42,12.29,12.33,110710
96,2017-11-17,12.33,12.46,12.33,12.33,128960
97,2017-11-20,12.29,12.46,12.25,12.42,136160
98,2017-11-21,12.33,12.46,12.29,12.42,143480
99,2017-11-22,12.42,12.75,12.42,12.75,210530
100,2017-11-23,12.83,13.04,12.83,13.04,190290
101,2017-11-24,13.29,13.33,13.08,13.17,223590
102,2017-11-27,13.12,13.37,13.04,13.21,207590
103,2017-11-28,13.17,13.25,13.08,13.12,183460
104,2017-11-29,13.12,13.17,13.0,13.04,205660
