,time,open,high,low,close,volume
0,2017-11-03,16.63,19.23,16.57,16.57,26400
1,2017-11-06,15.38,16.27,15.38,15.5,20190
2,2017-11-07,15.98,16.27,15.98,16.27,4200
3,2017-11-08,15.86,16.21,15.86,16.21,4000
4,2017-11-09,16.21,16.27,15.38,16.27,22770
5,2017-11-10,15.98,15.98,15.74,15.74,7720
6,2017-11-13,15.74,15.74,15.38,15.38,74000
7,2017-11-14,15.38,15.38,15.32,15.38,26500
8,2017-11-15,15.27,15.38,15.27,15.38,31500
9,2017-11-16,15.38,15.98,15.38,15.98,3000
10,2017-11-17,15.38,15.38,15.27,15.38,25000
11,2017-11-20,15.38,15.38,15.32,15.32,9500
12,2017-11-21,15.38,15.38,15.27,15.38,15100
13,2017-11-22,15.21,15.68,15.21,15.5,4200
14,2017-11-23,15.38,15.38,15.21,15.38,16220
15,2017-11-24,15.27,16.51,15.27,15.98,68270
16,2017-11-27,15.98,16.39,15.68,15.68,71310
17,2017-11-28,15.92,17.16,15.92,15.98,7660
18,2017-11-29,15.98,15.98,15.8,15.8,24000
19,2017-11-30,15.86,15.98,15.5,15.92,18000
20,2017-12-01,15.74,16.45,15.74,16.45,47510
21,2017-12-04,16.27,16.27,16.27,16.27,110
22,2017-12-05,16.69,16.69,15.74,15.74,5420
23,2017-12-06,15.44,15.44,15.44,15.44,200
24,2017-12-07,15.98,15.44,15.98,15.98,410
25,2017-12-08,15.98,15.98,15.98,15.98,10000
26,2017-12-11,16.27,16.27,15.21,15.38,1500
27,2017-12-12,15.27,15.56,15.27,15.56,5500
28,2017-12-13,13.79,15.62,13.73,14.79,68700
29,2017-12-14,15.38,16.03,15.38,15.38,14400
30,2017-12-15,13.96,15.98,13.96,15.62,221400
31,2017-12-18,15.62,15.68,15.62,15.62,45900
32,2017-12-19,15.62,15.62,15.62,15.62,0
33,2017-12-20,15.09,15.09,15.09,15.09,1000
34,2017-12-21,15.09,15.38,14.79,14.79,8200
35,2017-12-22,15.09,15.38,15.03,15.38,1100
36,2017-12-25,14.91,14.91,14.79,14.79,3400
37,2017-12-26,14.85,15.03,14.56,14.56,6600
38,2017-12-27,14.73,14.73,14.73,14.73,1700
39,2017-12-28,14.73,14.73,14.73,14.73,1000
40,2017-12-29,14.5,15.68,14.5,15.68,26300
41,2018-01-02,14.5,14.5,13.02,13.14,71790
42,2018-01-03,13.08,13.9,12.78,13.43,36000
43,2018-01-04,13.08,13.9,13.08,13.49,32300
44,2018-01-05,13.61,14.2,13.25,13.25,61300
45,2018-01-08,13.19,13.37,11.54,13.37,53900
46,2018-01-09,13.08,13.73,13.08,13.73,5170
47,2018-01-10,13.19,14.02,13.19,13.73,14640
48,2018-01-11,14.2,14.2,14.02,14.2,8220
49,2018-01-12,13.61,13.61,13.61,13.61,210
50,2018-01-15,13.61,13.9,13.49,13.55,11900
51,2018-01-16,13.67,13.67,13.67,13.67,10020
52,2018-01-17,13.61,13.61,13.49,13.61,5100
53,2018-01-18,13.61,13.61,13.61,13.61,6980
54,2018-01-19,13.61,13.61,13.61,13.61,100
55,2018-01-22,13.61,13.61,13.61,13.61,0
56,2018-01-23,13.73,13.73,13.73,13.73,100
57,2018-01-24,13.61,13.61,13.61,13.61,100
58,2018-01-25,13.49,13.49,13.31,13.31,1000
59,2018-01-26,13.19,13.55,13.19,13.31,11700
60,2018-01-29,13.25,13.25,13.25,13.25,340
61,2018-01-30,13.25,13.25,11.72,12.72,400
62,2018-01-31,12.72,12.72,12.72,12.72,10
63,2018-02-01,12.72,12.72,11.83,11.83,3100
64,2018-02-02,12.19,12.19,11.54,12.19,5710
65,2018-02-05,11.54,11.54,11.54,11.54,1200
66,2018-02-06,11.24,12.07,11.24,11.24,2670
67,2018-02-07,11.42,11.42,11.42,11.42,200
68,2018-02-08,11.42,11.54,11.36,11.54,3500
69,2018-02-09,11.36,11.36,11.24,11.36,14310
70,2018-02-12,12.66,12.96,12.66,12.96,4900
71,2018-02-13,13.55,13.61,13.55,13.61,1000
72,2018-02-21,14.5,14.5,14.5,14.5,1200
73,2018-02-22,12.66,13.02,12.54,13.31,18000
74,2018-02-23,13.55,13.55,13.55,13.55,200
75,2018-02-26,13.67,13.67,13.14,13.14,7590
76,2018-02-27,13.55,13.61,13.55,13.61,1600
77,2018-02-28,13.55,13.55,13.55,13.55,29100
78,2018-03-01,13.31,13.31,13.31,13.31,2400
79,2018-03-02,13.31,13.31,13.31,13.31,0
80,2018-03-05,13.9,14.08,13.9,14.08,17500
81,2018-03-06,13.9,13.9,13.61,13.61,6060
82,2018-03-07,13.85,13.85,13.61,13.61,4000
83,2018-03-08,13.79,13.79,13.79,13.79,0
84,2018-03-09,13.61,13.73,13.61,13.61,13250
85,2018-03-12,13.67,13.67,13.67,13.67,0
86,2018-03-13,13.67,13.67,13.67,13.67,0
87,2018-03-14,13.02,13.08,13.02,13.02,6000
88,2018-03-15,13.02,13.02,13.02,13.02,0
89,2018-03-16,13.67,13.67,13.67,13.67,1040
90,2018-03-19,13.61,13.61,13.61,13.61,200
91,2018-03-20,13.85,13.85,13.85,13.85,500
92,2018-03-21,13.02,13.61,13.02,13.02,1700
93,2018-03-22,12.43,13.31,12.43,13.31,700
94,2018-03-23,13.61,13.67,13.02,13.67,30400
95,2018-03-26,15.38,15.38,15.38,15.38,3500
96,2018-03-27,14.79,14.79,14.73,14.73,700
97,2018-03-28,13.61,13.61,13.61,13.61,6000
98,2018-03-29,13.89,13.89,13.89,13.89,100
99,2018-03-30,13.89,14.21,13.89,14.21,5300
100,2018-04-02,16.02,16.02,14.86,14.86,4600
101,2018-04-03,14.53,14.53,14.21,14.21,1200
102,2018-04-04,13.89,13.89,13.89,13.89,100
103,2018-04-05,14.21,14.21,14.21,14.21,500
104,2018-04-06,14.21,15.44,13.56,15.44,5200
105,2018-04-09,13.69,13.69,13.63,13.63,5000
106,2018-04-10,13.63,13.63,13.63,13.63,0
107,2018-04-11,13.63,13.63,13.63,13.63,1500
108,2018-04-12,13.89,13.89,12.66,12.66,1600
109,2018-04-13,12.92,12.92,12.92,12.92,100
