,time,open,high,low,close,volume
0,2012-10-16,4.79,5.86,4.79,5.86,8100
1,2012-10-17,5.86,5.86,5.86,5.86,0
2,2012-10-18,6.25,6.25,6.25,6.25,1400
3,2012-10-19,6.69,6.69,6.69,6.69,2400
4,2012-10-22,7.14,7.14,6.97,7.14,6800
5,2012-10-23,6.66,6.66,6.66,6.66,3200
6,2012-10-24,6.25,6.25,6.25,6.25,600
7,2012-10-25,5.88,5.88,5.84,5.84,2300
8,2012-10-26,5.99,5.99,5.84,5.84,200
9,2012-10-29,5.84,5.84,5.84,5.84,0
10,2012-10-30,5.84,5.84,5.84,5.84,0
11,2012-10-31,5.84,5.84,5.84,5.84,0
12,2012-11-01,5.84,5.84,5.84,5.84,0
13,2012-11-02,5.44,5.44,5.44,5.44,100
14,2012-11-05,5.1,5.1,5.1,5.1,100
15,2012-11-06,5.21,5.21,5.21,5.21,100
16,2012-11-07,5.21,5.21,5.21,5.21,0
17,2012-11-08,5.21,5.21,5.21,5.21,0
18,2012-11-09,5.53,5.53,5.53,5.53,100
19,2012-11-12,5.9,5.9,5.9,5.9,100
20,2012-11-13,6.29,6.29,6.29,6.29,100
21,2012-11-14,6.29,6.64,6.29,6.64,200
22,2012-11-15,6.64,6.64,6.64,6.64,0
23,2012-11-16,6.64,6.64,6.64,6.64,0
24,2012-11-19,6.64,6.64,6.64,6.64,0
25,2012-11-20,6.64,6.64,6.64,6.64,0
26,2012-11-21,6.64,6.64,6.64,6.64,0
27,2012-11-22,6.64,6.64,6.64,6.64,0
28,2012-11-23,6.64,6.64,6.64,6.64,0
29,2012-11-26,6.64,6.64,6.64,6.64,0
30,2012-11-27,6.64,6.64,6.64,6.64,0
31,2012-11-28,6.64,6.64,6.64,6.64,0
32,2012-11-29,6.19,6.19,6.19,6.19,100
33,2012-11-30,5.77,5.77,5.77,5.77,300
34,2012-12-03,6.0,6.0,6.0,6.0,0
35,2012-12-04,6.0,6.0,6.0,6.0,0
36,2012-12-05,6.16,6.16,6.16,6.16,100
37,2012-12-06,6.16,6.16,6.16,6.16,0
38,2012-12-07,6.16,6.16,6.16,6.16,0
39,2012-12-10,6.16,6.16,6.16,6.16,0
40,2012-12-11,6.16,6.16,6.16,6.16,0
41,2012-12-12,6.16,6.16,6.16,6.16,0
42,2012-12-13,6.16,6.16,6.16,6.16,0
43,2012-12-14,6.16,6.16,6.16,6.16,0
44,2012-12-17,6.16,6.16,6.16,6.16,0
45,2012-12-18,6.16,6.16,6.16,6.16,0
46,2012-12-19,5.73,5.73,5.73,5.73,200
47,2012-12-20,6.11,6.11,6.11,6.11,100
48,2012-12-21,6.11,6.11,6.11,6.11,0
49,2012-12-24,6.11,6.11,6.11,6.11,0
50,2012-12-25,6.11,6.11,6.11,6.11,0
51,2012-12-26,6.11,6.11,6.11,6.11,0
52,2012-12-27,6.11,6.11,6.11,6.11,0
53,2012-12-28,6.11,6.11,6.11,6.11,0
54,2013-01-02,6.11,6.11,6.11,6.11,0
55,2013-01-03,6.11,6.11,6.11,6.11,0
56,2013-01-04,6.11,6.11,6.11,6.11,0
57,2013-01-07,6.11,6.11,6.11,6.11,0
58,2013-01-08,6.11,6.11,6.11,6.11,0
59,2013-01-09,6.11,6.11,6.11,6.11,0
60,2013-01-10,6.11,6.11,6.11,6.11,0
61,2013-01-11,6.11,6.11,6.11,6.11,0
62,2013-01-14,6.11,6.11,6.11,6.11,0
63,2013-01-15,6.11,6.11,6.11,6.11,0
64,2013-01-16,6.11,6.11,6.11,6.11,0
65,2013-01-17,6.11,6.11,6.11,6.11,0
66,2013-01-18,6.11,6.11,6.11,6.11,0
67,2013-01-21,5.5,5.5,5.5,5.5,1000
68,2013-01-22,5.5,5.5,5.5,5.5,0
69,2013-01-23,5.5,5.5,5.5,5.5,0
70,2013-01-24,5.5,5.5,5.5,5.5,0
71,2013-01-25,5.5,5.5,5.5,5.5,0
72,2013-01-28,5.5,5.5,5.5,5.5,0
73,2013-01-29,5.5,5.5,5.5,5.5,0
74,2013-01-30,4.98,4.98,4.98,4.98,1500
75,2013-01-31,4.98,4.98,4.98,4.98,0
76,2013-02-01,4.98,4.98,4.98,4.98,0
77,2013-02-04,4.98,4.98,4.98,4.98,1000
78,2013-02-05,4.98,4.98,4.98,4.98,0
79,2013-02-06,4.98,4.98,4.98,4.98,0
80,2013-02-07,4.98,4.98,4.98,4.98,0
81,2013-02-08,4.98,4.98,4.98,4.98,0
82,2013-02-18,5.0,5.0,5.0,5.0,100
83,2013-02-19,5.21,5.21,5.21,5.21,300
84,2013-02-20,5.21,5.21,5.21,5.21,0
85,2013-02-21,5.21,5.21,5.21,5.21,0
86,2013-02-22,5.21,5.21,5.21,5.21,100
87,2013-02-25,5.21,5.21,5.21,5.21,0
88,2013-02-26,5.21,5.21,5.21,5.21,0
89,2013-02-27,5.21,5.21,5.21,5.21,0
90,2013-02-28,4.98,4.98,4.98,4.98,500
91,2013-03-01,5.39,5.48,5.39,5.48,900
92,2013-03-04,5.88,5.88,5.88,5.88,500
93,2013-03-05,5.88,5.88,5.88,5.88,0
94,2013-03-06,5.88,5.88,5.88,5.88,0
95,2013-03-07,5.88,5.88,5.88,5.88,0
96,2013-03-08,5.88,5.88,5.88,5.88,0
97,2013-03-11,5.88,5.88,5.88,5.88,0
98,2013-03-12,5.88,5.88,5.88,5.88,0
99,2013-03-13,5.88,5.88,5.88,5.88,0
100,2013-03-14,5.88,5.88,5.88,5.88,0
101,2013-03-15,5.88,5.88,5.88,5.88,0
102,2013-03-18,5.45,5.45,5.43,5.43,3000
103,2013-03-19,5.43,5.43,5.43,5.43,0
104,2013-03-20,5.41,5.41,5.41,5.41,200
105,2013-03-21,5.41,5.41,5.41,5.41,0
106,2013-03-22,5.21,5.21,5.21,5.21,1000
107,2013-03-25,5.21,5.21,5.21,5.21,0
108,2013-03-26,5.66,5.73,5.66,5.7,1900
109,2013-03-27,5.7,5.7,5.7,5.7,0
110,2013-03-28,5.7,5.7,5.7,5.7,0
