,time,open,high,low,close,volume
0,2010-10-19,5.49,6.71,5.49,6.33,146020
1,2010-10-20,6.04,6.12,6.04,6.04,11060
2,2010-10-21,5.74,5.74,5.74,5.74,25350
3,2010-10-22,5.49,5.74,5.49,5.74,127930
4,2010-10-25,5.78,5.78,5.57,5.78,45460
5,2010-10-26,5.87,5.91,5.66,5.87,68810
6,2010-10-27,5.87,5.87,5.61,5.61,30300
7,2010-10-28,5.7,5.7,5.61,5.7,2720
8,2010-10-29,5.82,5.91,5.74,5.82,35260
9,2010-11-01,5.7,5.82,5.57,5.7,38460
10,2010-11-02,5.53,5.66,5.53,5.53,7800
11,2010-11-03,5.28,5.53,5.28,5.28,46990
12,2010-11-04,5.36,5.4,5.28,5.36,33740
13,2010-11-05,5.57,5.57,5.49,5.57,10540
14,2010-11-08,5.53,5.53,5.32,5.36,37330
15,2010-11-09,5.15,5.19,5.15,5.15,6750
16,2010-11-10,5.23,5.28,5.11,5.23,17040
17,2010-11-11,5.44,5.44,5.02,5.02,24860
18,2010-11-12,5.19,5.19,4.9,4.98,46570
19,2010-11-15,4.85,4.85,4.77,4.85,9000
20,2010-11-16,4.68,4.9,4.68,4.68,15980
21,2010-11-17,4.64,4.81,4.47,4.64,29740
22,2010-11-18,4.73,4.73,4.64,4.73,19030
23,2010-11-19,4.73,4.73,4.52,4.73,3180
24,2010-11-22,4.52,4.64,4.52,4.52,43650
25,2010-11-23,4.52,4.52,4.43,4.52,7920
26,2010-11-24,4.43,4.47,4.3,4.43,30750
27,2010-11-25,4.6,4.64,4.47,4.6,44500
28,2010-11-26,4.47,4.52,4.39,4.47,22010
29,2010-11-29,4.43,4.43,4.39,4.43,29000
30,2010-11-30,4.52,4.64,4.52,4.64,93580
31,2010-12-01,4.85,4.85,4.6,4.85,113900
32,2010-12-02,5.02,5.06,5.02,5.06,25670
33,2010-12-03,5.32,5.32,5.28,5.32,29820
34,2010-12-06,5.53,5.53,5.32,5.32,34800
