,time,open,high,low,close,volume
0,2017-02-14,8.39,0.0,0.0,0.0,0
1,2017-02-15,8.39,0.0,0.0,0.0,0
2,2017-02-16,8.39,0.0,0.0,0.0,0
3,2017-02-17,8.39,0.0,0.0,0.0,0
4,2017-02-20,8.39,0.0,0.0,0.0,0
5,2017-02-21,8.39,0.0,0.0,0.0,0
6,2017-02-22,8.39,0.0,0.0,0.0,0
7,2017-02-23,8.39,0.0,0.0,0.0,0
8,2017-02-24,8.39,0.0,0.0,0.0,0
9,2017-02-27,8.39,0.0,0.0,0.0,0
10,2017-02-28,8.39,0.0,0.0,0.0,0
11,2017-03-01,8.39,0.0,0.0,0.0,0
12,2017-03-02,8.39,0.0,0.0,0.0,0
13,2017-03-03,5.05,5.05,5.05,5.05,2700
14,2017-03-06,5.05,5.05,5.05,5.05,0
15,2017-03-07,5.05,5.05,5.05,5.05,0
16,2017-03-08,5.05,5.05,5.05,5.05,0
17,2017-03-09,5.05,5.05,5.05,5.05,0
18,2017-03-10,5.05,5.05,5.05,5.05,0
19,2017-03-13,4.32,4.32,4.32,4.32,5000
20,2017-03-14,4.89,4.89,4.89,4.89,4400
21,2017-03-15,4.89,4.89,4.89,4.89,0
22,2017-03-16,4.89,4.89,4.89,4.89,0
23,2017-03-17,4.89,4.89,4.89,4.89,0
24,2017-03-20,4.89,4.89,4.89,4.89,0
25,2017-03-21,4.89,4.89,4.89,4.89,0
26,2017-03-22,4.89,4.89,4.89,4.89,0
27,2017-03-23,4.89,4.89,4.89,4.89,0
28,2017-03-24,4.89,4.89,4.89,4.89,0
29,2017-03-27,4.89,4.89,4.89,4.89,0
30,2017-03-28,4.89,4.89,4.89,4.89,0
31,2017-03-29,5.62,5.62,5.62,5.62,100
32,2017-03-30,6.44,6.44,6.44,6.44,100
33,2017-03-31,6.44,6.44,6.44,6.44,0
34,2017-04-03,6.44,6.44,6.44,6.44,0
35,2017-04-04,6.44,6.44,6.44,6.44,0
36,2017-04-05,6.44,6.44,6.44,6.44,0
37,2017-04-07,6.44,6.44,6.44,6.44,0
38,2017-04-10,6.44,6.44,6.44,6.44,0
39,2017-04-11,6.44,6.44,6.44,6.44,0
40,2017-04-12,6.44,6.44,6.44,6.44,0
41,2017-04-13,6.44,6.44,6.44,6.44,0
42,2017-04-14,6.44,6.44,6.44,6.44,0
43,2017-04-17,6.44,6.44,6.44,6.44,0
44,2017-04-18,6.44,6.44,6.44,6.44,0
