,time,open,high,low,close,volume
0,2008-03-17,22.0,22.0,12.0,15.0,174600
1,2008-03-18,14.5,14.9,13.6,13.7,59800
2,2008-03-19,14.0,15.0,13.3,14.0,73500
3,2008-03-20,15.0,15.0,13.8,14.0,50700
4,2008-03-21,13.5,14.0,13.0,14.0,22000
5,2008-03-24,14.0,14.0,12.0,12.1,37700
6,2008-03-25,12.0,12.0,11.2,11.3,58000
7,2008-03-26,11.5,12.3,11.4,11.7,48900
8,2008-03-27,12.0,12.1,12.0,12.1,4100
9,2008-03-28,12.3,12.3,12.3,12.3,600
10,2008-03-31,12.5,12.5,12.5,12.5,2200
11,2008-04-01,12.7,12.7,12.7,12.7,500
12,2008-04-02,12.9,12.9,12.9,12.9,17000
13,2008-04-03,13.1,13.1,13.1,13.1,100
14,2008-04-04,13.3,13.3,13.3,13.3,700
15,2008-04-07,13.6,13.6,13.6,13.6,2300
16,2008-04-08,14.0,14.0,13.2,13.9,166400
17,2008-04-09,13.7,14.1,13.3,13.3,25600
18,2008-04-10,13.0,13.0,13.0,13.0,500
19,2008-04-11,12.7,12.7,12.7,12.7,5800
20,2008-04-16,12.4,12.4,12.4,12.4,16600
21,2008-04-17,12.1,12.7,12.1,12.7,101900
22,2008-04-18,12.7,12.7,12.1,12.3,31200
23,2008-04-21,12.1,12.4,12.1,12.1,10900
24,2008-04-22,11.9,11.9,11.9,11.9,2600
25,2008-04-23,11.6,11.6,11.6,11.6,6000
26,2008-04-24,11.3,11.7,11.3,11.3,40300
27,2008-04-25,11.0,11.4,11.0,11.4,39100
28,2008-04-28,11.2,11.3,10.8,11.2,91700
29,2008-04-29,10.9,11.2,10.8,11.2,26200
30,2008-05-05,10.9,11.0,10.8,10.8,16900
31,2008-05-06,10.5,10.5,10.5,10.5,13400
32,2008-05-07,10.2,10.2,10.2,10.2,4300
33,2008-05-08,9.9,9.9,9.9,9.9,3100
34,2008-05-09,9.7,9.7,9.7,9.7,2500
35,2008-05-12,9.5,9.5,9.5,9.5,600
36,2008-05-13,9.3,9.3,9.3,9.3,800
37,2008-05-14,9.1,9.1,9.1,9.1,1600
38,2008-05-15,8.9,8.9,8.9,8.9,1900
39,2008-05-16,8.7,9.1,8.7,8.7,60900
40,2008-05-19,8.5,8.7,8.5,8.5,21100
41,2008-05-20,8.3,8.3,8.3,8.3,1200
42,2008-05-21,8.1,8.1,8.1,8.1,7900
43,2008-05-22,7.9,7.9,7.9,7.9,700
44,2008-05-23,7.7,7.7,7.7,7.7,1600
45,2008-05-26,7.5,7.5,7.5,7.5,1500
46,2008-05-27,7.3,7.3,7.3,7.3,800
47,2008-05-28,7.1,7.1,7.1,7.1,8200
48,2008-05-29,6.9,7.3,6.9,7.2,74300
49,2008-05-30,7.3,7.3,7.2,7.3,17300
50,2008-06-02,7.5,7.5,7.5,7.5,25900
51,2008-06-03,7.7,7.7,7.7,7.7,10000
52,2008-06-04,7.9,7.9,7.5,7.5,41700
53,2008-06-05,7.5,7.5,7.5,7.5,5600
54,2008-06-06,7.3,7.3,7.3,7.3,11100
55,2008-06-09,7.1,7.1,7.1,7.1,1000
56,2008-06-10,6.9,7.3,6.9,7.3,68600
57,2008-06-11,7.1,7.2,7.1,7.2,19400
58,2008-06-12,7.4,7.4,7.4,7.4,7100
59,2008-06-13,7.6,7.6,7.6,7.6,11700
60,2008-06-16,7.8,7.8,7.8,7.8,6700
61,2008-06-17,8.0,8.0,8.0,8.0,4300
62,2008-06-18,8.2,8.2,7.8,7.8,32800
63,2008-06-19,7.8,7.8,7.8,7.8,14200
64,2008-06-20,7.5,7.5,7.5,7.5,9000
65,2008-06-23,7.2,7.8,7.2,7.8,69800
66,2008-06-24,7.9,7.9,7.6,7.8,34200
67,2008-06-25,8.0,8.0,7.7,8.0,62800
68,2008-06-26,8.2,8.2,7.6,7.8,49000
69,2008-06-27,7.6,8.0,7.5,7.9,41500
70,2008-06-30,8.0,8.0,7.6,7.8,26600
71,2008-07-01,7.9,8.1,7.8,8.1,81800
72,2008-07-02,8.1,8.3,8.0,8.3,94400
73,2008-07-03,8.5,8.5,8.3,8.5,28700
74,2008-07-04,8.8,8.8,8.8,8.8,40400
75,2008-07-07,9.1,9.1,8.5,9.0,119500
76,2008-07-08,8.9,9.2,8.7,9.1,83600
77,2008-07-09,9.1,9.1,9.0,9.1,45300
78,2008-07-10,9.4,9.4,9.3,9.4,33200
79,2008-07-11,9.7,9.7,9.6,9.7,55000
80,2008-07-14,10.0,10.0,9.9,10.0,74000
81,2008-07-15,10.4,10.4,10.4,10.4,28900
82,2008-07-16,10.8,10.8,10.0,10.7,213100
83,2008-07-17,11.1,11.1,11.0,11.1,72000
84,2008-07-18,11.5,11.5,10.7,10.7,83700
85,2008-07-21,10.6,10.6,10.6,10.6,1400
86,2008-07-22,10.2,10.2,10.2,10.2,1100
87,2008-07-23,9.8,9.8,9.8,9.8,100
88,2008-07-24,9.5,9.5,9.5,9.5,10100
89,2008-07-25,9.2,9.2,9.2,9.2,1100
90,2008-07-28,8.9,8.9,8.9,8.9,16100
91,2008-07-29,8.6,9.2,8.6,8.8,88100
92,2008-07-30,8.6,8.6,8.5,8.5,8700
93,2008-07-31,8.2,8.2,8.2,8.2,1800
94,2008-08-01,7.9,7.9,7.9,7.9,6000
95,2008-08-04,7.6,7.6,7.6,7.6,4200
96,2008-08-05,7.3,7.3,7.3,7.3,9500
97,2008-08-06,7.1,7.5,7.1,7.5,108200
98,2008-08-07,7.5,7.5,7.2,7.4,29800
99,2008-08-08,7.8,7.8,7.5,7.8,42200
100,2008-08-11,8.1,8.1,8.1,8.1,7000
101,2008-08-12,8.4,8.4,7.8,8.3,48100
102,2008-08-13,8.5,8.5,8.0,8.0,27600
103,2008-08-14,7.9,8.4,7.8,8.4,137700
104,2008-08-15,8.5,8.5,8.5,8.5,43600
105,2008-08-18,9.0,9.0,8.6,9.0,64500
106,2008-08-19,8.3,8.8,8.3,8.4,29300
107,2008-08-20,7.9,8.0,7.9,7.9,31700
108,2008-08-21,7.5,8.4,7.5,8.1,75500
109,2008-08-22,8.5,8.5,7.7,7.8,49400
110,2008-08-25,8.2,8.4,7.9,8.4,80200
111,2008-08-26,8.8,8.9,8.8,8.9,70600
112,2008-08-27,9.5,9.5,8.5,8.9,134000
113,2008-08-28,8.8,8.8,8.6,8.6,18800
114,2008-08-29,8.2,8.5,8.0,8.4,43800
115,2008-09-03,8.2,8.6,8.2,8.6,37400
116,2008-09-04,9.1,9.2,8.5,9.0,75600
117,2008-09-05,9.2,9.4,8.5,8.8,61600
118,2008-09-08,9.4,9.5,8.4,9.1,116000
119,2008-09-09,9.4,9.5,9.2,9.5,127600
120,2008-09-10,10.1,10.1,9.6,10.1,245800
121,2008-09-11,10.8,10.8,9.6,9.8,104000
122,2008-09-12,9.4,9.7,9.4,9.4,35600
123,2008-09-15,9.0,9.5,8.9,9.4,117600
124,2008-09-16,8.6,9.1,8.5,8.5,77900
125,2008-09-17,8.0,8.1,8.0,8.0,68200
126,2008-09-18,8.0,8.2,7.5,7.6,58000
127,2008-09-19,7.7,8.2,7.7,8.2,15800
128,2008-09-22,8.6,8.6,8.6,8.6,8700
129,2008-09-23,9.0,9.0,8.1,8.5,37800
130,2008-09-24,8.4,8.6,8.2,8.3,27400
131,2008-09-25,8.0,8.6,8.0,8.5,26900
132,2008-09-26,8.8,8.8,8.0,8.4,29100
133,2008-09-29,8.2,8.2,7.9,8.1,32500
134,2008-09-30,8.0,8.0,7.5,7.5,101700
135,2008-10-01,8.0,8.0,7.6,8.0,30100
136,2008-10-02,8.0,8.3,8.0,8.3,43800
137,2008-10-03,8.0,8.1,7.9,8.0,25900
138,2008-10-06,7.9,8.0,7.5,7.5,45900
139,2008-10-07,7.4,7.5,7.1,7.1,44400
140,2008-10-08,7.0,7.2,6.7,6.7,52500
141,2008-10-09,6.8,7.1,6.7,7.1,53600
142,2008-10-10,7.0,7.0,6.6,6.9,20100
143,2008-10-13,6.8,6.8,6.6,6.8,13300
144,2008-10-14,7.2,7.2,7.2,7.2,17100
145,2008-10-15,7.7,7.7,7.2,7.6,40900
146,2008-10-16,7.2,7.3,7.0,7.0,20100
147,2008-10-17,7.1,7.2,6.9,7.2,25100
148,2008-10-20,7.0,7.2,6.8,7.0,22000
149,2008-10-21,7.2,7.2,6.9,7.1,31400
150,2008-10-22,7.0,7.0,6.9,6.9,1600
151,2008-10-23,7.0,7.0,6.6,6.6,25900
152,2008-10-24,6.4,6.5,6.3,6.5,16100
153,2008-10-27,6.4,6.4,6.0,6.1,20000
154,2008-10-28,5.9,6.2,5.7,6.1,10700
155,2008-10-29,6.3,6.3,6.3,6.3,21100
156,2008-10-30,6.7,6.7,6.3,6.6,27000
157,2008-10-31,6.7,6.9,6.5,6.9,42200
158,2008-11-03,6.8,6.9,6.4,6.7,13600
