,time,open,high,low,close,volume
0,2016-11-25,13.5,13.5,12.25,13.4,52300
1,2016-11-28,13.31,14.08,11.86,12.82,93900
2,2016-11-29,11.86,12.92,11.86,12.54,48100
3,2016-11-30,12.44,12.73,10.9,11.57,57400
4,2016-12-01,10.61,12.05,10.22,11.76,100600
5,2016-12-02,11.19,12.05,11.09,11.38,15300
6,2016-12-05,10.99,11.38,10.32,10.61,27800
7,2016-12-06,10.32,11.09,10.32,10.41,19800
8,2016-12-07,9.64,10.61,9.64,10.51,30400
9,2016-12-08,10.41,10.41,9.84,9.93,29200
10,2016-12-09,10.03,10.03,8.87,9.84,32600
11,2016-12-12,9.64,9.64,8.39,8.39,31600
12,2016-12-13,8.58,8.58,7.81,7.81,4200
13,2016-12-14,8.1,8.1,6.85,8.0,11200
14,2016-12-15,7.14,7.71,7.14,7.71,5700
15,2016-12-16,7.52,8.58,7.52,8.49,16200
16,2016-12-19,7.52,8.49,7.52,8.29,1900
17,2016-12-20,7.62,8.29,7.42,8.29,8900
18,2016-12-21,7.71,8.39,7.52,8.29,11100
19,2016-12-22,8.2,8.29,7.91,8.0,9600
20,2016-12-23,8.0,8.49,8.0,8.2,4500
21,2016-12-26,8.87,8.87,7.81,8.39,4100
22,2016-12-27,8.1,8.2,7.91,8.2,14600
23,2016-12-28,8.49,8.49,7.81,8.1,1000
24,2016-12-29,8.1,8.2,7.71,7.71,9600
25,2016-12-30,7.91,7.91,7.71,7.91,2300
26,2017-01-03,7.42,7.91,7.42,7.81,6400
27,2017-01-04,7.52,7.81,7.23,7.81,7850
28,2017-01-05,7.62,7.91,7.62,7.71,9100
29,2017-01-06,7.52,7.71,7.23,7.71,5400
30,2017-01-09,7.23,8.2,7.23,7.42,8100
31,2017-01-10,7.33,7.62,7.23,7.33,5400
32,2017-01-11,7.62,7.62,7.62,7.62,300
33,2017-01-12,7.33,7.52,7.23,7.33,8100
34,2017-01-13,7.62,7.62,7.23,7.52,4300
35,2017-01-16,7.14,7.71,6.27,6.75,14400
36,2017-01-17,6.75,6.94,6.56,6.85,10000
37,2017-01-18,6.75,6.85,5.79,6.85,12100
38,2017-01-19,6.65,7.04,6.65,6.65,12900
39,2017-01-20,6.65,6.65,6.65,6.65,0
40,2017-01-23,7.81,7.81,7.81,7.81,200
41,2017-01-24,7.81,7.81,7.81,7.81,0
42,2017-01-25,7.62,7.71,7.62,7.71,3500
43,2017-02-02,7.62,7.71,7.62,7.71,6300
44,2017-02-03,6.56,7.62,6.56,7.52,7900
45,2017-02-06,7.52,7.52,7.33,7.42,5600
46,2017-02-07,7.42,8.49,7.23,8.0,41400
47,2017-02-08,8.1,8.1,7.71,7.71,15400
48,2017-02-09,7.62,7.81,7.62,7.81,3600
49,2017-02-10,7.81,8.0,7.71,7.71,4700
50,2017-02-13,7.71,8.0,7.71,8.0,24200
51,2017-02-14,7.81,8.1,7.81,7.91,12100
52,2017-02-15,7.91,8.29,7.91,8.29,16800
53,2017-02-16,8.29,8.77,8.29,8.49,24000
54,2017-02-17,8.87,8.87,8.39,8.87,24700
55,2017-02-20,8.58,8.68,8.58,8.58,40500
56,2017-02-21,8.58,8.87,8.58,8.77,24800
57,2017-02-22,8.97,9.74,8.97,9.64,43700
58,2017-02-23,9.74,9.74,9.55,9.55,17700
59,2017-02-24,9.74,9.74,9.45,9.45,21300
60,2017-02-27,9.16,9.26,8.1,9.26,30500
61,2017-02-28,8.2,8.68,8.2,8.39,2500
62,2017-03-01,8.0,8.58,7.81,8.58,3700
63,2017-03-02,8.29,9.26,8.29,9.26,5000
64,2017-03-03,8.87,8.87,8.58,8.58,20500
65,2017-03-06,8.68,8.87,7.71,8.68,35100
66,2017-03-07,8.49,8.49,8.49,8.49,1100
67,2017-03-08,8.87,8.87,8.87,8.87,100
68,2017-03-09,8.77,8.77,8.39,8.49,1200
69,2017-03-10,8.1,8.49,8.0,8.39,3300
70,2017-03-13,8.29,8.58,8.29,8.58,5800
71,2017-03-14,8.49,8.49,8.39,8.49,14400
