,time,open,high,low,close,volume
0,2021-03-24,9.95,9.95,9.95,9.95,6007500
1,2021-03-25,10.64,10.64,10.64,10.64,1464100
2,2021-03-26,11.38,11.38,11.38,11.38,1078500
3,2021-03-29,12.17,12.17,11.85,12.17,3992200
4,2021-03-30,13.01,13.01,12.96,13.01,1896300
5,2021-03-31,13.89,13.89,13.43,13.89,4138700
6,2021-04-01,13.87,13.92,13.38,13.92,3793500
7,2021-04-02,13.67,13.94,13.67,13.94,2990700
8,2021-04-05,13.85,13.89,13.52,13.87,1564100
9,2021-04-06,13.77,13.82,13.47,13.82,1881700
10,2021-04-07,13.82,13.82,13.57,13.82,1208100
11,2021-04-08,13.72,13.72,13.57,13.62,911300
12,2021-04-09,13.33,13.67,13.33,13.67,955900
13,2021-04-12,13.47,13.67,13.33,13.67,846900
14,2021-04-13,13.38,13.57,13.38,13.47,433600
15,2021-04-14,13.33,13.45,13.23,13.23,579800
16,2021-04-15,13.03,13.33,12.59,13.33,1409400
17,2021-04-16,13.33,13.47,13.08,13.47,574400
18,2021-04-19,13.52,13.57,13.38,13.57,886900
19,2021-04-20,13.62,13.62,13.52,13.57,1465400
20,2021-04-22,13.47,13.57,13.23,13.57,729000
21,2021-04-23,13.57,13.57,12.88,12.88,853900
22,2021-04-26,13.33,13.43,13.01,13.23,578000
23,2021-04-27,12.39,13.28,12.39,13.28,705300
24,2021-04-28,12.83,13.3,12.83,13.23,846500
25,2021-04-29,12.88,13.3,12.88,13.25,1199900
26,2021-05-04,12.86,13.08,12.86,13.03,1055500
27,2021-05-05,13.03,13.08,12.88,13.06,647500
28,2021-05-06,13.06,13.97,12.98,13.5,1078900
29,2021-05-07,13.57,13.67,13.33,13.57,1122000
30,2021-05-10,13.57,13.82,13.33,13.82,1638300
31,2021-05-11,13.97,13.97,13.67,13.82,942400
32,2021-05-12,13.82,13.82,13.67,13.82,1429600
33,2021-05-13,13.82,14.07,13.38,13.97,2069300
34,2021-05-14,14.07,14.93,13.57,14.93,3100400
35,2021-05-17,14.96,15.79,14.96,15.52,3145000
36,2021-05-18,15.84,15.84,15.5,15.55,3096400
37,2021-05-19,15.55,15.77,14.56,15.67,3510600
38,2021-05-20,15.77,15.77,14.61,15.67,4030600
39,2021-05-21,15.67,15.79,14.98,15.79,4272700
40,2021-05-24,15.79,16.09,15.05,16.09,2716700
41,2021-05-25,16.24,17.2,15.05,17.2,3725900
42,2021-05-26,17.23,18.36,16.54,18.36,2720400
43,2021-05-27,18.41,18.44,17.3,18.29,2077400
44,2021-05-28,18.26,19.25,17.52,19.25,2006200
45,2021-05-31,19.25,20.14,18.76,20.14,1832500
46,2021-06-01,20.16,20.68,19.25,20.19,1733600
47,2021-06-02,20.09,20.48,19.2,20.48,1816900
48,2021-06-03,20.53,21.22,19.27,21.22,2794400
