,time,open,high,low,close,volume
0,2011-01-05,4.39,5.1,4.39,5.1,15000
1,2011-01-06,4.93,4.93,4.93,4.93,5000
2,2011-01-07,5.27,5.27,5.27,5.27,1000
3,2011-01-10,5.44,5.61,5.44,5.61,4300
4,2011-01-11,5.88,5.88,5.88,5.88,8700
5,2011-01-12,6.29,6.29,6.29,6.29,4000
6,2011-01-13,6.7,6.7,6.67,6.67,6200
7,2011-01-14,6.22,6.22,6.22,6.22,3400
8,2011-01-17,6.12,6.29,6.12,6.29,3000
9,2011-01-18,5.82,5.82,5.82,5.82,100
10,2011-01-19,5.44,5.44,5.44,5.44,6300
11,2011-01-20,5.07,5.44,5.07,5.27,13100
12,2011-01-21,5.1,5.1,4.83,4.83,4900
13,2011-01-24,4.83,4.83,4.83,4.83,0
14,2011-01-25,4.76,4.76,4.66,4.66,3300
15,2011-01-26,4.59,4.59,4.42,4.42,1300
16,2011-01-27,4.18,4.18,4.18,4.18,2400
17,2011-01-28,3.94,3.98,3.91,3.91,5000
18,2011-02-08,3.91,3.91,3.91,3.91,0
19,2011-02-09,3.91,3.91,3.91,3.91,0
20,2011-02-10,3.77,4.22,3.77,4.22,1400
21,2011-02-11,4.32,4.32,4.32,4.32,1800
22,2011-02-14,4.59,4.59,4.42,4.59,2700
23,2011-02-15,4.59,4.59,4.59,4.59,0
24,2011-02-16,4.42,4.42,4.42,4.42,1500
25,2011-02-17,4.15,4.15,4.15,4.15,5700
26,2011-02-18,4.15,4.15,4.15,4.15,0
27,2011-02-21,3.88,3.88,3.88,3.88,6000
28,2011-02-22,3.88,3.88,3.88,3.88,4200
29,2011-02-23,4.11,4.11,4.11,4.11,100
30,2011-02-24,4.11,4.11,4.11,4.11,0
31,2011-02-25,4.11,4.11,4.11,4.11,0
32,2011-02-28,4.11,4.11,4.11,4.11,0
33,2011-03-01,3.84,3.84,3.84,3.84,100
34,2011-03-02,3.84,3.84,3.84,3.84,0
35,2011-03-03,3.84,3.84,3.84,3.84,0
36,2011-03-04,3.74,3.74,3.74,3.74,4500
37,2011-03-07,3.74,3.74,3.74,3.74,0
38,2011-03-08,3.74,3.74,3.74,3.74,0
39,2011-03-09,3.74,3.74,3.74,3.74,0
40,2011-03-10,3.74,3.74,3.74,3.74,0
41,2011-03-11,3.5,3.6,3.5,3.5,1000
42,2011-03-14,3.3,3.3,3.3,3.3,2000
43,2011-03-15,3.3,3.3,3.3,3.3,0
44,2011-03-16,3.3,3.5,3.3,3.5,600
45,2011-03-17,3.6,3.67,3.6,3.67,3100
46,2011-03-18,3.67,3.67,3.67,3.67,0
47,2011-03-21,3.84,3.84,3.84,3.84,100
48,2011-03-22,3.84,3.84,3.84,3.84,0
49,2011-03-23,3.84,3.84,3.84,3.84,0
50,2011-03-24,3.74,3.84,3.74,3.84,4000
51,2011-03-25,3.81,3.81,3.81,3.81,500
52,2011-03-28,3.81,3.81,3.81,3.81,0
53,2011-03-29,3.81,3.81,3.81,3.81,0
54,2011-03-30,3.81,3.81,3.81,3.81,0
55,2011-03-31,3.81,3.81,3.81,3.81,0
56,2011-04-01,3.81,3.81,3.81,3.81,0
57,2011-04-04,3.81,3.81,3.81,3.81,0
58,2011-04-05,3.81,3.81,3.81,3.81,0
59,2011-04-06,3.81,3.81,3.81,3.81,0
60,2011-04-07,3.81,3.81,3.81,3.81,0
61,2011-04-08,3.81,3.81,3.81,3.81,0
62,2011-04-13,3.81,3.81,3.81,3.81,0
63,2011-04-14,3.81,3.81,3.81,3.81,0
64,2011-04-15,3.81,3.81,3.81,3.81,0
65,2011-04-18,3.81,3.81,3.81,3.81,0
66,2011-04-19,3.81,3.81,3.81,3.81,0
67,2011-04-20,3.81,3.81,3.81,3.81,0
68,2011-04-21,3.81,3.81,3.81,3.81,0
69,2011-04-22,3.57,3.57,3.57,3.57,100
70,2011-04-25,3.33,3.33,3.33,3.33,100
71,2011-04-26,3.13,3.13,3.13,3.13,100
72,2011-04-27,2.92,2.92,2.92,2.92,400
73,2011-04-28,2.72,2.72,2.72,2.72,100
74,2011-04-29,2.72,2.72,2.72,2.72,0
75,2011-05-04,2.55,2.55,2.55,2.55,900
76,2011-05-05,2.38,2.38,2.38,2.38,200
77,2011-05-06,2.38,2.38,2.38,2.38,0
78,2011-05-09,2.24,2.48,2.24,2.24,4800
79,2011-05-10,2.38,2.38,2.24,2.24,3600
80,2011-05-11,2.31,2.45,2.31,2.35,3100
81,2011-05-12,2.35,2.35,2.35,2.35,0
82,2011-05-13,2.35,2.35,2.35,2.35,0
83,2011-05-16,2.38,2.38,2.38,2.38,1800
84,2011-05-17,2.38,2.38,2.38,2.38,0
85,2011-05-18,2.38,2.38,2.38,2.38,0
86,2011-05-19,2.38,2.38,2.38,2.38,0
87,2011-05-20,2.69,2.69,2.69,2.69,0
88,2011-05-23,2.69,2.69,2.69,2.69,0
89,2011-05-24,2.53,2.53,2.38,2.38,1500
90,2011-05-25,2.3,2.3,2.3,2.3,2000
91,2011-05-26,2.3,2.3,2.3,2.3,0
92,2011-05-27,2.3,2.3,2.3,2.3,2000
93,2011-05-30,2.3,2.3,2.3,2.3,0
94,2011-05-31,2.3,2.3,2.3,2.3,4900
95,2011-06-01,2.3,2.3,2.3,2.3,0
96,2011-06-02,2.3,2.3,2.3,2.3,0
97,2011-06-03,2.3,2.3,2.3,2.3,0
98,2011-06-06,2.3,2.3,2.3,2.3,0
99,2011-06-07,2.38,2.46,2.34,2.34,4000
100,2011-06-08,2.46,2.46,2.46,2.46,1000
101,2011-06-09,2.46,2.46,2.46,2.46,0
102,2011-06-10,2.46,2.46,2.46,2.46,0
103,2011-06-13,2.61,2.61,2.61,2.61,100
104,2011-06-14,2.61,2.61,2.61,2.61,0
105,2011-06-15,2.69,2.69,2.69,2.69,900
106,2011-06-16,2.69,2.69,2.69,2.69,0
107,2011-06-17,2.69,2.69,2.69,2.69,0
108,2011-06-20,2.69,2.69,2.69,2.69,0
109,2011-06-21,2.69,2.69,2.69,2.69,0
110,2011-06-22,2.69,2.69,2.69,2.69,0
111,2011-06-23,2.69,2.69,2.69,2.69,0
112,2011-06-24,2.69,2.69,2.69,2.69,0
113,2011-06-27,2.69,2.69,2.69,2.69,0
114,2011-06-28,2.69,2.69,2.69,2.69,0
115,2011-06-29,2.69,2.69,2.69,2.69,0
116,2011-06-30,2.69,2.69,2.69,2.69,0
117,2011-07-01,2.69,2.69,2.69,2.69,0
118,2011-07-04,2.84,2.84,2.84,2.84,200
119,2011-07-05,2.84,2.84,2.84,2.84,0
120,2011-07-06,2.84,2.84,2.84,2.84,0
121,2011-07-07,3.03,3.03,3.03,3.03,300
122,2011-07-08,3.23,3.23,3.23,3.23,1400
123,2011-07-11,3.42,3.42,3.42,3.42,4500
124,2011-07-12,3.42,3.42,3.42,3.42,0
125,2011-07-13,3.42,3.42,3.42,3.42,0
126,2011-07-14,3.46,3.46,3.46,3.46,3000
127,2011-07-15,3.46,3.46,3.38,3.46,6600
128,2011-07-18,3.46,3.46,3.46,3.46,0
129,2011-07-19,3.46,3.46,3.46,3.46,0
130,2011-07-20,3.46,3.46,3.46,3.46,0
131,2011-07-21,3.46,3.46,3.46,3.46,0
132,2011-07-22,3.46,3.46,3.46,3.46,0
133,2011-07-25,3.23,3.23,3.23,3.23,100
134,2011-07-26,3.23,3.23,3.23,3.23,0
135,2011-07-27,3.23,3.23,3.23,3.23,0
136,2011-07-28,3.23,3.23,3.23,3.23,100
137,2011-07-29,3.23,3.23,3.23,3.23,0
138,2011-08-01,3.23,3.23,3.23,3.23,0
139,2011-08-02,3.23,3.23,3.23,3.23,0
140,2011-08-03,3.23,3.23,3.23,3.23,0
141,2011-08-04,3.03,3.03,3.03,3.03,5000
142,2011-08-05,3.03,3.03,3.03,3.03,0
143,2011-08-08,3.03,3.03,3.03,3.03,0
144,2011-08-09,3.03,3.03,3.03,3.03,0
145,2011-08-10,3.19,3.19,3.19,3.19,8300
146,2011-08-11,3.19,3.19,3.19,3.19,0
147,2011-08-12,3.19,3.19,3.19,3.19,0
148,2011-08-15,3.19,3.19,3.19,3.19,0
149,2011-08-16,3.19,3.19,3.19,3.19,0
150,2011-08-17,3.19,3.19,3.19,3.19,0
151,2011-08-18,3.19,3.19,3.19,3.19,0
152,2011-08-19,3.19,3.19,3.19,3.19,0
153,2011-08-22,3.19,3.19,3.19,3.19,0
154,2011-08-23,3.19,3.19,3.19,3.19,0
155,2011-08-24,3.19,3.19,3.19,3.19,0
156,2011-08-25,3.19,3.19,3.19,3.19,0
157,2011-08-26,3.19,3.19,3.19,3.19,0
158,2011-08-29,3.19,3.19,3.19,3.19,0
159,2011-08-30,3.19,3.19,3.19,3.19,0
160,2011-08-31,3.19,3.19,3.19,3.19,0
161,2011-09-01,3.19,3.19,3.19,3.19,0
162,2011-09-05,3.19,3.19,3.19,3.19,0
163,2011-09-06,3.19,3.19,3.19,3.19,0
164,2011-09-07,3.19,3.19,3.19,3.19,0
165,2011-09-08,3.19,3.19,3.19,3.19,0
