,time,open,high,low,close,volume
0,2013-10-15,8.5,,,,0
1,2013-10-16,8.5,0.0,0.0,0.0,0
2,2013-10-17,8.5,0.0,0.0,0.0,0
3,2013-10-18,8.5,0.0,0.0,0.0,0
4,2013-10-21,8.5,0.0,0.0,0.0,0
5,2013-10-22,8.5,0.0,0.0,0.0,0
6,2013-10-23,8.5,0.0,0.0,0.0,0
7,2013-10-24,8.5,0.0,0.0,0.0,0
8,2013-10-25,8.5,8.5,8.5,8.5,1000
9,2013-10-28,8.4,8.7,8.4,8.7,1000
10,2013-10-29,8.7,8.7,8.7,8.7,0
11,2013-10-30,8.7,8.7,8.7,8.7,0
12,2013-10-31,8.7,8.7,8.7,8.7,0
13,2013-11-01,8.7,8.7,8.7,8.7,0
14,2013-11-04,8.7,8.7,8.7,8.7,0
15,2013-11-05,8.8,8.8,8.8,8.8,500
16,2013-11-06,9.0,9.0,9.0,9.0,100
17,2013-11-07,9.0,9.0,9.0,9.0,0
18,2013-11-08,9.0,9.0,9.0,9.0,0
19,2013-11-11,9.0,9.0,9.0,9.0,0
20,2013-11-12,9.0,9.0,9.0,9.0,0
21,2013-11-13,8.5,8.5,8.5,8.5,500
22,2013-11-14,8.5,8.5,8.5,8.5,0
23,2013-11-15,8.5,8.5,8.5,8.5,0
24,2013-11-18,8.5,8.5,8.5,8.5,0
25,2013-11-19,9.0,9.3,9.0,9.3,2000
26,2013-11-20,9.3,9.3,9.3,9.3,0
27,2013-11-21,9.3,9.3,9.3,9.3,0
28,2013-11-22,9.3,9.3,9.3,9.3,0
29,2013-11-25,9.3,9.3,9.3,9.3,0
30,2013-11-26,9.3,9.3,9.3,9.3,0
31,2013-11-27,9.3,9.3,9.3,9.3,0
32,2013-11-28,9.3,9.3,9.3,9.3,0
33,2013-11-29,9.3,9.3,9.3,9.3,0
34,2013-12-02,9.3,9.3,9.3,9.3,0
35,2013-12-03,9.3,9.3,9.3,9.3,0
36,2013-12-04,9.3,9.3,9.3,9.3,0
37,2013-12-05,9.3,9.3,9.3,9.3,0
