,time,open,high,low,close,volume
0,2010-03-02,3.04,3.04,3.04,3.04,10
1,2010-03-03,3.19,3.19,3.19,3.19,10
2,2010-03-04,3.19,3.19,3.19,3.19,10
3,2010-03-05,3.34,3.34,3.34,3.34,1110
4,2010-03-08,3.51,3.51,3.51,3.51,20
5,2010-03-09,3.67,3.67,3.67,3.67,120
6,2010-03-10,3.85,3.85,3.85,3.85,2310
7,2010-03-11,4.04,4.04,4.04,4.04,1080
8,2010-03-12,4.23,4.23,4.23,4.23,9110
9,2010-03-15,4.43,4.43,4.43,4.43,12000
10,2010-03-16,4.65,4.65,4.65,4.65,17150
11,2010-03-17,4.88,4.88,4.88,4.88,32910
12,2010-03-18,5.12,5.12,4.88,5.07,51450
13,2010-03-19,4.88,5.07,4.81,4.81,12960
14,2010-03-22,4.81,4.81,4.57,4.75,8800
15,2010-03-23,4.88,4.88,4.65,4.75,4300
16,2010-03-24,4.58,4.75,4.52,4.52,22130
17,2010-03-25,4.5,4.5,4.31,4.31,4040
18,2010-03-26,4.12,4.43,4.12,4.43,21540
19,2010-03-29,4.55,4.55,4.55,4.55,3020
20,2010-03-30,4.37,4.37,4.34,4.34,6420
21,2010-03-31,4.13,4.24,4.13,4.13,11840
22,2010-04-01,4.12,4.31,3.95,4.12,3560
23,2010-04-02,4.28,4.28,4.05,4.28,2670
24,2010-04-05,4.31,4.31,4.24,4.31,2250
25,2010-04-06,4.18,4.18,4.14,4.18,4380
26,2010-04-07,4.07,4.15,4.07,4.07,6410
27,2010-04-08,4.01,4.05,3.99,4.01,3350
28,2010-04-09,4.2,4.2,4.03,4.2,4110
29,2010-04-12,4.41,4.41,4.31,4.31,4150
30,2010-04-13,4.12,4.31,4.12,4.12,12430
31,2010-04-14,3.99,4.31,3.99,4.31,3940
32,2010-04-15,4.31,4.31,4.31,4.31,3000
33,2010-04-16,4.09,4.24,4.09,4.09,10200
34,2010-04-19,3.89,3.93,3.89,3.89,11240
35,2010-04-20,4.08,4.08,3.93,4.08,9800
36,2010-04-21,4.26,4.26,4.26,4.26,10
37,2010-04-22,4.26,4.26,4.05,4.26,1790
38,2010-04-26,4.26,4.26,4.05,4.05,5530
39,2010-04-27,3.89,3.93,3.86,3.93,14740
40,2010-04-28,3.93,3.99,3.93,3.99,3290
41,2010-04-29,3.99,4.12,3.99,3.99,2830
42,2010-05-04,4.12,4.12,4.12,4.12,1020
43,2010-05-05,3.96,4.15,3.96,4.15,16650
44,2010-05-06,4.32,4.32,4.15,4.32,16060
45,2010-05-07,4.27,4.27,4.12,4.27,20
46,2010-05-10,4.09,4.09,4.09,4.09,1910
47,2010-05-11,4.17,4.18,4.15,4.17,10110
48,2010-05-12,4.17,4.17,4.17,4.17,2000
49,2010-05-13,3.98,3.99,3.98,3.98,410
50,2010-05-14,4.15,4.15,3.98,4.15,3500
51,2010-05-17,4.29,4.29,4.05,4.05,6300
52,2010-05-18,4.12,4.12,4.05,4.12,5920
53,2010-05-19,3.91,3.91,3.91,3.91,6000
54,2010-05-20,4.1,4.1,4.1,4.1,10
55,2010-05-21,3.9,4.18,3.9,3.9,80
56,2010-05-24,3.74,4.09,3.74,4.09,710
57,2010-05-25,4.08,4.08,3.89,4.08,3020
58,2010-05-26,3.88,4.27,3.88,3.88,16600
59,2010-05-27,4.05,4.05,3.68,3.7,3650
60,2010-05-28,3.86,3.88,3.82,3.86,8310
