,time,open,high,low,close,volume
0,2008-09-23,20.98,21.66,17.16,17.67,166700
1,2008-09-24,17.62,18.24,17.39,17.39,60300
2,2008-09-25,17.96,18.76,17.33,18.76,78400
3,2008-09-26,19.44,19.44,18.81,19.44,169600
4,2008-09-29,20.69,20.75,19.67,20.75,180900
5,2008-09-30,19.16,19.16,19.16,19.16,37500
6,2008-10-01,19.67,20.47,19.44,20.47,217700
7,2008-10-02,21.72,21.72,20.52,21.72,197800
8,2008-10-03,23.15,23.15,21.66,22.92,161500
9,2008-10-06,21.66,21.66,21.09,21.09,64300
10,2008-10-07,19.78,19.78,19.78,19.78,13800
11,2008-10-08,18.41,18.41,18.41,18.41,14400
12,2008-10-09,17.16,18.41,17.16,17.16,273300
13,2008-10-10,16.19,16.19,16.19,16.19,22200
14,2008-10-13,15.11,16.02,15.11,15.11,126700
15,2008-10-14,16.3,16.3,16.3,16.3,3900
16,2008-10-15,16.3,16.3,15.16,15.28,163500
17,2008-10-16,14.42,14.82,14.42,14.42,102300
18,2008-10-17,15.11,15.39,13.51,14.2,150200
19,2008-10-20,14.42,14.71,13.23,14.25,72600
20,2008-10-21,14.31,14.99,14.31,14.99,89500
21,2008-10-22,15.45,15.91,14.54,15.91,125500
22,2008-10-23,15.79,15.91,14.71,14.71,119500
23,2008-10-24,14.71,14.71,13.85,14.08,67800
24,2008-10-27,13.0,13.0,13.0,13.0,46500
25,2008-10-28,12.14,12.31,12.14,12.31,140700
26,2008-10-29,12.71,12.94,12.54,12.94,93300
27,2008-10-30,12.83,13.28,12.03,13.11,51500
28,2008-10-31,13.4,13.85,13.4,13.85,63600
29,2008-11-03,12.83,13.17,12.77,12.77,45200
30,2008-11-04,12.94,13.68,12.94,13.68,65400
31,2008-11-05,14.37,14.37,14.37,14.37,20200
32,2008-11-06,14.25,14.99,13.4,14.2,133400
33,2008-11-07,13.17,13.51,13.17,13.23,80900
34,2008-11-10,13.97,14.08,13.11,13.11,49600
35,2008-11-11,12.83,13.0,12.43,12.54,52400
36,2008-11-12,11.69,12.83,11.69,12.66,43100
37,2008-11-13,12.09,13.0,11.46,13.0,73700
38,2008-11-14,13.45,13.45,12.88,13.11,64600
39,2008-11-17,13.11,13.11,12.54,12.77,17400
40,2008-11-18,12.2,12.77,12.2,12.54,17800
41,2008-11-19,12.31,12.43,12.26,12.31,25800
42,2008-11-20,11.52,11.91,11.52,11.69,63800
43,2008-11-21,11.4,11.4,10.83,10.95,29700
44,2008-11-24,10.26,11.12,10.2,10.26,102200
45,2008-11-25,10.43,10.55,9.92,10.26,60900
46,2008-11-26,9.98,10.09,9.63,9.63,63500
47,2008-11-27,9.58,9.58,9.12,9.12,55300
48,2008-11-28,9.69,9.81,9.69,9.81,28800
49,2008-12-01,10.49,10.49,9.52,10.15,81300
50,2008-12-02,9.69,10.09,9.69,9.86,15800
51,2008-12-03,9.86,9.98,9.69,9.86,15800
52,2008-12-04,10.2,10.38,9.92,10.03,13700
53,2008-12-05,9.58,9.75,9.52,9.69,34000
54,2008-12-08,9.58,9.58,9.01,9.12,29600
55,2008-12-09,9.12,9.69,8.67,9.12,24400
56,2008-12-10,9.06,9.06,8.61,8.67,15100
57,2008-12-11,8.84,8.95,8.61,8.72,19300
58,2008-12-12,8.67,9.29,8.67,9.29,77000
59,2008-12-15,9.86,9.86,9.41,9.81,92600
60,2008-12-16,9.86,9.86,9.12,9.12,24000
61,2008-12-17,9.58,9.69,9.06,9.58,13100
62,2008-12-18,9.12,9.46,9.06,9.46,29700
63,2008-12-19,9.12,9.35,9.12,9.29,32300
64,2008-12-22,9.58,9.92,9.52,9.75,71600
65,2008-12-23,9.63,9.69,9.35,9.46,28600
66,2008-12-24,9.12,9.69,9.12,9.52,14300
67,2008-12-25,9.69,9.69,9.24,9.35,22800
68,2008-12-26,9.35,9.46,9.24,9.46,13800
69,2008-12-29,9.41,9.46,9.24,9.29,16700
70,2008-12-30,9.18,9.52,9.18,9.35,15500
71,2008-12-31,9.46,9.46,9.29,9.29,41200
72,2009-01-02,9.41,9.41,9.35,9.35,9500
73,2009-01-05,9.35,9.35,9.18,9.18,5900
74,2009-01-06,9.35,9.86,9.29,9.86,74800
75,2009-01-07,10.09,10.09,9.69,9.81,19300
76,2009-01-08,9.35,9.58,9.29,9.58,8500
77,2009-01-09,9.41,9.63,9.41,9.63,26400
78,2009-01-12,9.69,9.86,9.69,9.86,22900
79,2009-01-13,9.41,10.26,9.41,9.98,39100
80,2009-01-14,9.86,9.98,9.75,9.92,28400
81,2009-01-15,9.46,9.75,9.46,9.58,27300
82,2009-01-16,9.63,9.69,9.58,9.69,8800
83,2009-01-19,10.15,10.15,9.18,9.58,5800
84,2009-01-20,9.41,9.52,9.41,9.46,16100
85,2009-01-21,9.12,9.46,9.12,9.24,14900
86,2009-01-22,9.35,9.41,9.29,9.41,10000
87,2009-01-23,9.46,9.46,9.46,9.46,6200
88,2009-02-02,9.52,9.52,9.46,9.46,1000
89,2009-02-03,9.18,9.18,9.06,9.12,18100
90,2009-02-04,9.18,9.18,9.12,9.12,3300
91,2009-02-05,8.84,8.84,8.72,8.84,5200
92,2009-02-06,8.84,9.01,8.84,8.95,12400
93,2009-02-09,8.55,9.12,8.55,9.01,5800
94,2009-02-10,8.84,8.84,8.72,8.72,15500
95,2009-02-11,8.55,8.72,8.55,8.72,2800
96,2009-02-12,9.01,9.06,8.67,8.67,9400
97,2009-02-13,8.72,8.89,8.72,8.84,6300
98,2009-02-16,8.78,8.78,8.72,8.78,8300
99,2009-02-17,8.78,8.78,8.49,8.49,25100
100,2009-02-18,8.32,8.49,8.32,8.38,26800
101,2009-02-19,8.27,8.38,8.04,8.04,12100
102,2009-02-20,8.04,8.27,7.98,8.27,12800
103,2009-02-23,7.7,7.75,7.58,7.64,30400
104,2009-02-24,7.41,7.53,7.41,7.41,12100
105,2009-02-25,7.75,7.98,7.64,7.98,20300
106,2009-02-26,7.7,7.75,7.7,7.7,16000
107,2009-02-27,7.7,7.92,7.64,7.92,12900
108,2009-03-02,7.7,7.98,7.7,7.98,11400
109,2009-03-03,7.64,7.87,7.58,7.75,11600
110,2009-03-04,7.41,7.75,7.41,7.75,8200
111,2009-03-05,8.15,8.15,7.81,7.98,13200
112,2009-03-06,7.98,7.98,7.87,7.92,8900
113,2009-03-09,7.92,8.15,7.92,8.1,11900
114,2009-03-10,8.04,8.27,8.04,8.27,15900
115,2009-03-11,8.72,8.72,8.55,8.72,55200
116,2009-03-12,8.55,9.24,8.44,8.89,170600
117,2009-03-13,9.46,9.46,9.12,9.46,182400
118,2009-03-16,9.69,9.98,9.69,9.81,72300
119,2009-03-17,9.41,10.15,9.41,10.03,129400
120,2009-03-18,10.09,10.55,10.09,10.55,165900
121,2009-03-19,10.43,10.49,9.63,9.63,141000
122,2009-03-20,9.35,9.81,9.35,9.35,101600
123,2009-03-23,9.18,9.41,8.95,9.01,89200
124,2009-03-24,9.69,9.69,9.41,9.58,98400
125,2009-03-25,9.18,9.69,9.18,9.52,50700
126,2009-03-26,9.69,9.81,9.63,9.69,83800
127,2009-03-27,9.92,9.98,9.63,9.81,156000
128,2009-03-30,9.41,9.69,9.41,9.63,64100
129,2009-03-31,9.52,10.2,9.52,10.2,61100
130,2009-04-01,10.49,10.66,10.26,10.66,192900
