,time,open,high,low,close,volume
0,2006-10-09,3.47,3.88,3.47,3.7,16700
1,2006-10-10,3.8,3.86,3.62,3.72,7800
2,2006-10-11,3.78,3.78,3.7,3.75,8100
3,2006-10-12,3.77,3.77,3.73,3.73,3400
4,2006-10-13,3.75,3.77,3.73,3.77,17800
5,2006-10-16,3.78,3.78,3.77,3.78,7100
6,2006-10-17,3.91,3.91,3.75,3.77,11100
7,2006-10-18,3.78,3.78,3.72,3.77,3900
8,2006-10-19,3.72,3.77,3.72,3.73,9100
9,2006-10-20,3.73,3.73,3.7,3.73,5300
10,2006-10-23,3.7,3.72,3.7,3.72,1400
11,2006-10-24,3.7,3.7,3.69,3.69,300
12,2006-10-25,3.62,3.66,3.62,3.66,1700
13,2006-10-26,3.62,3.62,3.61,3.61,600
14,2006-10-27,3.62,3.62,3.62,3.62,400
15,2006-10-30,3.55,3.55,3.47,3.47,1000
16,2006-10-31,3.62,3.62,3.5,3.47,200
17,2006-11-01,3.51,3.58,3.51,3.55,2200
18,2006-11-02,3.47,3.51,3.47,3.51,2300
19,2006-11-03,3.55,3.55,3.5,3.51,8000
20,2006-11-06,3.55,3.55,3.51,3.55,13300
21,2006-11-07,3.55,3.62,3.55,3.62,4600
22,2006-11-08,3.66,3.72,3.62,3.72,6600
23,2006-11-09,3.7,3.78,3.7,3.78,10800
24,2006-11-10,3.94,3.94,3.78,3.78,3400
25,2006-11-13,3.86,3.86,3.78,3.78,6200
26,2006-11-14,3.69,3.69,3.62,3.62,7000
27,2006-11-15,3.62,3.64,3.62,3.64,3100
28,2006-11-16,3.69,3.69,3.69,3.69,2000
29,2006-11-17,3.67,3.7,3.67,3.7,2400
30,2006-11-20,3.72,3.78,3.7,3.77,7700
31,2006-11-21,3.78,3.81,3.78,3.78,6700
32,2006-11-22,3.8,3.8,3.78,3.78,6400
33,2006-11-23,3.78,3.81,3.78,3.81,4700
34,2006-11-24,3.86,3.86,3.81,3.86,10000
35,2006-11-27,3.86,3.86,3.86,3.86,0
36,2006-11-28,3.86,3.86,3.86,3.86,4000
37,2006-11-29,3.78,3.88,3.78,3.88,14400
38,2006-11-30,3.89,3.97,3.89,3.94,17000
39,2006-12-01,4.02,4.05,4.02,4.05,9000
40,2006-12-04,4.32,4.32,4.32,4.05,2000
41,2006-12-05,4.38,4.41,4.25,4.33,10200
42,2006-12-06,4.33,4.33,4.22,4.22,4800
43,2006-12-07,4.0,4.1,4.0,4.07,6000
44,2006-12-08,4.02,4.11,4.02,4.02,18500
45,2006-12-11,4.1,4.1,3.94,4.02,10500
46,2006-12-12,4.05,4.05,4.02,4.02,1500
47,2006-12-13,3.99,4.02,3.99,4.02,1700
48,2006-12-14,4.11,4.11,3.99,3.99,9800
49,2006-12-15,4.02,4.02,3.94,3.86,5500
50,2006-12-18,3.89,3.94,3.78,3.86,2800
51,2006-12-19,3.92,3.94,3.91,3.86,4300
52,2006-12-20,3.86,3.86,3.86,3.86,0
53,2006-12-21,4.1,4.1,3.89,3.89,3000
54,2006-12-22,3.97,3.97,3.97,3.97,1000
55,2006-12-25,3.97,3.97,3.97,3.97,0
56,2006-12-26,3.94,3.94,3.94,3.94,2000
57,2006-12-27,4.02,4.02,3.77,4.02,7500
58,2006-12-28,4.3,4.3,3.94,4.02,5100
59,2006-12-29,4.1,4.1,4.02,4.02,1400
60,2007-01-02,4.02,4.02,4.02,4.02,1000
61,2007-01-03,4.22,4.25,3.97,3.97,2200
62,2007-01-04,4.24,4.24,4.24,4.24,2000
63,2007-01-05,4.25,4.27,4.1,4.27,13600
64,2007-01-08,4.24,4.24,4.24,4.24,3600
65,2007-01-09,3.94,4.02,3.94,4.02,2400
66,2007-01-10,4.32,4.32,4.02,4.02,7900
67,2007-01-11,4.1,4.1,4.1,4.1,2200
68,2007-01-12,4.18,4.25,4.1,4.1,19500
69,2007-01-15,4.16,4.41,4.16,4.41,13700
70,2007-01-16,4.54,4.54,4.25,4.41,8000
71,2007-01-17,4.38,4.44,4.33,4.41,13500
72,2007-01-18,4.73,4.73,4.41,4.48,3000
73,2007-01-19,4.65,4.66,4.57,4.57,19800
74,2007-01-22,4.73,4.73,4.59,4.57,10200
75,2007-01-23,4.65,4.65,4.6,4.63,3500
76,2007-01-24,4.63,4.63,4.54,4.54,5300
77,2007-01-25,3.55,3.89,3.55,3.88,4600
78,2007-01-26,3.86,4.02,3.86,4.02,5700
79,2007-01-29,4.02,4.02,3.94,3.94,6400
80,2007-01-30,4.1,4.18,4.0,4.0,8300
81,2007-01-31,4.18,4.18,4.02,4.02,4600
82,2007-02-01,4.52,4.52,3.94,4.1,14600
83,2007-02-02,4.44,4.49,4.02,4.24,9600
84,2007-02-05,4.7,4.7,4.24,4.25,5400
85,2007-02-06,4.35,4.41,4.25,4.25,14900
86,2007-02-07,4.25,4.57,4.21,4.57,49800
87,2007-02-08,4.82,4.82,4.65,4.82,14500
88,2007-02-09,5.28,5.28,5.12,5.28,25900
89,2007-02-12,5.78,5.78,5.52,5.59,15800
90,2007-02-13,5.52,5.52,5.23,5.23,7900
91,2007-02-14,5.26,5.26,5.04,5.04,6800
92,2007-02-15,4.89,4.92,4.66,4.66,13800
93,2007-02-26,4.7,5.31,4.7,5.31,36300
94,2007-02-27,5.47,5.47,5.47,5.47,19900
95,2007-02-28,6.0,6.0,5.99,6.0,22600
96,2007-03-01,6.6,6.6,6.0,6.0,40900
97,2007-03-02,7.0,7.0,6.07,6.0,28000
98,2007-03-05,6.84,6.84,6.07,6.38,30000
99,2007-03-06,6.93,6.93,6.62,6.93,20800
100,2007-03-07,7.63,7.63,7.63,7.63,8400
101,2007-03-08,8.38,8.38,8.38,8.38,2700
102,2007-03-09,9.22,9.22,9.22,9.22,9800
103,2007-03-12,10.13,10.13,10.13,10.13,28700
104,2007-03-13,11.14,11.14,9.12,9.14,15400
105,2007-03-14,9.14,9.14,8.93,9.14,5300
106,2007-03-15,8.05,8.05,8.05,8.05,3300
107,2007-03-16,7.25,8.82,7.25,8.82,21600
108,2007-03-19,8.57,8.57,8.57,8.57,20400
109,2007-03-20,8.59,9.3,8.51,8.59,15500
110,2007-03-21,8.51,8.51,8.19,8.51,7400
111,2007-03-22,8.35,8.35,7.72,7.8,9500
112,2007-03-23,8.08,8.08,7.56,7.72,4000
113,2007-03-26,7.41,7.41,7.15,7.72,2300
114,2007-03-27,6.9,6.9,6.49,7.72,4800
115,2007-03-28,5.89,6.78,5.89,6.78,5500
116,2007-03-29,6.71,6.71,6.71,6.71,3300
117,2007-03-30,7.37,7.37,7.25,6.71,14200
118,2007-04-02,7.41,7.56,6.63,7.33,2900
119,2007-04-03,7.03,7.03,7.03,7.03,300
120,2007-04-04,6.35,7.03,6.33,7.03,4600
121,2007-04-05,7.25,7.25,6.63,6.63,1700
122,2007-04-06,6.62,6.78,6.3,6.65,1300
123,2007-04-09,6.65,6.65,6.15,6.3,4600
124,2007-04-10,6.3,6.3,6.27,6.3,1300
125,2007-04-11,6.33,6.62,6.33,6.46,7200
126,2007-04-12,6.93,6.93,6.3,6.7,8300
127,2007-04-13,6.46,6.62,6.46,6.62,1700
128,2007-04-16,6.48,6.48,5.91,5.91,3200
129,2007-04-17,5.67,5.67,5.53,5.53,7800
130,2007-04-18,5.55,6.07,5.55,6.07,700
131,2007-04-19,6.59,6.59,5.99,5.99,3300
132,2007-04-20,6.38,6.38,5.83,5.85,3000
133,2007-04-23,5.52,5.59,5.44,5.59,5000
134,2007-04-24,5.67,5.67,5.67,5.67,1000
135,2007-04-25,6.15,6.15,6.11,6.15,2200
136,2007-05-02,6.22,6.22,6.15,6.15,600
137,2007-05-03,6.15,6.15,6.15,6.15,0
138,2007-05-04,6.11,6.15,6.11,6.13,1200
139,2007-05-07,5.99,6.15,5.99,6.15,600
140,2007-05-08,6.3,6.3,6.27,6.27,3900
141,2007-05-09,6.15,6.93,6.15,6.15,4800
142,2007-05-10,6.15,6.15,6.15,6.15,1000
143,2007-05-11,6.27,6.3,5.99,5.99,1400
144,2007-05-14,6.21,6.3,6.21,6.3,5000
145,2007-05-15,6.3,6.3,5.83,5.91,2500
146,2007-05-16,5.52,5.59,5.36,5.39,4500
147,2007-05-17,5.63,5.63,5.52,5.52,1700
148,2007-05-18,5.52,5.67,5.36,5.67,7400
149,2007-05-21,5.53,6.04,5.53,6.04,10800
150,2007-05-22,5.99,6.33,5.99,6.33,12000
151,2007-05-23,6.97,6.97,6.78,6.87,17900
152,2007-05-24,6.78,6.95,6.54,6.54,12000
153,2007-05-25,6.46,6.54,6.38,6.46,9800
154,2007-05-28,6.7,6.7,6.3,6.3,6800
155,2007-05-29,6.38,6.43,6.07,6.11,21200
156,2007-05-30,5.85,5.99,5.67,5.99,5600
157,2007-05-31,5.99,6.15,5.88,5.88,9100
158,2007-06-01,6.07,6.54,6.07,6.49,15900
159,2007-06-04,6.46,6.76,6.45,6.62,25400
160,2007-06-05,6.63,6.63,6.3,6.6,13700
161,2007-06-06,6.46,6.62,6.46,6.62,13300
162,2007-06-07,6.54,6.74,6.54,6.63,8000
163,2007-06-08,6.62,6.7,6.38,6.46,5700
164,2007-06-11,6.3,6.3,6.3,6.3,3300
165,2007-06-12,6.29,6.3,6.24,6.3,8700
166,2007-06-13,6.3,6.46,6.3,6.46,6100
167,2007-06-14,6.46,6.48,6.13,6.24,7700
168,2007-06-15,6.16,6.3,6.16,6.22,17700
169,2007-06-18,6.22,6.45,6.22,6.45,32000
170,2007-06-19,6.3,6.62,6.29,6.54,7900
171,2007-06-20,6.46,6.62,6.3,6.3,20900
172,2007-06-21,6.48,6.48,6.3,6.3,6000
173,2007-06-22,6.3,6.3,6.22,6.22,7600
174,2007-06-25,6.15,6.15,5.96,6.08,4300
175,2007-06-26,5.99,6.3,5.99,6.27,3700
176,2007-06-27,4.1,4.1,4.1,6.07,2000
177,2007-06-28,6.15,6.15,6.07,6.07,3700
178,2007-06-29,4.1,4.1,3.94,5.99,1300
179,2007-07-02,3.94,3.94,3.78,5.91,4000
180,2007-07-03,3.62,3.62,3.62,5.44,6000
181,2007-07-04,3.78,3.94,3.78,5.91,12800
182,2007-07-05,3.94,3.94,3.62,5.55,10500
183,2007-07-06,3.78,3.94,3.78,5.83,1800
184,2007-07-09,3.94,3.94,3.78,5.75,800
185,2007-07-10,4.1,4.1,4.1,6.18,2400
186,2007-07-11,3.94,4.1,3.94,6.07,900
187,2007-07-12,4.1,4.1,3.94,6.08,1500
188,2007-07-13,4.1,4.1,3.94,5.99,2500
189,2007-07-16,4.1,4.1,3.94,6.0,800
190,2007-07-17,3.94,4.1,3.94,6.07,1200
191,2007-07-18,3.94,4.1,3.94,6.04,3500
192,2007-07-19,4.1,4.1,3.94,6.05,22500
193,2007-07-20,4.1,4.1,4.1,6.1,6200
194,2007-07-23,4.25,4.25,4.1,6.07,3400
195,2007-07-24,4.1,4.1,4.1,6.07,3000
196,2007-07-25,4.1,4.1,3.94,5.99,9700
197,2007-07-26,3.94,3.94,3.94,5.99,900
198,2007-07-27,3.94,3.94,3.94,5.91,5200
199,2007-07-30,3.94,3.94,3.94,5.99,2300
200,2007-07-31,3.94,3.94,3.94,5.99,1400
201,2007-08-01,3.94,3.94,3.94,5.99,6700
202,2007-08-02,3.94,3.94,3.94,5.83,200
203,2007-08-03,3.94,3.94,3.94,5.83,600
204,2007-08-06,3.94,3.94,3.94,5.81,600
205,2007-08-07,3.94,3.94,3.94,5.89,1700
206,2007-08-08,3.62,3.62,3.62,5.53,3400
207,2007-08-09,3.62,3.94,3.62,5.91,500
208,2007-08-10,3.78,3.78,3.78,5.67,2700
209,2007-08-13,3.78,3.78,3.78,5.61,6700
210,2007-08-14,3.78,3.78,3.78,5.64,1100
211,2007-08-15,3.78,3.78,3.62,5.47,900
212,2007-08-16,3.62,3.62,3.62,5.44,7600
213,2007-08-17,3.62,3.62,3.62,5.44,300
214,2007-08-20,3.62,3.62,3.62,5.44,2900
215,2007-08-21,3.62,3.62,3.62,5.44,1800
216,2007-08-22,3.62,3.62,3.62,5.44,1700
217,2007-08-23,3.62,3.62,3.47,5.34,1800
218,2007-08-24,3.62,3.62,3.62,5.36,2100
219,2007-08-27,3.47,3.47,3.47,5.2,2400
220,2007-08-28,3.62,3.62,3.47,5.29,3400
221,2007-08-29,3.62,3.62,3.62,5.36,800
222,2007-08-30,3.62,3.78,3.62,5.48,3900
223,2007-08-31,3.78,3.94,3.78,5.59,1800
224,2007-09-04,3.62,3.78,3.62,5.52,4400
225,2007-09-05,3.78,3.78,3.62,5.44,1100
226,2007-09-06,3.62,3.62,3.47,5.52,2400
227,2007-09-07,3.62,3.62,3.62,5.44,8900
228,2007-09-10,5.44,5.75,5.44,5.75,20800
229,2007-09-11,3.78,3.94,3.78,5.83,22300
230,2007-09-12,6.33,6.33,6.15,6.33,74200
231,2007-09-13,6.85,6.93,6.22,6.22,40000
232,2007-09-14,6.3,6.37,6.07,6.18,26300
233,2007-09-17,6.22,6.46,6.16,6.46,90500
234,2007-09-18,6.78,6.95,6.76,6.95,171500
235,2007-09-19,7.63,7.63,6.93,7.25,82600
236,2007-09-20,7.49,7.72,7.01,7.09,40900
237,2007-09-21,7.17,7.17,6.78,7.03,49400
238,2007-09-24,6.85,7.17,6.46,7.0,87300
