,time,open,high,low,close,volume
0,2016-12-09,6.01,6.01,5.89,5.89,1300
1,2016-12-12,5.89,5.89,5.89,5.89,0
2,2016-12-13,5.89,5.89,5.89,5.89,0
3,2016-12-14,5.89,5.89,5.89,5.89,0
4,2016-12-15,5.89,5.89,5.89,5.89,0
5,2016-12-16,6.72,6.72,5.07,5.07,1700
6,2016-12-19,7.48,7.48,5.66,5.66,13317
7,2016-12-20,8.19,8.19,6.31,8.07,12160
8,2016-12-21,9.19,9.19,6.95,6.95,2000
9,2016-12-22,6.72,6.72,6.72,6.72,8200
10,2016-12-23,5.77,7.6,5.77,7.48,3000
11,2016-12-26,6.25,6.72,6.13,6.13,22300
12,2016-12-27,6.36,6.36,6.36,6.36,200
13,2016-12-28,5.95,6.48,5.42,5.48,13400
14,2016-12-29,6.36,6.36,6.36,6.36,1200
15,2016-12-30,5.72,5.89,5.72,5.89,2400
16,2017-01-03,5.72,5.72,5.66,5.66,6000
17,2017-01-04,5.6,5.6,5.6,5.6,23300
18,2017-01-05,5.89,6.42,5.6,6.42,3000
19,2017-01-06,6.01,6.07,6.01,6.07,300
20,2017-01-09,6.07,6.07,5.6,6.07,11200
21,2017-01-10,5.6,5.6,5.6,5.6,2900
22,2017-01-11,6.19,6.19,5.66,5.66,12150
23,2017-01-12,5.95,5.95,5.66,5.66,600
24,2017-01-13,5.6,5.6,5.6,5.6,600
25,2017-01-16,5.6,5.6,5.6,5.6,2200
26,2017-01-17,5.6,5.6,5.6,5.6,11100
27,2017-01-18,5.83,5.83,5.83,5.83,300
28,2017-01-19,5.83,5.83,5.83,5.83,0
29,2017-01-20,5.66,5.66,5.6,5.6,1000
30,2017-01-23,5.6,5.6,5.6,5.6,25100
31,2017-01-24,4.83,5.83,4.83,5.83,500
32,2017-01-25,5.6,5.6,5.6,5.6,6100
33,2017-02-02,5.77,5.77,5.77,5.77,200
34,2017-02-03,5.77,5.77,5.77,5.77,0
35,2017-02-06,6.6,6.6,5.66,5.66,500
36,2017-02-07,7.37,7.37,5.72,5.72,500
37,2017-02-08,5.72,5.72,5.72,5.72,0
38,2017-02-09,6.01,6.01,6.01,6.01,5500
39,2017-02-10,5.66,5.66,5.66,5.66,1100
40,2017-02-13,4.89,5.89,4.89,5.89,500
41,2017-02-14,5.6,5.6,5.6,5.6,1700
42,2017-02-15,4.83,4.83,4.83,4.83,200
43,2017-02-16,4.83,4.83,4.83,4.83,0
44,2017-02-17,4.83,4.83,4.83,4.83,0
45,2017-02-20,4.83,4.83,4.83,4.83,0
46,2017-02-21,4.83,4.83,4.83,4.83,0
47,2017-02-22,4.83,4.83,4.83,4.83,0
48,2017-02-23,5.54,5.54,5.54,5.54,100
49,2017-02-24,5.54,5.54,5.54,5.54,0
50,2017-02-27,5.66,5.72,5.66,5.72,200
51,2017-02-28,5.89,5.89,5.89,5.89,100
52,2017-03-01,5.07,5.07,5.07,5.07,100
53,2017-03-02,5.66,5.77,5.66,5.77,900
54,2017-03-03,5.01,5.83,5.01,5.83,300
55,2017-03-06,5.6,5.6,4.83,5.6,21000
56,2017-03-07,5.6,5.6,5.6,5.6,0
57,2017-03-08,5.89,6.19,5.13,6.19,5100
58,2017-03-09,5.19,6.01,5.19,6.01,5700
59,2017-03-10,6.07,6.07,6.07,6.07,200
60,2017-03-13,6.07,6.07,6.07,6.07,100
61,2017-03-14,6.07,6.07,5.89,5.89,12000
62,2017-03-15,5.89,5.89,5.89,5.89,10000
63,2017-03-16,6.07,6.07,5.89,5.89,11200
64,2017-03-17,5.07,5.89,5.07,5.89,2200
65,2017-03-20,5.95,6.07,5.6,6.07,12366
66,2017-03-21,6.07,6.07,5.07,5.6,12272
67,2017-03-22,5.89,5.89,5.89,5.89,100
68,2017-03-23,5.72,5.72,5.19,5.6,23200
69,2017-03-24,5.6,5.6,4.77,5.42,5800
70,2017-03-27,5.42,5.42,5.3,5.36,28060
71,2017-03-28,5.3,5.3,5.3,5.3,1201
72,2017-03-29,5.3,5.3,5.3,5.3,0
73,2017-03-30,5.3,5.3,5.3,5.3,0
74,2017-03-31,5.3,5.3,5.3,5.3,0
75,2017-04-03,5.3,5.3,5.3,5.3,2000
76,2017-04-04,5.3,5.3,5.3,5.3,2000
77,2017-04-05,5.3,5.3,5.3,5.3,0
78,2017-04-07,5.3,5.3,5.3,5.3,9300
79,2017-04-10,5.3,5.89,4.71,5.89,1670
80,2017-04-11,5.89,5.89,4.71,5.89,100
81,2017-04-12,5.89,5.89,5.89,5.89,130
82,2017-04-13,5.77,6.01,5.77,5.83,2600
83,2017-04-14,5.77,5.77,5.01,5.3,18268
84,2017-04-17,5.3,5.3,5.3,5.3,4400
85,2017-04-18,5.36,5.36,5.3,5.3,9843
86,2017-04-19,5.3,5.3,5.3,5.3,5900
87,2017-04-20,5.3,5.3,5.3,5.3,1800
88,2017-04-21,5.42,5.42,5.3,5.42,1200
89,2017-04-24,5.42,5.42,5.42,5.42,0
90,2017-04-25,5.29,5.29,5.29,5.29,4300
91,2017-04-26,5.29,4.52,4.52,5.29,20
92,2017-04-27,5.81,5.81,5.81,5.81,400
93,2017-04-28,5.81,5.81,5.81,5.81,0
94,2017-05-03,5.81,5.81,5.81,5.81,77
95,2017-05-04,5.49,5.49,5.29,5.29,1199
96,2017-05-05,5.29,5.29,5.29,5.29,300
97,2017-05-08,5.29,5.29,5.29,5.29,0
98,2017-05-09,5.29,5.29,5.29,5.29,0
99,2017-05-10,5.29,5.29,5.29,5.29,0
100,2017-05-11,5.29,5.29,5.29,5.29,600
101,2017-05-12,5.81,5.81,5.81,5.81,200
102,2017-05-15,5.55,5.81,5.49,5.49,5100
103,2017-05-16,5.81,5.81,5.81,5.81,100
104,2017-05-17,5.42,5.42,5.42,5.42,13368
105,2017-05-18,4.71,5.49,4.71,5.42,18441
106,2017-05-19,5.74,5.74,5.42,5.42,2200
107,2017-05-22,5.49,5.49,5.49,5.49,5054
108,2017-05-23,5.42,5.42,5.29,5.42,26251
109,2017-05-24,5.42,5.42,5.42,5.42,10500
110,2017-05-25,5.42,5.42,5.42,5.42,10500
111,2017-05-26,5.42,5.42,5.42,5.42,36974
112,2017-05-29,5.23,5.36,5.23,5.36,14600
113,2017-05-30,5.36,5.36,5.36,5.36,300
114,2017-05-31,5.36,5.36,5.36,5.36,10
115,2017-06-01,5.36,4.58,4.58,5.36,7
116,2017-06-02,5.36,5.36,5.36,5.36,0
117,2017-06-05,5.23,5.29,5.16,5.16,19100
118,2017-06-06,5.16,5.16,5.16,5.16,181
119,2017-06-07,5.22,5.22,5.22,5.22,0
120,2017-06-08,5.23,5.23,5.23,5.23,0
121,2017-06-09,5.23,5.23,5.23,5.23,200
122,2017-06-12,5.29,5.29,5.29,5.29,7377
123,2017-06-13,5.29,5.29,5.29,5.29,0
124,2017-06-14,5.29,5.36,5.29,5.36,4500
125,2017-06-15,5.49,5.49,5.29,5.29,200
126,2017-06-16,5.29,5.29,5.29,5.29,110
127,2017-06-19,5.29,5.29,5.29,5.29,200
128,2017-06-20,5.29,5.29,5.29,5.29,0
129,2017-06-21,5.29,5.29,5.29,5.29,0
130,2017-06-22,5.29,5.29,5.29,5.29,0
131,2017-06-23,5.29,5.29,5.29,5.29,0
132,2017-06-26,5.29,5.29,5.29,5.29,1000
133,2017-06-27,5.29,5.29,5.29,5.29,0
134,2017-06-28,5.29,5.29,5.29,5.29,0
135,2017-06-29,5.29,5.29,5.29,5.29,0
136,2017-06-30,5.49,5.49,5.49,5.49,100
137,2017-07-03,5.49,5.81,5.49,5.81,200
138,2017-07-04,5.68,5.68,5.68,5.68,0
139,2017-07-05,4.91,4.91,4.91,4.91,100
140,2017-07-06,5.62,5.62,5.62,5.62,2500
141,2017-07-07,5.62,5.62,5.62,5.62,0
142,2017-07-10,5.62,5.62,5.62,5.62,0
143,2017-07-11,5.94,5.94,5.94,5.94,100
144,2017-07-12,5.16,5.16,5.16,5.16,100
145,2017-07-13,5.94,5.94,5.94,5.94,100
146,2017-07-14,5.94,6.45,5.94,6.45,300
147,2017-07-17,6.26,6.26,6.26,6.26,0
148,2017-07-18,6.45,6.45,6.45,6.45,100
149,2017-07-19,6.45,6.45,6.45,6.45,0
150,2017-07-20,6.13,6.13,6.13,6.13,1000
151,2017-07-21,5.29,5.29,5.23,5.23,4915
152,2017-07-24,5.29,5.29,5.29,5.23,18
153,2017-07-25,5.29,5.29,5.29,5.29,0
154,2017-07-26,5.29,5.29,5.29,5.29,0
155,2017-07-27,5.29,5.29,5.29,5.29,0
156,2017-07-28,5.29,5.29,5.29,5.29,0
157,2017-07-31,5.29,5.29,5.29,5.29,0
158,2017-08-01,5.29,5.29,5.29,5.23,40
159,2017-08-02,5.81,5.81,5.81,5.81,100
160,2017-08-03,5.03,6.39,5.03,5.03,300
161,2017-08-04,5.49,5.49,5.49,5.49,0
162,2017-08-07,5.49,5.49,5.49,5.49,0
163,2017-08-08,4.78,5.36,4.78,5.36,1100
164,2017-08-09,5.29,5.29,5.29,5.29,0
165,2017-08-10,5.29,5.29,5.29,5.29,0
166,2017-08-11,5.29,5.29,5.29,5.29,0
167,2017-08-14,5.36,5.36,5.36,5.36,18203
168,2017-08-15,4.65,5.42,4.65,5.42,200
169,2017-08-16,5.36,5.36,5.36,5.36,14600
170,2017-08-17,5.36,5.36,5.16,5.16,16300
171,2017-08-18,5.29,5.29,5.16,5.16,51900
172,2017-08-21,4.45,5.16,4.45,5.16,300
173,2017-08-22,5.03,5.03,5.03,5.03,10800
174,2017-08-23,5.1,5.16,4.97,5.16,15046
175,2017-08-24,5.03,5.1,4.97,5.03,16968
176,2017-08-25,5.03,5.03,4.97,4.97,12700
177,2017-08-28,4.45,4.91,4.45,4.84,6370
178,2017-08-29,4.84,4.84,4.84,4.84,20624
179,2017-08-30,4.84,4.84,4.84,4.84,8021
180,2017-08-31,4.84,4.84,4.78,4.78,26300
181,2017-09-01,4.78,4.78,4.78,4.78,7924
182,2017-09-05,4.78,4.84,4.78,4.78,18090
183,2017-09-06,4.84,4.84,4.84,4.84,9172
184,2017-09-07,4.71,4.84,4.71,4.84,18612
185,2017-09-08,5.16,5.16,5.16,5.16,319
186,2017-09-11,4.45,4.91,4.45,4.91,320
187,2017-09-12,4.91,4.91,4.91,4.91,130
188,2017-09-13,4.84,4.84,4.84,4.84,7100
189,2017-09-14,4.91,4.91,4.84,4.84,12100
190,2017-09-15,4.84,4.84,4.84,4.84,1000
191,2017-09-18,4.84,4.84,4.84,4.84,4300
192,2017-09-19,4.84,4.84,4.84,4.84,100
193,2017-09-20,4.84,4.84,4.84,4.84,0
194,2017-09-21,4.84,4.84,4.84,4.84,0
195,2017-09-22,4.84,4.84,4.84,4.84,1005
