,time,open,high,low,close,volume
0,2024-09-27,13.0,16.8,13.0,16.8,51000
1,2024-09-30,18.7,18.7,17.0,17.0,8900
2,2024-10-01,17.3,17.3,17.1,17.1,8900
3,2024-10-02,17.3,17.3,17.0,17.0,6500
4,2024-10-03,17.3,17.3,17.1,17.1,1600
5,2024-10-04,17.2,17.2,17.2,17.2,4400
6,2024-10-07,17.5,17.5,17.2,17.2,3600
7,2024-10-08,17.2,17.3,17.1,17.3,123000
8,2024-10-09,17.2,17.3,17.2,17.3,2100
9,2024-10-10,17.5,17.5,17.4,17.4,300
10,2024-10-11,17.3,17.4,17.3,17.4,6000
11,2024-10-14,17.2,17.3,17.2,17.3,21000
12,2024-10-15,16.9,17.3,16.8,17.3,52000
13,2024-10-16,16.9,16.9,16.6,16.9,53200
14,2024-10-17,16.7,17.1,16.7,17.1,55300
15,2024-10-18,17.0,17.1,16.6,16.8,83800
16,2024-10-21,16.9,17.2,16.9,17.2,52000
17,2024-10-22,16.8,17.0,16.6,17.0,46300
18,2024-10-23,17.2,17.2,17.0,17.1,1700
19,2024-10-24,17.2,17.2,17.2,17.2,3800
20,2024-10-25,17.2,17.3,17.2,17.3,9000
21,2024-10-28,17.3,17.4,17.2,17.4,53100
22,2024-10-29,17.4,17.4,17.3,17.3,1200
23,2024-10-30,17.4,17.4,17.3,17.3,2300
24,2024-10-31,17.1,17.1,16.8,16.9,24800
25,2024-11-01,16.9,16.9,16.7,16.8,23000
26,2024-11-04,16.9,17.2,16.9,17.2,30100
27,2024-11-05,16.8,17.3,16.8,17.3,27200
28,2024-11-06,17.0,17.2,16.8,16.9,27900
29,2024-11-07,16.8,17.1,16.7,16.9,25600
30,2024-11-08,16.8,16.9,16.7,16.7,32500
31,2024-11-11,16.9,17.2,16.8,17.2,23100
32,2024-11-12,17.1,17.3,16.9,17.1,36400
33,2024-11-13,17.0,17.3,16.9,17.3,26400
34,2024-11-14,17.1,17.2,17.1,17.2,2200
35,2024-11-15,17.2,17.2,17.0,17.0,2100
36,2024-11-18,17.2,17.2,17.0,17.1,17200
37,2024-11-19,17.2,17.2,17.0,17.2,14500
38,2024-11-20,17.3,17.4,17.1,17.3,19600
39,2024-11-21,17.2,17.2,17.2,17.2,1000
40,2024-11-22,17.3,17.3,17.2,17.3,5400
41,2024-11-25,17.3,17.4,17.3,17.4,1500
42,2024-11-26,17.3,17.4,17.3,17.4,700
43,2024-11-27,17.3,17.3,17.3,17.3,800
44,2024-11-28,17.2,17.3,17.2,17.3,700
45,2024-11-29,17.1,17.1,17.1,17.1,500
46,2024-12-02,17.1,17.3,17.1,17.3,1900
47,2024-12-03,17.2,17.2,17.2,17.2,600
48,2024-12-04,17.0,17.0,17.0,17.0,500
49,2024-12-05,16.7,17.3,16.7,17.3,300
50,2024-12-06,16.9,17.0,16.9,17.0,700
51,2024-12-09,16.8,16.8,16.8,16.8,200
52,2024-12-11,16.9,16.9,16.9,16.9,500
53,2024-12-12,16.9,16.9,16.9,16.9,200
54,2024-12-13,16.9,16.9,16.9,16.9,300
55,2024-12-16,17.0,17.0,17.0,17.0,500
56,2024-12-17,17.0,17.0,17.0,17.0,200
57,2024-12-18,16.9,16.9,16.9,16.9,1200
58,2024-12-20,17.2,17.2,17.2,17.2,500
59,2024-12-23,17.2,17.2,17.2,17.2,500
60,2024-12-24,17.0,17.0,17.0,17.0,300
61,2024-12-27,17.2,17.2,17.2,17.2,300
62,2024-12-31,17.0,17.0,17.0,17.0,200
63,2025-01-06,17.0,17.0,17.0,17.0,500
64,2025-01-08,17.0,17.0,17.0,17.0,200
65,2025-01-13,17.0,17.0,17.0,17.0,200
66,2025-01-15,17.0,17.3,17.0,17.3,6000
67,2025-01-16,17.1,17.1,17.1,17.1,200
68,2025-01-17,17.0,17.0,17.0,17.0,500
69,2025-01-21,17.0,17.0,17.0,17.0,500
70,2025-01-22,17.1,18.0,17.0,17.3,128000
71,2025-01-24,16.4,17.7,16.4,17.7,172300
72,2025-02-05,16.6,16.6,16.6,16.6,1100
73,2025-02-18,17.0,17.2,17.0,17.2,28800
74,2025-02-19,17.1,17.3,17.1,17.1,9300
75,2025-02-20,17.2,17.2,17.2,17.2,6600
76,2025-02-28,17.0,17.0,17.0,17.0,100
77,2025-03-04,17.1,17.1,17.0,17.1,69700
78,2025-03-26,16.9,17.0,16.8,17.0,150100
79,2025-03-27,16.9,16.9,16.9,16.9,83200
80,2025-03-28,16.9,17.0,16.9,17.0,119900
81,2025-04-02,17.0,17.3,16.6,17.1,259900
82,2025-04-14,17.2,17.2,17.0,17.0,24000
83,2025-04-18,17.1,17.1,17.1,17.1,30000
84,2025-04-24,17.4,17.4,17.1,17.1,200
85,2025-04-28,17.0,17.4,17.0,17.4,158000
86,2025-05-09,17.0,17.4,17.0,17.4,156700
