,time,open,high,low,close,volume
0,2009-12-24,6.09,6.09,5.49,6.09,74700
1,2009-12-25,5.91,6.16,5.79,6.09,106960
2,2009-12-28,6.09,6.16,5.79,6.04,20770
3,2009-12-29,5.8,6.01,5.8,6.01,49170
4,2009-12-30,5.94,6.0,5.85,5.94,34930
5,2009-12-31,6.01,6.23,5.95,6.13,103820
6,2010-01-04,6.31,6.31,6.09,6.16,62160
7,2010-01-05,6.34,6.38,6.17,6.17,127890
8,2010-01-06,6.19,6.47,6.19,6.47,131360
9,2010-01-07,6.78,6.78,6.78,6.78,21830
10,2010-01-08,7.11,7.11,7.11,7.11,149840
11,2010-01-11,7.42,7.42,7.12,7.42,303270
12,2010-01-12,7.79,7.79,7.05,7.05,316980
13,2010-01-13,7.05,7.39,6.75,7.39,117560
14,2010-01-14,7.5,7.5,7.09,7.12,51060
15,2010-01-15,6.92,7.05,6.92,6.98,158230
16,2010-01-18,7.05,7.21,6.63,6.63,85190
17,2010-01-19,6.74,6.96,6.43,6.63,70630
18,2010-01-20,6.74,6.74,6.51,6.58,50540
19,2010-01-21,6.51,6.51,6.27,6.27,54730
20,2010-01-22,6.11,6.3,6.04,6.27,35480
21,2010-01-25,6.11,6.27,5.96,5.99,60510
22,2010-01-26,6.19,6.29,6.19,6.29,43210
23,2010-01-27,6.46,6.52,6.27,6.27,67050
24,2010-01-28,6.11,6.27,6.0,6.11,8140
25,2010-01-29,5.99,6.19,5.99,6.15,14550
26,2010-02-01,6.15,6.24,5.96,6.19,7770
27,2010-02-02,6.11,6.15,6.05,6.11,30110
28,2010-02-03,6.16,6.19,6.1,6.16,31300
29,2010-02-04,6.19,6.41,6.15,6.27,32850
30,2010-02-05,6.21,6.27,6.15,6.19,19180
31,2010-02-08,6.13,6.19,6.11,6.19,27760
32,2010-02-09,6.11,6.21,6.11,6.11,20410
33,2010-02-10,6.18,6.18,6.05,6.05,1060
34,2010-02-11,6.11,6.16,6.04,6.11,13870
35,2010-02-12,6.19,6.41,6.18,6.27,16070
36,2010-02-22,6.43,6.43,6.35,6.35,3280
37,2010-02-23,6.35,6.35,6.07,6.07,27580
38,2010-02-24,5.94,6.11,5.94,6.11,5660
39,2010-02-25,6.24,6.25,6.11,6.11,16930
40,2010-02-26,6.11,6.11,5.97,6.11,8560
41,2010-03-01,6.11,6.18,6.11,6.11,11280
42,2010-03-02,6.07,6.11,6.05,6.08,16790
43,2010-03-03,6.1,6.18,6.05,6.18,24870
44,2010-03-04,6.11,6.27,6.07,6.11,43960
45,2010-03-05,6.11,6.22,6.11,6.22,67820
46,2010-03-08,6.52,6.52,6.52,6.52,57940
47,2010-03-09,6.84,6.84,6.82,6.84,138060
48,2010-03-10,6.9,6.91,6.74,6.74,74900
49,2010-03-11,6.6,6.74,6.54,6.66,94650
50,2010-03-12,6.74,6.99,6.66,6.99,197770
51,2010-03-15,6.99,7.34,6.99,7.23,142670
52,2010-03-16,6.9,7.21,6.9,6.9,141080
53,2010-03-17,6.9,6.93,6.76,6.76,56600
54,2010-03-18,6.87,6.9,6.76,6.9,57640
55,2010-03-19,7.05,7.09,6.93,7.05,120500
56,2010-03-22,7.05,7.1,6.87,6.98,35130
57,2010-03-23,6.9,6.96,6.84,6.94,59300
58,2010-03-24,7.05,7.05,6.93,6.94,29570
59,2010-03-25,6.94,6.94,6.76,6.8,67330
60,2010-03-26,6.8,6.8,6.68,6.71,60630
61,2010-03-29,6.63,6.82,6.63,6.71,21400
62,2010-03-30,6.88,6.9,6.74,6.88,43700
63,2010-03-31,6.9,6.96,6.87,6.9,84260
64,2010-04-01,6.74,6.82,6.69,6.74,66990
65,2010-04-02,6.74,6.79,6.46,6.46,91970
66,2010-04-05,6.76,6.77,6.6,6.77,40000
67,2010-04-06,6.8,6.82,6.74,6.74,45690
68,2010-04-07,6.71,6.9,6.58,6.71,18910
69,2010-04-08,6.69,6.88,6.69,6.76,88450
70,2010-04-09,6.82,6.98,6.77,6.96,93090
71,2010-04-12,6.87,6.96,6.77,6.77,52900
72,2010-04-13,6.77,6.79,6.71,6.71,41070
73,2010-04-14,6.71,6.82,6.66,6.74,30280
74,2010-04-15,6.74,6.74,6.69,6.69,31600
75,2010-04-16,6.74,6.87,6.68,6.87,124370
76,2010-04-19,6.87,7.05,6.74,7.05,300880
77,2010-04-20,7.13,7.4,7.07,7.31,433680
78,2010-04-21,7.31,7.31,7.09,7.09,108720
79,2010-04-22,7.37,7.43,7.09,7.31,138500
80,2010-04-26,7.35,7.67,7.31,7.67,437370
81,2010-04-27,7.68,7.92,7.52,7.84,343760
82,2010-04-28,7.84,7.84,7.6,7.65,120230
83,2010-04-29,7.76,7.76,7.67,7.68,178140
84,2010-05-04,7.76,7.82,7.6,7.68,209580
85,2010-05-05,7.6,7.67,7.52,7.52,113930
86,2010-05-06,7.45,7.49,7.34,7.4,178760
87,2010-05-07,7.43,7.43,7.21,7.27,113940
88,2010-05-10,7.18,7.52,7.18,7.37,214610
89,2010-05-11,7.52,7.65,7.37,7.45,156620
90,2010-05-12,7.45,7.45,7.18,7.2,64540
91,2010-05-13,7.2,7.27,6.85,7.13,120140
92,2010-05-14,7.21,7.21,7.12,7.13,60940
93,2010-05-17,7.13,7.15,6.9,6.98,40050
94,2010-05-18,6.98,6.98,6.82,6.9,93350
95,2010-05-19,6.74,6.82,6.58,6.58,89190
96,2010-05-20,6.58,6.71,6.27,6.58,117940
97,2010-05-21,6.35,6.51,6.25,6.35,101600
98,2010-05-24,6.51,6.51,6.43,6.51,24370
99,2010-05-25,6.58,6.58,6.51,6.58,41230
100,2010-05-26,6.58,6.66,6.58,6.66,87410
101,2010-05-27,6.58,6.73,6.58,6.71,47450
102,2010-05-28,7.02,7.02,6.73,6.82,48830
103,2010-05-31,6.71,6.96,6.68,6.71,12020
104,2010-06-01,6.73,6.79,6.66,6.79,37480
105,2010-06-02,6.74,6.85,6.66,6.74,37330
106,2010-06-03,6.74,6.82,6.74,6.8,47530
107,2010-06-04,6.8,6.8,6.74,6.74,10150
108,2010-06-07,6.51,6.74,6.51,6.52,33460
109,2010-06-08,6.66,6.66,6.43,6.57,14900
110,2010-06-09,6.74,6.74,6.58,6.74,45520
111,2010-06-10,6.66,6.73,6.58,6.73,6010
112,2010-06-11,6.63,6.73,6.63,6.63,10500
113,2010-06-14,6.63,6.63,6.52,6.63,16050
114,2010-06-15,6.62,6.63,6.58,6.63,19430
115,2010-06-16,6.74,6.74,6.65,6.65,49960
116,2010-06-17,6.63,6.74,6.63,6.65,22960
117,2010-06-18,6.62,6.74,6.62,6.74,23860
118,2010-06-21,6.74,6.9,6.74,6.9,30930
119,2010-06-22,6.74,6.9,6.74,6.77,10790
120,2010-06-23,6.74,6.77,6.71,6.77,22450
121,2010-06-24,6.74,7.05,6.74,7.05,73060
122,2010-06-25,6.9,6.98,6.85,6.9,29340
123,2010-06-28,6.96,6.96,6.91,6.91,6780
124,2010-06-29,6.91,6.91,6.58,6.74,37790
125,2010-06-30,6.58,6.74,6.58,6.74,2750
126,2010-07-01,6.57,6.73,6.57,6.73,43970
127,2010-07-02,6.63,6.65,6.63,6.63,8300
128,2010-07-05,6.69,6.73,6.65,6.69,22490
129,2010-07-06,6.62,6.66,6.62,6.62,13070
130,2010-07-07,6.62,6.63,6.58,6.63,20240
131,2010-07-08,6.66,6.66,6.63,6.63,6750
132,2010-07-09,6.63,6.66,6.58,6.63,30770
133,2010-07-12,6.55,6.63,6.52,6.55,16950
134,2010-07-13,6.55,6.69,6.55,6.68,42270
135,2010-07-14,6.69,6.74,6.69,6.69,19270
136,2010-07-15,6.69,6.71,6.58,6.69,16340
137,2010-07-16,6.68,6.71,6.58,6.68,14100
138,2010-07-19,6.66,6.68,6.51,6.66,10720
139,2010-07-20,6.62,6.66,6.6,6.62,23330
140,2010-07-21,6.74,6.9,6.58,6.74,29130
141,2010-07-22,6.88,6.88,6.58,6.58,42550
142,2010-07-23,6.54,6.6,6.54,6.54,11310
143,2010-07-26,6.54,6.55,6.54,6.54,8990
144,2010-07-27,6.54,6.73,6.54,6.66,38640
145,2010-07-28,6.58,6.66,6.58,6.58,45530
146,2010-07-29,6.58,6.74,6.58,6.66,45230
147,2010-07-30,6.66,6.82,6.58,6.79,112460
148,2010-08-02,6.9,6.9,6.77,6.77,69590
149,2010-08-03,6.77,6.9,6.77,6.88,115540
150,2010-08-04,6.88,6.9,6.82,6.88,153610
151,2010-08-05,6.91,7.13,6.91,7.07,187440
152,2010-08-06,7.1,7.42,7.1,7.34,395760
153,2010-08-09,7.34,7.4,6.98,7.21,168700
154,2010-08-10,7.15,7.16,6.85,6.91,224300
155,2010-08-11,6.91,7.18,6.82,7.05,50090
156,2010-08-12,6.9,7.05,6.71,6.71,295270
157,2010-08-13,6.57,6.82,6.57,6.76,92530
158,2010-08-16,6.68,7.07,6.68,6.93,88900
159,2010-08-17,6.74,6.82,6.58,6.74,82590
160,2010-08-18,6.58,6.62,6.41,6.55,122780
161,2010-08-19,6.46,6.58,6.27,6.46,104080
162,2010-08-20,6.46,6.62,6.35,6.62,68200
163,2010-08-23,6.44,6.58,6.43,6.44,9690
164,2010-08-24,6.35,6.35,6.13,6.13,183510
165,2010-08-25,6.13,6.19,5.83,5.83,77210
166,2010-08-26,5.96,5.96,5.77,5.96,38330
167,2010-08-27,6.07,6.11,5.83,6.07,48400
168,2010-08-30,6.36,6.36,6.36,6.36,63240
169,2010-08-31,6.58,6.66,6.43,6.66,76970
170,2010-09-01,6.66,6.69,6.51,6.66,56730
171,2010-09-06,6.68,6.9,6.58,6.68,128590
172,2010-09-07,6.66,6.66,6.51,6.66,53960
173,2010-09-08,6.43,6.46,6.41,6.41,46410
174,2010-09-09,6.43,6.58,6.27,6.58,78810
175,2010-09-10,6.36,6.66,6.32,6.32,69120
176,2010-09-13,6.21,6.41,6.21,6.35,60040
177,2010-09-14,6.51,6.58,6.27,6.51,38820
178,2010-09-15,6.32,6.33,6.29,6.32,10620
179,2010-09-16,6.3,6.3,6.27,6.3,10080
180,2010-09-17,6.3,6.43,6.27,6.41,98700
181,2010-09-20,6.4,6.58,6.38,6.4,56650
182,2010-09-21,6.27,6.43,6.27,6.35,17500
183,2010-09-22,6.38,6.41,6.27,6.38,1710
184,2010-09-23,6.4,6.4,6.24,6.4,34190
185,2010-09-24,6.43,6.43,6.3,6.36,28140
186,2010-09-27,6.29,6.4,6.27,6.29,23150
187,2010-09-28,6.27,6.35,6.25,6.27,35590
188,2010-09-29,6.27,6.36,6.27,6.27,7310
189,2010-09-30,6.24,6.27,5.99,6.0,51650
190,2010-10-01,6.24,6.24,5.71,5.78,226400
191,2010-10-04,5.5,5.8,5.5,5.5,111890
192,2010-10-05,5.64,5.64,5.35,5.64,46050
193,2010-10-06,5.72,5.83,5.72,5.83,39410
194,2010-10-07,5.88,5.88,5.74,5.74,36540
195,2010-10-08,5.74,5.74,5.57,5.57,22710
196,2010-10-11,5.64,5.64,5.57,5.57,10800
197,2010-10-12,5.55,5.57,5.55,5.55,26070
198,2010-10-13,5.52,5.63,5.49,5.52,8510
199,2010-10-14,5.55,5.6,5.52,5.55,9680
200,2010-10-15,5.47,5.52,5.33,5.47,40270
201,2010-10-18,5.41,5.6,5.38,5.41,19070
202,2010-10-19,5.19,5.25,5.17,5.19,17100
203,2010-10-20,5.19,5.19,4.94,5.03,68800
204,2010-10-21,5.17,5.17,4.94,4.97,9500
205,2010-10-22,5.02,5.02,4.95,4.95,21200
206,2010-10-25,4.95,4.95,4.94,4.95,22250
207,2010-10-26,5.14,5.19,5.11,5.14,20790
208,2010-10-27,5.02,5.11,4.99,5.02,23870
209,2010-10-28,5.02,5.05,4.95,5.02,18880
210,2010-10-29,5.03,5.09,5.0,5.03,16350
211,2010-11-01,4.97,5.03,4.89,4.97,9360
212,2010-11-02,4.73,4.95,4.73,4.73,27020
213,2010-11-03,4.73,4.73,4.55,4.56,8690
214,2010-11-04,4.58,4.7,4.58,4.58,17930
