,time,open,high,low,close,volume
0,2017-07-19,16.22,0.0,0.0,0.0,0
1,2017-07-20,16.22,16.22,16.22,16.22,8100
2,2017-07-21,17.74,17.74,17.74,17.74,4600
3,2017-07-24,17.74,17.74,17.74,17.74,0
4,2017-07-25,16.22,17.74,16.22,17.74,2800
5,2017-07-26,15.2,15.2,14.95,14.95,15000
6,2017-07-27,15.0,15.0,15.0,15.0,0
7,2017-07-28,15.0,15.0,15.0,15.0,2600
8,2017-07-31,15.0,15.0,15.0,15.0,0
9,2017-08-01,15.05,15.05,15.05,15.05,100
10,2017-08-02,15.76,15.81,15.76,15.81,200
11,2017-08-03,16.22,18.14,16.22,18.14,10700
12,2017-08-04,17.94,17.94,17.94,17.94,0
13,2017-08-07,17.94,17.94,17.94,17.94,0
14,2017-08-08,17.94,17.94,17.94,17.94,0
15,2017-08-09,17.94,17.94,17.94,17.94,0
16,2017-08-10,18.24,18.24,18.24,18.24,400
17,2017-08-11,18.24,18.24,18.24,18.24,0
18,2017-08-14,18.24,18.24,18.24,18.24,0
19,2017-08-15,18.24,18.24,18.24,18.24,0
20,2017-08-16,18.24,18.24,18.24,18.24,0
21,2017-08-17,19.26,19.26,19.26,19.26,500
22,2017-08-18,19.26,19.26,19.26,19.26,0
23,2017-08-21,19.26,19.26,19.26,19.26,0
24,2017-08-22,19.26,19.26,19.26,19.26,0
25,2017-08-23,19.26,19.26,19.26,19.26,0
26,2017-08-24,19.26,19.26,19.26,19.26,0
27,2017-08-25,19.26,19.26,19.26,19.26,0
28,2017-08-28,19.26,19.26,19.26,19.26,0
29,2017-08-29,19.26,19.26,19.26,19.26,0
30,2017-08-30,19.26,19.26,19.26,19.26,0
31,2017-08-31,19.26,19.26,19.26,19.26,0
32,2017-09-01,19.26,19.26,19.26,19.26,1200
33,2017-09-05,19.26,19.26,19.26,19.26,0
34,2017-09-06,19.26,19.26,19.26,19.26,0
35,2017-09-07,19.26,19.26,19.26,19.26,800
36,2017-09-08,18.75,18.75,18.75,18.75,100
37,2017-09-11,19.0,19.0,19.0,19.0,1060
38,2017-09-12,19.26,19.26,18.75,18.75,2198
39,2017-09-13,18.7,18.75,16.42,16.42,3618
40,2017-09-14,16.22,16.42,16.22,16.42,5700
41,2017-09-15,16.22,16.22,16.22,16.22,0
42,2017-09-18,16.22,16.22,16.22,16.22,0
43,2017-09-19,16.22,16.22,16.22,16.22,0
44,2017-09-20,16.22,16.22,16.22,16.22,0
45,2017-09-21,16.37,16.42,16.37,16.42,3000
46,2017-09-22,16.42,16.42,16.42,16.42,0
47,2017-09-25,16.42,16.42,16.42,16.42,0
48,2017-09-26,16.42,16.42,16.42,16.42,0
49,2017-09-27,16.42,16.42,16.42,16.42,0
50,2017-09-28,18.24,18.24,18.24,18.24,100
51,2017-09-29,18.24,18.24,18.24,18.24,0
