,time,open,high,low,close,volume
0,2006-12-14,62.35,62.35,62.35,62.35,92900
1,2006-12-15,59.24,65.47,59.24,65.47,845440
2,2006-12-18,62.35,62.35,62.35,62.35,265860
3,2006-12-19,59.24,59.24,59.24,59.24,26940
4,2006-12-20,56.33,56.33,56.33,56.33,16420
5,2006-12-21,55.5,55.5,53.62,53.62,2480
6,2006-12-22,51.34,51.34,51.13,51.13,1530
7,2006-12-25,51.13,51.13,48.64,48.64,1420
8,2006-12-26,46.35,46.35,46.35,46.35,7320
9,2006-12-27,44.06,44.06,44.06,44.06,20170
10,2006-12-28,41.99,41.99,41.99,41.99,104850
11,2006-12-29,39.91,39.91,39.91,39.91,77860
12,2007-01-02,38.04,38.04,38.04,38.04,32230
13,2007-01-03,36.17,36.17,36.17,36.17,20700
14,2007-01-04,34.5,37.83,34.5,37.83,516290
15,2007-01-05,39.7,39.7,39.7,39.7,510280
16,2007-01-08,41.57,41.57,39.7,41.57,202610
17,2007-01-09,41.57,42.82,40.53,42.82,233690
18,2007-01-10,41.57,42.82,41.57,41.57,232550
19,2007-01-11,40.53,40.53,39.49,39.49,101070
20,2007-01-12,38.45,38.66,38.45,38.66,127110
21,2007-01-15,38.45,39.08,38.45,39.08,98990
22,2007-01-16,40.95,40.95,40.95,40.95,167700
23,2007-01-17,42.82,42.82,40.95,40.95,283390
24,2007-01-18,40.95,41.36,40.95,40.95,189370
25,2007-01-19,42.4,42.4,41.57,41.57,97540
26,2007-01-22,41.57,43.65,41.57,43.65,250220
27,2007-01-23,45.52,45.52,45.52,45.52,93440
28,2007-01-24,47.6,47.6,43.44,43.44,130520
29,2007-01-25,41.36,41.36,41.36,41.36,70490
30,2007-01-26,39.49,39.49,39.49,39.49,335060
31,2007-01-29,39.49,39.49,39.49,39.49,181360
32,2007-01-30,41.36,41.36,41.36,41.36,39780
33,2007-01-31,43.23,43.23,43.23,43.23,65820
34,2007-02-01,45.31,45.31,44.69,45.31,240130
35,2007-02-02,45.31,45.31,45.31,45.31,105340
36,2007-02-05,45.31,45.31,43.23,43.23,22150
37,2007-02-06,43.23,43.65,43.23,43.65,60250
38,2007-02-07,42.61,42.61,41.78,41.78,76830
39,2007-02-08,41.78,41.78,41.57,41.57,47470
40,2007-02-09,40.53,41.57,40.53,41.57,68180
41,2007-02-12,43.65,43.65,43.65,43.65,64600
42,2007-02-13,44.69,45.31,43.65,43.65,42690
43,2007-02-14,43.65,44.69,43.65,44.69,88700
44,2007-02-15,46.77,46.77,45.73,45.73,134980
45,2007-02-26,48.01,48.01,48.01,48.01,90600
46,2007-02-27,50.3,50.3,50.3,50.3,166680
47,2007-02-28,48.43,48.43,47.8,47.8,43190
48,2007-03-01,47.8,47.8,46.14,46.14,35460
49,2007-03-02,45.73,48.43,45.73,47.8,88130
