,time,open,high,low,close,volume
0,2010-11-11,3.89,3.92,3.89,3.89,25110
1,2010-11-12,3.89,3.89,3.73,3.89,5620
2,2010-11-15,3.73,3.73,3.73,3.73,30
3,2010-11-16,3.57,3.61,3.57,3.57,1620
4,2010-11-17,3.41,3.73,3.41,3.73,5440
5,2010-11-18,3.85,3.85,3.57,3.85,3340
6,2010-11-19,3.69,3.73,3.69,3.69,1320
7,2010-11-22,3.77,3.77,3.57,3.77,110
8,2010-11-23,3.77,3.77,3.61,3.77,1810
9,2010-11-24,3.61,3.61,3.61,3.61,310
10,2010-11-25,3.45,3.77,3.45,3.45,3560
11,2010-11-26,3.37,3.53,3.3,3.53,11790
12,2010-11-29,3.61,3.69,3.61,3.69,50
13,2010-11-30,3.69,3.77,3.65,3.69,1020
14,2010-12-01,3.53,3.53,3.53,3.53,5440
15,2010-12-02,3.53,3.69,3.37,3.69,11310
16,2010-12-03,3.85,3.85,3.57,3.77,7630
17,2010-12-06,3.81,3.81,3.61,3.81,5810
18,2010-12-07,3.81,3.81,3.65,3.65,2590
19,2010-12-08,3.49,3.61,3.49,3.49,7500
20,2010-12-09,3.49,3.49,3.49,3.49,20
21,2010-12-10,3.57,3.57,3.41,3.57,1110
22,2010-12-13,3.57,3.61,3.57,3.57,680
23,2010-12-14,3.61,3.61,3.41,3.61,2650
24,2010-12-15,3.45,3.49,3.45,3.45,1010
25,2010-12-16,3.34,3.41,3.34,3.41,560
26,2010-12-17,3.49,3.49,3.37,3.49,670
27,2010-12-20,3.49,3.49,3.49,3.49,100
28,2010-12-21,3.49,3.49,3.45,3.49,20
29,2010-12-22,3.49,3.49,3.49,3.49,0
30,2010-12-23,3.34,3.45,3.34,3.34,360
31,2010-12-24,3.26,3.26,3.26,3.26,110
32,2010-12-27,3.26,3.34,3.26,3.34,210
33,2010-12-28,3.34,3.41,3.41,3.41,20
34,2010-12-29,3.49,3.49,3.41,3.41,100
35,2010-12-30,3.41,3.49,3.37,3.49,1010
36,2010-12-31,3.49,3.49,3.49,3.49,4190
37,2011-01-04,3.57,3.57,3.53,3.53,3190
38,2011-01-05,3.53,3.45,3.41,3.41,200
39,2011-01-06,3.53,3.53,3.53,3.53,2900
40,2011-01-07,3.53,3.53,3.41,3.41,320
41,2011-01-10,3.3,3.3,3.26,3.26,400
42,2011-01-11,3.22,3.41,3.22,3.41,1310
43,2011-01-12,3.45,3.53,3.45,3.53,880
44,2011-01-13,3.61,3.61,3.61,3.61,10
45,2011-01-14,3.49,3.49,3.49,3.49,20
46,2011-01-17,3.61,3.61,3.61,3.61,10
47,2011-01-18,3.61,3.61,3.61,3.61,0
48,2011-01-19,3.49,3.49,3.49,3.49,100
49,2011-01-20,3.49,3.49,3.49,3.49,0
50,2011-01-21,3.37,3.37,3.37,3.37,30
51,2011-01-24,3.34,3.34,3.34,3.34,10
52,2011-01-25,3.49,3.49,3.49,3.49,10
53,2011-01-26,3.49,3.49,3.49,3.49,0
54,2011-01-27,3.37,3.37,3.34,3.34,390
55,2011-01-28,3.41,3.45,3.41,3.45,20
56,2011-02-08,3.61,3.61,3.61,3.61,10
57,2011-02-09,3.61,3.61,3.61,3.61,0
58,2011-02-10,3.61,3.61,3.61,3.61,0
59,2011-02-11,3.49,3.49,3.49,3.49,10
60,2011-02-14,3.49,3.49,3.49,3.49,0
61,2011-02-15,3.49,3.49,3.49,3.49,0
62,2011-02-16,3.49,3.49,3.49,3.49,0
63,2011-02-17,3.49,3.49,3.49,3.49,0
64,2011-02-18,3.34,3.49,3.34,3.34,120
65,2011-02-21,3.22,3.45,3.22,3.45,820
66,2011-02-22,3.45,3.45,3.45,3.45,0
67,2011-02-23,3.45,3.45,3.45,3.45,0
68,2011-02-24,3.45,3.45,3.45,3.45,0
69,2011-02-25,3.45,3.45,3.45,3.45,0
70,2011-02-28,3.3,3.3,3.3,3.3,400
71,2011-03-01,3.3,3.3,3.3,3.3,0
72,2011-03-02,3.14,3.37,3.14,3.37,4710
73,2011-03-03,3.37,3.37,3.37,3.37,0
74,2011-03-04,3.37,3.37,3.37,3.37,100
75,2011-03-07,3.37,3.37,3.37,3.37,0
76,2011-03-08,3.37,3.37,3.37,3.37,60
77,2011-03-09,3.37,3.37,3.37,3.37,3200
78,2011-03-10,3.49,3.49,3.49,3.49,10
79,2011-03-11,3.49,3.53,3.49,3.53,60
80,2011-03-14,3.49,3.49,3.49,3.49,30
81,2011-03-15,3.49,3.49,3.49,3.49,0
82,2011-03-16,3.49,3.49,3.49,3.49,0
83,2011-03-17,3.41,3.41,3.41,3.41,10
84,2011-03-18,3.41,3.41,3.41,3.41,0
85,2011-03-21,3.41,3.41,3.41,3.41,0
86,2011-03-22,3.41,3.41,3.41,3.41,0
87,2011-03-23,3.41,3.41,3.41,3.41,0
88,2011-03-24,3.41,3.41,3.41,3.41,0
89,2011-03-25,3.49,3.49,3.49,3.49,10
90,2011-03-28,3.49,3.49,3.49,3.49,20
91,2011-03-29,3.34,3.34,3.34,3.34,490
92,2011-03-30,3.34,3.34,3.34,3.34,0
93,2011-03-31,3.34,3.34,3.34,3.34,0
94,2011-04-01,3.34,3.34,3.26,3.26,890
95,2011-04-04,3.26,3.26,3.26,3.26,0
96,2011-04-05,3.26,3.26,3.26,3.26,0
97,2011-04-06,3.18,3.18,3.18,3.18,1900
98,2011-04-07,3.18,3.34,3.1,3.34,5020
99,2011-04-08,3.45,3.45,3.45,3.45,10
100,2011-04-13,3.61,3.61,3.61,3.61,10
101,2011-04-14,3.53,3.73,3.53,3.73,1010
102,2011-04-15,3.73,3.73,3.57,3.57,140
103,2011-04-18,3.45,3.73,3.45,3.45,2550
104,2011-04-19,3.45,3.45,3.37,3.37,30
105,2011-04-20,3.37,3.37,3.37,3.37,0
106,2011-04-21,3.41,3.41,3.41,3.41,30
107,2011-04-22,3.41,3.41,3.26,3.26,410
108,2011-04-25,3.14,3.14,3.14,3.14,10
109,2011-04-26,3.22,3.22,3.22,3.22,260
110,2011-04-27,3.26,3.26,3.26,3.26,20
111,2011-04-28,3.26,3.26,3.22,3.26,2800
112,2011-04-29,3.34,3.41,3.34,3.41,580
113,2011-05-04,3.57,3.57,3.57,3.57,2850
114,2011-05-05,3.69,3.69,3.57,3.57,1670
115,2011-05-06,3.61,3.61,3.61,3.61,300
116,2011-05-09,3.69,3.77,3.69,3.73,3640
117,2011-05-10,3.73,3.73,3.73,3.73,10
118,2011-05-11,3.73,3.73,3.73,3.73,10
119,2011-05-12,3.73,3.73,3.73,3.73,0
120,2011-05-13,3.57,3.61,3.57,3.57,670
121,2011-05-16,3.73,3.73,3.69,3.73,2230
122,2011-05-17,3.73,3.73,3.73,3.73,1120
123,2011-05-18,3.59,3.77,3.59,3.77,1610
124,2011-05-19,3.64,3.64,3.59,3.59,1040
125,2011-05-20,3.41,3.41,3.41,3.41,970
126,2011-05-23,3.28,3.32,3.28,3.28,2200
127,2011-05-24,3.23,3.23,3.23,3.23,400
128,2011-05-25,3.14,3.28,3.1,3.28,3030
129,2011-05-26,3.32,3.32,3.32,3.32,70
130,2011-05-27,3.46,3.46,3.46,3.46,400
131,2011-05-30,3.59,3.59,3.59,3.59,1000
132,2011-05-31,3.59,3.59,3.59,3.59,0
133,2011-06-01,3.59,3.68,3.59,3.68,1010
134,2011-06-02,3.5,3.5,3.5,3.5,10050
135,2011-06-03,3.59,3.59,3.55,3.59,3650
136,2011-06-06,3.59,3.59,3.59,3.59,4000
137,2011-06-07,3.59,3.59,3.59,3.59,12050
138,2011-06-08,3.59,3.59,3.59,3.59,0
139,2011-06-09,3.59,3.59,3.59,3.59,0
140,2011-06-10,3.55,3.55,3.5,3.5,20
141,2011-06-13,3.5,3.5,3.5,3.5,0
142,2011-06-14,3.5,3.5,3.5,3.5,0
143,2011-06-15,3.37,3.59,3.37,3.59,710
144,2011-06-16,3.59,3.59,3.59,3.59,0
145,2011-06-17,3.59,3.59,3.59,3.59,0
146,2011-06-20,3.5,3.64,3.46,3.64,1060
147,2011-06-21,3.59,3.59,3.59,3.59,100
148,2011-06-22,3.59,3.59,3.59,3.59,0
149,2011-06-23,3.41,3.41,3.41,3.41,200
150,2011-06-24,3.28,3.46,3.28,3.46,8020
151,2011-06-27,3.41,3.5,3.32,3.5,4760
152,2011-06-28,3.5,3.64,3.5,3.64,310
153,2011-06-29,3.73,3.73,3.73,3.73,20
154,2011-06-30,3.73,3.73,3.73,3.73,0
155,2011-07-01,3.77,3.77,3.55,3.55,110
156,2011-07-04,3.55,3.55,3.55,3.55,0
157,2011-07-05,3.59,3.68,3.59,3.59,1130
158,2011-07-06,3.5,3.5,3.5,3.5,500
159,2011-07-07,3.5,3.5,3.5,3.5,0
160,2011-07-08,3.5,3.5,3.5,3.5,0
161,2011-07-11,3.5,3.5,3.5,3.5,0
162,2011-07-12,3.5,3.5,3.5,3.5,0
163,2011-07-13,3.37,3.5,3.37,3.5,10210
164,2011-07-14,3.5,3.5,3.5,3.5,0
165,2011-07-15,3.5,3.5,3.5,3.5,0
166,2011-07-18,3.5,3.5,3.5,3.5,0
167,2011-07-19,3.5,3.5,3.5,3.5,0
