,time,open,high,low,close,volume
0,2015-12-22,5.68,5.68,5.32,5.32,31900
1,2015-12-23,5.32,5.32,5.32,5.32,17000
2,2015-12-24,5.32,5.46,5.32,5.46,109000
3,2015-12-25,5.32,5.41,5.32,5.41,54300
4,2015-12-28,5.41,5.46,5.41,5.46,54300
5,2015-12-29,5.46,5.46,5.41,5.46,27500
6,2015-12-30,5.5,5.68,5.5,5.68,72600
7,2015-12-31,5.68,6.23,5.68,6.23,165900
8,2016-01-04,5.68,6.46,5.68,6.46,98100
9,2016-01-05,6.46,6.82,6.32,6.82,195500
10,2016-01-06,6.82,6.87,6.78,6.87,189100
11,2016-01-07,6.78,6.96,6.64,6.96,186100
12,2016-01-08,6.78,7.09,6.78,7.09,193400
13,2016-01-11,7.09,7.18,7.09,7.18,230900
14,2016-01-12,7.18,7.18,7.05,7.05,138400
15,2016-01-13,7.0,7.05,6.82,7.0,119300
16,2016-01-14,7.0,7.18,7.0,7.14,87400
17,2016-01-15,7.14,7.32,7.14,7.23,22800
18,2016-01-18,7.05,7.05,6.96,7.0,16300
19,2016-01-19,7.05,7.68,7.05,7.68,160200
20,2016-01-20,7.68,7.82,7.68,7.82,166300
21,2016-01-21,7.73,7.96,7.64,7.82,111800
22,2016-01-22,8.14,8.59,8.05,8.59,175300
23,2016-01-25,8.55,8.69,8.5,8.64,63400
24,2016-01-26,8.5,8.55,8.41,8.46,18600
25,2016-01-27,8.46,9.23,8.46,9.14,51400
26,2016-01-28,9.14,9.19,9.05,9.14,92100
27,2016-01-29,9.05,9.09,9.0,9.0,42500
28,2016-02-01,8.96,8.96,8.41,8.55,160300
29,2016-02-02,8.5,8.69,8.18,8.69,107000
30,2016-02-03,8.64,8.78,8.64,8.78,17000
31,2016-02-04,8.73,8.78,8.73,8.78,4100
32,2016-02-05,8.69,8.69,8.64,8.69,3200
33,2016-02-15,8.73,8.73,8.59,8.69,236500
34,2016-02-16,8.64,8.96,8.64,8.91,201800
35,2016-02-17,8.91,9.05,8.91,9.05,187400
36,2016-02-18,9.05,9.28,9.05,9.28,200900
37,2016-02-19,9.28,9.32,9.23,9.32,193400
38,2016-02-22,9.32,9.32,9.09,9.09,95200
39,2016-02-23,9.09,9.14,8.91,8.96,76100
40,2016-02-24,8.91,9.14,8.91,9.09,118300
41,2016-02-25,9.05,9.09,8.91,8.96,184400
42,2016-02-26,8.91,9.05,8.91,9.0,57500
43,2016-02-29,8.96,8.96,8.69,8.69,28000
44,2016-03-01,8.64,8.64,7.82,7.82,45500
45,2016-03-02,7.09,7.59,7.09,7.55,191300
46,2016-03-03,7.28,7.55,7.09,7.5,463400
47,2016-03-04,7.37,7.82,7.28,7.73,393100
48,2016-03-07,7.78,7.87,7.73,7.82,141700
49,2016-03-08,7.78,7.82,7.73,7.82,166500
50,2016-03-09,7.78,7.96,7.78,7.96,178600
51,2016-03-10,7.96,8.28,7.96,8.28,430800
52,2016-03-11,8.18,8.41,8.09,8.41,325700
53,2016-03-14,8.18,8.18,7.82,7.82,259700
54,2016-03-15,7.82,7.82,7.41,7.64,47600
55,2016-03-16,7.5,7.73,7.41,7.59,474300
56,2016-03-17,7.64,7.78,7.5,7.78,840500
57,2016-03-18,7.78,7.78,7.59,7.68,177600
58,2016-03-21,7.68,7.82,7.68,7.68,204400
59,2016-03-22,7.68,7.73,7.64,7.64,227700
60,2016-03-23,7.64,7.91,7.64,7.91,160200
61,2016-03-24,7.87,8.18,7.68,8.14,326300
62,2016-03-25,8.23,8.23,7.87,8.18,401900
63,2016-03-28,8.14,8.32,8.0,8.23,404800
64,2016-03-29,8.23,8.46,8.14,8.46,75900
65,2016-03-30,8.41,8.5,8.09,8.37,32400
66,2016-03-31,8.28,8.32,8.05,8.05,33000
67,2016-04-01,7.96,8.18,7.78,8.09,104100
68,2016-04-04,8.18,8.64,8.14,8.64,80000
69,2016-04-05,8.37,8.46,7.87,8.41,248000
70,2016-04-06,8.18,8.78,7.96,8.78,161000
71,2016-04-07,8.78,9.09,8.05,8.23,236900
72,2016-04-08,8.23,8.28,7.78,8.09,288000
73,2016-04-11,8.09,8.09,7.78,7.82,166200
74,2016-04-12,7.73,7.91,7.64,7.91,142400
75,2016-04-13,7.96,8.0,7.91,7.91,107000
76,2016-04-14,7.87,7.96,7.64,7.64,181800
77,2016-04-15,7.59,8.05,7.41,8.0,205900
78,2016-04-19,7.87,7.91,7.68,7.68,259700
79,2016-04-20,7.64,8.0,7.64,8.0,427600
80,2016-04-21,8.0,8.37,7.78,7.78,286000
81,2016-04-22,7.78,7.91,7.46,7.5,327900
82,2016-04-25,7.5,7.55,7.23,7.41,549700
83,2016-04-26,7.46,7.5,6.96,7.5,672000
84,2016-04-27,7.41,7.41,6.91,6.91,630500
85,2016-04-28,6.96,7.23,6.23,6.82,541100
86,2016-04-29,6.82,7.09,6.64,6.82,84000
87,2016-05-04,7.14,7.14,6.5,7.0,174600
88,2016-05-05,7.0,7.28,6.5,6.78,339900
89,2016-05-06,6.59,6.59,6.28,6.37,216300
90,2016-05-09,6.32,6.32,5.87,6.0,269100
91,2016-05-10,6.0,6.37,6.0,6.37,109900
92,2016-05-11,6.28,6.5,6.28,6.46,144000
93,2016-05-12,6.41,6.41,6.18,6.28,97000
94,2016-05-13,6.28,6.5,6.09,6.5,134400
95,2016-05-16,6.73,6.73,6.55,6.73,299000
96,2016-05-17,6.96,7.0,6.64,6.78,156200
97,2016-05-18,6.96,6.96,6.46,6.73,142200
