,time,open,high,low,close,volume
0,2010-04-28,25.01,25.01,14.55,16.14,4100
1,2010-04-29,16.37,16.37,14.28,14.28,17700
2,2010-05-04,15.55,15.55,15.55,15.55,2500
3,2010-05-05,15.55,15.55,15.55,15.55,0
4,2010-05-06,16.6,16.6,16.6,16.6,11000
5,2010-05-07,17.73,17.73,15.51,16.82,11400
6,2010-05-10,15.73,17.05,15.73,15.73,2800
7,2010-05-11,14.69,14.69,14.69,14.69,10000
8,2010-05-12,13.69,13.69,13.69,13.69,14100
9,2010-05-13,14.64,14.64,13.64,13.64,3600
10,2010-05-14,12.82,14.73,12.82,14.73,1600
11,2010-05-17,12.1,12.1,12.1,12.1,7700
12,2010-05-18,11.28,11.28,11.28,11.28,500
13,2010-05-19,10.5,10.5,10.5,10.5,1600
14,2010-05-20,10.5,11.23,10.5,11.23,5000
15,2010-05-21,11.55,11.55,11.55,11.55,4000
16,2010-05-24,12.32,12.32,12.32,12.32,700
17,2010-05-25,13.14,13.14,13.14,13.14,300
18,2010-05-26,14.05,14.05,13.14,13.14,1100
19,2010-05-27,13.14,13.14,13.14,13.14,0
20,2010-05-28,14.91,14.91,13.19,13.64,23800
21,2010-05-31,13.87,13.87,13.64,13.64,11700
22,2010-06-01,13.41,13.41,13.41,13.41,4900
23,2010-06-02,13.87,13.87,13.41,13.41,8400
24,2010-06-03,13.46,14.1,12.55,14.1,20000
25,2010-06-04,12.0,13.5,12.0,13.5,13000
26,2010-06-07,13.6,13.6,13.6,13.6,100
27,2010-06-08,12.96,12.96,12.96,12.96,500
28,2010-06-09,13.73,13.73,12.28,13.19,12500
29,2010-06-10,13.19,13.64,13.19,13.64,12000
30,2010-06-11,13.6,13.82,12.96,13.73,32100
31,2010-06-14,13.64,14.64,13.64,14.64,39200
32,2010-06-15,15.37,15.37,14.1,14.78,4100
33,2010-06-16,14.6,15.01,14.6,15.01,4800
34,2010-06-17,13.87,15.01,13.87,14.55,9400
35,2010-06-18,14.1,15.23,14.1,15.14,10100
36,2010-06-21,15.01,15.23,15.01,15.23,19500
37,2010-06-22,15.46,15.46,14.55,14.78,3000
38,2010-06-23,14.1,15.28,14.1,15.28,1900
39,2010-06-24,14.55,15.01,14.37,14.37,7500
40,2010-06-25,14.55,14.55,13.6,13.6,8500
41,2010-06-28,13.6,13.6,13.6,13.6,0
42,2010-06-29,14.1,14.55,13.19,13.41,10900
43,2010-06-30,13.05,13.05,13.05,13.05,5000
44,2010-07-01,13.19,13.96,13.19,13.69,15100
45,2010-07-02,12.96,13.78,12.96,13.78,2600
46,2010-07-05,13.41,13.41,13.41,13.41,100
47,2010-07-06,12.73,14.19,12.73,14.19,11000
48,2010-07-07,12.55,13.87,12.55,13.87,6500
49,2010-07-08,13.64,13.64,13.64,13.64,1500
50,2010-07-09,12.78,13.73,12.78,13.73,2300
51,2010-07-12,12.78,12.78,12.78,12.78,500
52,2010-07-13,13.41,13.41,13.41,13.41,200
53,2010-07-14,14.32,14.32,13.64,13.64,1100
54,2010-07-15,13.64,14.91,13.64,14.91,200
55,2010-07-16,13.32,15.23,13.32,15.01,4500
56,2010-07-19,13.32,15.01,13.32,14.78,10100
57,2010-07-20,15.01,15.01,13.78,15.01,13200
58,2010-07-21,13.69,15.23,13.69,13.91,21900
59,2010-07-22,14.55,15.28,14.55,15.28,34500
60,2010-07-23,14.1,14.78,14.1,14.78,12500
61,2010-07-26,14.78,14.78,14.78,14.78,0
62,2010-07-27,13.6,13.6,13.6,13.6,2000
63,2010-07-28,13.64,14.51,13.64,14.51,5000
64,2010-07-29,14.51,14.51,14.51,14.51,0
65,2010-07-30,12.91,12.91,12.91,12.91,2000
66,2010-08-02,13.69,13.78,13.69,13.78,600
67,2010-08-03,13.78,13.78,13.78,13.78,0
68,2010-08-04,14.55,14.73,14.1,14.55,7100
69,2010-08-05,15.51,15.51,14.32,15.51,18800
70,2010-08-06,14.32,14.32,14.32,14.32,300
71,2010-08-09,14.14,14.55,14.14,14.55,2500
72,2010-08-10,13.64,14.32,13.64,14.19,15000
73,2010-08-11,14.19,14.19,14.19,14.19,0
74,2010-08-12,14.14,14.55,13.91,14.01,23800
75,2010-08-13,13.87,14.1,13.87,14.1,19000
76,2010-08-16,14.1,14.55,13.91,13.91,15200
77,2010-08-17,14.14,15.23,14.14,15.23,36600
78,2010-08-18,14.19,15.55,14.19,14.55,43200
79,2010-08-19,14.28,14.28,14.14,14.14,5200
80,2010-08-20,14.55,14.55,14.55,14.55,1200
81,2010-08-23,15.55,15.55,14.41,14.41,1700
82,2010-08-24,13.46,14.55,13.46,14.55,19300
83,2010-08-25,14.64,14.78,14.64,14.64,15600
84,2010-08-26,13.69,14.69,13.69,14.69,12500
85,2010-08-27,14.64,14.64,12.91,12.91,20600
86,2010-08-30,12.91,12.91,12.91,12.91,0
87,2010-08-31,12.73,14.51,12.73,14.51,200
88,2010-09-01,14.55,14.55,14.46,14.46,1000
89,2010-09-06,14.78,15.46,14.78,15.46,65200
90,2010-09-07,15.01,15.91,15.01,15.91,53600
91,2010-09-08,15.69,15.69,14.6,14.6,4100
92,2010-09-09,14.6,14.6,14.6,14.6,0
93,2010-09-10,14.78,15.01,14.6,15.01,5100
94,2010-09-13,15.01,15.01,15.01,15.01,0
95,2010-09-14,15.01,15.01,15.01,15.01,0
96,2010-09-15,14.87,14.87,14.73,14.73,3000
97,2010-09-16,14.78,14.78,14.78,14.78,600
98,2010-09-17,15.01,15.01,15.01,15.01,4900
99,2010-09-20,15.01,15.01,15.01,15.01,400
100,2010-09-21,15.01,15.01,15.01,15.01,1000
101,2010-09-22,15.01,15.01,15.01,15.01,1000
102,2010-09-23,15.01,15.01,15.01,15.01,0
103,2010-09-24,15.01,15.01,15.01,15.01,1100
104,2010-09-27,15.01,15.01,15.01,15.01,0
105,2010-09-28,15.01,15.01,15.01,15.01,0
106,2010-09-29,15.01,15.01,15.01,15.01,400
107,2010-09-30,15.01,15.01,15.01,15.01,0
108,2010-10-01,15.01,15.01,15.01,15.01,2600
109,2010-10-04,15.01,15.01,15.01,15.01,2800
110,2010-10-05,14.55,15.01,14.55,15.01,7600
111,2010-10-06,15.01,15.01,15.01,15.01,0
112,2010-10-07,14.87,14.87,14.87,14.87,5000
113,2010-10-08,14.55,14.55,14.55,14.55,8000
114,2010-10-11,14.55,14.55,14.55,14.55,0
115,2010-10-12,14.55,14.55,14.55,14.55,0
116,2010-10-13,14.32,14.32,14.32,14.32,100
117,2010-10-14,14.32,14.32,14.32,14.32,2200
118,2010-10-15,14.32,14.32,14.32,14.32,11300
119,2010-10-18,13.64,14.1,13.64,14.1,2400
120,2010-10-19,13.91,13.91,13.91,13.91,700
121,2010-10-20,13.91,13.91,13.91,13.91,0
122,2010-10-21,13.91,13.91,13.91,13.91,0
123,2010-10-22,13.91,13.91,13.91,13.91,0
124,2010-10-25,13.91,13.91,13.91,13.91,0
125,2010-10-26,13.64,13.87,13.64,13.87,500
126,2010-10-27,13.87,13.87,13.87,13.87,200
127,2010-10-28,14.1,14.32,14.1,14.32,30700
128,2010-10-29,13.64,13.64,13.64,13.64,300
129,2010-11-01,13.64,13.64,13.64,13.64,0
130,2010-11-02,13.64,13.64,13.64,13.64,100
131,2010-11-03,13.64,13.64,13.64,13.64,3200
132,2010-11-04,13.64,13.64,13.64,13.64,0
133,2010-11-05,13.64,13.64,13.64,13.64,0
134,2010-11-08,13.64,13.64,13.64,13.64,1000
135,2010-11-09,13.64,13.64,13.64,13.64,0
136,2010-11-10,13.64,13.64,13.64,13.64,1000
137,2010-11-11,13.64,13.64,13.64,13.64,0
138,2010-11-12,13.64,13.64,13.64,13.64,0
139,2010-11-15,13.64,13.64,13.64,13.64,0
140,2010-11-16,13.64,13.64,13.64,13.64,0
141,2010-11-17,13.64,14.1,13.64,14.1,60000
142,2010-11-18,14.05,14.05,13.64,13.64,50200
143,2010-11-19,13.87,15.01,13.87,14.1,66300
144,2010-11-22,13.78,13.78,13.78,13.78,500
145,2010-11-23,13.78,13.78,13.78,13.78,0
146,2010-11-24,13.78,13.78,13.78,13.78,0
147,2010-11-25,13.78,13.78,13.78,13.78,0
148,2010-11-26,14.73,14.73,14.32,14.55,51000
149,2010-11-29,15.01,15.01,14.96,14.96,47000
150,2010-11-30,14.96,14.96,14.96,14.96,0
151,2010-12-01,14.78,15.01,14.78,15.01,21500
152,2010-12-02,15.01,15.01,15.01,15.01,0
153,2010-12-03,14.1,15.23,14.1,15.01,9900
154,2010-12-06,14.1,14.1,14.1,14.1,600
155,2010-12-07,15.01,15.01,15.01,15.01,20000
156,2010-12-08,15.01,15.01,15.01,15.01,43000
157,2010-12-09,15.01,15.01,15.01,15.01,0
158,2010-12-10,15.01,15.01,15.01,15.01,0
159,2010-12-13,14.78,15.01,14.78,15.01,3100
160,2010-12-14,14.1,15.01,14.1,15.01,7200
