,time,open,high,low,close,volume
0,2015-12-03,17.48,18.42,16.53,17.05,231200
1,2015-12-04,17.0,17.0,16.06,16.2,60700
2,2015-12-07,16.2,16.2,15.63,16.06,117000
3,2015-12-08,16.06,16.11,15.59,16.06,123500
4,2015-12-09,16.11,16.11,15.73,15.87,102700
5,2015-12-10,15.87,16.11,15.87,16.06,107700
6,2015-12-11,16.06,16.25,16.06,16.15,94100
7,2015-12-14,16.15,16.2,15.87,16.2,105600
8,2015-12-15,16.2,16.25,15.97,16.15,111800
9,2015-12-16,16.15,16.25,16.06,16.15,104800
10,2015-12-17,16.2,16.3,16.15,16.15,8600
11,2015-12-18,16.06,16.15,15.97,16.15,25400
12,2015-12-21,16.11,16.11,15.87,16.01,14800
13,2015-12-22,15.82,15.87,15.68,15.68,16400
14,2015-12-23,15.82,15.87,15.59,15.59,33600
15,2015-12-24,15.59,15.73,14.41,15.59,40500
16,2015-12-25,15.59,15.59,14.41,14.41,26600
17,2015-12-28,15.12,15.54,14.64,14.64,22100
18,2015-12-29,15.45,15.54,14.97,14.97,22600
19,2015-12-30,15.35,15.4,14.97,15.16,20600
20,2015-12-31,15.35,15.35,15.12,15.16,114100
21,2016-01-04,15.16,15.21,14.74,14.83,132900
22,2016-01-05,14.97,15.02,14.5,14.69,129200
23,2016-01-06,14.74,14.83,14.64,14.69,108800
24,2016-01-07,14.5,14.64,14.36,14.36,93400
25,2016-01-08,14.36,14.45,13.93,14.17,48400
26,2016-01-11,13.93,14.12,13.04,13.7,29100
27,2016-01-12,13.23,13.7,13.23,13.7,7500
28,2016-01-13,13.84,13.84,13.6,13.7,13000
29,2016-01-14,13.7,13.7,13.65,13.65,300
30,2016-01-15,13.23,13.6,13.23,13.6,13300
31,2016-01-18,13.27,13.46,13.23,13.46,7300
32,2016-01-19,13.23,13.23,13.23,13.23,100
33,2016-01-20,13.65,13.65,13.23,13.41,2000
34,2016-01-21,12.52,13.23,12.42,13.23,2100
35,2016-01-22,13.23,13.23,12.52,12.52,19900
36,2016-01-25,12.52,12.75,12.28,12.71,19500
37,2016-01-26,12.52,12.71,12.0,12.52,12800
38,2016-01-27,12.71,13.23,12.52,13.23,7900
39,2016-01-28,12.52,12.56,12.52,12.56,600
40,2016-01-29,12.52,12.66,12.52,12.66,2100
41,2016-02-01,12.52,12.52,12.52,12.52,700
42,2016-02-02,13.23,13.23,12.56,12.56,2800
43,2016-02-03,13.08,13.08,13.08,13.08,100
44,2016-02-04,13.08,13.08,13.08,13.08,0
45,2016-02-05,13.18,13.18,13.18,13.18,100
46,2016-02-15,11.95,13.13,11.95,12.52,300
47,2016-02-16,12.94,12.94,12.94,12.94,100
48,2016-02-17,12.71,12.75,12.71,12.75,5500
49,2016-02-18,12.52,12.52,12.52,12.52,3500
50,2016-02-19,12.52,12.52,12.52,12.52,0
51,2016-02-22,12.52,12.52,12.52,12.52,300
52,2016-02-23,12.71,12.85,12.56,12.56,8200
53,2016-02-24,12.19,12.66,12.19,12.66,700
54,2016-02-25,12.61,12.8,12.61,12.8,2300
55,2016-02-26,11.57,12.8,11.53,12.8,32100
56,2016-02-29,11.71,12.71,11.71,12.56,5100
57,2016-03-01,12.61,12.66,12.56,12.66,13900
58,2016-03-02,11.81,12.61,11.57,12.61,17100
59,2016-03-03,12.28,12.52,12.05,12.52,10100
60,2016-03-04,12.28,12.47,12.28,12.47,10500
61,2016-03-07,12.47,12.47,12.47,12.47,100
62,2016-03-08,12.47,12.47,12.47,12.47,0
63,2016-03-09,12.47,12.47,12.47,12.47,0
64,2016-03-10,12.38,12.71,12.38,12.71,7300
65,2016-03-11,12.71,13.7,11.81,13.32,22851
66,2016-03-14,14.36,14.6,13.23,13.23,9549
67,2016-03-15,13.23,14.03,13.23,13.98,9800
68,2016-03-16,13.7,13.7,13.04,13.04,320
69,2016-03-17,12.28,13.41,12.28,13.23,1435
70,2016-03-18,13.23,13.23,13.18,13.18,2473
71,2016-03-21,12.99,13.08,12.9,13.08,14149
72,2016-03-22,12.75,13.08,12.75,13.08,400
73,2016-03-23,12.99,12.99,12.85,12.85,5200
74,2016-03-24,13.04,13.04,13.04,13.04,100
75,2016-03-25,13.04,13.04,13.04,13.04,0
76,2016-03-28,13.04,13.04,13.04,13.04,0
77,2016-03-29,12.33,12.99,12.33,12.94,8800
78,2016-03-30,12.8,12.9,12.28,12.28,4100
79,2016-03-31,13.46,13.46,12.33,12.33,12600
80,2016-04-01,12.28,13.18,12.19,12.19,2400
81,2016-04-04,12.71,12.71,11.81,11.81,28300
82,2016-04-05,11.71,12.61,10.63,11.81,30300
83,2016-04-06,11.81,11.81,11.81,11.81,2000
84,2016-04-07,11.43,12.05,11.43,12.05,1901
85,2016-04-08,12.23,12.28,12.23,12.28,4800
86,2016-04-11,12.09,12.14,11.57,12.14,10300
87,2016-04-12,11.81,11.81,11.81,11.81,8000
88,2016-04-13,11.81,11.81,11.81,11.81,4100
89,2016-04-14,11.48,11.67,11.48,11.67,2700
90,2016-04-15,11.81,11.81,11.81,11.81,13700
