,time,open,high,low,close,volume
0,2008-11-19,5.76,6.0,3.7,4.03,354300
1,2008-11-20,3.79,3.84,3.75,3.75,130400
2,2008-11-21,3.51,3.84,3.51,3.77,76900
3,2008-11-24,3.75,3.75,3.67,3.7,20400
4,2008-11-25,3.65,3.72,3.48,3.48,111200
5,2008-11-26,3.53,3.55,3.29,3.29,38600
6,2008-11-27,3.17,3.17,3.1,3.1,38200
7,2008-11-28,3.1,3.31,3.1,3.31,74000
8,2008-12-01,3.17,3.29,3.05,3.1,34000
9,2008-12-02,2.98,3.07,2.98,3.07,12700
10,2008-12-03,3.03,3.05,2.88,2.91,49000
11,2008-12-04,3.1,3.1,3.0,3.07,27700
12,2008-12-05,2.98,2.98,2.86,2.91,45000
13,2008-12-08,2.88,2.88,2.76,2.76,20400
14,2008-12-09,2.88,2.93,2.86,2.88,25100
15,2008-12-10,2.88,3.07,2.88,3.07,66100
16,2008-12-11,3.03,3.07,3.0,3.05,14200
17,2008-12-12,3.15,3.24,3.15,3.22,29400
18,2008-12-15,3.36,3.36,3.12,3.17,9900
19,2008-12-16,2.95,2.95,2.93,2.93,20500
20,2008-12-17,3.05,3.12,2.95,3.1,19000
21,2008-12-18,3.1,3.12,2.95,3.1,8300
22,2008-12-19,3.05,3.15,3.05,3.07,9600
23,2008-12-22,3.12,3.12,3.07,3.07,5600
24,2008-12-23,3.07,3.07,3.03,3.03,7300
25,2008-12-24,2.98,3.05,2.98,3.05,19000
26,2008-12-25,3.0,3.03,3.0,3.0,12000
27,2008-12-26,3.0,3.15,3.0,3.12,28000
28,2008-12-29,3.12,3.12,3.1,3.1,20800
29,2008-12-30,3.05,3.12,3.05,3.12,12300
30,2008-12-31,3.07,3.1,3.07,3.07,7500
31,2009-01-02,3.07,3.12,3.05,3.05,14500
32,2009-01-05,3.05,3.07,3.05,3.07,5200
33,2009-01-06,3.07,3.12,3.07,3.12,9900
34,2009-01-07,3.07,3.12,3.05,3.12,22300
35,2009-01-08,2.88,3.1,2.88,3.03,12000
36,2009-01-09,2.81,3.05,2.81,3.05,20600
37,2009-01-12,2.93,3.15,2.93,3.15,48000
38,2009-01-13,3.12,3.12,3.05,3.1,5100
39,2009-01-14,3.07,3.07,3.07,3.07,4300
40,2009-01-15,3.03,3.07,3.03,3.07,4000
41,2009-01-16,3.07,3.1,3.07,3.1,3000
42,2009-01-19,3.1,3.1,3.05,3.05,4500
43,2009-01-20,3.07,3.07,3.03,3.05,21500
44,2009-01-21,3.1,3.17,3.1,3.12,25600
45,2009-01-22,3.15,3.22,3.15,3.22,10800
46,2009-01-23,3.17,3.19,3.17,3.19,1600
47,2009-02-02,3.07,3.07,3.05,3.05,5000
48,2009-02-03,2.86,2.91,2.86,2.88,10600
49,2009-02-04,2.91,2.98,2.86,2.88,13800
50,2009-02-05,2.83,2.83,2.74,2.79,8100
51,2009-02-06,2.81,2.81,2.64,2.71,13400
52,2009-02-09,2.76,2.83,2.76,2.83,4600
53,2009-02-10,2.64,2.83,2.64,2.81,500
54,2009-02-11,2.76,2.79,2.76,2.76,5500
55,2009-02-12,2.71,2.71,2.67,2.67,2000
56,2009-02-13,2.69,2.69,2.67,2.69,9100
57,2009-02-16,2.57,2.74,2.57,2.74,3200
58,2009-02-17,2.76,2.76,2.5,2.55,7200
59,2009-02-18,2.45,2.52,2.43,2.52,14400
60,2009-02-19,2.52,2.52,2.4,2.4,2200
61,2009-02-20,2.4,2.4,2.4,2.4,7800
62,2009-02-23,2.28,2.31,2.23,2.26,15100
63,2009-02-24,2.16,2.28,2.16,2.23,7000
64,2009-02-25,2.21,2.4,2.21,2.4,10700
65,2009-02-26,2.38,2.4,2.35,2.35,10200
66,2009-02-27,2.4,2.4,2.4,2.4,6000
67,2009-03-02,2.43,2.43,2.43,2.43,4300
68,2009-03-03,2.45,2.45,2.45,2.45,6400
69,2009-03-04,2.52,2.55,2.52,2.55,2500
70,2009-03-05,2.55,2.57,2.55,2.57,3400
71,2009-03-06,2.57,2.57,2.5,2.5,1900
72,2009-03-09,2.55,2.59,2.55,2.59,2000
73,2009-03-10,2.47,2.62,2.47,2.62,5100
74,2009-03-11,2.69,2.69,2.62,2.64,30800
75,2009-03-12,2.69,2.71,2.52,2.64,18200
76,2009-03-13,2.59,2.59,2.52,2.59,13700
77,2009-03-16,2.62,2.62,2.55,2.55,6400
78,2009-03-17,2.57,2.64,2.57,2.59,2400
79,2009-03-18,2.62,2.64,2.57,2.64,18300
80,2009-03-19,2.62,2.62,2.55,2.55,2800
81,2009-03-20,2.55,2.55,2.5,2.5,16000
82,2009-03-23,2.64,2.64,2.45,2.45,9100
83,2009-03-24,2.64,2.64,2.52,2.57,25600
84,2009-03-25,2.57,2.57,2.55,2.55,19500
85,2009-03-26,2.62,2.62,2.59,2.62,9900
86,2009-03-27,2.57,2.59,2.55,2.59,13200
87,2009-03-30,2.55,2.55,2.55,2.55,6700
88,2009-03-31,2.5,2.55,2.5,2.55,10800
89,2009-04-01,2.59,2.59,2.57,2.57,13600
90,2009-04-02,2.57,2.74,2.57,2.74,60600
91,2009-04-03,2.76,2.83,2.76,2.83,76700
92,2009-04-07,3.0,3.03,2.93,3.03,60400
93,2009-04-08,3.0,3.1,2.81,2.81,49000
94,2009-04-09,2.88,2.88,2.69,2.71,26300
95,2009-04-10,2.95,2.98,2.79,2.98,59500
96,2009-04-13,3.07,3.15,3.07,3.15,118500
97,2009-04-14,3.31,3.31,3.0,3.0,12200
98,2009-04-15,2.93,3.0,2.88,2.88,13400
99,2009-04-16,3.0,3.0,2.81,2.86,12600
100,2009-04-17,2.83,2.83,2.74,2.74,63900
101,2009-04-20,2.57,2.64,2.57,2.59,35300
102,2009-04-21,2.4,2.64,2.4,2.64,6400
103,2009-04-22,2.71,2.71,2.64,2.71,7500
104,2009-04-23,2.71,2.76,2.64,2.71,21600
105,2009-04-24,2.64,2.69,2.57,2.67,61700
106,2009-04-27,2.59,2.67,2.59,2.64,24400
107,2009-04-28,2.64,2.64,2.64,2.64,5000
108,2009-04-29,2.79,2.79,2.59,2.59,1100
109,2009-05-04,2.64,2.79,2.64,2.79,10100
110,2009-05-05,2.91,2.91,2.79,2.88,17600
111,2009-05-06,3.0,3.0,2.91,2.91,2400
112,2009-05-07,2.88,2.88,2.76,2.86,34700
113,2009-05-08,2.81,2.81,2.74,2.79,7900
114,2009-05-11,2.76,2.76,2.71,2.74,6500
115,2009-05-12,2.69,2.86,2.64,2.76,6300
116,2009-05-13,2.74,2.76,2.64,2.74,28100
117,2009-05-14,2.67,2.79,2.64,2.74,25400
118,2009-05-15,2.83,2.83,2.76,2.81,20100
119,2009-05-18,2.86,2.86,2.74,2.81,10200
120,2009-05-19,2.86,2.95,2.76,2.95,99200
121,2009-05-20,3.07,3.07,2.88,3.07,21300
122,2009-05-21,3.24,3.27,3.12,3.27,121700
123,2009-05-22,3.24,3.36,3.03,3.19,41700
124,2009-05-25,3.27,3.39,3.27,3.39,90800
125,2009-05-26,3.55,3.58,3.29,3.34,42900
126,2009-05-27,3.41,3.41,3.19,3.27,64200
127,2009-05-28,3.12,3.19,3.12,3.19,32700
128,2009-05-29,3.17,3.17,3.07,3.17,24300
129,2009-06-01,3.19,3.34,3.19,3.34,42000
130,2009-06-02,3.55,3.55,3.36,3.55,108100
131,2009-06-03,3.77,3.77,3.77,3.77,35400
132,2009-06-04,4.01,4.01,4.01,4.01,22800
133,2009-06-05,4.27,4.27,4.27,4.27,9600
134,2009-06-08,4.56,4.56,4.56,4.56,39500
135,2009-06-09,4.87,4.87,4.87,4.87,74000
136,2009-06-10,5.21,5.21,4.87,5.21,581500
137,2009-06-11,5.55,5.55,5.52,5.55,93200
138,2009-06-12,5.93,5.93,5.88,5.93,132100
139,2009-06-15,5.93,6.24,5.52,5.52,134700
140,2009-06-16,5.23,5.23,5.23,5.23,6700
141,2009-06-17,4.87,5.23,4.87,5.04,90500
142,2009-06-18,5.04,5.28,4.97,4.99,132000
143,2009-06-19,5.43,5.43,4.75,4.85,104100
144,2009-06-22,4.59,4.68,4.59,4.59,12000
145,2009-06-23,4.27,4.27,4.27,4.27,11900
146,2009-06-24,3.99,4.56,3.99,4.56,106900
147,2009-06-25,4.66,4.66,4.11,4.15,61400
148,2009-06-26,4.2,4.32,4.08,4.2,34600
149,2009-06-29,4.18,4.44,4.18,4.44,27400
150,2009-06-30,4.32,4.32,4.2,4.2,17000
151,2009-07-01,4.08,4.08,3.99,3.99,35100
152,2009-07-02,4.11,4.13,3.84,4.11,15700
153,2009-07-03,4.06,4.06,3.96,4.03,31500
154,2009-07-06,4.08,4.3,4.08,4.3,43500
155,2009-07-07,4.23,4.32,4.13,4.18,28000
156,2009-07-08,4.08,4.08,3.96,4.08,4100
157,2009-07-09,4.08,4.18,4.01,4.06,14100
