,time,open,high,low,close,volume
0,2020-06-19,3.86,3.86,3.86,3.86,102000
1,2020-06-22,4.23,4.23,4.23,4.23,200
2,2020-06-23,4.65,4.65,4.65,4.65,100
3,2020-06-24,5.1,5.1,5.1,5.1,1300
4,2020-06-25,5.6,5.6,5.6,5.6,100
5,2020-06-26,6.15,6.15,6.15,6.15,500
6,2020-06-29,6.77,6.77,6.77,6.77,500
7,2020-06-30,7.44,7.44,7.44,7.44,200
8,2020-07-01,8.17,8.17,8.17,8.17,500
9,2020-07-02,8.98,8.98,8.98,8.98,500
10,2020-07-03,9.87,9.87,9.87,9.87,611100
11,2020-07-06,10.84,10.84,10.84,10.84,100
12,2020-07-07,11.91,11.91,11.91,11.91,400
13,2020-07-08,13.08,13.1,10.98,13.1,66650
14,2020-07-09,14.4,14.4,14.4,14.4,500
15,2020-07-10,15.83,15.83,15.83,15.83,41200
16,2020-07-13,17.41,17.41,14.34,17.41,15905
17,2020-07-14,19.15,19.15,18.79,18.79,27115
18,2020-07-15,20.38,20.38,18.79,18.79,6500
19,2020-07-16,16.93,16.95,16.91,16.91,1085
20,2020-07-17,15.23,15.45,15.23,15.43,34750
21,2020-07-20,14.84,15.03,13.89,13.89,24569
22,2020-07-21,13.06,15.27,12.52,15.27,4040
23,2020-07-22,16.02,16.78,14.46,16.64,4525
24,2020-07-23,16.62,16.62,14.97,15.01,4506
25,2020-07-24,13.65,14.24,13.65,14.05,2810
26,2020-07-27,12.76,13.85,12.76,12.76,2320
27,2020-07-28,13.45,13.61,13.45,13.61,6461
28,2020-07-29,12.68,12.88,12.66,12.88,2536
29,2020-07-30,13.65,13.85,13.65,13.85,2133
30,2020-07-31,12.86,12.86,12.86,12.86,1000
31,2020-08-03,12.86,13.45,12.76,13.35,7801
32,2020-08-04,14.12,14.14,13.35,13.73,4520
33,2020-08-05,14.42,14.42,13.55,14.38,7211
34,2020-08-06,14.32,14.32,13.87,14.03,1810
35,2020-08-07,14.64,14.64,14.24,14.24,2600
36,2020-08-10,14.24,14.24,14.24,14.24,2600
37,2020-08-11,14.24,14.42,14.05,14.05,700
38,2020-08-12,13.75,13.75,13.65,13.65,1200
39,2020-08-13,14.4,14.4,14.4,14.4,1110
40,2020-08-14,14.82,14.82,14.6,14.6,2500
41,2020-08-17,14.82,14.82,14.8,14.82,3220
42,2020-08-18,14.82,14.82,14.82,14.82,310
43,2020-08-19,13.89,14.84,13.89,14.84,3110
44,2020-08-20,14.84,15.03,14.84,15.03,2609
45,2020-08-21,16.22,16.22,16.22,16.22,120
46,2020-08-24,16.22,16.26,15.19,16.22,11300
47,2020-08-25,15.83,16.78,15.83,16.02,2110
48,2020-08-26,16.02,16.62,16.02,16.02,2201
49,2020-08-27,15.63,15.63,15.03,15.03,1500
50,2020-08-28,15.43,15.59,15.43,15.59,2800
51,2020-08-31,15.43,15.43,15.03,15.03,1620
52,2020-09-01,14.05,16.52,14.05,16.52,1230
53,2020-09-03,15.43,17.41,15.43,17.41,1100
54,2020-09-04,15.92,17.8,15.92,17.78,3900
55,2020-09-07,16.81,19.54,16.81,19.54,518
56,2020-09-08,18.79,19.54,17.8,17.8,600
57,2020-09-09,16.81,17.8,16.02,17.8,5500
58,2020-09-10,16.62,16.72,16.62,16.72,400
59,2020-09-11,15.13,15.13,15.13,15.13,110
60,2020-09-14,15.03,15.15,15.03,15.15,200
61,2020-09-15,15.19,15.59,15.19,15.59,12700
62,2020-09-16,15.75,16.16,15.59,16.16,21200
63,2020-09-17,16.22,16.46,16.18,16.26,13635
64,2020-09-18,16.26,16.42,16.26,16.42,76600
65,2020-09-21,16.64,17.01,16.62,17.01,7600
66,2020-09-22,17.01,17.8,17.01,17.8,172210
67,2020-09-23,17.8,17.8,17.21,17.41,6670
68,2020-09-24,17.41,17.41,16.85,17.01,2800
69,2020-09-25,17.01,17.01,16.22,16.22,2600
70,2020-09-28,16.22,16.58,15.81,16.58,28030
71,2020-09-29,16.58,18.18,16.58,16.62,3925
72,2020-09-30,16.62,16.81,16.54,16.72,3000
73,2020-10-01,16.72,17.17,16.72,17.17,17600
74,2020-10-02,17.17,18.2,17.13,18.2,19610
75,2020-10-05,18.2,18.2,17.41,17.78,5000
76,2020-10-06,17.78,17.78,17.01,17.41,4200
77,2020-10-07,17.41,17.41,17.01,17.11,3900
78,2020-10-08,17.05,17.11,17.01,17.05,2700
79,2020-10-09,17.01,17.05,17.01,17.05,1200
80,2020-10-12,16.97,17.05,16.97,17.05,1800
81,2020-10-13,17.05,17.05,16.81,16.81,4100
82,2020-10-14,16.81,16.81,16.48,16.48,5000
83,2020-10-15,16.48,16.62,16.22,16.62,10100
84,2020-10-16,16.62,16.79,16.58,16.78,19900
85,2020-10-19,16.78,17.01,16.62,17.01,23800
86,2020-10-20,17.01,17.01,16.87,16.93,10100
87,2020-10-21,16.93,16.93,16.91,16.91,10800
88,2020-10-22,16.87,16.87,16.62,16.72,8300
89,2020-10-23,16.72,16.74,16.68,16.72,7100
90,2020-10-26,16.62,16.78,16.62,16.72,9900
91,2020-10-27,16.62,16.72,16.42,16.42,7400
92,2020-10-28,16.32,16.42,16.02,16.02,4700
93,2020-10-29,15.83,16.02,15.63,15.92,35000
94,2020-10-30,15.92,15.94,15.71,15.83,8800
95,2020-11-02,15.83,15.83,15.73,15.73,10600
96,2020-11-03,15.73,15.75,15.43,15.65,6100
97,2020-11-04,15.53,15.69,15.47,15.67,7600
98,2020-11-05,15.67,15.71,15.43,15.59,17300
99,2020-11-06,15.69,15.69,15.43,15.53,26100
100,2020-11-09,15.53,15.71,15.43,15.71,9100
101,2020-11-10,15.71,15.79,15.63,15.75,20000
102,2020-11-11,15.75,15.77,15.63,15.63,18700
103,2020-11-12,15.92,15.96,15.63,15.83,21300
104,2020-11-13,15.98,16.02,15.83,16.02,10800
105,2020-11-16,16.02,16.14,15.92,16.14,17700
106,2020-11-17,16.14,16.32,16.14,16.32,18700
107,2020-11-18,16.52,16.52,16.32,16.42,13400
108,2020-11-19,16.42,18.06,16.42,17.03,6100
109,2020-11-20,18.73,18.73,17.8,18.73,7800
110,2020-11-23,18.99,20.59,18.79,20.59,9100
111,2020-11-24,20.61,20.65,19.78,20.18,21400
112,2020-11-25,20.18,20.22,19.78,20.08,19000
113,2020-11-26,20.08,20.18,19.78,20.08,20900
114,2020-11-27,20.08,20.16,20.08,20.16,5100
115,2020-11-30,20.16,21.76,19.78,20.18,7300
116,2020-12-01,20.18,21.96,20.18,21.96,7900
117,2020-12-02,23.54,24.15,23.54,23.94,15300
118,2020-12-03,23.94,26.33,23.94,26.33,24600
119,2020-12-04,29.0,29.0,29.0,29.0,1000
120,2020-12-07,31.82,31.82,31.82,31.82,1800
121,2020-12-08,35.0,35.0,35.0,35.0,2600
122,2020-12-09,38.45,38.45,38.45,38.45,2000
123,2020-12-10,42.27,42.27,42.27,42.27,179900
124,2020-12-11,46.46,46.46,46.36,46.36,201900
125,2020-12-14,51.0,51.0,51.0,51.0,242100
126,2020-12-15,56.09,56.09,55.82,56.09,436900
127,2020-12-16,61.55,61.64,59.09,61.46,428480
128,2020-12-17,62.27,62.73,56.36,61.82,626220
129,2020-12-18,61.82,68.0,55.91,68.0,479795
130,2020-12-21,68.0,72.73,65.0,72.73,520110
131,2020-12-22,73.46,80.0,66.36,80.0,673180
