,time,open,high,low,close,volume
0,2017-06-06,9.3,9.3,9.3,9.3,0
1,2017-06-07,9.3,9.3,9.3,9.3,0
2,2017-06-08,9.3,9.3,9.3,9.3,0
3,2017-06-09,9.3,9.3,9.3,9.3,0
4,2017-06-12,9.3,9.3,9.3,9.3,0
5,2017-06-13,9.3,9.3,9.3,9.3,0
6,2017-06-14,9.3,9.3,9.3,9.3,0
7,2017-06-15,9.3,9.3,9.3,9.3,0
8,2017-06-16,9.3,9.3,9.3,9.3,0
9,2017-06-19,9.3,9.3,9.3,9.3,0
10,2017-06-20,9.3,9.3,9.3,9.3,0
11,2017-06-21,9.3,9.3,9.3,9.3,0
12,2017-06-22,9.3,9.3,9.3,9.3,0
13,2017-06-23,9.3,9.3,9.3,9.3,0
14,2017-06-26,9.3,9.3,9.3,9.3,0
15,2017-06-27,9.3,9.3,9.3,9.3,0
16,2017-06-28,9.3,9.3,9.3,9.3,0
17,2017-06-29,9.3,9.3,9.3,9.3,0
18,2017-06-30,9.3,9.3,9.3,9.3,0
19,2017-07-03,9.3,9.3,9.3,9.3,0
20,2017-07-04,9.3,9.3,9.3,9.3,0
21,2017-07-05,9.3,9.3,9.3,9.3,0
22,2017-07-06,9.3,9.3,9.3,9.3,0
23,2017-07-07,9.3,9.3,9.3,9.3,0
24,2017-07-10,9.3,9.3,9.3,9.3,0
25,2017-07-11,9.3,9.3,9.3,9.3,0
26,2017-07-12,9.3,9.3,9.3,9.3,0
27,2017-07-13,9.3,9.3,9.3,9.3,0
28,2017-07-14,9.3,9.3,9.3,9.3,0
29,2017-07-17,9.3,9.3,9.3,9.3,0
30,2017-07-18,9.3,9.3,9.3,9.3,0
31,2017-07-19,9.3,9.3,9.3,9.3,0
32,2017-07-20,9.3,9.3,9.3,9.3,0
33,2017-07-21,9.3,9.3,9.3,9.3,0
34,2017-07-24,9.3,9.3,9.3,9.3,0
35,2017-07-25,9.3,9.3,9.3,9.3,0
36,2017-07-26,9.3,9.3,9.3,9.3,0
37,2017-07-27,9.3,9.3,9.3,9.3,0
38,2017-07-28,9.3,9.3,9.3,9.3,0
39,2017-07-31,9.3,9.3,9.3,9.3,0
40,2017-08-01,9.3,9.3,9.3,9.3,0
41,2017-08-02,9.3,9.3,9.3,9.3,0
42,2017-08-03,9.3,9.3,9.3,9.3,0
43,2017-08-04,9.3,9.3,9.3,9.3,0
44,2017-08-07,9.3,9.3,9.3,9.3,0
45,2017-08-08,9.3,9.3,9.3,9.3,0
46,2017-08-09,9.3,9.3,9.3,9.3,0
47,2017-08-10,9.3,9.3,9.3,9.3,0
48,2017-08-11,9.3,9.3,9.3,9.3,0
49,2017-08-14,9.3,9.3,9.3,9.3,0
50,2017-08-15,9.3,9.3,9.3,9.3,0
51,2017-08-16,9.3,9.3,9.3,9.3,0
52,2017-08-17,9.3,9.3,9.3,9.3,0
53,2017-08-18,9.3,9.3,9.3,9.3,0
54,2017-08-21,9.3,9.3,9.3,9.3,0
55,2017-08-22,9.3,9.3,9.3,9.3,0
56,2017-08-23,9.3,9.3,9.3,9.3,0
57,2017-08-24,9.3,9.3,9.3,9.3,0
58,2017-08-25,9.3,9.3,9.3,9.3,0
59,2017-08-28,9.3,9.3,9.3,9.3,0
60,2017-08-29,9.3,9.3,9.3,9.3,0
61,2017-08-30,9.3,9.3,9.3,9.3,0
62,2017-08-31,9.3,9.3,9.3,9.3,0
63,2017-09-01,9.3,9.3,9.3,9.3,0
64,2017-09-05,9.3,9.3,9.3,9.3,0
65,2017-09-06,9.3,9.3,9.3,9.3,0
66,2017-09-07,9.3,9.3,9.3,9.3,0
67,2017-09-08,9.3,9.3,9.3,9.3,0
68,2017-09-11,9.3,9.3,9.3,9.3,0
69,2017-09-12,9.3,9.3,9.3,9.3,0
70,2017-09-13,9.3,9.3,9.3,9.3,0
71,2017-09-14,9.3,9.3,9.3,9.3,0
72,2017-09-15,9.3,9.3,9.3,9.3,0
73,2017-09-18,9.3,9.3,9.3,9.3,0
74,2017-09-19,9.3,9.3,9.3,9.3,0
