,time,open,high,low,close,volume
0,2009-12-11,13.62,13.62,13.62,13.62,38350
1,2009-12-14,12.97,12.97,12.97,12.97,330
2,2009-12-15,12.37,12.37,12.37,12.37,40
3,2009-12-16,11.77,11.77,11.77,11.77,120
4,2009-12-17,11.22,11.22,11.22,11.22,510
5,2009-12-18,10.67,11.42,10.67,10.72,117750
6,2009-12-21,11.22,11.22,10.77,11.22,20560
7,2009-12-22,11.77,11.77,10.77,10.77,7840
8,2009-12-23,11.02,11.22,10.77,11.02,5070
9,2009-12-24,11.02,11.02,10.52,10.77,28620
10,2009-12-25,10.77,11.22,10.67,11.02,100580
11,2009-12-28,11.44,11.44,11.02,11.02,8510
12,2009-12-29,11.28,11.28,10.76,11.23,4600
13,2009-12-30,10.7,11.23,10.7,10.7,24320
14,2009-12-31,10.49,10.49,10.18,10.18,52130
15,2010-01-04,10.18,10.65,10.18,10.65,73420
16,2010-01-05,11.18,11.18,11.02,11.18,58780
17,2010-01-06,10.76,11.7,10.65,11.7,102650
18,2010-01-07,11.7,12.28,11.54,12.28,110560
19,2010-01-08,12.86,12.86,12.59,12.86,313750
20,2010-01-11,13.49,13.49,13.12,13.49,207060
21,2010-01-12,13.59,14.11,12.91,14.11,169460
22,2010-01-13,14.17,14.64,13.43,14.11,103960
23,2010-01-14,14.11,14.11,13.43,13.43,62150
24,2010-01-15,12.8,13.38,12.8,12.8,59270
25,2010-01-18,12.28,12.38,12.17,12.17,59470
26,2010-01-19,11.75,12.44,11.75,12.17,32740
27,2010-01-20,12.59,12.59,11.91,11.91,64760
28,2010-01-21,11.81,12.23,11.39,12.23,29250
29,2010-01-22,12.23,12.54,11.96,12.44,22530
30,2010-01-25,12.17,12.96,12.17,12.8,34090
31,2010-01-26,12.8,13.12,12.8,12.8,39970
32,2010-01-27,12.23,12.96,12.17,12.17,31600
33,2010-01-28,12.28,12.49,11.6,12.28,49790
34,2010-01-29,12.28,12.28,11.7,12.02,9670
35,2010-02-01,11.44,11.91,11.44,11.91,34790
36,2010-02-02,11.91,12.17,11.54,11.91,6720
37,2010-02-03,11.54,11.96,11.54,11.54,14890
38,2010-02-04,11.91,11.91,11.54,11.91,18730
39,2010-02-05,11.39,12.02,11.33,11.39,51190
40,2010-02-08,11.54,11.54,11.39,11.54,26300
41,2010-02-09,11.81,11.81,11.07,11.54,5090
42,2010-02-10,11.44,11.91,11.44,11.91,7010
43,2010-02-11,11.86,11.91,11.54,11.86,10620
44,2010-02-12,11.54,11.81,11.54,11.54,1200
45,2010-02-22,11.54,12.02,11.54,12.02,13680
46,2010-02-23,11.91,11.91,11.91,11.91,170
47,2010-02-24,11.54,11.54,11.33,11.54,24260
48,2010-02-25,11.02,11.54,11.02,11.02,11080
49,2010-02-26,11.02,11.23,10.81,10.86,8160
50,2010-03-01,11.23,11.23,11.02,11.23,29090
51,2010-03-02,11.23,11.49,11.02,11.23,13710
52,2010-03-03,11.28,11.28,11.18,11.28,13350
53,2010-03-04,11.28,11.54,11.28,11.44,30810
54,2010-03-05,11.54,11.54,10.91,11.28,22980
55,2010-03-08,11.12,11.81,11.12,11.75,105990
56,2010-03-09,12.02,12.02,11.65,11.81,74480
57,2010-03-10,11.81,11.81,11.54,11.54,17110
58,2010-03-11,11.54,11.75,11.02,11.54,35940
59,2010-03-12,11.28,11.28,11.18,11.28,20900
60,2010-03-15,11.6,11.6,11.23,11.33,79230
61,2010-03-16,11.28,11.28,10.91,10.91,83960
62,2010-03-17,11.39,11.44,11.02,11.12,85880
63,2010-03-18,11.33,11.65,11.12,11.65,184650
64,2010-03-19,12.02,12.23,12.02,12.23,390400
65,2010-03-22,12.7,12.8,12.44,12.8,195120
66,2010-03-23,12.33,13.43,12.33,12.86,226920
67,2010-03-24,12.7,12.86,12.28,12.59,95840
68,2010-03-25,12.59,12.59,11.96,12.02,148540
69,2010-03-26,11.6,12.59,11.54,12.59,104080
70,2010-03-29,12.8,13.22,12.8,13.22,244210
71,2010-03-30,13.75,13.85,13.43,13.85,437010
72,2010-03-31,14.43,14.53,13.9,13.9,370340
73,2010-04-01,14.53,14.59,13.64,14.53,120570
74,2010-04-02,14.64,15.22,14.43,15.22,256230
75,2010-04-05,14.69,15.9,14.69,15.01,171540
76,2010-04-06,15.22,15.74,15.06,15.53,358620
77,2010-04-07,15.53,15.74,14.95,14.95,295410
78,2010-04-08,15.37,15.69,14.8,15.69,296770
79,2010-04-09,16.27,16.42,16.27,16.42,196660
80,2010-04-12,16.79,17.21,16.42,16.48,314570
81,2010-04-13,16.27,16.27,15.69,15.69,158320
82,2010-04-14,15.48,16.42,14.95,16.42,295190
83,2010-04-15,16.42,16.95,16.27,16.27,140800
84,2010-04-16,16.27,16.42,15.58,15.58,179170
85,2010-04-19,15.01,16.27,15.01,15.74,188100
86,2010-04-20,15.74,16.0,15.11,15.11,196670
87,2010-04-21,15.16,15.69,15.06,15.11,116420
88,2010-04-22,15.06,15.64,14.95,14.95,142940
89,2010-04-26,14.85,15.53,14.85,15.01,130400
90,2010-04-27,15.74,15.74,14.95,15.74,185790
91,2010-04-28,15.32,16.37,15.32,15.74,116850
92,2010-04-29,16.16,16.21,15.9,16.06,139370
93,2010-05-04,16.53,16.53,16.06,16.06,150090
