,time,open,high,low,close,volume
0,2010-10-08,9.21,10.59,9.21,9.87,561200
1,2010-10-11,9.54,10.49,9.54,10.1,253700
2,2010-10-12,9.93,10.0,9.47,9.47,362200
3,2010-10-13,9.01,9.54,8.91,9.37,130200
4,2010-10-14,9.5,9.5,8.88,9.04,147800
5,2010-10-15,9.31,9.31,8.65,8.71,105100
6,2010-10-18,8.71,8.88,8.29,8.29,217300
7,2010-10-19,8.55,8.68,7.86,7.86,297700
8,2010-10-20,7.5,8.25,7.5,8.19,65700
9,2010-10-21,7.86,8.45,7.86,8.12,48500
10,2010-10-22,8.09,8.09,7.73,8.06,33300
11,2010-10-25,8.12,8.29,8.09,8.29,72100
12,2010-10-26,8.55,8.75,8.42,8.75,86300
13,2010-10-27,8.39,8.81,8.22,8.22,71900
14,2010-10-28,8.48,8.52,7.99,7.99,35000
15,2010-10-29,8.06,8.22,7.92,7.99,49500
16,2010-11-01,8.39,8.39,7.66,7.66,49600
17,2010-11-02,7.96,8.02,7.56,7.56,67500
18,2010-11-03,7.86,7.86,7.33,7.33,74300
19,2010-11-04,7.66,7.69,7.33,7.66,151700
20,2010-11-05,7.89,7.89,7.56,7.6,162100
21,2010-11-08,7.76,7.89,7.4,7.56,87600
22,2010-11-09,7.66,7.69,7.17,7.17,112500
23,2010-11-10,7.43,7.43,6.91,6.91,73000
24,2010-11-11,7.14,7.2,6.64,6.64,94600
25,2010-11-12,6.68,6.81,6.45,6.58,100600
26,2010-11-15,6.54,6.81,6.12,6.12,52200
27,2010-11-16,6.45,6.48,6.12,6.12,49900
28,2010-11-17,6.08,6.28,5.75,5.75,82100
29,2010-11-18,6.12,6.38,5.95,5.95,85500
30,2010-11-19,6.18,6.25,5.72,5.72,43900
31,2010-11-22,5.98,5.98,5.69,5.69,27100
32,2010-11-23,5.85,5.85,5.46,5.75,151400
33,2010-11-24,5.59,5.89,5.36,5.36,160100
34,2010-11-25,5.79,5.95,5.75,5.95,142700
35,2010-11-26,6.28,6.28,6.28,6.28,97900
36,2010-11-29,6.71,6.71,6.71,6.71,95900
37,2010-11-30,7.17,7.17,7.17,7.17,11000
38,2010-12-01,7.66,7.66,7.43,7.66,610100
39,2010-12-02,8.09,8.19,7.83,8.19,911700
40,2010-12-03,8.22,8.75,8.22,8.75,421800
41,2010-12-06,9.21,9.27,8.55,8.75,143400
42,2010-12-07,8.35,8.48,8.35,8.35,607000
43,2010-12-08,7.79,8.16,7.79,7.79,278900
44,2010-12-09,7.3,7.89,7.3,7.3,942100
45,2010-12-10,7.83,7.83,7.83,7.83,547500
46,2010-12-13,8.35,8.35,7.86,8.22,469900
47,2010-12-14,7.92,7.92,7.73,7.73,202300
48,2010-12-15,7.4,7.73,7.23,7.23,447900
49,2010-12-16,6.91,6.94,6.87,6.87,563300
50,2010-12-17,6.45,7.33,6.45,7.33,234900
51,2010-12-20,7.5,7.6,6.77,6.84,189500
52,2010-12-21,6.58,6.91,6.51,6.61,273500
53,2010-12-22,6.77,6.81,6.28,6.41,109900
54,2010-12-23,6.48,6.58,6.12,6.31,126500
55,2010-12-24,5.92,6.51,5.89,6.28,127300
56,2010-12-27,6.31,6.38,6.12,6.28,88000
57,2010-12-28,6.54,6.71,6.54,6.71,56000
58,2010-12-29,7.1,7.1,6.91,6.91,457800
59,2010-12-30,6.81,7.07,6.61,6.71,141600
60,2010-12-31,6.61,6.94,6.58,6.84,102800
61,2011-01-04,6.91,7.1,6.84,6.94,102400
62,2011-01-05,7.14,7.17,6.74,6.91,148000
63,2011-01-06,6.94,7.4,6.94,7.4,395600
64,2011-01-07,7.33,7.63,7.14,7.17,378300
65,2011-01-10,7.23,7.23,6.84,6.84,305100
66,2011-01-11,6.91,6.97,6.45,6.54,173600
67,2011-01-12,6.84,6.91,6.51,6.71,235700
68,2011-01-13,6.84,6.91,6.64,6.81,121000
69,2011-01-14,6.77,6.94,6.58,6.84,152900
70,2011-01-17,6.84,7.07,6.68,6.74,123200
71,2011-01-18,6.87,6.87,6.51,6.54,135900
72,2011-01-19,6.68,6.74,6.41,6.58,76000
73,2011-01-20,6.35,6.68,6.28,6.38,71400
74,2011-01-21,6.64,6.64,6.35,6.45,124900
75,2011-01-24,6.41,6.41,6.12,6.25,70300
76,2011-01-25,6.25,6.31,6.12,6.25,83900
77,2011-01-26,6.25,6.38,6.21,6.25,22900
78,2011-01-27,6.54,6.71,6.45,6.54,64000
79,2011-01-28,6.51,6.58,6.38,6.41,66100
80,2011-02-08,6.87,6.87,6.58,6.58,19900
81,2011-02-09,6.71,6.81,6.41,6.41,63600
82,2011-02-10,6.41,6.48,6.35,6.35,43900
83,2011-02-11,6.41,6.51,6.31,6.38,48500
84,2011-02-14,6.41,6.45,6.25,6.28,51600
85,2011-02-15,6.51,6.51,6.12,6.28,22500
86,2011-02-16,6.25,6.38,6.08,6.08,104400
87,2011-02-17,5.95,6.05,5.85,5.85,129300
88,2011-02-18,6.05,6.08,5.89,5.98,97900
89,2011-02-21,5.69,5.69,5.59,5.59,38700
90,2011-02-22,5.36,5.43,5.23,5.26,139900
91,2011-02-23,5.26,5.26,4.97,5.26,151500
92,2011-02-24,5.0,5.0,4.83,4.83,138500
93,2011-02-25,5.0,5.16,4.8,5.16,115300
94,2011-02-28,5.23,5.23,4.9,4.9,69500
95,2011-03-01,4.83,4.93,4.83,4.83,25100
96,2011-03-02,4.67,4.67,4.54,4.54,145900
97,2011-03-03,4.27,4.77,4.27,4.44,110800
98,2011-03-04,4.67,4.67,4.44,4.57,72400
99,2011-03-07,4.57,4.64,4.41,4.54,30500
100,2011-03-08,4.57,4.57,4.31,4.31,13900
101,2011-03-09,4.44,4.54,4.14,4.14,62300
102,2011-03-10,4.31,4.54,4.31,4.54,169800
103,2011-03-11,4.77,4.83,4.77,4.83,107200
104,2011-03-14,4.9,4.9,4.51,4.51,34200
105,2011-03-15,4.34,4.6,4.34,4.37,23900
106,2011-03-16,4.51,4.54,4.27,4.47,65400
107,2011-03-17,4.47,4.54,4.31,4.44,49600
108,2011-03-18,4.44,4.74,4.44,4.74,206000
109,2011-03-21,4.97,4.97,4.9,4.97,125400
110,2011-03-22,5.26,5.26,4.8,4.9,137800
111,2011-03-23,5.0,5.0,4.7,4.9,46800
112,2011-03-24,4.97,5.0,4.6,4.67,63100
113,2011-03-25,4.74,4.74,4.54,4.54,68100
114,2011-03-28,4.67,4.67,4.47,4.54,42300
115,2011-03-29,4.64,4.67,4.34,4.41,88100
116,2011-03-30,4.27,4.51,4.27,4.44,49700
117,2011-03-31,4.64,4.74,4.47,4.6,143000
118,2011-04-01,4.67,4.7,4.51,4.51,91000
119,2011-04-04,4.6,4.64,4.44,4.44,39600
120,2011-04-05,4.54,4.57,4.47,4.51,77700
121,2011-04-06,4.57,4.7,4.51,4.57,104100
122,2011-04-07,4.64,4.64,4.44,4.47,19900
123,2011-04-08,4.51,4.51,4.37,4.37,43800
124,2011-04-13,4.47,4.47,4.31,4.31,72100
125,2011-04-14,4.44,4.44,4.24,4.27,20100
126,2011-04-15,4.44,4.44,4.21,4.24,23300
127,2011-04-18,4.37,4.37,4.04,4.11,50900
128,2011-04-19,4.27,4.27,3.85,3.85,63600
129,2011-04-20,3.95,3.95,3.62,3.62,70200
130,2011-04-21,3.45,3.45,3.39,3.39,173100
131,2011-04-22,3.42,3.55,3.16,3.45,119000
132,2011-04-25,3.39,3.39,3.35,3.39,80300
133,2011-04-26,3.45,3.45,3.16,3.16,71300
134,2011-04-27,3.22,3.26,3.12,3.22,21200
135,2011-04-28,3.26,3.39,3.22,3.39,148400
136,2011-04-29,3.35,3.55,3.22,3.55,84100
137,2011-05-04,3.58,3.58,3.42,3.52,37300
138,2011-05-05,3.55,3.55,3.32,3.32,44000
139,2011-05-06,3.42,3.49,3.22,3.39,25600
140,2011-05-09,3.45,3.52,3.39,3.39,18300
141,2011-05-10,3.58,3.58,3.32,3.32,21600
142,2011-05-11,3.26,3.39,3.22,3.29,6200
143,2011-05-12,3.35,3.35,3.29,3.29,103600
144,2011-05-13,3.29,3.29,3.29,3.29,9800
145,2011-05-16,3.22,3.22,3.06,3.19,20900
146,2011-05-17,3.09,3.09,3.03,3.06,90600
147,2011-05-18,2.96,2.96,2.86,2.86,94800
148,2011-05-19,3.03,3.03,2.7,2.93,14200
149,2011-05-20,2.8,2.83,2.66,2.66,20800
150,2011-05-23,2.63,2.63,2.53,2.53,48800
151,2011-05-24,2.37,2.4,2.37,2.37,40300
152,2011-05-25,2.2,2.2,2.2,2.2,35900
153,2011-05-26,2.07,2.3,2.07,2.14,186900
154,2011-05-27,2.24,2.24,2.07,2.24,59500
155,2011-05-30,2.17,2.17,2.07,2.07,74300
156,2011-05-31,2.2,2.2,1.97,2.04,4900
157,2011-06-01,1.97,2.17,1.91,2.17,87600
158,2011-06-02,2.24,2.27,2.2,2.27,23600
159,2011-06-03,2.4,2.4,2.2,2.3,215000
160,2011-06-06,2.3,2.3,2.2,2.24,50900
161,2011-06-07,2.27,2.37,2.27,2.37,104300
162,2011-06-08,2.53,2.53,2.4,2.53,235000
163,2011-06-09,2.7,2.7,2.43,2.7,123200
164,2011-06-10,2.83,2.83,2.83,2.83,4900
165,2011-06-13,3.03,3.03,2.99,3.03,156700
166,2011-06-14,3.22,3.22,2.86,2.93,290800
167,2011-06-15,2.93,3.03,2.89,2.89,56900
168,2011-06-16,2.7,2.86,2.7,2.7,363800
169,2011-06-17,2.83,2.83,2.56,2.56,86500
170,2011-06-20,2.47,2.56,2.43,2.43,231100
171,2011-06-21,2.43,2.6,2.43,2.6,79000
172,2011-06-22,2.63,2.66,2.43,2.43,60300
173,2011-06-23,2.5,2.5,2.33,2.33,88700
174,2011-06-24,2.37,2.47,2.37,2.37,83000
175,2011-06-27,2.4,2.47,2.3,2.4,55400
176,2011-06-28,2.4,2.43,2.33,2.33,70200
177,2011-06-29,2.5,2.5,2.37,2.47,47200
178,2011-06-30,2.47,2.47,2.33,2.4,32900
179,2011-07-01,2.4,2.47,2.4,2.4,7100
180,2011-07-04,2.3,2.33,2.27,2.33,109800
181,2011-07-05,2.3,2.4,2.3,2.4,74800
182,2011-07-06,2.39,2.39,2.24,2.24,49900
183,2011-07-07,2.24,2.28,2.17,2.21,47600
184,2011-07-08,2.1,2.21,2.1,2.13,77200
185,2011-07-11,2.17,2.21,2.06,2.13,32500
186,2011-07-12,2.17,2.21,2.03,2.13,113900
187,2011-07-13,2.13,2.13,2.06,2.1,86700
188,2011-07-14,1.95,2.06,1.95,2.06,22700
189,2011-07-15,2.13,2.13,2.03,2.06,40600
190,2011-07-18,2.03,2.06,1.95,1.99,67500
191,2011-07-19,1.99,2.03,1.92,1.92,14300
192,2011-07-20,2.03,2.1,1.99,2.06,46100
193,2011-07-21,2.1,2.1,1.99,1.99,5600
194,2011-07-22,1.99,2.03,1.99,1.99,25800
195,2011-07-25,2.03,2.03,1.92,2.03,16500
196,2011-07-26,1.92,1.95,1.88,1.88,29900
197,2011-07-27,1.84,1.92,1.81,1.88,42400
198,2011-07-28,1.88,1.92,1.84,1.84,25600
199,2011-07-29,1.95,1.95,1.84,1.88,21000
200,2011-08-01,1.92,1.92,1.81,1.81,54100
201,2011-08-02,1.77,1.77,1.74,1.74,78700
202,2011-08-03,1.63,1.74,1.63,1.74,46500
203,2011-08-04,1.77,1.81,1.7,1.81,44400
204,2011-08-05,1.77,1.84,1.77,1.81,38700
205,2011-08-08,1.81,1.81,1.74,1.74,25200
206,2011-08-09,1.7,1.7,1.63,1.63,91900
207,2011-08-10,1.63,1.7,1.63,1.66,29100
208,2011-08-11,1.66,1.66,1.56,1.63,18200
209,2011-08-12,1.66,1.66,1.63,1.63,6600
210,2011-08-15,1.59,1.63,1.56,1.63,13100
211,2011-08-16,1.66,1.66,1.63,1.66,19100
212,2011-08-17,1.66,1.77,1.66,1.74,103000
213,2011-08-18,1.81,1.84,1.77,1.81,89100
214,2011-08-19,1.77,1.77,1.7,1.7,58900
215,2011-08-22,1.81,1.84,1.81,1.84,58100
216,2011-08-23,1.84,1.88,1.77,1.81,108800
217,2011-08-24,1.92,1.92,1.74,1.77,41300
218,2011-08-25,1.81,1.84,1.77,1.84,48500
219,2011-08-26,1.81,1.92,1.81,1.92,130100
220,2011-08-29,1.99,1.99,1.99,1.99,2100
221,2011-08-30,2.1,2.1,2.1,2.1,5400
222,2011-08-31,2.24,2.24,2.21,2.24,271500
223,2011-09-01,2.24,2.39,2.17,2.39,382100
224,2011-09-05,2.35,2.5,2.24,2.24,168300
225,2011-09-06,2.24,2.28,2.24,2.24,109000
226,2011-09-07,2.28,2.39,2.24,2.39,229800
227,2011-09-08,2.46,2.5,2.32,2.35,195800
228,2011-09-09,2.28,2.53,2.28,2.53,296800
229,2011-09-12,2.6,2.64,2.6,2.64,169100
230,2011-09-13,2.82,2.82,2.71,2.82,343700
231,2011-09-14,2.82,2.93,2.64,2.64,266300
232,2011-09-15,2.6,2.64,2.57,2.57,257200
233,2011-09-16,2.46,2.53,2.42,2.42,56900
234,2011-09-19,2.28,2.42,2.28,2.39,112400
235,2011-09-20,2.35,2.39,2.28,2.28,99200
236,2011-09-21,2.35,2.46,2.28,2.46,168200
237,2011-09-22,2.46,2.53,2.42,2.53,195200
238,2011-09-23,2.39,2.53,2.39,2.5,43800
239,2011-09-26,2.42,2.53,2.42,2.46,76300
240,2011-09-27,2.5,2.5,2.39,2.46,118700
241,2011-09-28,2.46,2.6,2.46,2.6,222900
242,2011-09-29,2.68,2.68,2.42,2.57,163200
243,2011-09-30,2.57,2.57,2.39,2.39,77900
244,2011-10-03,2.32,2.32,2.28,2.28,72800
245,2011-10-04,2.13,2.24,2.13,2.21,114300
246,2011-10-05,2.21,2.24,2.1,2.1,60100
247,2011-10-06,2.17,2.32,2.17,2.32,80500
248,2011-10-07,2.28,2.28,2.21,2.21,20000
249,2011-10-10,2.13,2.17,2.1,2.1,43200
250,2011-10-11,2.13,2.21,2.1,2.13,26700
251,2011-10-12,2.06,2.06,1.99,1.99,154100
252,2011-10-13,1.95,1.99,1.92,1.99,17500
253,2011-10-14,1.95,1.99,1.92,1.92,14500
254,2011-10-17,1.92,1.92,1.84,1.84,52600
255,2011-10-18,1.81,1.81,1.77,1.77,116400
256,2011-10-19,1.66,1.88,1.66,1.84,94600
257,2011-10-20,1.77,1.81,1.77,1.81,44600
258,2011-10-21,1.81,1.92,1.81,1.92,207300
259,2011-10-24,1.99,2.03,1.92,1.92,101000
260,2011-10-25,1.92,1.92,1.84,1.88,47900
261,2011-10-26,1.77,1.88,1.77,1.88,50700
262,2011-10-27,1.92,1.92,1.88,1.88,4100
263,2011-10-28,1.95,2.03,1.88,2.03,127200
264,2011-10-31,2.1,2.1,2.03,2.06,251400
265,2011-11-01,2.06,2.1,1.95,1.95,71200
266,2011-11-02,1.95,1.99,1.88,1.88,47700
