,time,open,high,low,close,volume
0,2016-06-06,7.24,8.68,7.24,8.59,65660
1,2016-06-07,8.64,8.64,8.1,8.49,13030
2,2016-06-08,8.49,8.49,8.49,8.49,0
3,2016-06-09,7.91,7.96,7.91,7.91,10020
4,2016-06-10,7.77,7.96,7.38,7.43,15970
5,2016-06-13,7.43,7.43,7.14,7.14,7220
6,2016-06-14,7.04,7.62,7.04,7.62,6170
7,2016-06-15,7.91,7.91,7.62,7.62,13040
8,2016-06-16,7.72,7.72,7.48,7.48,11930
9,2016-06-17,7.43,7.48,7.28,7.28,1970
10,2016-06-20,7.43,7.53,7.43,7.48,24920
11,2016-06-21,7.28,7.67,7.28,7.67,9860
12,2016-06-22,7.43,7.67,7.43,7.67,400
13,2016-06-23,7.43,7.48,7.43,7.48,5900
14,2016-06-24,7.24,7.33,7.24,7.33,9060
15,2016-06-27,7.04,7.33,7.04,7.04,16490
16,2016-06-28,7.53,7.53,7.48,7.48,160
17,2016-06-29,7.48,7.48,7.48,7.48,0
18,2016-06-30,7.24,7.33,7.24,7.33,44600
19,2016-07-01,7.38,7.43,7.38,7.38,12480
20,2016-07-04,7.24,7.48,7.24,7.48,13450
21,2016-07-05,7.48,7.48,7.38,7.38,2760
22,2016-07-06,7.38,7.38,7.28,7.28,2370
23,2016-07-07,7.38,7.48,7.38,7.48,11000
24,2016-07-08,7.28,7.62,7.28,7.57,17310
25,2016-07-11,7.57,7.57,7.57,7.57,16880
26,2016-07-12,7.57,7.57,7.57,7.57,2590
27,2016-07-13,7.28,7.57,7.28,7.57,10190
28,2016-07-14,7.57,7.57,7.57,7.57,12000
29,2016-07-15,7.33,7.38,7.33,7.38,2300
30,2016-07-18,7.33,7.43,7.33,7.43,3300
31,2016-07-19,7.48,7.53,7.48,7.53,1300
32,2016-07-20,7.53,7.62,7.53,7.62,3110
33,2016-07-21,7.48,7.57,7.48,7.57,28100
34,2016-07-22,7.57,7.62,7.53,7.62,5130
35,2016-07-25,7.62,7.62,7.57,7.57,4600
36,2016-07-26,7.57,8.06,7.57,8.06,15710
37,2016-07-27,8.59,8.59,8.44,8.59,60980
38,2016-07-28,8.64,9.12,8.64,9.12,34290
39,2016-07-29,9.12,9.17,8.92,8.92,33690
40,2016-08-01,8.88,8.92,8.44,8.92,10740
41,2016-08-02,8.92,8.92,8.44,8.88,31180
42,2016-08-03,8.44,8.83,8.44,8.83,33590
43,2016-08-04,8.92,8.92,8.59,8.59,14430
44,2016-08-05,8.44,9.07,8.44,8.59,17820
45,2016-08-08,8.68,8.68,8.59,8.59,12600
46,2016-08-09,8.68,8.83,8.59,8.83,10950
47,2016-08-10,8.92,8.92,8.68,8.83,31780
48,2016-08-11,8.83,9.17,8.83,8.92,5420
49,2016-08-12,8.92,8.92,8.92,8.92,19650
50,2016-08-15,8.92,8.92,8.92,8.92,1500
51,2016-08-16,8.92,8.92,8.78,8.78,10030
52,2016-08-17,8.59,8.92,8.59,8.68,9540
53,2016-08-18,8.68,8.68,8.64,8.64,14880
54,2016-08-19,8.59,8.92,8.59,8.59,6910
55,2016-08-22,8.73,8.73,8.59,8.64,23010
56,2016-08-23,8.64,8.68,8.64,8.64,26080
57,2016-08-24,8.64,8.68,8.64,8.64,15330
58,2016-08-25,8.64,8.78,8.64,8.68,19830
59,2016-08-26,8.68,8.68,8.68,8.68,4500
60,2016-08-29,8.68,8.88,8.68,8.78,14360
61,2016-08-30,8.78,8.78,8.68,8.73,4650
62,2016-08-31,8.92,8.92,8.78,8.92,16910
63,2016-09-01,8.78,8.92,8.78,8.92,22420
64,2016-09-05,8.73,9.36,8.73,9.36,13210
65,2016-09-06,9.17,9.17,8.97,9.12,7000
66,2016-09-07,9.02,9.07,9.02,9.07,3360
67,2016-09-08,8.92,9.31,8.59,8.78,17720
68,2016-09-09,8.83,8.92,8.83,8.92,9500
69,2016-09-12,8.73,8.78,8.73,8.78,6770
70,2016-09-13,9.12,9.12,9.12,9.12,10
71,2016-09-14,9.12,9.12,8.73,9.12,220
72,2016-09-15,8.78,8.92,8.78,8.78,12000
73,2016-09-16,8.78,9.38,8.78,9.02,2410
74,2016-09-19,8.8,8.97,8.8,8.92,6270
75,2016-09-20,8.83,8.97,8.73,8.73,7100
76,2016-09-21,8.78,8.78,8.68,8.73,28290
77,2016-09-22,8.73,8.78,8.2,8.78,21110
78,2016-09-23,8.8,8.8,8.8,8.8,9500
79,2016-09-26,8.8,8.8,8.8,8.8,5000
80,2016-09-27,8.8,8.8,8.64,8.78,6510
81,2016-09-28,8.78,8.78,8.56,8.78,24830
82,2016-09-29,8.78,8.78,8.56,8.73,19550
83,2016-09-30,8.54,8.73,8.54,8.73,9920
84,2016-10-03,8.59,8.59,8.44,8.59,15510
85,2016-10-04,8.59,8.59,8.44,8.59,25110
86,2016-10-05,8.59,8.68,8.49,8.64,3210
87,2016-10-06,8.59,8.59,8.54,8.59,12400
88,2016-10-07,8.49,8.59,8.3,8.3,12560
89,2016-10-10,8.44,8.68,8.39,8.68,3460
90,2016-10-11,8.68,8.68,8.2,8.56,2560
91,2016-10-12,8.56,8.56,8.3,8.44,570
92,2016-10-13,8.3,8.44,8.2,8.44,2910
93,2016-10-14,8.32,8.64,8.32,8.44,47210
94,2016-10-17,8.68,9.02,8.68,9.02,94430
95,2016-10-18,9.02,9.02,8.97,8.97,15120
96,2016-10-19,8.97,8.97,8.68,8.73,22710
97,2016-10-20,8.97,8.97,8.78,8.88,12830
98,2016-10-21,8.83,8.83,8.73,8.78,23270
99,2016-10-24,8.78,8.78,8.78,8.78,25320
100,2016-10-25,8.78,8.88,8.78,8.88,25050
101,2016-10-26,9.31,9.31,8.83,8.88,1930
102,2016-10-27,8.88,8.9,8.8,8.9,11600
103,2016-10-28,8.88,8.92,8.85,8.92,19000
104,2016-10-31,9.12,9.12,8.92,8.92,5020
105,2016-11-01,8.92,8.92,8.78,8.83,57800
106,2016-11-02,8.83,8.88,8.83,8.88,15920
107,2016-11-03,8.83,8.83,8.73,8.73,32000
108,2016-11-04,8.88,8.88,8.76,8.88,10230
109,2016-11-07,8.97,8.97,8.73,8.78,45480
110,2016-11-08,8.73,8.88,8.73,8.88,4610
111,2016-11-09,8.83,8.83,8.73,8.83,19890
112,2016-11-10,8.92,8.92,8.68,8.83,44150
113,2016-11-11,8.83,9.43,8.83,9.43,182150
114,2016-11-14,9.96,9.96,9.12,9.46,29120
115,2016-11-15,9.55,9.55,9.17,9.46,45190
116,2016-11-16,9.36,9.46,8.97,9.26,83090
117,2016-11-17,9.21,9.26,9.12,9.26,15760
118,2016-11-18,9.26,9.65,9.26,9.5,110450
119,2016-11-21,9.5,9.5,9.26,9.26,69320
120,2016-11-22,9.26,9.46,9.26,9.41,32270
121,2016-11-23,9.46,9.46,9.26,9.31,40840
122,2016-11-24,9.41,9.43,9.26,9.36,19120
123,2016-11-25,9.31,9.31,9.24,9.26,32000
124,2016-11-28,9.31,9.31,9.17,9.19,42620
125,2016-11-29,9.21,9.21,9.07,9.07,15500
126,2016-11-30,9.07,9.12,9.02,9.07,15780
127,2016-12-01,9.12,9.12,9.02,9.12,4610
128,2016-12-02,9.07,9.21,8.97,9.17,10610
129,2016-12-05,9.17,9.17,8.97,9.12,6510
130,2016-12-06,9.07,9.14,8.83,9.07,9970
131,2016-12-07,9.17,9.17,8.9,9.02,7260
132,2016-12-08,8.92,9.17,8.88,9.17,10990
133,2016-12-09,9.12,9.12,8.97,9.12,3350
134,2016-12-12,8.92,9.0,8.83,8.9,10210
135,2016-12-13,8.92,8.92,8.78,8.83,4630
136,2016-12-14,8.83,8.83,8.54,8.68,20230
137,2016-12-15,8.78,8.78,8.68,8.68,8070
138,2016-12-16,8.68,8.92,8.68,8.68,30310
139,2016-12-19,8.73,8.92,8.73,8.92,18790
140,2016-12-20,8.97,8.97,8.83,8.83,35690
141,2016-12-21,8.98,9.06,8.93,8.93,4460
142,2016-12-22,8.98,8.98,8.67,8.67,950
143,2016-12-23,8.67,8.85,8.47,8.67,19170
144,2016-12-26,8.57,8.57,8.55,8.55,1510
145,2016-12-27,8.52,8.52,8.39,8.47,21170
146,2016-12-28,8.37,8.57,8.32,8.57,18370
147,2016-12-29,8.62,8.67,8.32,8.67,8610
148,2016-12-30,8.57,8.88,8.57,8.88,460
149,2017-01-03,8.88,8.88,8.88,8.88,0
150,2017-01-04,8.88,8.88,8.88,8.88,0
151,2017-01-05,8.83,8.85,8.73,8.85,3140
152,2017-01-06,8.83,8.83,8.62,8.67,4410
153,2017-01-09,8.67,8.67,8.67,8.67,20
154,2017-01-10,8.62,8.62,8.57,8.62,2680
155,2017-01-11,8.62,8.62,8.57,8.62,5870
156,2017-01-12,8.47,8.55,8.32,8.32,22930
157,2017-01-13,8.27,8.62,8.27,8.47,13670
158,2017-01-16,8.67,9.06,8.67,8.98,77380
159,2017-01-17,8.98,9.11,8.85,8.98,11070
160,2017-01-18,8.93,8.93,8.47,8.75,5430
161,2017-01-19,8.62,8.62,8.47,8.47,5030
162,2017-01-20,8.62,8.83,8.62,8.62,1470
163,2017-01-23,8.62,8.62,8.62,8.62,0
164,2017-01-24,8.47,8.88,8.47,8.62,3370
165,2017-01-25,8.73,8.73,8.67,8.67,200
166,2017-02-02,8.67,8.83,8.67,8.83,330
167,2017-02-03,8.7,8.73,8.47,8.67,11610
168,2017-02-06,8.75,8.83,8.42,8.67,22610
169,2017-02-07,8.57,8.57,8.47,8.47,15570
170,2017-02-08,8.5,8.67,8.47,8.67,910
171,2017-02-09,8.67,8.83,8.57,8.57,3270
172,2017-02-10,8.57,8.67,8.57,8.67,23280
173,2017-02-13,8.73,8.73,8.57,8.57,6020
174,2017-02-14,8.57,8.62,8.52,8.57,10530
175,2017-02-15,8.47,8.62,8.42,8.62,6010
176,2017-02-16,8.52,8.57,8.47,8.5,13790
177,2017-02-17,8.47,8.57,8.44,8.57,3340
178,2017-02-20,8.57,8.57,8.42,8.44,20630
179,2017-02-21,8.42,8.52,8.42,8.47,16560
180,2017-02-22,8.47,8.57,8.44,8.47,9790
181,2017-02-23,8.62,8.62,8.42,8.47,29760
182,2017-02-24,8.62,8.62,8.47,8.52,19050
183,2017-02-27,8.42,8.57,8.42,8.57,3030
184,2017-02-28,8.42,8.47,8.42,8.47,19420
185,2017-03-01,8.47,8.55,8.47,8.52,3760
186,2017-03-02,8.47,8.52,8.42,8.44,6600
187,2017-03-03,8.42,8.55,8.42,8.44,12010
188,2017-03-06,8.42,8.57,8.39,8.42,15690
189,2017-03-07,8.55,8.57,8.39,8.39,650
190,2017-03-08,8.55,8.55,8.39,8.39,13040
191,2017-03-09,8.42,8.5,8.42,8.5,1880
192,2017-03-10,8.55,8.55,8.55,8.55,160
193,2017-03-13,8.55,8.57,8.42,8.55,4560
194,2017-03-14,8.42,8.47,8.42,8.42,4250
195,2017-03-15,8.39,8.39,8.37,8.37,2270
196,2017-03-16,8.37,8.44,8.34,8.44,6760
197,2017-03-17,8.62,8.62,8.47,8.55,3660
198,2017-03-20,8.73,8.83,8.65,8.65,400
199,2017-03-21,8.65,8.65,8.65,8.65,0
200,2017-03-22,8.52,8.62,8.39,8.55,1050
201,2017-03-23,8.42,8.44,8.37,8.42,2620
202,2017-03-24,8.52,8.52,8.47,8.47,1000
203,2017-03-27,8.5,8.5,8.39,8.39,8710
204,2017-03-28,8.42,8.47,8.39,8.39,4560
205,2017-03-29,8.44,8.52,8.42,8.42,14100
206,2017-03-30,8.42,8.42,8.37,8.37,12560
207,2017-03-31,8.37,8.42,8.34,8.39,32820
208,2017-04-03,8.42,8.42,8.37,8.37,4320
209,2017-04-04,8.37,8.42,8.34,8.42,6700
210,2017-04-05,8.42,8.62,8.37,8.62,9420
211,2017-04-07,8.37,8.37,8.37,8.37,5450
212,2017-04-10,8.37,8.42,8.34,8.42,520
213,2017-04-11,8.68,8.68,8.6,8.68,3620
214,2017-04-12,8.74,8.74,8.6,8.66,1440
215,2017-04-13,8.6,8.63,8.55,8.55,2890
216,2017-04-14,8.58,8.58,8.42,8.42,2930
217,2017-04-17,8.42,8.52,8.42,8.42,11360
218,2017-04-18,8.68,8.68,8.68,8.68,1000
219,2017-04-19,8.45,8.45,8.42,8.42,30230
220,2017-04-20,8.47,8.63,8.47,8.63,1980
221,2017-04-21,8.58,8.63,8.52,8.52,7100
222,2017-04-24,8.47,8.52,8.37,8.37,21010
223,2017-04-25,8.47,8.47,8.42,8.42,6100
224,2017-04-26,8.37,8.47,8.37,8.42,7260
225,2017-04-27,8.47,8.47,8.47,8.47,50
226,2017-04-28,8.52,8.52,8.52,8.52,3080
227,2017-05-03,8.52,8.58,8.47,8.47,5880
228,2017-05-04,8.42,8.47,8.42,8.42,4040
229,2017-05-05,8.47,8.68,8.47,8.66,6750
230,2017-05-08,8.66,8.66,8.66,8.66,0
231,2017-05-09,8.66,8.66,8.66,8.66,0
232,2017-05-10,8.66,8.66,8.66,8.66,0
233,2017-05-11,8.66,8.66,8.58,8.63,3550
234,2017-05-12,8.66,8.66,8.63,8.63,2000
235,2017-05-15,8.47,8.52,8.42,8.45,10850
236,2017-05-16,8.58,8.58,8.52,8.52,600
237,2017-05-17,8.52,8.58,8.47,8.58,11600
238,2017-05-18,8.58,8.58,8.55,8.55,3500
239,2017-05-19,8.5,8.52,8.5,8.52,16100
240,2017-05-22,8.5,8.52,8.5,8.52,550
241,2017-05-23,8.58,8.58,8.47,8.5,5960
242,2017-05-24,8.55,8.55,8.5,8.5,610
243,2017-05-25,8.52,8.52,8.47,8.47,9410
244,2017-05-26,8.47,8.47,8.42,8.47,14080
245,2017-05-29,8.42,8.42,8.42,8.42,40
246,2017-05-30,8.42,8.42,8.42,8.42,27530
247,2017-05-31,8.42,8.42,8.39,8.42,5300
248,2017-06-01,8.37,8.42,8.37,8.37,12000
249,2017-06-02,8.42,8.47,8.37,8.42,12010
250,2017-06-05,8.42,8.47,8.42,8.42,1200
251,2017-06-06,8.42,8.47,8.42,8.47,510
252,2017-06-07,8.31,8.47,8.31,8.47,170
253,2017-06-08,8.42,8.42,8.42,8.42,480
254,2017-06-09,8.42,8.42,8.42,8.42,2930
255,2017-06-12,8.42,8.42,8.31,8.42,1680
256,2017-06-13,8.37,8.37,8.37,8.37,200
257,2017-06-14,8.42,8.42,8.39,8.42,150
258,2017-06-15,8.31,8.42,8.31,8.31,11480
259,2017-06-16,8.31,8.31,8.31,8.31,0
260,2017-06-19,8.31,8.47,8.31,8.47,15490
261,2017-06-20,8.34,8.42,8.34,8.34,15140
262,2017-06-21,8.37,8.42,8.34,8.42,37870
263,2017-06-22,8.42,8.52,8.42,8.47,5410
264,2017-06-23,8.37,8.42,8.37,8.42,21660
265,2017-06-26,8.42,8.47,8.42,8.42,34100
266,2017-06-27,8.42,8.42,8.42,8.42,13000
267,2017-06-28,8.42,8.47,8.42,8.47,8530
268,2017-06-29,8.42,8.47,8.42,8.42,15250
269,2017-06-30,8.42,8.47,8.42,8.47,190
270,2017-07-03,8.42,8.42,8.42,8.42,30000
271,2017-07-04,8.42,8.42,8.42,8.42,6500
272,2017-07-05,8.47,8.47,8.42,8.42,3740
273,2017-07-06,8.42,8.52,8.42,8.47,14320
274,2017-07-07,8.42,8.47,8.42,8.42,2790
275,2017-07-10,8.42,8.47,8.42,8.47,8210
276,2017-07-11,8.47,8.58,8.47,8.58,6140
277,2017-07-12,8.58,8.58,8.58,8.58,0
278,2017-07-13,8.58,8.58,8.58,8.58,10
279,2017-07-14,8.47,8.55,8.47,8.55,2350
280,2017-07-17,8.47,8.47,8.47,8.47,18960
281,2017-07-18,8.42,8.55,8.42,8.55,51480
282,2017-07-19,8.58,8.58,8.5,8.5,2510
283,2017-07-20,8.5,8.5,8.5,8.5,0
284,2017-07-21,8.5,8.5,8.5,8.5,120
285,2017-07-24,8.5,8.5,8.5,8.5,90620
286,2017-07-25,8.52,8.52,8.5,8.52,32310
287,2017-07-26,8.52,8.63,8.5,8.63,3200
288,2017-07-27,8.47,8.68,8.47,8.68,800
289,2017-07-28,8.68,8.68,8.47,8.58,8380
290,2017-07-31,8.42,8.42,8.37,8.37,1130
291,2017-08-01,8.42,8.47,8.42,8.42,13500
292,2017-08-02,8.47,8.47,8.47,8.47,10200
293,2017-08-03,8.42,8.47,8.42,8.47,7700
294,2017-08-04,8.47,8.47,8.47,8.47,4000
295,2017-08-07,8.47,8.47,8.47,8.47,37100
296,2017-08-08,8.47,8.47,8.47,8.47,12760
297,2017-08-09,8.47,8.58,8.47,8.58,7120
298,2017-08-10,8.42,8.58,8.42,8.58,3510
299,2017-08-11,8.63,8.68,8.63,8.68,1800
300,2017-08-14,8.68,8.68,8.68,8.68,0
301,2017-08-15,8.47,8.63,8.37,8.63,1510
302,2017-08-16,8.52,8.63,8.47,8.63,10310
303,2017-08-17,8.52,8.52,8.52,8.52,3400
304,2017-08-18,8.47,8.58,8.47,8.58,3020
305,2017-08-21,8.63,8.63,8.63,8.63,30
306,2017-08-22,8.63,8.63,8.63,8.63,0
307,2017-08-23,8.5,8.6,8.5,8.6,5210
308,2017-08-24,8.5,8.55,8.5,8.55,5960
309,2017-08-25,8.52,8.55,8.37,8.55,21700
310,2017-08-28,8.42,8.63,8.42,8.63,14520
311,2017-08-29,8.63,8.63,8.63,8.63,0
312,2017-08-30,8.63,8.63,8.63,8.63,0
313,2017-08-31,8.52,8.52,8.52,8.52,4600
314,2017-09-01,8.52,8.52,8.42,8.52,3960
315,2017-09-05,8.52,8.52,8.52,8.52,4400
316,2017-09-06,8.52,8.58,8.52,8.58,3120
317,2017-09-07,8.52,8.52,8.52,8.52,2500
318,2017-09-08,8.52,8.52,8.52,8.52,0
319,2017-09-11,8.52,8.52,8.47,8.47,12060
320,2017-09-12,8.47,8.52,8.42,8.52,4810
321,2017-09-13,8.52,8.52,8.52,8.52,0
322,2017-09-14,8.42,8.52,8.42,8.52,5490
323,2017-09-15,8.47,8.47,8.42,8.42,13400
324,2017-09-18,8.42,8.42,8.42,8.42,2050
325,2017-09-19,8.42,8.45,8.42,8.45,2710
326,2017-09-20,8.42,8.42,8.42,8.42,7500
327,2017-09-21,8.42,8.42,8.42,8.42,20
328,2017-09-22,8.42,8.42,8.42,8.42,5790
329,2017-09-25,8.52,8.52,8.47,8.47,550
330,2017-09-26,8.42,8.42,8.42,8.42,1710
331,2017-09-27,8.47,8.52,8.42,8.42,9850
332,2017-09-28,8.42,8.47,8.42,8.47,250
333,2017-09-29,8.47,8.47,8.47,8.47,0
334,2017-10-02,8.42,8.58,8.42,8.58,16650
335,2017-10-03,8.47,8.47,8.47,8.47,10
336,2017-10-04,8.47,8.47,8.47,8.47,0
337,2017-10-05,8.47,8.63,8.47,8.63,90
338,2017-10-06,8.47,8.5,8.47,8.5,2070
339,2017-10-09,8.68,8.68,8.52,8.52,26720
340,2017-10-10,8.68,9.1,8.68,9.1,16420
341,2017-10-11,9.68,9.68,9.1,9.21,6260
342,2017-10-12,8.74,9.21,8.74,9.21,7470
343,2017-10-13,9.16,9.24,9.16,9.24,8820
344,2017-10-16,9.0,9.24,9.0,9.21,1860
345,2017-10-17,9.1,9.21,9.1,9.1,16390
346,2017-10-18,9.1,9.1,8.95,8.95,3720
347,2017-10-19,8.95,9.1,8.95,9.1,1070
348,2017-10-20,9.1,9.1,8.95,8.95,1690
349,2017-10-23,8.95,8.95,8.95,8.95,1290
350,2017-10-24,8.95,8.95,8.68,8.95,7310
351,2017-10-25,8.47,8.95,8.47,8.95,100
352,2017-10-26,8.95,8.95,8.95,8.95,0
