,time,open,high,low,close,volume
0,2019-01-25,24.0,24.0,24.0,24.0,100
1,2019-01-28,24.0,24.0,24.0,24.0,0
2,2019-01-29,24.0,24.0,24.0,24.0,0
3,2019-01-30,24.0,24.0,24.0,24.0,0
4,2019-01-31,24.0,24.0,24.0,24.0,0
5,2019-02-01,24.0,24.0,24.0,24.0,0
6,2019-02-11,24.0,24.0,24.0,24.0,0
7,2019-02-12,24.0,24.0,24.0,24.0,0
8,2019-02-13,24.0,24.0,24.0,24.0,0
9,2019-02-14,24.0,24.0,24.0,24.0,0
10,2019-02-15,24.0,24.0,24.0,24.0,0
11,2019-02-18,24.0,24.0,24.0,24.0,0
12,2019-02-19,24.0,24.0,24.0,24.0,0
13,2019-02-20,24.0,24.0,24.0,24.0,0
14,2019-02-21,24.0,24.0,24.0,24.0,0
15,2019-02-22,24.0,24.0,24.0,24.0,0
16,2019-02-25,24.0,24.0,24.0,24.0,0
17,2019-02-26,24.0,24.0,24.0,24.0,0
18,2019-02-27,24.0,24.0,24.0,24.0,0
19,2019-02-28,24.0,24.0,24.0,24.0,0
20,2019-03-01,24.0,24.0,24.0,24.0,0
21,2019-03-04,24.0,24.0,24.0,24.0,0
22,2019-03-05,24.0,24.0,24.0,24.0,0
23,2019-03-06,24.0,24.0,24.0,24.0,0
24,2019-03-07,24.0,24.0,24.0,24.0,0
25,2019-03-08,24.0,24.0,24.0,24.0,0
26,2019-03-11,24.0,24.0,24.0,24.0,0
27,2019-03-12,24.0,24.0,24.0,24.0,0
28,2019-03-13,24.0,24.0,24.0,24.0,0
29,2019-03-14,24.0,24.0,24.0,24.0,0
30,2019-03-15,24.0,24.0,24.0,24.0,0
31,2019-03-18,24.0,24.0,24.0,24.0,0
32,2019-03-19,24.0,24.0,24.0,24.0,0
33,2019-03-20,33.6,33.6,33.6,33.6,100
34,2019-03-21,33.6,33.6,33.6,33.6,0
35,2019-03-22,33.6,33.6,33.6,33.6,0
36,2019-03-25,33.6,33.6,33.6,33.6,0
37,2019-03-26,33.6,33.6,33.6,33.6,62
38,2019-03-27,33.6,33.6,33.6,33.6,0
39,2019-03-28,33.6,33.6,33.6,33.6,0
40,2019-03-29,33.6,33.6,33.6,33.6,0
41,2019-04-01,33.6,33.6,33.6,33.6,6
42,2019-04-02,33.6,33.6,33.6,33.6,0
43,2019-04-03,33.6,33.6,33.6,33.6,0
44,2019-04-04,33.6,33.6,33.6,33.6,0
45,2019-04-05,33.6,33.6,33.6,33.6,0
46,2019-04-08,33.6,33.6,33.6,33.6,0
47,2019-04-09,33.6,33.6,33.6,33.6,0
48,2019-04-10,33.6,33.6,33.6,33.6,0
49,2019-04-11,33.6,33.6,33.6,33.6,0
50,2019-04-12,33.6,33.6,33.6,33.6,0
51,2019-04-16,28.6,28.6,28.6,28.6,100
52,2019-04-17,28.6,28.6,28.6,28.6,0
53,2019-04-18,24.4,24.4,24.4,24.4,100
54,2019-04-19,24.4,24.4,24.4,24.4,0
55,2019-04-22,24.4,24.4,24.4,24.4,0
56,2019-04-23,24.4,24.4,24.4,24.4,0
57,2019-04-24,24.4,24.4,24.4,24.4,0
58,2019-04-25,24.4,24.4,24.4,24.4,0
59,2019-04-26,20.8,20.8,20.8,20.8,100
60,2019-05-02,17.7,17.7,17.7,17.7,100
61,2019-05-03,17.7,17.7,17.7,17.7,0
62,2019-05-06,17.7,17.7,17.7,17.7,0
63,2019-05-07,17.7,17.7,17.7,17.7,0
64,2019-05-08,17.7,17.7,17.7,17.7,0
65,2019-05-09,17.7,17.7,17.7,17.7,0
66,2019-05-10,17.7,17.7,17.7,17.7,0
67,2019-05-13,17.7,17.7,17.7,17.7,0
68,2019-05-14,17.7,17.7,17.7,17.7,0
69,2019-05-15,17.7,17.7,17.7,17.7,0
70,2019-05-16,17.7,17.7,17.7,17.7,0
71,2019-05-17,15.1,19.5,15.1,19.5,200
72,2019-05-20,14.8,14.8,14.8,14.8,100
73,2019-05-21,14.8,14.8,14.8,14.8,0
74,2019-05-22,12.6,12.6,12.6,12.6,100
75,2019-05-23,10.8,10.8,10.8,10.8,100
76,2019-05-24,10.8,10.8,10.8,10.8,0
77,2019-05-27,10.8,10.8,10.8,10.8,0
78,2019-05-28,10.8,10.8,10.8,10.8,0
79,2019-05-29,10.8,10.8,10.8,10.8,0
80,2019-05-30,10.8,10.8,10.8,10.8,0
81,2019-05-31,10.8,10.8,10.8,10.8,0
82,2019-06-03,10.8,10.8,10.8,10.8,0
83,2019-06-04,10.8,10.8,10.8,10.8,0
84,2019-06-05,10.8,10.8,10.8,10.8,0
85,2019-06-06,10.8,10.8,10.8,10.8,0
86,2019-06-07,10.8,10.8,10.8,10.8,0
87,2019-06-10,10.8,10.8,10.8,10.8,0
88,2019-06-11,10.8,10.8,10.8,10.8,0
89,2019-06-12,10.8,10.8,10.8,10.8,0
90,2019-06-13,10.8,10.8,10.8,10.8,0
91,2019-06-14,10.8,10.8,10.8,10.8,0
92,2019-06-17,10.8,10.8,10.8,10.8,0
93,2019-06-18,10.8,10.8,10.8,10.8,0
94,2019-06-19,10.8,10.8,10.8,10.8,0
95,2019-06-20,10.8,10.8,10.8,10.8,0
96,2019-06-21,10.8,10.8,10.8,10.8,0
97,2019-06-24,10.8,10.8,10.8,10.8,0
98,2019-06-25,10.8,10.8,10.8,10.8,0
99,2019-06-26,10.8,10.8,10.8,10.8,0
100,2019-06-27,10.8,10.8,10.8,10.8,0
101,2019-06-28,10.8,10.8,10.8,10.8,0
102,2019-07-01,10.8,10.8,10.8,10.8,0
103,2019-07-02,6.5,6.5,6.5,6.5,100
104,2019-07-03,6.5,6.5,6.5,6.5,18
105,2019-07-04,6.5,6.5,6.5,6.5,0
106,2019-07-05,6.5,6.5,6.5,6.5,0
107,2019-07-08,6.5,6.5,6.5,6.5,0
108,2019-07-09,6.5,6.5,6.5,6.5,0
109,2019-07-10,6.5,6.5,6.5,6.5,0
110,2019-07-11,6.5,6.5,6.5,6.5,0
111,2019-07-12,6.5,6.5,6.5,6.5,0
112,2019-07-15,5.6,5.6,5.6,5.6,100
113,2019-07-16,4.8,4.8,4.8,4.8,100
114,2019-07-17,4.1,4.1,4.1,4.1,100
115,2019-07-18,3.7,3.7,3.5,3.5,400
116,2019-07-19,3.3,3.3,3.2,3.2,200
117,2019-07-22,3.3,3.2,3.2,3.2,0
118,2019-07-23,3.3,3.2,3.2,3.2,0
119,2019-07-24,3.3,3.2,3.2,3.2,0
120,2019-07-25,3.6,3.6,3.6,3.6,100
121,2019-07-26,4.1,4.1,4.1,4.1,100
122,2019-07-29,4.1,4.1,4.1,4.1,0
123,2019-07-30,4.2,4.2,4.2,4.2,1000
124,2019-07-31,4.2,4.2,4.2,4.2,0
125,2019-08-01,4.2,4.2,4.2,4.2,0
126,2019-08-02,4.2,4.2,4.2,4.2,0
127,2019-08-05,4.2,4.2,4.2,4.2,0
128,2019-08-06,4.2,4.2,4.2,4.2,0
129,2019-08-07,3.6,4.8,3.6,4.8,300
