,time,open,high,low,close,volume
0,2006-12-08,24.32,24.32,24.32,24.32,2800
1,2006-12-11,24.32,24.32,23.28,23.28,800
2,2006-12-12,21.75,21.75,21.75,21.75,600
3,2006-12-13,21.19,21.19,21.19,21.19,1000
4,2006-12-14,20.5,20.5,20.5,20.5,600
5,2006-12-15,20.84,20.84,20.84,20.84,100
6,2006-12-18,20.84,20.84,20.84,20.84,100
7,2006-12-19,21.54,21.54,21.54,20.84,400
8,2006-12-20,21.89,21.89,21.89,21.89,100
9,2006-12-21,21.89,21.89,21.89,21.89,0
10,2006-12-22,21.89,21.89,21.89,21.89,0
11,2006-12-25,19.73,19.73,19.73,19.73,7500
12,2006-12-26,18.41,18.41,18.41,18.41,100
13,2006-12-27,20.15,20.15,20.15,20.15,200
14,2006-12-28,18.14,18.14,18.14,20.15,100
15,2006-12-29,19.94,19.94,19.8,19.8,600
16,2007-01-02,21.82,21.82,21.82,19.8,6900
17,2007-01-03,23.97,23.97,23.35,23.97,4000
18,2007-01-04,25.71,26.06,25.71,26.06,4300
19,2007-01-05,26.4,26.75,26.4,26.75,3600
20,2007-01-08,25.01,27.79,25.01,27.79,2900
21,2007-01-09,28.49,29.88,28.49,29.88,1900
22,2007-01-10,29.88,29.88,27.79,27.79,5200
23,2007-01-11,29.88,29.88,27.72,28.84,2800
24,2007-01-12,27.79,27.79,27.79,27.79,1400
25,2007-01-15,27.79,29.88,27.79,29.88,8300
26,2007-01-16,31.27,31.34,29.18,31.34,15500
27,2007-01-17,32.66,34.19,32.66,34.05,8700
28,2007-01-18,34.74,36.13,34.39,34.74,5800
29,2007-01-19,34.26,34.26,34.05,34.05,3600
30,2007-01-22,31.96,32.31,31.96,34.05,1100
31,2007-01-23,31.89,33.0,31.89,32.1,1700
32,2007-01-24,32.66,32.66,32.17,32.66,6100
33,2007-01-25,32.66,32.66,32.31,32.31,2500
34,2007-01-26,32.66,33.35,32.66,33.35,1200
35,2007-01-29,34.74,35.44,34.74,35.44,3700
36,2007-01-30,38.63,38.63,36.13,37.52,18700
37,2007-01-31,39.61,40.93,38.22,40.65,18600
38,2007-02-01,42.38,43.43,40.65,40.65,1900
39,2007-02-02,42.18,42.73,40.65,41.69,17700
40,2007-02-05,46.21,46.21,40.3,40.3,10800
41,2007-02-06,39.61,41.0,38.35,38.56,10300
