,time,open,high,low,close,volume
0,2009-06-08,5.35,5.35,5.35,5.35,100
1,2009-06-09,5.72,5.72,5.72,5.72,1700
2,2009-06-10,6.12,6.12,6.06,6.12,18200
3,2009-06-11,6.53,6.53,6.53,6.53,7000
4,2009-06-15,6.24,6.24,6.24,6.24,2000
5,2009-06-16,5.8,5.8,5.8,5.8,1000
6,2009-06-17,5.41,5.72,5.41,5.72,8100
7,2009-06-18,5.28,5.82,5.28,5.82,400
8,2009-06-19,5.8,5.94,5.28,5.28,8400
9,2009-06-22,5.2,5.37,5.2,5.37,1200
10,2009-06-23,5.46,5.46,5.46,5.46,100
11,2009-06-24,5.11,5.46,5.11,5.46,1000
12,2009-06-25,5.58,5.58,5.56,5.56,8600
13,2009-06-26,5.89,5.96,5.61,5.61,4900
14,2009-06-29,5.98,5.98,5.65,5.65,1100
15,2009-06-30,5.54,5.54,5.34,5.34,4400
16,2009-07-01,5.2,5.37,5.02,5.37,15200
17,2009-07-02,5.54,5.54,5.23,5.54,900
18,2009-07-03,5.13,5.28,5.13,5.28,4400
19,2009-07-06,5.48,5.49,5.48,5.49,5000
20,2009-07-07,5.49,5.8,5.41,5.41,7000
21,2009-07-08,5.58,5.8,5.2,5.72,8100
22,2009-07-09,5.46,5.86,5.46,5.72,12100
23,2009-07-10,5.54,5.72,5.54,5.72,4500
24,2009-07-13,5.54,5.72,5.54,5.72,4200
25,2009-07-14,5.72,5.72,5.72,5.72,7500
26,2009-07-15,5.89,5.89,5.72,5.89,3000
27,2009-07-16,5.89,5.89,5.87,5.87,3000
28,2009-07-17,5.72,5.89,5.72,5.89,3400
29,2009-07-20,5.63,5.8,5.63,5.8,1000
30,2009-07-21,5.89,5.89,5.87,5.89,3400
31,2009-07-22,5.72,5.89,5.72,5.89,2200
32,2009-07-23,5.63,5.98,5.63,5.98,3600
33,2009-07-24,6.15,6.19,6.15,6.19,5400
34,2009-07-27,6.19,6.24,6.19,6.24,6400
35,2009-07-28,5.89,6.15,5.89,6.15,8200
36,2009-07-29,6.08,6.08,6.08,6.08,2200
37,2009-07-30,6.06,6.08,6.06,6.06,2800
38,2009-07-31,6.15,6.32,6.15,6.24,13800
39,2009-08-03,6.24,6.29,6.24,6.24,3500
40,2009-08-04,6.27,6.27,6.27,6.27,3000
41,2009-08-05,6.24,6.27,6.24,6.27,8000
42,2009-08-06,6.27,6.27,6.27,6.27,0
43,2009-08-07,6.32,6.32,6.24,6.24,1900
44,2009-08-10,6.41,6.41,6.41,6.41,2500
45,2009-08-11,6.5,6.6,6.5,6.58,11500
46,2009-08-12,6.58,6.58,6.58,6.58,6000
47,2009-08-13,6.58,6.58,6.41,6.41,5500
48,2009-08-14,6.32,6.32,6.32,6.41,4000
49,2009-08-17,6.76,6.76,6.06,6.06,8000
50,2009-08-18,6.06,6.24,6.06,6.24,500
51,2009-08-19,6.41,6.5,6.41,6.5,300
52,2009-08-20,6.41,6.5,6.32,6.5,3400
53,2009-08-21,6.58,6.58,6.5,6.5,2000
54,2009-08-24,6.55,6.55,6.55,6.55,8000
55,2009-08-25,6.58,6.58,6.58,6.58,6100
56,2009-08-26,6.67,6.93,6.67,6.84,8600
57,2009-08-27,7.02,7.09,6.93,7.02,5500
58,2009-08-28,7.05,7.5,7.05,7.5,23500
59,2009-08-31,8.01,8.01,8.01,8.01,15700
60,2009-09-01,8.56,8.56,8.56,8.56,23300
61,2009-09-03,9.15,9.15,9.15,9.15,50400
62,2009-09-04,9.77,9.77,9.53,9.77,109100
63,2009-09-07,10.45,10.45,9.1,9.1,27000
64,2009-09-08,9.37,9.37,9.01,9.01,18200
65,2009-09-09,9.44,9.44,8.84,8.87,16100
66,2009-09-10,8.84,8.85,8.73,8.73,15600
67,2009-09-11,9.34,9.34,9.1,9.18,26400
68,2009-09-14,9.18,9.67,9.18,9.53,27600
69,2009-09-15,9.53,9.53,9.27,9.36,10700
70,2009-09-16,9.1,9.44,9.1,9.27,6400
71,2009-09-17,9.1,9.18,9.1,9.13,22100
72,2009-09-18,9.1,9.15,9.06,9.15,4400
73,2009-09-21,9.44,9.74,9.44,9.74,30500
74,2009-09-22,9.7,10.24,9.7,10.24,51300
75,2009-09-23,10.4,10.74,10.1,10.1,23500
76,2009-09-24,10.05,10.05,9.88,9.88,26500
77,2009-09-25,9.53,10.05,9.36,9.88,13200
78,2009-09-28,9.88,9.91,9.88,9.88,29600
79,2009-09-29,10.05,10.05,9.53,9.56,14200
80,2009-09-30,9.36,9.7,9.36,9.48,4200
81,2009-10-01,9.44,10.08,9.43,10.08,13400
82,2009-10-02,9.79,9.88,9.53,9.69,4700
83,2009-10-05,9.67,9.7,9.36,9.36,7500
84,2009-10-06,9.62,9.62,9.36,9.36,5000
85,2009-10-07,9.15,9.53,9.15,9.53,3500
86,2009-10-08,9.25,9.79,9.25,9.62,9500
87,2009-10-09,9.88,9.88,9.53,9.63,8400
88,2009-10-12,10.14,10.34,10.14,10.22,43100
89,2009-10-13,9.63,10.22,9.63,10.12,800
