,time,open,high,low,close,volume
0,2019-05-30,10.14,10.14,10.14,10.14,30
1,2019-05-31,10.84,10.84,10.84,10.84,30
2,2019-06-03,11.59,11.59,11.59,11.59,30
3,2019-06-04,11.59,11.59,11.59,11.59,0
4,2019-06-05,12.39,12.39,12.39,12.39,30
5,2019-06-06,13.25,13.25,13.25,13.25,30
6,2019-06-07,13.52,13.52,13.52,13.52,3000
7,2019-06-10,14.45,14.45,14.45,14.45,40
8,2019-06-11,15.43,15.43,14.93,14.93,470
9,2019-06-12,15.97,15.97,15.97,15.97,380
10,2019-06-13,17.07,17.07,17.07,17.07,430
11,2019-06-14,18.25,18.25,16.33,16.33,1000
12,2019-06-17,15.77,15.77,15.21,15.21,440
13,2019-06-18,14.17,15.35,14.17,15.35,590
14,2019-06-19,14.28,15.35,14.28,15.35,1030
15,2019-06-20,14.28,14.28,14.28,14.28,1340
16,2019-06-21,13.29,15.26,13.29,15.26,1120
17,2019-06-24,15.21,15.49,15.21,15.49,1320
18,2019-06-25,15.49,15.49,15.46,15.49,2030
19,2019-06-26,15.63,15.77,15.63,15.77,330
20,2019-06-27,15.77,15.77,15.07,15.63,570
21,2019-06-28,15.6,15.63,15.6,15.63,680
22,2019-07-01,14.64,16.7,14.56,15.49,1630
23,2019-07-02,15.21,15.21,14.42,15.21,1410
24,2019-07-03,15.07,15.07,15.07,15.07,1530
25,2019-07-04,14.93,14.93,14.08,14.08,1310
26,2019-07-05,15.07,15.07,13.1,14.93,810
27,2019-07-08,14.64,15.71,14.11,15.71,1600
28,2019-07-09,14.98,15.71,14.98,15.71,1100
29,2019-07-10,15.49,15.77,14.87,14.87,920
30,2019-07-11,15.43,15.43,15.21,15.43,1360
31,2019-07-12,15.52,15.52,15.52,15.52,680
32,2019-07-15,14.67,15.52,14.67,15.52,1930
33,2019-07-16,15.52,15.63,15.52,15.63,1680
34,2019-07-17,15.63,15.77,15.63,15.77,1010
35,2019-07-18,14.67,15.63,14.67,15.63,1250
36,2019-07-19,15.63,15.77,15.63,15.77,670
37,2019-07-22,15.77,15.91,15.77,15.91,2000
38,2019-07-23,14.84,15.91,14.84,15.91,1500
39,2019-07-24,14.81,15.91,14.81,15.77,1130
40,2019-07-25,16.05,16.05,16.05,16.05,750
41,2019-07-26,16.05,16.05,16.05,16.05,1010
42,2019-07-29,16.08,16.08,16.08,16.08,1280
43,2019-07-30,15.04,16.33,15.04,16.33,1200
44,2019-07-31,15.21,15.91,15.21,15.91,1350
45,2019-08-01,15.91,15.91,15.91,15.91,1090
46,2019-08-02,15.49,15.63,15.21,15.63,1730
47,2019-08-05,15.74,16.19,15.74,15.77,3410
48,2019-08-06,15.77,15.77,15.77,15.77,2330
49,2019-08-07,16.33,16.33,14.67,15.77,1960
50,2019-08-08,15.77,16.05,15.49,16.05,2220
51,2019-08-09,16.14,16.19,15.35,16.19,4250
52,2019-08-12,16.9,16.9,15.09,16.05,1220
53,2019-08-13,15.04,15.77,15.04,15.77,2380
54,2019-08-14,16.05,16.05,15.77,15.77,1150
55,2019-08-15,14.73,16.62,14.73,15.77,2040
56,2019-08-16,15.77,15.91,14.7,15.91,1320
57,2019-08-19,14.93,15.91,14.93,15.49,2010
58,2019-08-20,16.19,16.19,15.63,15.63,990
59,2019-08-21,15.63,15.63,15.21,15.21,2300
60,2019-08-22,14.95,16.05,14.95,15.91,2170
61,2019-08-23,16.05,16.62,15.91,15.91,1500
62,2019-08-26,14.93,15.91,14.93,15.91,2610
63,2019-08-27,15.77,15.91,15.77,15.88,2830
64,2019-08-28,15.83,15.83,15.83,15.83,2310
65,2019-08-29,15.49,15.57,15.49,15.49,2010
66,2019-08-30,14.53,15.43,14.53,15.35,1290
67,2019-09-03,14.5,15.21,14.5,15.21,2100
68,2019-09-04,15.21,15.21,15.21,15.21,2220
69,2019-09-05,15.07,15.21,14.93,15.18,2260
70,2019-09-06,15.04,15.07,14.36,15.07,2560
71,2019-09-09,15.77,15.77,15.77,15.77,2200
72,2019-09-10,15.77,15.77,15.77,15.77,1760
73,2019-09-11,15.63,15.91,15.63,15.71,2280
74,2019-09-12,15.63,16.33,15.63,16.33,2050
75,2019-09-13,16.33,17.18,16.33,17.18,2060
76,2019-09-16,16.9,16.9,16.9,16.9,1450
77,2019-09-17,16.64,16.64,16.64,16.64,2580
78,2019-09-18,16.62,16.62,16.59,16.62,2180
79,2019-09-19,16.62,16.62,15.49,16.62,2040
80,2019-09-20,17.74,17.74,16.9,16.9,2300
81,2019-09-23,17.18,17.18,17.18,17.18,2310
82,2019-09-24,16.9,17.15,16.42,17.15,1910
83,2019-09-25,17.15,17.15,17.15,17.15,0
84,2019-09-26,15.97,17.21,15.97,16.09,1550
85,2019-09-27,17.21,17.21,17.21,17.21,1100
86,2019-09-30,17.81,18.07,17.81,18.07,2590
87,2019-10-01,18.1,18.1,18.1,18.1,1680
88,2019-10-02,19.36,19.36,19.31,19.31,1040
89,2019-10-03,19.19,19.19,19.19,19.19,1290
90,2019-10-04,19.19,19.19,19.19,19.19,1600
91,2019-10-07,18.67,18.67,18.67,18.67,1500
92,2019-10-08,18.67,18.67,18.67,18.67,0
93,2019-10-09,18.53,18.53,18.1,18.53,1600
94,2019-10-10,18.07,18.07,18.07,18.07,1400
95,2019-10-11,18.07,18.07,18.07,18.07,0
96,2019-10-14,18.04,18.04,18.04,18.04,1050
97,2019-10-15,18.04,18.04,18.04,18.04,0
98,2019-10-16,18.96,18.96,18.96,18.96,2020
99,2019-10-17,18.96,18.96,18.96,18.96,1670
100,2019-10-18,18.96,18.96,18.96,18.96,0
101,2019-10-21,18.67,18.67,18.67,18.67,1680
102,2019-10-22,17.38,18.39,17.38,18.39,1650
103,2019-10-23,18.39,18.39,18.39,18.39,0
104,2019-10-24,18.1,18.1,18.1,18.1,1100
105,2019-10-25,18.1,18.1,18.1,18.1,500
106,2019-10-28,18.1,18.1,18.1,18.1,0
107,2019-10-29,17.24,17.78,17.24,17.78,1000
108,2019-10-30,17.24,18.1,17.24,18.1,1390
109,2019-10-31,17.81,17.81,17.81,17.81,1500
110,2019-11-01,17.81,17.81,17.81,17.81,0
111,2019-11-04,18.53,18.53,18.53,18.53,2390
112,2019-11-05,18.82,18.82,18.82,18.82,1600
113,2019-11-06,18.96,18.96,18.96,18.96,1590
114,2019-11-07,18.82,18.82,18.82,18.82,1560
115,2019-11-08,18.1,18.1,18.1,18.1,1630
116,2019-11-11,18.1,18.27,18.1,18.27,1630
117,2019-11-12,18.39,18.39,18.39,18.39,900
118,2019-11-13,18.1,18.1,18.1,18.1,1500
119,2019-11-14,18.1,18.1,18.1,18.1,0
120,2019-11-15,18.1,18.1,18.1,18.1,0
121,2019-11-18,17.52,17.52,17.52,17.52,2500
122,2019-11-19,17.52,17.81,17.52,17.81,1200
123,2019-11-20,17.81,17.95,17.81,17.95,2550
124,2019-11-21,17.95,17.95,17.52,17.52,3500
125,2019-11-22,17.52,17.52,17.52,17.52,1000
126,2019-11-25,17.24,17.24,17.09,17.09,2100
127,2019-11-26,16.95,17.09,16.95,17.09,1900
128,2019-11-27,16.95,16.95,16.95,16.95,110
