,time,open,high,low,close,volume
0,2007-08-22,14.0,14.0,14.0,14.0,98380
1,2007-08-23,14.7,14.7,14.7,14.7,455590
2,2007-08-24,15.44,15.44,15.44,15.44,404010
3,2007-08-27,16.21,16.21,16.21,16.21,167100
4,2007-08-28,17.01,17.01,17.01,17.01,10970
5,2007-08-29,17.86,17.86,16.17,17.86,824980
6,2007-08-30,17.15,17.86,16.98,17.15,295860
7,2007-08-31,17.5,17.5,17.15,17.5,237860
8,2007-09-04,17.68,17.86,17.5,17.5,132380
9,2007-09-05,17.15,17.15,16.98,16.98,132070
10,2007-09-06,16.63,16.8,16.45,16.49,105570
11,2007-09-07,17.15,17.15,16.77,17.12,169670
12,2007-09-10,16.8,16.98,16.77,16.8,62770
13,2007-09-11,16.45,16.8,16.38,16.52,57910
14,2007-09-12,16.49,16.49,16.42,16.42,70980
15,2007-09-13,16.38,16.63,16.38,16.38,35940
16,2007-09-14,16.38,16.45,16.28,16.38,42400
17,2007-09-17,16.28,16.35,16.28,16.28,35480
18,2007-09-18,15.79,16.1,15.79,16.03,115240
19,2007-09-19,16.45,16.45,16.28,16.42,67540
20,2007-09-20,16.28,16.28,16.1,16.24,119500
21,2007-09-21,16.24,16.45,16.1,16.1,94000
22,2007-09-24,16.03,16.1,15.96,16.1,141800
23,2007-09-25,16.28,16.63,16.1,16.45,216100
24,2007-09-26,16.45,16.63,16.28,16.28,156010
25,2007-09-27,16.1,16.1,16.03,16.03,108410
26,2007-09-28,16.1,16.45,16.03,16.45,381570
27,2007-10-01,17.26,17.26,17.26,17.26,289690
28,2007-10-02,18.03,18.03,17.5,18.03,671850
29,2007-10-03,18.91,18.91,18.38,18.91,535810
30,2007-10-04,18.21,18.38,18.03,18.03,367880
31,2007-10-05,17.5,18.03,17.5,17.68,157450
32,2007-10-08,17.68,17.86,17.5,17.5,183310
33,2007-10-09,17.68,17.86,17.5,17.68,158290
34,2007-10-10,17.86,18.03,17.5,17.68,160450
35,2007-10-11,17.68,17.68,17.47,17.5,157910
36,2007-10-12,17.33,17.5,17.15,17.33,94080
37,2007-10-15,17.15,17.33,17.12,17.19,142020
38,2007-10-16,17.19,17.5,17.19,17.5,177860
39,2007-10-17,17.86,17.86,17.5,17.5,234710
40,2007-10-18,17.33,17.5,17.15,17.15,120930
41,2007-10-19,16.8,17.15,16.8,16.91,120340
42,2007-10-22,16.56,16.8,16.52,16.77,146910
43,2007-10-23,16.98,16.98,16.7,16.7,141260
44,2007-10-24,16.45,16.8,16.45,16.8,148070
45,2007-10-25,17.15,17.15,16.8,16.94,170440
46,2007-10-26,17.15,17.15,16.8,16.8,133770
47,2007-10-29,17.5,17.5,16.98,17.15,216700
48,2007-10-30,16.45,17.12,16.45,16.8,89170
49,2007-10-31,16.52,16.77,16.49,16.52,93710
50,2007-11-01,16.45,16.59,16.35,16.35,91900
51,2007-11-02,16.28,16.45,16.1,16.17,109160
52,2007-11-05,15.75,15.96,15.61,15.75,95670
